,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-13-21-northern-colorado,37.0,10,8.7,2,86.8,84.6,22,0.567,52,0.519,27,0.308,16,0.813,13,0,200,108.8,10.7,3,17,72,,14.7,10,0.192,10,0.5,5,46.3,25,0.621,14.5,10,42,0.524,22,1.0,1,"November 13, 2017",33.3,7,11.9,5,108.8,89.3,25,0.522,46,0.457,21,0.37,17,0.647,11,2,200,86.8,15.4,4,16,59,,10.3,7,0.5,23,0.261,6,53.7,29,0.546,26.2,19,23,0.652,15,0.0,0,"Bank of Colorado Arena, Greeley, Colorado",NORTHERN-COLORADO,Northern Colorado,67.8,Away,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west
2017-11-15-22-pacific,61.9,13,0.0,0,89.2,61.1,22,0.585,41,0.512,21,0.39,16,0.875,14,0,200,95.4,5.6,1,22,62,,10.8,7,0.341,14,0.429,6,42.6,23,0.638,28.3,19,27,0.556,15,1.0,2,"November 15, 2017",52.4,11,22.2,6,95.4,94.4,17,0.44,50,0.42,21,0.48,24,0.583,14,2,200,89.2,38.9,14,16,58,,21.5,14,0.18,9,0.222,2,57.4,31,0.472,20.9,16,41,0.463,19,0.0,0,"A.G. Spanos Center, Stockton, California",PACIFIC,Pacific,65.0,Away,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west
2017-11-18-17-utah-valley,57.7,15,2.7,1,115.9,63.0,17,0.527,55,0.473,26,0.291,16,0.813,13,1,200,102.9,24.1,7,20,71,,10.1,7,0.273,15,0.4,6,42.9,24,0.567,17.3,13,40,0.5,20,0.667,2,"November 18, 2017",64.3,18,5.0,2,102.9,75.9,22,0.579,57,0.491,28,0.281,16,0.875,14,2,200,115.9,37.0,10,18,80,,4.3,3,0.351,20,0.5,10,57.1,32,0.619,17.9,14,37,0.486,18,0.5,2,"UCCU Center, Orem, Utah",CALIFORNIA-DAVIS,UC-Davis,68.6,Home,UTAH-VALLEY,Utah Valley,UC Davis,big-west
2017-11-21-22-sacramento-state,47.8,11,6.3,2,67.1,78.8,26,0.51,51,0.451,23,0.431,22,0.545,12,1,200,91.4,26.5,9,15,64,,14.3,10,0.255,13,0.462,6,52.2,35,0.521,22.9,18,38,0.447,17,0.75,3,"November 21, 2017",68.8,11,10.5,4,91.4,73.5,25,0.38,50,0.32,16,0.22,11,0.818,9,3,200,67.1,21.2,7,20,47,,15.7,11,0.36,18,0.333,6,47.8,32,0.426,28.6,22,32,0.313,10,0.25,1,"Golden 1 Center, Sacramento, California",SACRAMENTO-STATE,Sacramento State,70.3,Away,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west
2017-11-26-20-washington,52.0,13,0.0,0,116.7,48.4,15,0.5,55,0.455,25,0.382,21,0.714,15,2,200,106.1,30.3,10,22,70,,9.1,6,0.382,21,0.238,5,39.1,25,0.539,14.6,11,34,0.588,20,0.6,3,"November 26, 2017",60.0,15,8.8,3,106.1,69.7,23,0.519,54,0.463,25,0.5,27,0.778,21,2,200,116.7,51.6,16,15,77,,10.6,7,0.426,23,0.261,6,60.9,39,0.576,18.5,15,31,0.613,19,0.667,4,"Alaska Airlines Arena, Seattle, Washington",CALIFORNIA-DAVIS,UC-Davis,65.9,Home,WASHINGTON,Washington,UC Davis,big-west
2017-11-29-22-california-davis,18.8,3,7.7,3,80.0,75.0,30,0.289,57,0.281,16,0.421,24,0.75,18,3,200,72.9,19.5,8,24,51,,8.6,6,0.404,23,0.043,1,46.9,38,0.373,11.8,9,34,0.441,15,0.625,5,"November 29, 2017",52.9,9,11.8,4,72.9,80.5,33,0.361,54,0.315,17,0.574,31,0.548,17,2,200,80.0,25.0,10,19,56,,10.0,7,0.278,15,0.333,5,53.1,43,0.407,14.0,11,39,0.308,12,0.667,4,"The Pavilion, Davis, California",NORTHERN-COLORADO,Northern Colorado,69.6,Home,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west
2017-12-02-15-washington-state,43.3,13,13.0,3,94.4,82.9,29,0.609,55,0.545,30,0.382,21,0.667,14,2,200,114.1,27.6,8,14,81,,11.3,8,0.309,17,0.412,7,57.8,37,0.623,15.7,12,38,0.605,23,0.714,5,"December 2, 2017",54.2,13,7.9,3,114.1,72.4,21,0.526,57,0.421,24,0.175,10,0.7,7,1,200,94.4,17.1,6,17,67,,8.5,6,0.596,34,0.353,12,42.2,27,0.543,21.7,17,23,0.522,12,0.857,6,"Beasley Coliseum, Pullman, Washington",WASHINGTON-STATE,Washington State,70.9,Away,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west
2017-12-06-22-california-davis,54.5,12,6.1,2,104.4,95.5,21,0.393,61,0.361,22,0.344,21,0.905,19,5,200,98.5,48.6,18,20,67,,10.3,7,0.213,13,0.308,4,66.1,39,0.472,18.6,16,48,0.375,18,0.5,5,"December 6, 2017",26.1,6,0.0,0,98.5,51.4,19,0.593,43,0.535,23,0.605,26,0.769,20,2,200,104.4,4.5,1,19,71,,10.3,7,0.233,10,0.5,5,33.9,20,0.641,18.1,12,33,0.545,18,0.75,6,"The Pavilion, Davis, California",PACIFIC,Pacific,67.7,Home,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west
2017-12-09-17-california-davis,47.4,9,10.5,4,110.3,79.4,27,0.301,68,0.279,19,0.235,16,0.688,11,0,200,66.7,30.4,14,29,52,,9.0,7,0.382,26,0.115,3,51.3,41,0.344,17.6,16,42,0.381,16,0.0,0,"December 9, 2017",42.3,11,11.9,5,66.7,69.6,32,0.544,57,0.456,26,0.632,36,0.667,24,2,200,110.3,20.6,7,17,86,,9.0,7,0.333,19,0.526,10,48.8,39,0.58,13.1,11,38,0.421,16,0.778,7,"The Pavilion, Davis, California","William Jessup
			","William Jessup
			",77.9,Home,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west
2017-12-15-23-san-francisco,50.0,10,3.4,1,113.8,61.5,16,0.511,44,0.455,20,0.591,26,0.615,16,3,200,93.8,25.0,7,21,61,,12.3,8,0.273,12,0.417,5,42.6,23,0.541,21.3,15,32,0.469,15,0.7,7,"December 15, 2017",65.4,17,9.4,3,93.8,75.0,21,0.608,51,0.51,26,0.412,21,0.571,12,3,200,113.8,38.5,10,22,74,,13.8,9,0.431,22,0.455,10,57.4,31,0.607,19.9,15,29,0.552,16,0.667,6,"War Memorial Gymnasium, San Francisco, California",CALIFORNIA-DAVIS,UC-Davis,65.2,Home,SAN-FRANCISCO,San Francisco,UC Davis,big-west
