,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-15-citadel,55.2,16,17.5,7,118.5,63.6,28,0.458,72,0.403,29,0.181,13,0.538,7,0,200,79.3,22.7,10,9,73,,12.0,11,0.514,37,0.216,8,43.2,38,0.467,24.3,25,35,0.6,21,0.0,0,"November 10, 2017",65.9,27,11.4,4,79.3,77.3,34,0.592,87,0.471,41,0.069,6,1.0,6,0,200,118.5,36.4,16,16,109,,18.5,17,0.54,47,0.447,21,56.8,50,0.607,15.1,16,40,0.5,20,1.0,1,"McAlister Field House, Charleston, South Carolina","Oglethorpe
			","Oglethorpe
			",91.5,Home,CITADEL,Citadel,The Citadel,southern
2017-11-12-19-virginia-tech,54.5,18,2.1,1,136.1,60.0,15,0.513,78,0.423,33,0.256,20,0.65,13,1,200,95.9,13.3,6,29,93,,9.3,9,0.41,32,0.438,14,30.0,21,0.531,15.6,16,46,0.413,19,0.5,1,"November 12, 2017",75.0,36,10.9,5,95.9,86.7,39,0.771,70,0.686,48,0.514,36,0.667,24,0,200,136.1,40.0,10,21,132,,5.2,5,0.314,22,0.545,12,70.0,49,0.758,18.1,19,48,0.75,36,1.0,2,"Cassell Coliseum, Blacksburg, Virginia",CITADEL,Citadel,96.8,Home,VIRGINIA-TECH,Virginia Tech,The Citadel,southern
2017-11-15-19-north-carolina-at,29.6,8,2.3,1,102.2,79.3,23,0.373,79,0.342,27,0.266,21,0.667,14,2,200,81.1,25.9,14,20,73,,10.0,9,0.418,33,0.152,5,44.6,37,0.41,16.9,18,46,0.478,22,0.333,1,"November 15, 2017",67.6,25,6.5,3,81.1,74.1,40,0.623,65,0.569,37,0.231,15,0.733,11,1,200,102.2,20.7,6,18,92,,8.9,8,0.338,22,0.318,7,55.4,46,0.638,22.7,21,43,0.698,30,0.667,2,"Ellis Corbett Sports Center, Greensboro, North Carolina",CITADEL,Citadel,90.1,Home,NORTH-CAROLINA-AT,North Carolina A&T,The Citadel,southern
2017-11-18-14-high-point,48.1,13,9.4,5,95.1,65.5,19,0.5,64,0.422,27,0.359,23,0.652,15,2,200,97.5,27.3,9,14,79,,13.6,11,0.391,25,0.4,10,45.2,28,0.527,18.7,17,39,0.436,17,0.5,2,"November 18, 2017",50.0,15,25.6,10,97.5,72.7,24,0.5,65,0.462,30,0.185,12,1.0,12,2,200,95.1,34.5,10,22,77,,14.8,12,0.185,12,0.417,5,54.8,34,0.545,20.4,18,53,0.472,25,0.333,1,"Millis Center, High Point, North Carolina",HIGH-POINT,High Point,80.8,Away,CITADEL,Citadel,The Citadel,southern
2017-11-21-18-citadel,75.0,18,4.3,2,122.1,77.1,27,0.475,61,0.393,24,0.164,10,0.8,8,0,200,69.5,18.2,6,16,66,,6.3,6,0.426,26,0.385,10,48.5,33,0.502,34.9,35,35,0.4,14,0.0,0,"November 21, 2017",71.1,32,14.3,5,69.5,81.8,27,0.658,79,0.57,45,0.228,18,0.667,12,2,200,122.1,22.9,8,16,116,,26.3,25,0.418,33,0.424,14,51.5,35,0.662,15.5,16,46,0.674,31,0.6,3,"McAlister Field House, Charleston, South Carolina","Trinity Baptist
			","Trinity Baptist
			",95.2,Home,CITADEL,Citadel,The Citadel,southern
2017-11-24-20-florida-state,65.4,17,4.8,2,127.0,57.1,20,0.417,78,0.333,26,0.269,21,0.619,13,3,200,87.6,31.3,15,18,78,,9.0,8,0.487,38,0.342,13,42.2,35,0.443,15.5,16,40,0.325,13,0.5,3,"November 24, 2017",54.8,23,25.0,10,87.6,68.8,33,0.613,80,0.525,42,0.275,22,0.682,15,0,200,127.0,42.9,15,20,113,,7.9,7,0.475,38,0.368,14,57.8,48,0.625,13.5,14,42,0.667,28,1.0,5,"Donald L. Tucker Center, Tallahassee, Florida",CITADEL,Citadel,89.2,Home,FLORIDA-STATE,Florida State,The Citadel,southern
2017-12-01-15-citadel,68.6,24,16.2,6,103.4,80.5,33,0.698,63,0.556,35,0.27,17,0.706,12,6,200,113.6,18.5,5,17,100,,3.4,3,0.635,40,0.45,18,55.9,38,0.703,21.2,19,23,0.739,17,0.143,1,"December 1, 2017",56.3,18,4.3,1,113.6,81.5,22,0.5,79,0.405,32,0.215,17,0.706,12,4,200,103.4,19.5,8,19,91,,10.2,9,0.532,42,0.357,15,44.1,30,0.523,12.2,12,37,0.459,17,0.429,3,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,88.1,Away,MARIST,Marist,The Citadel,southern
2017-12-02-15-citadel,66.7,24,10.0,4,90.0,72.3,34,0.579,76,0.474,36,0.211,16,0.625,10,4,200,122.5,45.0,18,23,98,,6.3,5,0.553,42,0.381,16,59.8,52,0.586,14.4,14,34,0.588,20,0.556,5,"December 2, 2017",62.5,15,2.9,1,122.5,55.0,22,0.391,69,0.348,24,0.42,29,0.621,18,5,200,90.0,27.7,13,18,72,,11.3,9,0.42,29,0.207,6,40.2,35,0.435,10.9,10,40,0.45,18,0.375,3,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,79.7,Away,MARYLAND-BALTIMORE-COUNTY,UMBC,The Citadel,southern
2017-12-05-18-citadel,64.3,18,11.4,4,102.4,96.0,24,0.471,68,0.412,28,0.324,22,0.818,18,7,200,100.0,36.1,13,16,82,,12.2,10,0.368,25,0.32,8,60.7,37,0.523,18.0,17,43,0.465,20,0.3,3,"December 5, 2017",54.5,18,9.3,4,100.0,63.9,23,0.653,59,0.559,33,0.186,11,0.636,7,5,200,102.4,4.0,1,20,84,,14.6,12,0.407,24,0.458,11,39.3,24,0.654,22.0,18,35,0.629,22,0.444,4,"McAlister Field House, Charleston, South Carolina",JAMES-MADISON,James Madison,81.8,Home,CITADEL,Citadel,The Citadel,southern
2017-12-14-19-campbell,41.4,12,6.3,3,117.6,60.5,23,0.439,74,0.392,29,0.216,16,0.75,12,6,200,104.1,24.4,11,19,77,,8.1,6,0.351,26,0.269,7,41.0,34,0.472,6.9,6,48,0.458,22,0.4,4,"December 14, 2017",60.6,20,10.4,5,104.1,75.6,34,0.536,69,0.478,33,0.29,20,0.65,13,5,200,117.6,39.5,15,10,87,,4.1,3,0.304,21,0.381,8,59.0,49,0.554,9.3,8,48,0.521,25,0.5,5,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",CITADEL,Citadel,74.1,Home,CAMPBELL,Campbell,The Citadel,southern
