,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-11-19-akron,31.8,7,12.5,4,81.7,82.5,33,0.427,55,0.4,22,0.473,26,0.385,10,1,200,69.5,9.8,4,20,57,,6.1,5,0.345,19,0.158,3,45.7,37,0.423,18.4,15,36,0.528,19,0.0,0,"November 11, 2017",40.0,8,13.9,5,69.5,90.2,37,0.364,66,0.303,20,0.348,23,0.826,19,0,200,81.7,17.5,7,26,67,,6.1,5,0.515,34,0.235,8,54.3,44,0.435,17.4,16,32,0.375,12,1.0,1,"James A. Rhodes Arena, Akron, Ohio",CLEVELAND-STATE,Cleveland State,82.1,Home,AKRON,Akron,Cleveland State,horizon
2017-11-14-19-rutgers,50.0,8,2.4,1,104.5,70.6,24,0.337,52,0.308,16,0.212,11,0.273,3,2,200,56.7,15.8,6,13,38,,6.0,4,0.423,22,0.136,3,41.7,30,0.332,19.8,14,30,0.433,13,0.0,0,"November 14, 2017",48.3,14,10.0,3,56.7,84.2,32,0.5,65,0.446,29,0.169,11,0.455,5,0,200,104.5,29.4,10,13,70,,7.5,5,0.369,24,0.292,7,58.3,42,0.498,10.3,8,41,0.537,22,1.0,3,"Louis Brown Athletic Center, New Brunswick, New Jersey",CLEVELAND-STATE,Cleveland State,66.7,Home,RUTGERS,Rutgers,Cleveland State,horizon
2017-11-17-19-cleveland-state,30.0,6,0.0,0,112.7,87.0,20,0.392,60,0.333,20,0.233,14,0.643,9,4,200,78.9,13.2,5,16,56,,1.4,1,0.533,32,0.219,7,41.0,25,0.42,16.4,13,28,0.464,13,0.0,0,"November 17, 2017",60.7,17,14.3,4,78.9,86.8,33,0.686,51,0.549,28,0.255,13,0.769,10,2,200,112.7,13.0,3,18,80,,11.3,8,0.627,32,0.438,14,59.0,36,0.7,18.6,13,19,0.737,14,0.333,1,"Wolstein Center, Cleveland, Ohio",COPPIN-STATE,Coppin State,70.9,Home,CLEVELAND-STATE,Cleveland State,Cleveland State,horizon
2017-11-20-19-east-carolina,54.2,13,3.0,1,100.0,71.9,23,0.466,58,0.414,24,0.31,18,0.833,15,3,200,95.8,30.0,9,22,69,,11.1,8,0.448,26,0.231,6,51.6,32,0.518,18.5,15,32,0.563,18,0.25,1,"November 20, 2017",74.1,20,6.3,2,95.8,70.0,21,0.587,52,0.519,27,0.481,25,0.44,11,2,200,100.0,28.1,9,18,72,,9.7,7,0.365,19,0.368,7,48.4,30,0.564,21.3,17,33,0.606,20,0.5,2,"Williams Arena at Minges Coliseum, Greenville, North Carolina",CLEVELAND-STATE,Cleveland State,72.2,Home,EAST-CAROLINA,East Carolina,Cleveland State,horizon
2017-11-24-17-cleveland-state,60.7,17,16.7,4,107.4,88.9,24,0.533,60,0.467,28,0.267,16,0.625,10,3,200,108.8,36.1,13,14,74,,7.4,5,0.317,19,0.421,8,58.7,37,0.547,14.1,11,41,0.488,20,0.5,3,"November 24, 2017",53.8,14,7.3,3,108.8,63.9,23,0.613,53,0.491,26,0.264,14,0.571,8,4,200,107.4,11.1,3,14,73,,7.4,5,0.547,29,0.448,13,41.3,26,0.612,18.0,13,24,0.542,13,0.2,1,"Wolstein Center, Cleveland, Ohio",CLEVELAND-STATE,Cleveland State,67.6,Away,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Cleveland State,horizon
2017-11-29-19-cleveland-state,51.7,15,9.1,4,104.2,73.3,22,0.567,60,0.483,29,0.167,10,0.4,4,5,200,100.0,36.7,11,20,72,,6.9,5,0.333,20,0.5,10,55.0,33,0.556,21.8,18,40,0.475,19,0.286,2,"November 29, 2017",41.4,12,15.0,6,100.0,63.3,19,0.525,60,0.483,29,0.267,16,0.75,12,4,200,104.2,26.7,8,13,75,,11.1,8,0.267,16,0.313,5,45.0,27,0.555,16.2,13,44,0.545,24,0.333,2,"Wolstein Center, Cleveland, Ohio",ARKANSAS-STATE,Arkansas State,72.2,Home,CLEVELAND-STATE,Cleveland State,Cleveland State,horizon
2017-12-02-19-kent-state,33.3,8,16.7,7,105.9,59.0,23,0.5,56,0.429,24,0.25,14,0.429,6,5,200,91.2,34.4,11,14,62,,4.4,3,0.393,22,0.364,8,47.9,34,0.495,19.4,15,34,0.471,16,0.286,2,"December 2, 2017",37.0,10,8.8,3,91.2,65.6,21,0.434,68,0.397,27,0.235,16,0.813,13,3,200,105.9,41.0,16,13,72,,7.4,5,0.382,26,0.192,5,52.1,37,0.476,10.7,9,42,0.524,22,0.625,5,"Memorial Athletic & Convocation Center, Kent, Ohio",CLEVELAND-STATE,Cleveland State,67.6,Home,KENT-STATE,Kent State,Cleveland State,horizon
2017-12-06-19-western-michigan,56.0,14,4.0,1,98.7,69.0,20,0.475,61,0.41,25,0.23,14,0.643,9,6,200,84.8,17.1,6,27,67,,15.2,12,0.443,27,0.296,8,40.6,26,0.495,22.1,19,34,0.5,17,0.25,2,"December 6, 2017",70.0,14,11.8,4,84.8,82.9,29,0.554,46,0.435,20,0.804,37,0.73,27,4,200,98.7,31.0,9,19,78,,7.6,6,0.457,21,0.524,11,59.4,38,0.613,26.1,22,25,0.36,9,0.556,5,"University Arena, Kalamazoo, Michigan",CLEVELAND-STATE,Cleveland State,78.6,Home,WESTERN-MICHIGAN,Western Michigan,Cleveland State,horizon
2017-12-10-14-cleveland-state,52.6,10,0.0,0,115.6,66.7,26,0.418,55,0.345,19,0.236,13,0.769,10,0,200,72.7,36.4,12,14,56,,5.2,4,0.491,27,0.296,8,52.8,38,0.458,32.3,29,28,0.393,11,0.0,0,"December 10, 2017",51.5,17,21.4,6,72.7,63.6,21,0.58,69,0.478,33,0.203,14,0.643,9,6,200,115.6,33.3,13,15,89,,24.7,19,0.565,39,0.359,14,47.2,34,0.588,14.7,13,30,0.633,19,0.333,3,"Wolstein Center, Cleveland, Ohio","Notre Dame (CA)
			","Notre Dame (CA)
			",76.9,Home,CLEVELAND-STATE,Cleveland State,Cleveland State,horizon
2017-12-19-19-niagara,59.4,19,6.1,2,105.3,63.9,23,0.539,64,0.5,32,0.188,12,0.667,8,7,200,102.7,21.2,7,19,77,,9.3,7,0.359,23,0.217,5,43.5,30,0.552,14.8,12,41,0.659,27,0.3,3,"December 19, 2017",40.0,10,12.2,5,102.7,78.8,26,0.484,61,0.41,25,0.41,25,0.8,20,6,200,105.3,36.1,13,13,79,,9.3,7,0.459,28,0.321,9,56.5,39,0.542,17.2,15,33,0.485,16,0.5,6,"Gallagher Center, Niagara University, New York",CLEVELAND-STATE,Cleveland State,74.8,Home,NIAGARA,Niagara,Cleveland State,horizon
