,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-connecticut,55.0,11,4.9,2,104.5,68.6,24,0.462,52,0.385,20,0.288,15,0.667,10,1,200,86.6,17.6,6,16,58,,6.0,4,0.558,29,0.276,8,43.5,30,0.49,18.2,13,23,0.522,12,0.0,0,"November 10, 2017",52.2,12,21.7,5,86.6,82.4,28,0.426,61,0.377,23,0.311,19,0.947,18,0,200,104.5,31.4,11,16,70,,7.5,5,0.328,20,0.3,6,56.5,39,0.5,11.5,9,41,0.415,17,1.0,1,"Harry A. Gampel Pavilion, Storrs, Connecticut",COLGATE,Colgate,67.1,Home,CONNECTICUT,UConn,Connecticut,aac
2017-11-14-19-connecticut,56.5,13,0.0,0,97.3,76.0,19,0.491,58,0.397,23,0.207,12,0.583,7,2,200,86.5,18.8,6,17,64,,9.5,7,0.517,30,0.367,11,43.9,25,0.502,22.1,18,28,0.429,12,0.0,0,"November 14, 2017",36.0,9,10.7,3,86.5,81.3,26,0.561,49,0.51,25,0.469,23,0.739,17,0,200,97.3,24.0,6,17,72,,13.5,10,0.327,16,0.313,5,56.1,32,0.601,23.3,18,33,0.606,20,1.0,2,"XL Center, Hartford, Connecticut",STONY-BROOK,Stony Brook,73.8,Home,CONNECTICUT,UConn,Connecticut,aac
2017-11-19-18-connecticut,60.9,14,8.1,3,113.3,67.6,23,0.459,61,0.377,23,0.344,21,0.476,10,3,200,88.0,17.9,7,18,66,,6.7,5,0.443,27,0.37,10,41.1,30,0.465,11.4,9,34,0.382,13,0.0,0,"November 19, 2017",41.9,13,17.6,6,88.0,82.1,32,0.537,67,0.463,31,0.299,20,0.65,13,0,200,113.3,32.4,11,19,85,,6.7,5,0.448,30,0.333,10,58.9,43,0.556,12.7,11,37,0.568,21,1.0,3,"XL Center, Hartford, Connecticut",BOSTON-UNIVERSITY,Boston University,74.7,Home,CONNECTICUT,UConn,Connecticut,aac
2017-11-23-21-oregon,18.2,4,6.1,2,85.1,71.1,27,0.405,58,0.379,22,0.586,34,0.706,24,0,200,95.9,28.6,10,23,71,,13.5,10,0.293,17,0.176,3,50.7,37,0.479,12.1,10,41,0.463,19,1.0,4,"November 23, 2017",36.8,7,7.3,3,95.9,71.4,25,0.377,57,0.333,19,0.404,23,0.87,20,1,200,85.1,28.9,11,30,63,,5.4,4,0.421,24,0.208,5,49.3,36,0.464,20.2,17,33,0.424,14,0.8,4,"Moda Center, Portland, Oregon",OREGON,Oregon,74.0,Away,CONNECTICUT,UConn,Connecticut,aac
2017-11-25-00-michigan-state,30.0,6,10.4,5,113.2,65.6,21,0.412,57,0.351,20,0.193,11,0.909,10,1,200,83.8,20.6,7,14,57,,5.9,4,0.386,22,0.318,7,42.4,28,0.458,17.4,13,35,0.371,13,0.8,4,"November 25, 2017",37.5,12,11.4,4,83.8,79.4,27,0.545,66,0.485,32,0.152,10,0.5,5,1,200,113.2,34.4,11,16,77,4,4.4,3,0.273,18,0.444,8,57.6,38,0.544,10.2,8,48,0.5,24,0.8,4,"Memorial Coliseum, Portland, Oregon",CONNECTICUT,UConn,68.0,Home,MICHIGAN-STATE,Michigan State,Connecticut,aac
2017-11-26-15-connecticut,48.5,16,2.9,1,85.9,83.8,31,0.7,55,0.6,33,0.6,33,0.758,25,1,200,130.8,31.8,7,17,102,,6.4,5,0.345,19,0.579,11,64.4,38,0.722,15.8,13,36,0.611,22,0.833,5,"November 26, 2017",39.1,9,2.8,1,130.8,68.2,15,0.434,61,0.377,23,0.361,22,0.636,14,2,200,85.9,16.2,6,26,67,,10.3,8,0.426,26,0.269,7,35.6,21,0.469,16.5,14,35,0.457,16,0.667,4,"Moda Center, Portland, Oregon",CONNECTICUT,UConn,78.1,Away,ARKANSAS,Arkansas,Connecticut,aac
2017-11-29-19-connecticut,51.9,14,8.1,3,100.0,71.4,30,0.464,69,0.391,27,0.203,14,0.643,9,5,225,94.8,25.6,10,18,73,,5.2,4,0.42,29,0.345,10,49.4,40,0.482,15.7,14,40,0.425,17,0.167,1,"November 29, 2017",48.1,13,15.0,6,94.8,74.4,29,0.485,66,0.409,27,0.258,17,0.765,13,2,225,100.0,28.6,12,18,77,,5.2,4,0.439,29,0.345,10,50.6,41,0.52,15.0,13,37,0.459,17,0.714,5,"Harry A. Gampel Pavilion, Storrs, Connecticut",COLUMBIA,Columbia,68.8,Home,CONNECTICUT,UConn,Connecticut,aac
2017-12-02-16-connecticut,44.8,13,4.4,2,106.3,74.3,26,0.589,56,0.518,29,0.464,26,0.577,15,5,225,102.5,19.4,6,26,81,,3.8,3,0.357,20,0.4,8,48.5,32,0.593,18.2,15,36,0.583,21,0.375,3,"December 2, 2017",35.7,10,8.3,3,102.5,80.6,25,0.477,66,0.424,28,0.424,28,0.75,21,2,225,106.3,25.7,9,25,84,,11.4,9,0.318,21,0.333,7,51.5,34,0.53,11.3,10,45,0.467,21,0.75,6,"XL Center, Hartford, Connecticut",MONMOUTH,Monmouth,70.1,Home,CONNECTICUT,UConn,Connecticut,aac
2017-12-05-21-connecticut,40.9,9,14.3,4,91.3,78.6,22,0.471,51,0.431,22,0.647,33,0.727,24,1,200,104.3,44.4,12,20,72,,15.9,11,0.314,16,0.25,4,61.8,34,0.54,18.6,15,35,0.514,18,0.875,7,"December 5, 2017",55.0,11,8.6,3,104.3,55.6,15,0.5,47,0.426,20,0.489,23,0.696,16,3,200,91.3,21.4,6,21,63,,10.1,7,0.404,19,0.368,7,38.2,21,0.544,22.9,17,28,0.464,13,0.667,6,"Madison Square Garden (IV), New York, New York",CONNECTICUT,UConn,69.3,Away,SYRACUSE,Syracuse,Connecticut,aac
2017-12-09-14-connecticut,83.3,15,7.3,3,105.9,50.0,20,0.479,48,0.375,18,0.375,18,0.722,13,10,200,86.8,12.5,4,23,59,,10.3,7,0.542,26,0.385,10,33.3,24,0.522,20.0,14,22,0.364,8,0.0,0,"December 9, 2017",56.5,13,9.1,2,86.8,87.5,28,0.427,62,0.371,23,0.403,25,0.76,19,3,200,105.9,50.0,20,15,72,,5.9,4,0.339,21,0.333,7,66.7,48,0.487,17.0,15,41,0.39,16,0.7,7,"Harry A. Gampel Pavilion, Storrs, Connecticut",COPPIN-STATE,Coppin State,67.7,Home,CONNECTICUT,UConn,Connecticut,aac
