,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-syracuse,76.9,10,1.9,1,110.0,55.3,21,0.288,52,0.25,13,0.5,26,0.577,15,1,200,64.3,23.1,9,15,45,,1.4,1,0.519,27,0.148,4,39.0,30,0.35,19.1,15,25,0.36,9,0.0,0,"November 10, 2017",48.3,14,24.0,6,64.3,76.9,30,0.457,70,0.414,29,0.257,18,0.722,13,0,200,110.0,44.7,17,22,77,,17.1,12,0.243,17,0.353,6,61.0,47,0.49,9.3,8,53,0.434,23,1.0,1,"Carrier Dome, Syracuse, New York",CORNELL,Cornell,70.0,Home,SYRACUSE,Syracuse,Cornell,ivy
2017-11-13-19-cornell,44.1,15,11.8,4,130.6,73.1,19,0.586,64,0.531,34,0.313,20,0.45,9,1,200,116.7,16.7,6,25,84,,1.4,1,0.313,20,0.35,7,40.3,25,0.571,8.8,7,44,0.614,27,0.5,1,"November 13, 2017",70.4,19,6.8,3,116.7,83.3,30,0.582,55,0.491,27,0.618,34,0.882,30,1,200,130.6,26.9,7,17,94,,4.2,3,0.382,21,0.476,10,59.7,37,0.661,7.9,6,34,0.5,17,0.5,1,"Newman Arena, Ithaca, New York",BINGHAMTON,Binghamton,72.3,Home,CORNELL,Cornell,Cornell,ivy
2017-11-16-19-colgate,56.5,13,5.4,2,93.5,78.0,32,0.398,64,0.359,23,0.188,12,0.833,10,2,200,79.2,21.6,8,20,61,,7.8,6,0.422,27,0.185,5,51.3,40,0.438,18.8,16,37,0.486,18,0.333,1,"November 16, 2017",37.5,9,8.1,3,79.2,78.4,29,0.476,62,0.387,24,0.355,22,0.591,13,1,200,93.5,22.0,9,16,72,,9.1,7,0.403,25,0.44,11,48.7,38,0.497,15.4,13,37,0.351,13,0.5,1,"Cotterell Court, Hamilton, New York",CORNELL,Cornell,77.1,Home,COLGATE,Colgate,Cornell,ivy
2017-11-19-13-massachusetts-lowell,58.6,17,9.6,5,127.3,61.3,19,0.644,52,0.558,29,0.462,24,0.458,11,3,200,101.3,33.3,9,16,78,,5.2,4,0.365,19,0.474,9,48.3,28,0.615,25.1,21,33,0.606,20,0.25,1,"November 19, 2017",45.9,17,0.0,0,101.3,66.7,18,0.576,72,0.514,37,0.236,17,0.882,15,1,200,127.3,38.7,12,18,98,,14.3,11,0.278,20,0.45,9,51.7,30,0.612,12.2,11,52,0.538,28,0.75,3,"Tsongas Center, Lowell, Massachusetts",CORNELL,Cornell,77.2,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,Cornell,ivy
2017-11-24-16-cornell,42.9,12,3.4,1,123.1,78.3,18,0.532,63,0.444,28,0.175,11,0.909,10,2,200,118.5,35.3,12,12,77,,6.2,4,0.492,31,0.355,11,52.6,30,0.564,11.7,9,32,0.531,17,0.6,3,"November 24, 2017",50.0,16,9.4,3,118.5,64.7,22,0.667,57,0.561,32,0.105,6,0.667,4,3,200,123.1,21.7,5,15,80,,7.7,5,0.491,28,0.429,12,47.4,27,0.668,14.4,10,29,0.69,20,0.4,2,"Newman Arena, Ithaca, New York",TOLEDO,Toledo,65.0,Home,CORNELL,Cornell,Cornell,ivy
2017-11-27-19-duquesne,64.5,20,16.2,6,102.9,69.2,27,0.618,55,0.564,31,0.273,15,0.667,10,3,200,113.0,18.5,5,18,78,,2.9,2,0.382,21,0.286,6,48.5,32,0.628,16.3,12,34,0.735,25,0.5,3,"November 27, 2017",45.5,10,5.9,2,113.0,81.5,22,0.421,63,0.349,22,0.381,24,0.75,18,2,200,102.9,30.8,12,18,71,,8.7,6,0.413,26,0.346,9,51.5,34,0.477,8.7,7,37,0.351,13,0.5,2,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",DUQUESNE,Duquesne,69.3,Away,CORNELL,Cornell,Cornell,ivy
2017-12-02-16-northeastern,69.6,16,6.7,2,113.5,87.0,20,0.51,52,0.442,23,0.288,15,0.867,13,4,200,89.2,23.1,6,13,66,,6.8,5,0.423,22,0.318,7,53.1,26,0.558,27.3,22,30,0.533,16,0.429,3,"December 2, 2017",51.6,16,3.3,1,89.2,76.9,20,0.673,55,0.564,31,0.236,13,0.769,10,4,200,113.5,13.0,3,15,84,,21.6,16,0.455,25,0.48,12,46.9,23,0.687,19.8,15,30,0.633,19,0.5,4,"Matthews Arena, Boston, Massachusetts",CORNELL,Cornell,74.2,Home,NORTHEASTERN,Northeastern,Cornell,ivy
2017-12-16-14-longwood,60.0,15,12.5,5,93.9,67.4,31,0.444,63,0.397,25,0.238,15,0.867,13,4,200,104.5,22.2,8,12,69,,9.1,6,0.381,24,0.25,6,47.6,39,0.492,6.7,5,39,0.487,19,0.5,4,"December 16, 2017",37.5,9,15.4,6,104.5,77.8,28,0.419,68,0.353,24,0.147,10,0.5,5,8,200,93.9,32.6,15,17,62,,4.5,3,0.412,28,0.321,9,52.4,43,0.426,10.0,8,40,0.375,15,0.273,3,"Willett Hall, Farmville, Virginia",LONGWOOD,Longwood,66.4,Away,CORNELL,Cornell,Cornell,ivy
2017-12-20-19-cornell,50.0,13,12.5,5,112.7,79.4,27,0.517,60,0.433,26,0.217,13,0.692,9,9,200,100.0,25.0,9,16,71,,1.4,1,0.45,27,0.37,10,51.4,36,0.536,16.5,13,33,0.485,16,0.182,2,"December 20, 2017",60.0,18,9.1,3,100.0,75.0,27,0.548,62,0.484,30,0.274,17,0.706,12,4,200,112.7,20.6,7,17,80,,8.5,6,0.355,22,0.364,8,48.6,34,0.571,10.3,8,40,0.55,22,0.556,5,"Newman Arena, Ithaca, New York",LAFAYETTE,Lafayette,70.6,Home,CORNELL,Cornell,Cornell,ivy
2017-12-23-13-cornell,38.2,13,14.3,6,103.6,70.7,29,0.5,76,0.447,34,0.237,18,0.722,13,6,200,107.2,27.9,12,20,89,,9.6,8,0.263,20,0.4,8,48.8,41,0.526,10.6,10,56,0.464,26,0.538,7,"December 23, 2017",58.1,18,10.7,6,107.2,72.1,31,0.493,71,0.437,31,0.352,25,0.64,16,5,200,103.6,29.3,12,19,86,,2.4,2,0.408,29,0.276,8,51.2,43,0.519,13.7,13,42,0.548,23,0.5,5,"Newman Arena, Ithaca, New York",CORNELL,Cornell,83.2,Away,NIAGARA,Niagara,Cornell,ivy
