,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-18-mississippi-state,32.0,8,2.3,1,117.1,70.3,26,0.425,67,0.373,25,0.328,22,0.5,11,1,200,82.9,28.3,13,26,68,,7.3,6,0.388,26,0.269,7,47.0,39,0.439,16.4,15,41,0.439,18,0.0,0,"November 10, 2017",51.6,16,9.8,4,82.9,71.7,33,0.539,64,0.484,31,0.547,35,0.771,27,0,200,117.1,29.7,11,19,96,,8.5,7,0.313,20,0.35,7,53.0,44,0.595,15.0,14,44,0.545,24,1.0,1,"Humphrey Coliseum, Starkville, Mississippi",ALABAMA-STATE,Alabama State,81.5,Home,MISSISSIPPI-STATE,Mississippi State,Alabama State,swac
2017-11-12-16-iowa,41.7,10,15.4,6,129.6,52.3,23,0.406,64,0.375,24,0.172,11,0.545,6,2,200,81.7,31.8,14,22,58,,7.0,5,0.219,14,0.286,4,42.0,37,0.419,18.9,16,50,0.4,20,0.0,0,"November 12, 2017",78.1,25,12.0,6,81.7,68.2,30,0.551,68,0.471,32,0.485,33,0.515,17,0,200,129.6,47.7,21,14,92,,12.7,9,0.426,29,0.379,11,58.0,51,0.55,9.8,9,39,0.538,21,1.0,2,"Carver-Hawkeye Arena, Iowa City, Iowa",ALABAMA-STATE,Alabama State,71.5,Home,IOWA,Iowa,Alabama State,swac
2017-11-14-20-south-dakota-state,47.6,10,11.1,3,132.4,72.0,18,0.442,60,0.35,21,0.233,14,0.714,10,3,200,88.7,15.0,6,19,63,,11.3,8,0.417,25,0.44,11,36.9,24,0.473,12.0,9,35,0.286,10,0.0,0,"November 14, 2017",76.7,23,2.9,1,88.7,85.0,34,0.688,56,0.536,30,0.357,20,0.85,17,0,200,132.4,28.0,7,16,94,,5.6,4,0.518,29,0.586,17,63.1,41,0.718,16.7,13,27,0.481,13,1.0,3,"Frost Arena, Brookings, South Dakota",ALABAMA-STATE,Alabama State,70.6,Home,SOUTH-DAKOTA-STATE,South Dakota State,Alabama State,swac
2017-11-17-23-oregon,50.0,10,7.5,3,144.3,56.0,14,0.405,58,0.345,20,0.224,13,0.692,9,4,200,70.9,8.3,3,20,56,,6.3,5,0.328,19,0.368,7,27.9,17,0.436,21.1,17,39,0.333,13,0.0,0,"November 17, 2017",72.5,29,15.4,6,70.9,91.7,33,0.742,64,0.625,40,0.391,25,0.76,19,0,200,144.3,44.0,11,21,114,,15.2,12,0.375,24,0.625,15,72.1,44,0.751,16.7,15,40,0.625,25,1.0,3,"Matthew Knight Arena, Eugene, Oregon",ALABAMA-STATE,Alabama State,79.0,Home,OREGON,Oregon,Alabama State,swac
2017-11-20-19-chattanooga,20.0,3,4.8,1,106.3,77.8,14,0.378,45,0.333,15,0.467,21,0.762,16,5,200,79.4,17.9,5,22,50,,15.9,10,0.267,12,0.333,4,41.3,19,0.455,20.5,14,33,0.333,11,0.0,0,"November 20, 2017",52.4,11,6.1,2,79.4,82.1,23,0.65,40,0.525,21,0.5,20,0.75,15,2,200,106.3,22.2,4,18,67,,4.8,3,0.475,19,0.526,10,58.7,27,0.677,25.8,17,21,0.524,11,0.5,2,"The McKenzie Arena, Chattanooga, Tennessee",ALABAMA-STATE,Alabama State,63.2,Home,CHATTANOOGA,Chattanooga,Alabama State,swac
2017-11-21-17-alabama-state,54.8,17,5.1,2,110.2,63.2,24,0.527,73,0.425,31,0.466,34,0.706,24,4,200,114.8,33.3,14,17,101,,15.9,14,0.493,36,0.417,15,47.5,38,0.566,15.4,16,37,0.432,16,0.333,2,"November 21, 2017",57.1,20,10.8,4,114.8,66.7,28,0.59,72,0.486,35,0.25,18,0.667,12,6,200,110.2,36.8,14,24,97,,3.4,3,0.458,33,0.455,15,52.5,42,0.602,19.2,19,39,0.513,20,0.0,0,"The McKenzie Arena, Chattanooga, Tennessee",ALABAMA-STATE,Alabama State,88.4,Away,SAVANNAH-STATE,Savannah State,Alabama State,swac
2017-11-27-19-cincinnati,36.4,8,8.1,3,127.7,61.8,21,0.43,57,0.386,22,0.035,2,1.0,2,7,200,78.5,37.5,12,20,51,,1.5,1,0.211,12,0.417,5,50.0,33,0.44,24.7,19,45,0.378,17,0.0,0,"November 27, 2017",65.5,19,20.0,9,78.5,62.5,20,0.542,59,0.492,29,0.441,26,0.731,19,0,200,127.7,38.2,13,11,83,11,10.8,7,0.373,22,0.273,6,50.0,33,0.582,9.0,7,37,0.622,23,1.0,7,"Bank of Kentucky Center, Highland Heights, Kentucky",ALABAMA-STATE,Alabama State,65.2,Home,CINCINNATI,Cincinnati,Alabama State,swac
2017-11-30-20-jacksonville-state,36.4,8,7.7,3,106.9,60.7,17,0.395,62,0.355,22,0.355,22,0.909,20,8,200,95.8,31.4,11,17,69,,13.9,10,0.274,17,0.294,5,44.4,28,0.476,14.3,12,45,0.378,17,0.0,0,"November 30, 2017",53.3,16,24.4,11,95.8,68.6,24,0.571,56,0.536,30,0.339,19,0.684,13,2,200,106.9,39.3,11,18,77,,9.7,7,0.304,17,0.235,4,55.6,35,0.592,19.9,16,39,0.667,26,0.714,5,"Pete Mathews Coliseum, Jacksonville, Alabama",ALABAMA-STATE,Alabama State,71.7,Home,JACKSONVILLE-STATE,Jacksonville State,Alabama State,swac
2017-12-12-20-alabama-state,35.7,5,7.7,2,67.2,74.3,26,0.434,38,0.368,14,1.026,39,0.795,31,3,200,95.5,12.0,3,23,64,,17.9,12,0.5,19,0.263,5,48.3,29,0.566,19.1,13,19,0.474,9,0.625,5,"December 12, 2017",80.0,8,15.8,3,95.5,88.0,22,0.287,47,0.213,10,0.574,27,0.667,18,9,200,67.2,25.7,9,26,45,,6.0,4,0.447,21,0.333,7,51.7,31,0.376,21.4,16,26,0.115,3,0.0,0,"Dunn-Oliver Acadome, Montgomery, Alabama",ALABAMA-STATE,Alabama State,66.7,Away,TENNESSEE-STATE,Tennessee State,Alabama State,swac
2017-12-16-14-alabama-state,45.2,14,8.1,3,103.9,81.3,26,0.581,62,0.5,31,0.452,28,0.571,16,4,200,114.3,38.7,12,24,88,,13.0,10,0.371,23,0.435,10,60.3,38,0.584,15.9,14,39,0.538,21,0.6,6,"December 16, 2017",44.8,13,12.8,5,114.3,61.3,19,0.558,60,0.483,29,0.383,23,0.565,13,10,200,103.9,18.8,6,21,80,,7.8,6,0.383,23,0.391,9,39.7,25,0.564,14.6,12,37,0.541,20,0.0,0,"Dunn-Oliver Acadome, Montgomery, Alabama",ALABAMA-STATE,Alabama State,77.1,Away,WINTHROP,Winthrop,Alabama State,swac
