,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-davidson,44.0,11,5.9,1,152.8,73.5,25,0.452,62,0.403,25,0.161,10,0.6,6,1,200,86.1,18.9,7,17,62,,1.4,1,0.387,24,0.25,6,45.1,32,0.464,17.4,14,38,0.5,19,0.0,0,"November 10, 2017",82.9,29,2.6,1,86.1,81.1,30,0.686,70,0.5,35,0.243,17,0.824,14,0,200,152.8,26.5,9,12,110,,8.3,6,0.757,53,0.491,26,54.9,39,0.704,1.3,1,17,0.529,9,1.0,1,"Belk Arena, Davidson, North Carolina",CHARLESTON-SOUTHERN,Charleston Southern,71.9,Home,DAVIDSON,Davidson,Davidson,atlantic-10
2017-11-14-19-davidson,51.7,15,2.8,1,144.0,73.3,22,0.549,61,0.475,29,0.393,24,0.583,14,1,200,108.0,32.4,12,18,81,,1.3,1,0.295,18,0.5,9,50.7,34,0.559,14.4,12,43,0.465,20,0.5,1,"November 14, 2017",59.0,23,0.0,0,108.0,67.6,25,0.659,69,0.565,39,0.319,22,0.773,17,0,200,144.0,26.7,8,22,108,,5.3,4,0.478,33,0.394,13,49.3,33,0.68,7.1,6,36,0.722,26,1.0,2,"Belk Arena, Davidson, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,74.9,Home,DAVIDSON,Davidson,Davidson,atlantic-10
2017-11-21-22-nevada,78.3,18,0.0,0,114.1,91.7,22,0.527,56,0.411,23,0.196,11,0.818,9,1,200,95.8,16.1,5,16,68,,7.0,5,0.643,36,0.361,13,49.1,27,0.555,19.8,15,20,0.5,10,0.667,2,"November 21, 2017",66.7,20,20.0,4,95.8,83.9,26,0.639,54,0.556,30,0.315,17,0.706,12,0,200,114.1,8.3,2,15,81,,15.5,11,0.37,20,0.45,9,50.9,28,0.652,14.0,10,34,0.618,21,1.0,5,"Lawlor Events Center, Reno, Nevada",DAVIDSON,Davidson,70.7,Home,NEVADA,Nevada,Davidson,atlantic-10
2017-11-25-19-appalachian-state,65.4,17,5.6,2,111.4,85.7,24,0.469,65,0.4,26,0.062,4,0.25,1,2,200,88.6,18.4,7,21,62,,2.9,2,0.508,33,0.273,9,47.0,31,0.463,14.1,11,32,0.531,17,0.5,2,"November 25, 2017",40.7,11,12.5,4,88.6,81.6,31,0.555,55,0.491,27,0.509,28,0.607,17,3,200,111.4,14.3,4,10,78,,7.1,5,0.345,19,0.368,7,53.0,35,0.571,6.9,5,36,0.556,20,0.571,4,"Holmes Convocation Center, Boone, North Carolina",DAVIDSON,Davidson,70.1,Home,APPALACHIAN-STATE,Appalachian State,Davidson,atlantic-10
2017-11-28-19-charlotte,66.7,22,5.9,2,94.6,76.5,26,0.578,64,0.516,33,0.281,18,0.611,11,2,200,114.9,26.7,8,20,85,,8.1,6,0.453,29,0.276,8,53.1,34,0.586,13.3,11,35,0.714,25,0.6,3,"November 28, 2017",52.2,12,11.4,4,114.9,73.3,22,0.51,52,0.442,23,0.5,26,0.654,17,3,200,94.6,23.5,8,20,70,,6.8,5,0.346,18,0.389,7,46.9,30,0.544,20.1,16,34,0.471,16,0.5,3,"Dale F. Halton Arena, Charlotte, North Carolina",CHARLOTTE,Charlotte,74.0,Away,DAVIDSON,Davidson,Davidson,atlantic-10
2017-12-01-20-davidson,43.8,14,6.5,2,100.0,89.5,34,0.507,68,0.471,32,0.338,23,0.696,16,1,200,113.3,36.7,11,14,85,13,2.7,2,0.294,20,0.25,5,66.2,45,0.538,12.3,11,48,0.563,27,0.875,7,"December 1, 2017",73.1,19,8.3,4,113.3,63.3,19,0.516,64,0.406,26,0.156,10,0.9,9,3,200,100.0,10.5,4,21,75,,9.3,7,0.516,33,0.424,14,33.8,23,0.545,9.3,7,31,0.387,12,0.5,3,"Spectrum Center, Charlotte, North Carolina",DAVIDSON,Davidson,75.3,Away,NORTH-CAROLINA,UNC,Davidson,atlantic-10
2017-12-05-19-davidson,57.9,11,9.1,3,108.8,72.7,24,0.45,50,0.38,19,0.16,8,0.75,6,5,200,75.0,10.7,3,19,51,,10.3,7,0.4,20,0.35,7,44.3,27,0.474,23.0,16,30,0.4,12,0.375,3,"December 5, 2017",70.8,17,3.3,1,75.0,89.3,25,0.483,59,0.407,24,0.356,21,0.81,17,3,200,108.8,27.3,9,9,74,,11.8,8,0.441,26,0.346,9,55.7,34,0.536,11.7,9,33,0.455,15,0.571,4,"Belk Arena, Davidson, North Carolina",VIRGINIA-MILITARY-INSTITUTE,VMI,67.9,Home,DAVIDSON,Davidson,Davidson,atlantic-10
2017-12-16-14-virginia,58.3,14,13.5,5,125.0,76.9,20,0.56,50,0.48,24,0.14,7,0.571,4,4,200,93.8,14.3,4,18,60,,4.7,3,0.52,26,0.308,8,44.4,24,0.563,19.7,13,24,0.667,16,0.5,4,"December 16, 2017",50.0,14,4.2,1,93.8,85.7,24,0.589,56,0.5,28,0.339,19,0.737,14,1,200,125.0,23.1,6,14,80,16,10.9,7,0.339,19,0.526,10,55.6,30,0.615,8.5,6,37,0.486,18,0.9,9,"John Paul Jones Arena, Charlottesville, Virginia",DAVIDSON,Davidson,63.7,Home,VIRGINIA,Virginia,Davidson,atlantic-10
2017-12-22-23-new-mexico-state,58.3,14,8.9,4,103.0,63.2,24,0.539,51,0.471,24,0.294,15,0.867,13,5,200,101.5,16.7,4,13,68,,3.0,2,0.412,21,0.333,7,45.2,28,0.585,18.4,13,30,0.567,17,0.444,4,"December 22, 2017",41.4,12,6.7,2,101.5,83.3,20,0.478,68,0.426,29,0.088,6,0.667,4,2,200,103.0,36.8,14,14,69,,13.4,9,0.338,23,0.304,7,54.8,34,0.487,13.5,11,45,0.489,22,0.833,10,"Stan Sheriff Center, Honolulu, Hawaii",DAVIDSON,Davidson,67.5,Home,NEW-MEXICO-STATE,New Mexico State,Davidson,atlantic-10
2017-12-24-00-hawaii,58.3,14,3.0,1,109.7,63.3,19,0.452,63,0.381,24,0.317,20,0.7,14,6,200,98.6,28.6,10,23,71,,6.9,5,0.429,27,0.333,9,44.6,29,0.49,14.3,12,36,0.417,15,0.4,4,"December 24, 2017",59.3,16,11.1,4,98.6,71.4,25,0.526,58,0.466,27,0.431,25,0.72,18,3,200,109.7,36.7,11,21,79,,6.9,5,0.431,25,0.28,7,55.4,36,0.565,13.8,11,33,0.606,20,0.727,8,"Stan Sheriff Center, Honolulu, Hawaii",DAVIDSON,Davidson,72.2,Home,HAWAII,Hawaii,Davidson,atlantic-10
