,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-dayton,48.4,15,7.1,3,104.0,80.0,28,0.53,67,0.463,31,0.119,8,0.75,6,1,200,102.7,17.1,6,19,77,,5.3,4,0.403,27,0.333,9,48.6,34,0.544,14.5,12,40,0.55,22,0.0,0,"November 10, 2017",50.0,14,5.0,2,102.7,82.9,29,0.517,58,0.483,28,0.397,23,0.783,18,0,200,104.0,20.0,7,15,78,,6.7,5,0.276,16,0.25,4,51.4,36,0.566,13.9,11,42,0.571,24,1.0,1,"University of Dayton Arena, Dayton, Ohio",BALL-STATE,Ball State,74.9,Home,DAYTON,Dayton,Dayton,atlantic-10
2017-11-16-19-hofstra,55.6,15,16.2,6,102.9,75.7,28,0.492,61,0.443,27,0.23,14,0.643,9,1,200,98.6,22.6,7,20,69,,5.7,4,0.361,22,0.273,6,51.5,35,0.51,10.6,8,39,0.538,21,0.5,1,"November 16, 2017",40.9,9,5.1,2,98.6,77.4,24,0.441,59,0.373,22,0.441,26,0.769,20,0,200,102.9,24.3,9,13,72,,1.4,1,0.373,22,0.364,8,48.5,33,0.505,10.2,8,37,0.378,14,1.0,3,"TD Arena, Charleston, South Carolina",DAYTON,Dayton,69.5,Home,HOFSTRA,Hofstra,Dayton,atlantic-10
2017-11-17-19-dayton,50.0,13,3.0,1,112.9,65.6,21,0.537,54,0.481,26,0.315,17,0.412,7,2,200,92.9,15.2,5,16,65,,7.1,5,0.296,16,0.375,6,40.0,26,0.524,17.5,13,38,0.526,20,0.333,1,"November 17, 2017",53.6,15,7.9,3,92.9,84.8,28,0.532,62,0.452,28,0.242,15,0.867,13,1,200,112.9,34.4,11,20,79,,8.6,6,0.468,29,0.345,10,60.0,39,0.571,14.9,12,33,0.545,18,0.667,2,"TD Arena, Charleston, South Carolina",OHIO,Ohio,70.1,Home,DAYTON,Dayton,Dayton,atlantic-10
2017-11-19-15-dayton,48.3,14,4.8,1,108.1,89.3,25,0.563,56,0.518,29,0.304,17,0.706,12,1,200,121.0,36.0,9,14,75,,9.7,6,0.286,16,0.313,5,64.2,34,0.585,7.3,5,40,0.6,24,0.8,4,"November 19, 2017",72.0,18,5.0,2,121.0,64.0,16,0.574,54,0.463,25,0.13,7,0.714,5,2,200,108.1,10.7,3,14,67,,6.5,4,0.611,33,0.364,12,35.8,19,0.584,13.6,9,21,0.619,13,0.5,2,"TD Arena, Charleston, South Carolina",DAYTON,Dayton,61.7,Away,OLD-DOMINION,Old Dominion,Dayton,atlantic-10
2017-11-25-19-dayton,72.7,16,3.2,1,112.3,64.3,18,0.5,50,0.44,22,0.36,18,0.556,10,1,200,92.3,10.3,3,17,60,,7.7,5,0.4,20,0.3,6,36.8,21,0.512,14.7,10,30,0.533,16,0.667,2,"November 25, 2017",77.8,21,6.7,2,92.3,89.7,26,0.606,52,0.519,27,0.327,17,0.588,10,2,200,112.3,35.7,10,17,73,,7.7,5,0.404,21,0.429,9,63.2,36,0.608,19.1,14,31,0.581,18,0.6,3,"University of Dayton Arena, Dayton, Ohio",AKRON,Akron,64.8,Home,DAYTON,Dayton,Dayton,atlantic-10
2017-11-29-19-dayton,54.5,12,18.5,5,87.0,75.8,25,0.474,57,0.386,22,0.421,24,0.792,19,1,200,105.8,37.1,13,22,73,,8.7,6,0.439,25,0.4,10,55.9,38,0.534,14.0,11,32,0.375,12,0.833,5,"November 29, 2017",58.8,10,6.3,2,105.8,62.9,22,0.426,47,0.362,17,0.574,27,0.741,20,3,200,87.0,24.2,8,23,60,,7.2,5,0.426,20,0.3,6,44.1,30,0.501,24.4,19,27,0.407,11,0.5,3,"University of Dayton Arena, Dayton, Ohio",DAYTON,Dayton,68.6,Away,AUBURN,Auburn,Dayton,atlantic-10
2017-12-03-20-mississippi-state,38.1,8,9.1,2,83.6,80.0,20,0.543,46,0.457,21,0.348,16,0.563,9,4,200,80.8,21.4,6,13,59,,19.2,14,0.543,25,0.32,8,49.1,26,0.55,32.9,26,21,0.619,13,0.429,3,"December 3, 2017",50.0,12,23.8,5,80.8,78.6,22,0.57,50,0.48,24,0.14,7,0.571,4,0,200,83.6,20.0,5,18,61,,17.8,13,0.56,28,0.321,9,50.9,27,0.572,31.1,24,22,0.682,15,1.0,7,"Humphrey Coliseum, Starkville, Mississippi",DAYTON,Dayton,73.0,Home,MISSISSIPPI-STATE,Mississippi State,Dayton,atlantic-10
2017-12-06-19-dayton,72.7,16,3.2,1,111.3,81.0,17,0.519,52,0.423,22,0.346,18,0.667,12,3,200,93.0,23.3,7,18,66,,12.7,9,0.462,24,0.417,10,47.1,24,0.545,23.1,18,28,0.429,12,0.7,7,"December 6, 2017",71.0,22,7.1,2,93.0,76.7,23,0.648,54,0.574,31,0.204,11,0.818,9,4,200,111.3,19.0,4,16,79,,7.0,5,0.426,23,0.348,8,52.9,27,0.667,20.3,15,31,0.742,23,0.5,4,"University of Dayton Arena, Dayton, Ohio",TENNESSEE-TECH,Tennessee Tech,70.9,Home,DAYTON,Dayton,Dayton,atlantic-10
2017-12-09-15-dayton,76.9,20,9.1,3,102.9,79.3,23,0.691,47,0.553,26,0.383,18,0.722,13,4,200,114.7,16.0,4,11,78,,8.8,6,0.468,22,0.591,13,50.0,27,0.702,21.5,15,25,0.52,13,0.667,8,"December 9, 2017",55.2,16,12.0,3,114.7,84.0,21,0.568,59,0.492,29,0.085,5,0.6,3,5,200,102.9,20.7,6,15,70,,5.9,4,0.441,26,0.346,9,50.0,27,0.57,18.6,14,33,0.606,20,0.444,4,"University of Dayton Arena, Dayton, Ohio",DAYTON,Dayton,68.0,Away,PENNSYLVANIA,Penn,Dayton,atlantic-10
2017-12-16-19-dayton,48.1,13,9.5,2,115.8,65.6,21,0.56,58,0.466,27,0.466,27,0.667,18,4,225,109.2,20.0,7,27,83,,9.2,7,0.379,22,0.5,11,41.8,28,0.586,15.7,13,36,0.444,16,0.636,7,"December 16, 2017",57.7,15,5.6,2,109.2,80.0,28,0.585,53,0.491,26,0.717,38,0.684,26,5,225,115.8,34.4,11,18,88,,6.6,5,0.604,32,0.313,10,58.2,39,0.619,18.7,16,21,0.762,16,0.5,5,"University of Dayton Arena, Dayton, Ohio",GEORGIA-STATE,Georgia State,67.9,Home,DAYTON,Dayton,Dayton,atlantic-10
