,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-11-16-depaul,40.0,10,7.0,3,89.2,75.6,31,0.585,53,0.472,25,0.302,16,0.625,10,0,200,110.8,22.2,6,15,72,14,1.5,1,0.509,27,0.444,12,54.4,37,0.594,11.8,8,26,0.5,13,1.0,1,"November 11, 2017",40.9,9,7.7,2,110.8,77.8,21,0.377,65,0.338,22,0.246,16,0.563,9,1,200,89.2,24.4,10,12,58,,6.2,4,0.338,22,0.227,5,45.6,31,0.399,5.3,4,43,0.395,17,0.0,0,"Wintrust Arena, Chicago, Illinois",DEPAUL,DePaul,64.6,Away,NOTRE-DAME,Notre Dame,DePaul,big-east
2017-11-13-20-depaul,53.3,8,9.6,5,109.5,57.1,20,0.354,48,0.313,15,0.729,35,0.657,23,1,200,77.0,23.1,9,21,57,,6.8,5,0.354,17,0.235,4,39.2,29,0.441,19.1,15,31,0.355,11,0.5,1,"November 13, 2017",43.3,13,9.7,3,77.0,76.9,30,0.458,71,0.423,30,0.282,20,0.8,16,1,200,109.5,42.9,15,25,81,,9.5,7,0.268,19,0.263,5,60.8,45,0.503,12.1,11,52,0.481,25,0.5,1,"Wintrust Arena, Chicago, Illinois",DELAWARE-STATE,Delaware State,73.6,Home,DEPAUL,DePaul,DePaul,big-east
2017-11-17-20-illinois,47.8,11,8.1,3,106.5,53.8,21,0.413,63,0.365,23,0.429,27,0.778,21,2,200,94.8,42.4,14,32,73,,6.5,5,0.302,19,0.316,6,48.6,35,0.481,17.6,16,44,0.386,17,0.333,1,"November 17, 2017",56.0,14,9.1,4,94.8,57.6,19,0.458,60,0.417,25,0.6,36,0.75,27,0,200,106.5,46.2,18,27,82,,7.8,6,0.383,23,0.217,5,51.4,37,0.532,19.2,18,37,0.541,20,1.0,3,"State Farm Center, Champaign, Illinois",DEPAUL,DePaul,77.5,Home,ILLINOIS,Illinois,DePaul,big-east
2017-11-23-23-depaul,68.0,17,2.9,1,75.0,82.9,29,0.566,53,0.472,25,0.321,17,0.765,13,1,200,107.4,33.3,8,26,73,4,7.4,5,0.434,23,0.435,10,62.7,37,0.598,18.8,14,30,0.5,15,0.75,3,"November 23, 2017",53.8,7,0.0,0,107.4,66.7,16,0.294,51,0.255,13,0.529,27,0.778,21,3,200,75.0,17.1,6,18,51,,14.7,10,0.314,16,0.25,4,37.3,22,0.4,14.9,11,35,0.257,9,0.25,1,"Moda Center, Portland, Oregon",DEPAUL,DePaul,68.0,Away,MICHIGAN-STATE,Michigan State,DePaul,big-east
2017-11-24-21-depaul,60.7,17,10.6,5,98.8,76.5,26,0.573,62,0.452,28,0.339,21,0.857,18,1,225,111.3,30.0,9,22,89,,8.8,7,0.629,39,0.385,15,54.7,35,0.618,17.4,15,23,0.565,13,0.833,5,"November 24, 2017",28.6,8,4.3,1,111.3,70.0,21,0.455,66,0.424,28,0.303,20,0.95,19,4,225,98.8,23.5,8,20,79,,3.8,3,0.288,19,0.211,4,45.3,29,0.523,15.8,14,47,0.511,24,0.2,1,"Memorial Coliseum, Portland, Oregon",DEPAUL,DePaul,70.9,Away,OREGON,Oregon,DePaul,big-east
2017-11-26-19-depaul,75.0,18,6.7,3,118.8,59.4,19,0.585,53,0.453,24,0.264,14,0.5,7,4,200,100.0,21.9,7,12,69,,4.3,3,0.509,27,0.519,14,40.6,26,0.578,19.1,14,26,0.385,10,0.333,2,"November 26, 2017",68.8,22,11.5,3,100.0,78.1,25,0.543,70,0.457,32,0.129,9,0.667,6,4,200,118.8,40.6,13,15,82,,7.2,5,0.357,25,0.48,12,59.4,38,0.552,11.9,10,45,0.444,20,0.333,2,"Memorial Coliseum, Portland, Oregon",PORTLAND,Portland,69.0,Home,DEPAUL,DePaul,DePaul,big-east
2017-12-02-14-depaul,61.5,16,9.8,4,112.7,81.8,18,0.525,60,0.433,26,0.317,19,0.526,10,7,200,92.4,25.7,9,21,73,,8.9,7,0.45,27,0.407,11,47.4,27,0.529,22.6,20,33,0.455,15,0.222,2,"December 2, 2017",47.1,16,9.1,3,92.4,74.3,26,0.627,59,0.576,34,0.305,18,0.833,15,4,200,112.7,18.2,4,18,89,,10.1,8,0.305,18,0.333,6,52.6,30,0.659,18.3,15,41,0.683,28,0.429,3,"Wintrust Arena, Chicago, Illinois",YOUNGSTOWN-STATE,Youngstown State,79.3,Home,DEPAUL,DePaul,DePaul,big-east
2017-12-06-21-depaul,59.1,13,0.0,0,130.8,48.6,17,0.441,59,0.373,22,0.085,5,1.0,5,4,200,87.7,24.2,8,10,57,,6.2,4,0.39,23,0.348,8,36.8,25,0.464,16.4,12,36,0.389,14,0.556,5,"December 6, 2017",58.8,20,13.9,5,87.7,75.8,25,0.529,69,0.493,34,0.232,16,0.75,12,4,200,130.8,51.4,18,12,85,,10.8,7,0.217,15,0.333,5,63.2,43,0.555,7.3,6,54,0.537,29,0.5,4,"Wintrust Arena, Chicago, Illinois",CENTRAL-CONNECTICUT-STATE,Central Connecticut,65.0,Home,DEPAUL,DePaul,DePaul,big-east
2017-12-09-16-illinois-chicago,56.0,14,21.4,6,80.9,71.9,23,0.45,60,0.417,25,0.283,17,0.647,11,4,200,95.6,28.6,10,21,65,,13.2,9,0.333,20,0.2,4,49.3,33,0.477,12.9,10,40,0.525,21,0.556,5,"December 9, 2017",46.7,7,15.0,6,95.6,71.4,25,0.367,49,0.306,15,0.51,25,0.76,19,6,200,80.9,28.1,9,20,55,,11.8,8,0.429,21,0.286,6,50.7,34,0.452,22.1,17,28,0.321,9,0.333,3,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,68.5,Away,DEPAUL,DePaul,DePaul,big-east
2017-12-11-21-depaul,52.4,11,6.3,2,123.9,73.1,19,0.424,59,0.356,21,0.203,12,0.75,9,9,200,88.1,29.7,11,12,59,,3.0,2,0.339,20,0.4,8,47.6,30,0.456,17.9,14,39,0.333,13,0.0,0,"December 11, 2017",77.4,24,15.4,6,88.1,70.3,26,0.629,58,0.534,31,0.224,13,0.769,10,4,200,123.9,26.9,7,17,83,,6.0,4,0.448,26,0.423,11,52.4,33,0.647,13.6,10,32,0.625,20,0.6,6,"Wintrust Arena, Chicago, Illinois",ALABAMA-AM,Alabama A&M,67.4,Home,DEPAUL,DePaul,DePaul,big-east
