,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-18-virginia-tech,42.3,11,7.5,4,132.1,57.6,19,0.436,70,0.371,26,0.314,22,0.818,18,1,200,94.0,25.0,10,22,79,,11.9,10,0.414,29,0.31,9,39.7,29,0.491,14.0,13,41,0.415,17,0.0,0,"November 10, 2017",50.0,21,7.3,3,94.0,75.0,30,0.615,74,0.568,42,0.378,28,0.714,20,0,200,132.1,42.4,14,16,111,,10.7,9,0.284,21,0.333,7,60.3,44,0.636,12.2,12,53,0.66,35,1.0,1,"Cassell Coliseum, Blacksburg, Virginia",DETROIT-MERCY,Detroit,84.4,Home,VIRGINIA-TECH,Virginia Tech,Detroit Mercy,horizon
2017-11-13-19-detroit-mercy,48.4,15,13.6,6,129.6,59.5,22,0.472,72,0.431,31,0.264,19,0.737,14,0,200,101.2,32.5,13,23,82,,9.9,8,0.333,24,0.25,6,45.5,35,0.506,13.9,13,48,0.521,25,0.0,0,"November 13, 2017",52.5,21,12.5,6,101.2,67.5,27,0.613,75,0.533,40,0.267,20,0.65,13,1,200,129.6,40.5,15,20,105,,7.4,6,0.413,31,0.387,12,54.5,42,0.621,11.6,11,44,0.636,28,0.5,1,"Calihan Hall, Detroit, Michigan","Michigan-Dearborn
			","Michigan-Dearborn
			",80.8,Home,DETROIT-MERCY,Detroit,Detroit Mercy,horizon
2017-11-18-14-detroit-mercy,56.3,18,8.7,4,91.0,79.5,31,0.731,54,0.593,32,0.519,28,0.821,23,2,200,130.8,38.5,10,22,102,,5.1,4,0.426,23,0.652,15,63.1,41,0.758,23.2,20,31,0.548,17,0.5,2,"November 18, 2017",16.7,4,9.7,3,130.8,61.5,16,0.411,62,0.387,24,0.371,23,0.87,20,2,200,91.0,20.5,8,30,71,,9.0,7,0.258,16,0.188,3,36.9,24,0.487,15.3,13,46,0.457,21,0.333,1,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,77.6,Away,SEATTLE,Seattle,Detroit Mercy,horizon
2017-11-19-16-detroit-mercy,51.4,18,2.5,1,118.4,72.1,31,0.5,77,0.455,35,0.623,48,0.667,32,3,225,111.2,30.6,15,25,109,,5.1,5,0.312,24,0.292,7,50.0,46,0.546,11.7,13,53,0.528,28,0.25,1,"November 19, 2017",55.0,22,3.8,2,111.2,69.4,34,0.554,83,0.482,40,0.361,30,0.8,24,2,225,118.4,27.9,12,33,116,,6.1,6,0.518,43,0.279,12,50.0,46,0.596,11.1,12,40,0.7,28,0.5,2,"Curb Event Center, Nashville, Tennessee",HOUSTON-BAPTIST,Houston Baptist,86.7,Home,DETROIT-MERCY,Detroit,Detroit Mercy,horizon
2017-11-22-20-saint-louis,42.3,11,5.1,2,100.0,64.1,25,0.454,65,0.4,26,0.231,15,0.867,13,2,200,102.9,32.4,12,16,72,,10.0,7,0.308,20,0.35,7,48.7,37,0.499,12.3,10,45,0.422,19,0.6,3,"November 22, 2017",61.5,16,17.8,8,102.9,67.6,25,0.46,63,0.413,26,0.317,20,0.6,12,2,200,100.0,35.9,14,15,70,,4.3,3,0.381,24,0.25,6,51.3,39,0.483,14.3,12,39,0.513,20,0.6,3,"Chaifetz Arena, St. Louis, Missouri",SAINT-LOUIS,Saint Louis,70.3,Away,DETROIT-MERCY,Detroit,Detroit Mercy,horizon
2017-11-25-14-detroit-mercy,71.4,15,10.3,6,133.7,64.7,22,0.357,63,0.333,21,0.46,29,0.828,24,0,200,70.4,27.5,11,14,69,,8.2,8,0.238,15,0.2,3,44.6,33,0.449,30.3,33,48,0.375,18,0.0,0,"November 25, 2017",70.6,36,14.6,7,70.4,72.5,29,0.692,86,0.593,51,0.221,19,0.632,12,2,200,133.7,35.3,12,23,131,,25.5,25,0.326,28,0.607,17,55.4,41,0.689,13.7,15,58,0.586,34,0.667,4,"Calihan Hall, Detroit, Michigan","Siena Heights
			","Siena Heights
			",98.4,Home,DETROIT-MERCY,Detroit,Detroit Mercy,horizon
2017-11-28-19-ipfw,37.0,10,2.8,1,107.1,74.3,26,0.508,61,0.443,27,0.41,25,0.8,20,3,200,96.5,12.9,4,24,82,,11.8,10,0.41,25,0.32,8,45.5,30,0.563,20.0,18,36,0.528,19,0.571,4,"November 28, 2017",60.0,18,2.8,1,96.5,87.1,27,0.556,63,0.476,30,0.492,31,0.677,21,3,200,107.1,25.7,9,21,91,,7.1,6,0.429,27,0.37,10,54.5,36,0.585,16.4,15,36,0.556,20,0.571,4,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",DETROIT-MERCY,Detroit,85.3,Home,IPFW,Purdue-Fort Wayne,Detroit Mercy,horizon
2017-12-03-21-ucla,35.7,10,2.1,1,134.2,62.9,22,0.5,65,0.431,28,0.215,14,0.571,8,4,200,92.4,13.5,5,20,73,,2.5,2,0.415,27,0.333,9,37.5,27,0.509,14.4,12,38,0.5,19,0.5,4,"December 3, 2017",52.6,20,10.5,4,92.4,86.5,32,0.604,72,0.528,38,0.333,24,0.792,19,1,200,134.2,37.1,13,14,106,,8.9,7,0.347,25,0.44,11,62.5,45,0.635,8.8,8,47,0.574,27,0.875,7,"Pauley Pavilion, Los Angeles, California",DETROIT-MERCY,Detroit,78.5,Home,UCLA,UCLA,Detroit Mercy,horizon
2017-12-06-19-detroit-mercy,62.5,20,11.1,5,116.2,80.6,29,0.577,65,0.492,32,0.354,23,0.609,14,3,200,120.3,32.4,12,16,89,,4.1,3,0.385,25,0.44,11,56.2,41,0.586,11.7,10,40,0.525,21,0.625,5,"December 6, 2017",37.5,12,7.5,3,120.3,67.6,25,0.544,68,0.471,32,0.206,14,0.857,12,5,200,116.2,19.4,7,22,86,,6.8,5,0.338,23,0.435,10,43.8,32,0.576,8.6,7,45,0.489,22,0.444,4,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,74.3,Away,TOLEDO,Toledo,Detroit Mercy,horizon
2017-12-09-14-detroit-mercy,63.3,19,14.3,4,100.0,70.6,24,0.538,66,0.455,30,0.364,24,0.667,16,4,200,110.1,24.2,8,19,87,,5.1,4,0.5,33,0.333,11,47.8,32,0.562,10.5,9,33,0.576,19,0.6,6,"December 9, 2017",30.8,8,3.0,1,110.1,75.8,25,0.492,63,0.413,26,0.317,20,0.85,17,6,200,100.0,29.4,10,20,79,,5.1,4,0.556,35,0.286,10,52.2,35,0.545,20.0,18,28,0.571,16,0.4,4,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,79.5,Away,WESTERN-MICHIGAN,Western Michigan,Detroit Mercy,horizon
