,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-10-eastern-michigan,78.9,15,5.4,2,124.3,75.7,28,0.462,53,0.358,19,0.264,14,0.786,11,0,200,81.1,25.0,9,19,60,,6.8,5,0.491,26,0.423,11,50.7,37,0.503,27.1,22,27,0.296,8,0.0,0,"November 10, 2017",57.6,19,29.6,8,81.1,75.0,27,0.576,66,0.5,33,0.348,23,0.696,16,0,200,124.3,24.3,9,16,92,,21.6,16,0.439,29,0.345,10,49.3,36,0.598,9.5,8,37,0.622,23,1.0,1,"Convocation Center, Ypsilanti, Michigan","Spring Arbor
			","Spring Arbor
			",74.3,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac
2017-11-12-14-eastern-michigan,78.6,22,5.7,2,127.6,71.4,20,0.507,69,0.406,28,0.072,5,0.6,3,0,200,96.1,23.1,9,16,73,,9.2,7,0.478,33,0.424,14,43.3,29,0.511,17.4,15,36,0.389,14,0.0,0,"November 12, 2017",61.1,22,22.2,8,96.1,76.9,30,0.651,63,0.571,36,0.302,19,0.789,15,0,200,127.6,28.6,8,8,97,,15.8,12,0.444,28,0.357,10,56.7,38,0.673,13.4,11,35,0.743,26,1.0,2,"Convocation Center, Ypsilanti, Michigan","Michigan-Dearborn
			","Michigan-Dearborn
			",76.2,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac
2017-11-16-19-eastern-michigan,50.0,10,12.5,5,97.4,71.8,28,0.422,51,0.392,20,0.49,25,0.64,16,2,200,75.6,20.0,6,25,59,,12.8,10,0.314,16,0.188,3,49.3,34,0.469,27.1,23,35,0.486,17,0.333,1,"November 16, 2017",50.0,14,14.3,5,75.6,80.0,24,0.517,58,0.483,28,0.534,31,0.516,16,0,200,97.4,28.2,11,19,76,,19.2,15,0.31,18,0.222,4,50.7,35,0.523,16.3,14,40,0.6,24,1.0,3,"Convocation Center, Ypsilanti, Michigan",ARKANSAS-STATE,Arkansas State,77.8,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac
2017-11-18-14-eastern-michigan,69.6,16,5.3,2,102.7,62.5,20,0.456,57,0.404,23,0.386,22,0.636,14,4,200,89.2,14.7,5,23,66,,12.2,9,0.526,30,0.2,6,37.9,25,0.489,13.0,10,27,0.63,17,0.0,0,"November 18, 2017",45.8,11,3.7,1,89.2,85.3,29,0.482,55,0.436,24,0.527,29,0.793,23,0,200,102.7,37.5,12,19,76,,6.8,5,0.309,17,0.294,5,62.1,41,0.553,21.0,18,38,0.5,19,1.0,4,"Convocation Center, Ypsilanti, Michigan",HOWARD,Howard,73.6,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac
2017-11-24-16-indiana,54.5,12,10.8,4,138.1,58.6,17,0.51,52,0.423,22,0.404,21,0.667,14,1,200,106.3,27.3,9,19,67,,7.9,5,0.404,21,0.429,9,41.9,26,0.541,14.0,10,31,0.419,13,0.8,4,"November 24, 2017",61.3,19,12.9,4,106.3,72.7,24,0.638,58,0.534,31,0.31,18,0.722,13,2,200,138.1,41.4,12,18,87,,11.1,7,0.362,21,0.571,12,58.1,36,0.654,10.8,8,37,0.514,19,0.667,4,"Assembly Hall, Bloomington, Indiana",EASTERN-MICHIGAN,Eastern Michigan,62.8,Home,INDIANA,Indiana,Eastern Michigan,mac
2017-11-26-16-south-florida,63.2,12,22.6,7,74.6,69.7,23,0.489,47,0.404,19,0.532,25,0.76,19,1,200,103.2,23.1,6,17,65,,15.9,10,0.489,23,0.348,8,49.2,29,0.552,13.4,9,24,0.458,11,0.833,5,"November 26, 2017",92.9,13,12.5,3,103.2,76.9,20,0.333,48,0.292,14,0.417,20,0.75,15,3,200,74.6,30.3,10,22,47,,7.9,5,0.354,17,0.235,4,50.8,30,0.409,22.0,16,31,0.323,10,0.571,4,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,62.7,Away,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac
2017-11-29-19-north-florida,25.8,8,18.2,8,100.0,72.7,32,0.432,74,0.419,31,0.284,21,0.81,17,2,225,96.4,35.9,14,14,81,,10.7,9,0.189,14,0.143,2,55.4,46,0.482,14.4,14,60,0.483,29,0.714,5,"November 29, 2017",65.5,19,10.0,6,96.4,64.1,25,0.48,74,0.392,29,0.23,17,0.765,13,7,225,100.0,27.3,12,18,84,,7.1,6,0.405,30,0.433,13,44.6,37,0.512,13.8,13,44,0.364,16,0.222,2,"UNF Arena , Jacksonville, Florida",EASTERN-MICHIGAN,Eastern Michigan,74.2,Home,NORTH-FLORIDA,North Florida,Eastern Michigan,mac
2017-12-06-19-eastern-michigan,54.8,17,16.3,7,115.9,66.7,20,0.521,70,0.443,31,0.343,24,0.667,16,4,200,108.5,31.7,13,24,89,,7.3,6,0.429,30,0.367,11,46.5,33,0.547,15.7,15,40,0.5,20,0.556,5,"December 6, 2017",45.7,16,17.5,7,108.5,68.3,28,0.613,62,0.565,35,0.484,30,0.633,19,2,200,115.9,33.3,10,19,95,,14.6,12,0.306,19,0.316,6,53.5,38,0.623,15.7,14,43,0.674,29,0.75,6,"Convocation Center, Ypsilanti, Michigan",OAKLAND,Oakland,81.8,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac
2017-12-09-14-eastern-michigan,42.3,11,9.8,4,101.3,60.0,15,0.509,57,0.456,26,0.228,13,0.538,7,0,200,82.3,25.9,7,15,65,,19.0,15,0.228,13,0.462,6,42.3,22,0.514,28.5,25,44,0.455,20,0.0,0,"December 9, 2017",45.2,14,15.9,7,82.3,74.1,20,0.576,59,0.525,31,0.237,14,0.857,12,2,200,101.3,40.0,10,12,80,,20.3,16,0.305,18,0.333,6,57.7,30,0.609,25.2,22,41,0.61,25,0.778,7,"Convocation Center, Ypsilanti, Michigan","Central State (OH)
			","Central State (OH)
			",79.4,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac
2017-12-16-19-long-beach-state,48.5,16,8.8,3,114.3,67.7,21,0.611,63,0.524,33,0.159,10,0.8,8,2,200,121.4,29.6,8,18,85,,8.6,6,0.365,23,0.478,11,50.0,29,0.627,15.1,12,40,0.55,22,0.8,8,"December 16, 2017",48.1,13,2.5,1,121.4,70.4,19,0.58,56,0.482,27,0.339,19,0.789,15,8,200,114.3,32.3,10,13,80,,7.1,5,0.393,22,0.5,11,50.0,29,0.615,16.8,13,34,0.471,16,0.385,5,"The Walter Pyramid, Long Beach, California",LONG-BEACH-STATE,Long Beach State,69.9,Away,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac
