,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-11-13-fairfield,53.8,14,7.7,3,100.0,76.7,23,0.424,72,0.361,26,0.264,19,0.579,11,1,200,90.0,15.9,7,21,72,,7.5,6,0.542,39,0.231,9,40.5,30,0.444,10.1,9,33,0.515,17,0.0,0,"November 11, 2017",46.4,13,15.2,5,90.0,84.1,37,0.536,56,0.5,28,0.429,24,0.833,20,0,200,100.0,23.3,7,22,80,,6.3,5,0.304,17,0.235,4,59.5,44,0.593,19.4,16,39,0.615,24,1.0,1,"Webster Bank Arena, Bridgeport, Connecticut",PENNSYLVANIA,Penn,79.7,Home,FAIRFIELD,Fairfield,Fairfield,maac
2017-11-14-19-fairfield,44.4,8,5.7,2,88.9,68.4,26,0.384,56,0.321,18,0.214,12,0.75,9,2,200,72.2,13.9,5,20,52,,12.5,9,0.446,25,0.28,7,41.9,31,0.421,21.7,17,31,0.355,11,0.0,0,"November 14, 2017",52.4,11,6.5,2,72.2,86.1,31,0.405,58,0.362,21,0.397,23,0.739,17,0,200,88.9,31.6,12,14,64,,11.1,8,0.397,23,0.217,5,58.1,43,0.464,17.0,14,35,0.457,16,1.0,2,"Webster Bank Arena, Bridgeport, Connecticut",LOYOLA-MD,Loyola (MD),72.3,Home,FAIRFIELD,Fairfield,Fairfield,maac
2017-11-18-19-purdue,50.0,12,9.3,4,132.5,64.7,22,0.492,60,0.4,24,0.217,13,0.385,5,1,200,80.0,22.2,8,18,64,,6.3,5,0.5,30,0.367,11,42.9,30,0.484,25.1,22,30,0.433,13,0.667,2,"November 18, 2017",60.5,23,16.7,5,80.0,77.8,28,0.642,74,0.514,38,0.23,17,0.647,11,0,200,132.5,35.3,12,16,106,19,13.8,11,0.419,31,0.613,19,57.1,40,0.646,9.9,9,43,0.442,19,1.0,4,"Mackey Arena, West Lafayette, Indiana",FAIRFIELD,Fairfield,79.6,Home,PURDUE,Purdue,Fairfield,maac
2017-11-24-16-fairfield,41.9,13,6.9,2,107.7,84.2,32,0.652,56,0.554,31,0.464,26,0.731,19,3,200,117.9,18.5,5,16,92,,5.1,4,0.357,20,0.55,11,56.9,37,0.673,18.2,15,36,0.556,20,0.4,2,"November 24, 2017",51.6,16,0.0,0,117.9,81.5,22,0.545,67,0.463,31,0.209,14,0.786,11,2,200,107.7,15.8,6,21,84,,11.5,9,0.567,38,0.289,11,43.1,28,0.57,11.0,9,29,0.69,20,0.5,2,"Ervin J. Nutter Center, Dayton, Ohio",FAIRFIELD,Fairfield,77.5,Away,JACKSONVILLE,Jacksonville,Fairfield,maac
2017-11-25-14-fairfield,58.3,14,0.0,0,107.1,75.0,27,0.571,49,0.49,24,0.224,11,0.727,8,5,200,91.4,20.8,5,18,64,,4.3,3,0.449,22,0.364,8,53.3,32,0.59,26.1,19,27,0.593,16,0.286,2,"November 25, 2017",73.1,19,7.4,2,91.4,79.2,19,0.508,60,0.433,26,0.333,20,0.7,14,2,200,107.1,25.0,9,14,75,,12.9,9,0.433,26,0.346,9,46.7,28,0.54,13.8,11,34,0.5,17,0.6,3,"Ervin J. Nutter Center, Dayton, Ohio",GARDNER-WEBB,Gardner-Webb,69.9,Home,FAIRFIELD,Fairfield,Fairfield,maac
2017-11-26-15-wright-state,40.9,9,4.9,2,89.1,80.0,24,0.464,55,0.4,22,0.127,7,0.714,5,3,200,87.5,25.0,8,15,56,,1.6,1,0.4,22,0.318,7,51.6,32,0.48,20.5,15,33,0.455,15,0.5,3,"November 26, 2017",34.8,8,3.0,1,87.5,75.0,24,0.453,53,0.434,23,0.226,12,0.75,9,3,200,89.1,20.0,6,11,57,,15.6,10,0.226,12,0.167,2,48.4,30,0.486,13.4,9,41,0.512,21,0.571,4,"Ervin J. Nutter Center, Dayton, Ohio",FAIRFIELD,Fairfield,63.5,Home,WRIGHT-STATE,Wright State,Fairfield,maac
2017-12-01-19-wagner,66.7,16,16.1,5,102.6,72.2,26,0.458,60,0.4,24,0.483,29,0.724,21,4,200,100.0,12.5,4,24,76,,6.6,5,0.4,24,0.292,7,44.1,30,0.515,9.9,8,36,0.472,17,0.429,3,"December 1, 2017",60.9,14,13.9,5,100.0,87.5,28,0.491,57,0.404,23,0.614,35,0.629,22,1,200,102.6,27.8,10,24,78,,5.3,4,0.456,26,0.385,10,55.9,38,0.53,12.1,10,31,0.419,13,0.833,5,"Spiro Sports Center, Staten Island, New York",FAIRFIELD,Fairfield,75.7,Home,WAGNER,Wagner,Fairfield,maac
2017-12-06-12-houston,32.0,8,2.4,1,115.8,67.9,19,0.467,61,0.41,25,0.23,14,0.643,9,5,200,86.8,17.1,6,24,66,,6.6,5,0.41,25,0.28,7,39.7,25,0.488,18.3,15,36,0.5,18,0.375,3,"December 6, 2017",50.0,16,16.7,6,86.8,82.9,29,0.647,58,0.552,32,0.328,19,0.684,13,1,200,115.8,32.1,9,19,88,,6.6,5,0.276,16,0.688,11,60.3,38,0.656,20.4,17,42,0.5,21,0.875,7,"Health & Physical Education Arena, Houston, Texas",FAIRFIELD,Fairfield,75.8,Home,HOUSTON,Houston,Fairfield,maac
2017-12-10-15-long-island-university,40.0,12,0.0,0,96.0,75.8,25,0.533,61,0.492,30,0.246,15,0.733,11,5,200,101.3,12.1,4,28,76,,2.7,2,0.344,21,0.238,5,43.9,29,0.558,14.0,11,40,0.625,25,0.444,4,"December 10, 2017",36.4,8,5.0,2,101.3,87.9,29,0.435,54,0.407,22,0.685,37,0.676,25,7,200,96.0,24.2,8,18,72,,8.0,6,0.259,14,0.214,3,56.1,37,0.503,13.5,11,40,0.475,19,0.364,4,"Barclays Center, Brooklyn, New York",LONG-ISLAND-UNIVERSITY,LIU,74.9,Away,FAIRFIELD,Fairfield,Fairfield,maac
2017-12-17-13-fairfield,50.0,15,15.0,3,101.3,90.6,29,0.432,81,0.37,30,0.185,15,0.8,12,3,225,107.9,44.2,19,19,82,,13.2,10,0.333,27,0.37,10,64.0,48,0.465,6.4,6,54,0.37,20,0.727,8,"December 17, 2017",81.0,17,7.4,4,107.9,55.8,24,0.55,50,0.42,21,0.58,29,0.759,22,6,225,101.3,9.4,3,18,77,,5.3,4,0.6,30,0.433,13,36.0,27,0.604,20.3,16,20,0.4,8,0.4,4,"Webster Bank Arena, Bridgeport, Connecticut",FAIRFIELD,Fairfield,67.5,Away,OLD-DOMINION,Old Dominion,Fairfield,maac
