,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-louisiana-state,30.4,7,5.0,2,143.5,60.9,14,0.424,59,0.39,23,0.22,13,0.692,9,1,200,85.5,29.4,10,18,59,,5.8,4,0.407,24,0.167,4,42.1,24,0.453,18.8,15,35,0.543,19,0.0,0,"November 10, 2017",50.0,18,17.1,6,85.5,70.6,24,0.703,59,0.61,36,0.407,24,0.667,16,0,200,143.5,39.1,9,16,99,,17.4,12,0.322,19,0.579,11,57.9,33,0.703,9.1,7,40,0.625,25,1.0,1,"Maravich Assembly Center, Baton Rouge, Louisiana",ALCORN-STATE,Alcorn State,69.3,Home,LOUISIANA-STATE,LSU,Alcorn State,swac
2017-11-12-19-creighton,54.5,12,7.7,2,131.3,59.3,16,0.386,66,0.333,22,0.424,28,0.75,21,2,200,86.7,26.1,12,26,72,,9.6,8,0.364,24,0.292,7,38.4,28,0.454,17.0,16,42,0.357,15,0.0,0,"November 12, 2017",54.5,18,9.5,4,86.7,73.9,34,0.695,59,0.559,33,0.542,32,0.844,27,0,200,131.3,40.7,11,23,109,,8.4,7,0.559,33,0.485,16,61.6,45,0.735,20.6,19,26,0.654,17,1.0,2,"CenturyLink Center, Omaha, Nebraska",ALCORN-STATE,Alcorn State,82.8,Home,CREIGHTON,Creighton,Alcorn State,swac
2017-11-13-20-northern-iowa,37.5,6,16.1,5,112.3,66.7,20,0.368,53,0.302,16,0.189,10,0.6,6,3,200,69.2,7.5,3,18,45,,15.4,10,0.434,23,0.304,7,32.9,23,0.39,13.6,9,30,0.3,9,0.0,0,"November 13, 2017",57.7,15,6.7,2,69.2,92.5,37,0.578,58,0.448,26,0.155,9,0.667,6,1,200,112.3,33.3,10,15,73,,7.7,5,0.466,27,0.556,15,67.1,47,0.586,17.3,13,31,0.355,11,0.5,1,"McLeod Center, Cedar Falls, Iowa",ALCORN-STATE,Alcorn State,64.5,Home,NORTHERN-IOWA,Northern Iowa,Alcorn State,swac
2017-11-17-21-baylor,64.0,16,5.1,2,113.0,51.4,19,0.492,60,0.417,25,0.067,4,0.5,2,4,200,88.4,9.4,3,19,61,,5.8,4,0.45,27,0.333,9,31.9,22,0.493,16.3,12,33,0.485,16,0.0,0,"November 17, 2017",63.0,17,12.1,4,88.4,90.6,29,0.476,63,0.429,27,0.381,24,0.75,18,0,200,113.0,48.6,18,11,78,25,4.3,3,0.381,24,0.25,6,68.1,47,0.524,12.0,10,39,0.538,21,1.0,3,"Ferrell Center, Waco, Texas",ALCORN-STATE,Alcorn State,68.7,Home,BAYLOR,Baylor,Alcorn State,swac
2017-11-19-14-central-arkansas,48.0,12,4.9,2,125.9,75.0,24,0.466,59,0.424,25,0.525,31,0.677,21,5,200,93.8,23.7,9,27,76,,9.9,8,0.254,15,0.333,5,47.1,33,0.515,16.2,14,44,0.455,20,0.0,0,"November 19, 2017",71.4,25,4.5,2,93.8,76.3,29,0.633,64,0.547,35,0.484,31,0.677,21,2,200,125.9,25.0,8,19,102,,3.7,3,0.359,23,0.478,11,52.9,37,0.648,13.4,12,41,0.585,24,0.5,2,"Jeff Farris Center, Conway, Arkansas",ALCORN-STATE,Alcorn State,80.7,Home,CENTRAL-ARKANSAS,Central Arkansas,Alcorn State,swac
2017-11-22-13-alcorn-state,69.2,18,2.7,1,100.0,55.6,20,0.565,54,0.481,26,0.611,33,0.788,26,3,200,119.2,41.4,12,20,87,,12.3,9,0.5,27,0.333,9,49.2,32,0.624,18.9,16,27,0.63,17,0.5,3,"November 22, 2017",45.8,11,18.5,5,119.2,58.6,17,0.466,58,0.414,24,0.448,26,0.731,19,6,200,100.0,44.4,16,24,73,,12.3,9,0.362,21,0.286,6,50.8,33,0.519,20.6,18,37,0.486,18,0.0,0,"Davey L. Whitney Complex, Alcorn State, Mississippi",ALCORN-STATE,Alcorn State,73.0,Away,YALE,Yale,Alcorn State,swac
2017-11-25-18-alcorn-state,47.6,10,7.7,3,118.4,55.9,19,0.348,66,0.318,21,0.288,19,0.526,10,0,200,64.4,25.0,10,22,56,,13.8,12,0.303,20,0.2,4,39.2,29,0.373,23.6,23,46,0.37,17,0.0,0,"November 25, 2017",82.9,29,4.3,2,64.4,75.0,30,0.61,68,0.515,35,0.412,28,0.714,20,6,200,118.4,44.1,15,21,103,,10.3,9,0.426,29,0.448,13,60.8,45,0.633,19.1,19,39,0.564,22,0.143,1,"Davey L. Whitney Complex, Alcorn State, Mississippi","Concordia (AL)
			","Concordia (AL)
			",86.7,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac
2017-11-29-20-tulane,60.0,15,13.6,3,109.5,82.8,24,0.477,64,0.391,25,0.094,6,0.667,4,7,200,87.8,21.2,7,17,65,,10.8,8,0.516,33,0.333,11,50.0,31,0.486,17.4,14,31,0.452,14,0.125,1,"November 29, 2017",80.0,20,19.4,6,87.8,78.8,26,0.604,53,0.472,25,0.453,24,0.708,17,1,200,109.5,17.2,5,11,81,,8.1,6,0.585,31,0.452,14,50.0,31,0.629,18.1,14,22,0.5,11,0.857,6,"Devlin Fieldhouse, New Orleans, Louisiana",ALCORN-STATE,Alcorn State,73.6,Home,TULANE,Tulane,Alcorn State,swac
2017-12-01-20-alcorn-state,58.8,10,0.0,0,115.6,78.1,25,0.396,53,0.321,17,0.34,18,0.444,8,0,200,64.9,15.4,6,14,50,,3.9,3,0.528,28,0.286,8,43.7,31,0.406,22.8,18,25,0.36,9,0.0,0,"December 1, 2017",67.6,23,4.0,1,64.9,84.6,33,0.643,63,0.54,34,0.286,18,0.444,8,7,200,115.6,21.9,7,18,89,,14.3,11,0.444,28,0.464,13,56.3,40,0.622,18.4,16,35,0.6,21,0.222,2,"Davey L. Whitney Complex, Alcorn State, Mississippi","Rust
			","Rust
			",77.1,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac
2017-12-10-18-iowa-state,43.5,10,8.3,3,123.8,43.2,16,0.482,56,0.411,23,0.143,8,0.5,4,8,200,92.1,19.4,6,19,58,,14.3,9,0.464,26,0.308,8,32.4,22,0.485,13.1,9,30,0.5,15,0.2,2,"December 10, 2017",57.7,15,16.7,5,92.1,80.6,25,0.492,64,0.406,26,0.266,17,0.882,15,2,200,123.8,56.8,21,12,78,,3.2,2,0.438,28,0.393,11,67.6,46,0.541,14.4,12,36,0.417,15,0.778,7,"James H. Hilton Coliseum , Ames, Iowa",ALCORN-STATE,Alcorn State,62.9,Home,IOWA-STATE,Iowa State,Alcorn State,swac
