,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BETHUNE-COOKMAN_homegame,BETHUNE-COOKMAN_homegame2,BETHUNE-COOKMAN_home,BETHUNE-COOKMAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-19-depaul,26.1,6,9.1,3,117.6,50.0,15,0.419,62,0.371,23,0.21,13,0.462,6,1,200,85.3,42.9,15,21,58,,10.3,7,0.484,30,0.2,6,46.2,30,0.425,17.1,14,32,0.531,17,0.0,0,"November 7, 2018",52.0,13,9.4,3,85.3,57.1,20,0.509,57,0.439,25,0.526,30,0.733,22,0,200,117.6,50.0,15,17,80,,8.8,6,0.42100000000000004,24,0.33299999999999996,8,53.8,35,0.561,15.6,13,33,0.515,17,1.0,1,"Wintrust Arena, Chicago, Illinois",BETHUNE-COOKMAN,Bethune-Cookman,68.2,Home,DEPAUL,DePaul,Bethune-Cookman,meac,0,False,False,False,Away,False,6,17,62,30,65,8,17,57,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-16-marquette,35.0,7,6.7,2,110.8,76.0,19,0.312,69,0.29,20,0.319,22,0.727,16,2,200,71.1,23.3,10,19,59,,13.3,11,0.275,19,0.158,3,42.6,29,0.371,15.1,14,50,0.34,17,0.0,0,"November 10, 2018",69.0,20,14.0,7,71.1,76.7,33,0.632,57,0.509,29,0.386,22,0.909,20,0,200,110.8,24.0,6,16,92,,6.0,5,0.474,27,0.519,14,57.4,39,0.682,24.0,21,30,0.5,15,1.0,2,"Fiserv Forum, Milwaukee, Wisconsin",BETHUNE-COOKMAN,Bethune-Cookman,83.0,Home,MARQUETTE,Marquette,Bethune-Cookman,meac,1,False,False,False,Away,False,3,17,69,29,68,14,15,57,0,1,6,17,62,0.41935483870967744,30,65,0.46153846153846156,8,17,57,0.5087719298245614,0.0
2,2018-11-13-19-bethune-cookman,43.8,7,2.4,1,120.9,48.3,14,0.33299999999999996,57,0.281,16,0.21100000000000002,12,0.5,6,0,200,51.2,14.3,6,17,44,,16.3,14,0.439,25,0.24,6,28.2,20,0.35100000000000003,33.2,31,32,0.313,10,0.0,0,"November 13, 2018",55.0,22,15.6,5,51.2,85.7,36,0.669,68,0.588,40,0.324,22,0.591,13,2,200,120.9,51.7,15,15,104,,18.6,16,0.397,27,0.40700000000000003,11,71.8,51,0.6629999999999999,21.3,21,41,0.7070000000000001,29,0.33299999999999996,1,"Moore Gymnasium, Daytona Beach, Florida","Trinity Baptist
			","Trinity Baptist
			",86.1,Home,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,2,True,False,True,Home,True,11,29,68,51,71,6,10,57,1,0,9,34,131,0.36259541984732824,59,133,0.44360902255639095,22,32,114,0.5701754385964912,0.0
3,2018-11-15-19-bethune-cookman,60.0,9,2.0,1,115.5,42.5,17,0.27899999999999997,61,0.24600000000000002,15,0.361,22,0.591,13,0,200,56.0,16.7,8,11,47,,6.0,5,0.361,22,0.182,4,28.4,25,0.32899999999999996,24.6,23,39,0.282,11,0.0,0,"November 15, 2018",65.0,26,17.9,7,56.0,83.3,40,0.5379999999999999,80,0.5,40,0.213,17,0.647,11,2,200,115.5,57.5,23,20,97,,17.9,15,0.375,30,0.2,6,71.6,63,0.551,15.5,16,50,0.68,34,0.5,2,"Moore Gymnasium, Daytona Beach, Florida","Johnson University
			","Johnson University
			",83.8,Home,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,3,True,False,True,Home,True,6,34,80,63,88,4,11,61,1,0,20,63,199,0.46733668341708545,110,204,0.5392156862745098,28,42,171,0.49122807017543857,0.3333333333333333
4,2018-11-17-14-miami-fl,44.4,12,12.8,5,106.8,69.4,25,0.508,59,0.45799999999999996,27,0.22,13,0.769,10,3,200,95.9,29.6,8,25,70,,6.8,5,0.305,18,0.33299999999999996,6,52.4,33,0.537,15.6,12,41,0.512,21,0.4,2,"November 17, 2018",46.2,12,14.6,6,95.9,70.4,19,0.462,65,0.4,26,0.369,24,0.75,18,0,200,106.8,30.6,11,15,78,,9.6,7,0.4,26,0.308,8,47.6,30,0.51,12.7,11,39,0.462,18,1.0,3,"BankUnited Center, Coral Gables, Florida",BETHUNE-COOKMAN,Bethune-Cookman,72.8,Home,MIAMI-FL,Miami (FL),Bethune-Cookman,meac,4,False,False,False,Away,False,6,21,59,33,63,8,18,65,0,1,26,97,279,0.4874551971326165,173,292,0.5924657534246576,32,53,232,0.4353448275862069,0.5
5,2018-11-20-19-bethune-cookman,54.2,13,6.5,2,75.7,87.5,28,0.46399999999999997,56,0.429,24,0.536,30,0.8,24,3,200,102.7,18.8,6,14,76,,13.5,10,0.28600000000000003,16,0.25,4,53.1,34,0.541,14.8,12,40,0.5,20,0.4,2,"November 20, 2018",61.9,13,15.0,6,102.7,81.3,26,0.48,50,0.42,21,0.34,17,0.47100000000000003,8,4,200,75.7,12.5,4,22,56,,12.2,9,0.38,19,0.316,6,46.9,30,0.48200000000000004,23.8,18,31,0.484,15,0.33299999999999996,2,"Moore Gymnasium, Daytona Beach, Florida",BETHUNE-COOKMAN,Bethune-Cookman,74.2,Away,NEBRASKA-OMAHA,Omaha,Bethune-Cookman,meac,5,False,True,True,Home,False,6,15,50,30,64,4,20,56,0,1,32,118,338,0.4911242603550296,206,355,0.5802816901408451,40,71,297,0.44107744107744107,0.4
6,2018-11-26-19-bethune-cookman,63.3,19,1.9,1,106.3,55.3,21,0.466,74,0.405,30,0.135,10,0.5,5,6,200,93.7,23.3,10,18,74,,7.6,6,0.392,29,0.31,9,38.3,31,0.47,14.2,13,45,0.467,21,0.14300000000000002,1,"November 26, 2018",63.6,21,13.3,6,93.7,76.7,33,0.529,70,0.47100000000000003,33,0.271,19,0.526,10,4,200,106.3,44.7,17,15,84,,8.9,7,0.257,18,0.444,8,61.7,50,0.531,15.2,14,52,0.48100000000000004,25,0.429,3,"Moore Gymnasium, Daytona Beach, Florida",STETSON,Stetson,78.9,Home,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,6,True,False,True,Home,True,8,25,70,50,81,9,21,74,1,0,38,133,388,0.4896907216494845,236,419,0.5632458233890215,44,91,353,0.4447592067988669,0.3333333333333333
7,2018-12-01-16-bethune-cookman,56.0,14,11.4,4,92.3,75.0,30,0.49200000000000005,61,0.41,25,0.23,14,0.7140000000000001,10,2,200,89.7,23.7,9,23,70,,12.8,10,0.475,29,0.345,10,50.0,39,0.517,22.9,20,32,0.469,15,0.75,6,"December 1, 2018",72.0,18,12.5,4,89.7,76.3,29,0.5,60,0.41700000000000004,25,0.35,21,0.5710000000000001,12,4,200,92.3,25.0,10,15,72,,12.8,10,0.41700000000000004,25,0.4,10,50.0,39,0.514,20.6,18,35,0.429,15,0.5,4,"Moore Gymnasium, Daytona Beach, Florida",FLORIDA-ATLANTIC,Florida Atlantic,78.3,Home,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,7,True,False,True,Home,True,10,15,60,39,78,10,15,61,1,0,46,158,458,0.49563318777292575,286,500,0.572,53,112,427,0.4484777517564403,0.42857142857142855
8,2018-12-04-22-saint-marys-ca,36.4,8,6.9,2,136.8,70.4,19,0.42,56,0.39299999999999996,22,0.33899999999999997,19,0.737,14,5,200,89.7,20.6,7,25,61,,1.5,1,0.25,14,0.214,3,42.6,26,0.469,13.4,10,42,0.452,19,0.444,4,"December 4, 2018",53.1,17,14.3,6,89.7,79.4,27,0.685,54,0.593,32,0.574,31,0.613,19,4,200,136.8,29.6,8,20,93,,8.8,6,0.46299999999999997,25,0.4,10,57.4,35,0.677,9.4,7,29,0.759,22,0.556,5,"McKeon Pavilion, Moraga, California",BETHUNE-COOKMAN,Bethune-Cookman,67.9,Home,SAINT-MARYS-CA,Saint Mary's,Bethune-Cookman,meac,8,False,False,False,Away,False,3,19,56,26,61,10,22,54,0,1,56,173,518,0.49613899613899615,325,578,0.5622837370242214,63,127,488,0.45389344262295084,0.5
9,2018-12-06-22-san-jose-state,56.5,13,2.4,1,89.3,71.4,30,0.483,59,0.39,23,0.28800000000000003,17,0.47100000000000003,8,6,200,86.7,21.2,7,24,65,,2.7,2,0.542,32,0.344,11,49.3,37,0.485,18.4,15,27,0.444,12,0.4,4,"December 6, 2018",56.5,13,18.5,5,86.7,78.8,26,0.405,63,0.365,23,0.397,25,0.64,16,6,200,89.3,28.6,12,17,67,,4.0,3,0.349,22,0.22699999999999998,5,50.7,38,0.447,14.0,12,41,0.439,18,0.25,2,"San Jose State Event Center, San Jose, California",BETHUNE-COOKMAN,Bethune-Cookman,75.0,Home,SAN-JOSE-STATE,San Jose State,Bethune-Cookman,meac,9,False,False,False,Away,False,11,12,59,37,75,5,18,63,0,1,59,192,574,0.4886759581881533,351,639,0.5492957746478874,73,149,542,0.4769372693726937,0.4444444444444444
