,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CHARLOTTE_homegame,CHARLOTTE_homegame2,CHARLOTTE_home,CHARLOTTE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-charlotte,38.5,10,5.9,2,103.0,80.0,20,0.573,55,0.473,26,0.364,20,0.85,17,0,200,119.4,23.3,7,22,80,,7.5,5,0.382,21,0.524,11,49.1,27,0.62,11.1,8,34,0.441,15,1.0,1,"November 6, 2018",33.3,8,17.6,6,119.4,76.7,23,0.52,50,0.48,24,0.46,23,0.7390000000000001,17,1,200,103.0,20.0,5,24,69,,1.5,1,0.32,16,0.25,4,50.9,28,0.5660000000000001,17.8,13,34,0.588,20,0.0,0,"Dale F. Halton Arena, Charlotte, North Carolina",CHARLOTTE,Charlotte,67.2,Away,CHATTANOOGA,Chattanooga,Charlotte,cusa,0,False,True,True,Home,False,4,20,50,28,55,11,15,55,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-16-charlotte,55.0,11,13.3,4,95.7,76.0,19,0.5,50,0.4,20,0.36,18,0.778,14,1,200,92.8,16.1,5,17,64,,14.5,10,0.46,23,0.435,10,42.9,24,0.547,19.5,14,27,0.37,10,0.0,0,"November 10, 2018",40.0,8,29.6,8,92.8,83.9,26,0.511,46,0.435,20,0.457,21,0.905,19,1,200,95.7,24.0,6,19,66,,4.3,3,0.348,16,0.43799999999999994,7,57.1,32,0.59,26.6,20,30,0.433,13,0.5,1,"Dale F. Halton Arena, Charlotte, North Carolina",OKLAHOMA-STATE,Oklahoma State,68.8,Home,CHARLOTTE,Charlotte,Charlotte,cusa,1,True,False,True,Home,True,7,13,46,32,56,10,10,50,1,0,4,20,50,0.52,28,55,0.509090909090909,11,15,55,0.5727272727272728,0.0
2,2018-11-16-19-charlotte,30.0,6,8.8,3,93.7,78.1,25,0.511,45,0.444,20,0.511,23,0.7829999999999999,18,0,200,101.6,23.1,6,17,64,,11.1,7,0.467,21,0.28600000000000003,6,53.4,31,0.5720000000000001,21.4,15,24,0.583,14,1.0,4,"November 16, 2018",57.1,12,8.3,2,101.6,76.9,20,0.434,53,0.396,21,0.264,14,0.929,13,2,200,93.7,21.9,7,18,59,,4.8,3,0.358,19,0.21100000000000002,4,46.6,27,0.495,13.2,9,34,0.5,17,0.33299999999999996,1,"Dale F. Halton Arena, Charlotte, North Carolina",CHARLOTTE,Charlotte,63.3,Away,JAMES-MADISON,James Madison,Charlotte,cusa,2,False,True,True,Home,False,4,17,53,27,58,6,14,45,0,1,11,33,96,0.515625,60,111,0.5405405405405406,21,25,105,0.5380952380952381,0.5
3,2018-11-19-19-charlotte,37.5,6,10.0,2,68.9,84.4,27,0.4,45,0.35600000000000004,16,0.111,5,0.6,3,1,200,63.9,20.0,6,16,39,,8.2,5,0.42200000000000004,19,0.21100000000000002,4,53.2,33,0.41200000000000003,29.8,20,26,0.462,12,0.8,4,"November 19, 2018",72.7,8,15.4,4,63.9,80.0,24,0.33299999999999996,42,0.262,11,0.452,19,0.737,14,2,200,68.9,15.6,5,12,42,,9.8,6,0.524,22,0.273,6,46.8,29,0.41200000000000003,21.8,14,20,0.25,5,0.5,2,"Dale F. Halton Arena, Charlotte, North Carolina",LONGWOOD,Longwood,60.7,Home,CHARLOTTE,Charlotte,Charlotte,cusa,3,True,False,True,Home,True,6,5,42,29,62,4,12,45,1,0,15,50,149,0.4865771812080537,87,169,0.514792899408284,27,39,150,0.53,0.3333333333333333
4,2018-11-27-19-davidson,52.9,9,8.3,2,118.8,86.4,19,0.40399999999999997,47,0.36200000000000004,17,0.511,24,0.75,18,3,200,87.5,9.7,3,12,56,,7.8,5,0.46799999999999997,22,0.182,4,41.5,22,0.479,13.5,9,25,0.52,13,0.4,2,"November 27, 2018",57.1,16,8.0,2,87.5,90.3,28,0.611,54,0.519,28,0.185,10,1.0,10,1,200,118.8,13.6,3,18,76,,7.8,5,0.556,30,0.33299999999999996,10,58.5,31,0.647,12.0,8,24,0.75,18,0.857,6,"Belk Arena, Davidson, North Carolina",CHARLOTTE,Charlotte,64.1,Home,DAVIDSON,Davidson,Charlotte,cusa,4,False,False,False,Away,False,4,13,47,22,53,10,18,54,0,1,21,55,191,0.45287958115183247,116,231,0.5021645021645021,31,51,195,0.5,0.5
5,2018-12-01-16-college-of-charleston,58.3,14,9.4,3,114.3,86.2,25,0.518,56,0.429,24,0.107,6,1.0,6,4,200,101.6,32.1,9,21,64,,3.2,2,0.41100000000000003,23,0.435,10,59.6,34,0.544,17.0,12,33,0.424,14,0.33299999999999996,2,"December 1, 2018",50.0,12,9.1,3,101.6,67.9,19,0.5,54,0.444,24,0.389,21,0.857,18,2,200,114.3,13.8,4,10,72,,11.1,7,0.40700000000000003,22,0.273,6,40.4,23,0.563,5.9,4,32,0.563,18,0.778,7,"TD Arena, Charleston, South Carolina",CHARLOTTE,Charlotte,62.9,Home,COLLEGE-OF-CHARLESTON,College of Charleston,Charlotte,cusa,5,False,False,False,Away,False,10,14,56,34,57,6,18,54,0,1,25,68,238,0.4432773109243697,138,284,0.4859154929577465,41,69,249,0.5240963855421686,0.4
6,2018-12-06-19-wake-forest,27.3,6,17.5,7,115.9,64.9,24,0.42700000000000005,55,0.4,22,0.273,15,0.6,9,5,200,81.2,20.6,7,22,56,,5.8,4,0.327,18,0.16699999999999998,3,43.7,31,0.451,18.5,14,37,0.514,19,0.28600000000000003,2,"December 6, 2018",40.7,11,13.5,5,81.2,79.4,27,0.49200000000000005,61,0.44299999999999995,27,0.475,29,0.69,20,3,200,115.9,35.1,13,14,80,,10.1,7,0.344,21,0.28600000000000003,6,56.3,40,0.535,9.8,8,40,0.525,21,0.625,5,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",CHARLOTTE,Charlotte,69.5,Home,WAKE-FOREST,Wake Forest,Charlotte,cusa,6,False,False,False,Away,False,3,19,55,31,71,6,21,61,0,1,35,82,294,0.4574829931972789,172,341,0.5043988269794721,47,87,303,0.5198019801980198,0.3333333333333333
7,2018-12-18-19-charlotte,57.9,11,16.1,5,88.7,73.3,22,0.413,52,0.365,19,0.192,10,0.6,6,5,200,79.0,20.6,7,18,49,,14.5,9,0.308,16,0.313,5,45.3,29,0.43200000000000005,17.5,12,36,0.389,14,0.545,6,"December 18, 2018",50.0,10,13.9,5,79.0,79.4,27,0.441,51,0.392,20,0.235,12,0.833,10,5,200,88.7,26.7,8,13,55,,4.8,3,0.392,20,0.25,5,54.7,35,0.485,19.9,14,31,0.484,15,0.375,3,"Dale F. Halton Arena, Charlotte, North Carolina",EAST-CAROLINA,East Carolina,62.2,Home,CHARLOTTE,Charlotte,Charlotte,cusa,7,True,False,True,Home,True,5,15,51,35,64,5,14,52,1,0,38,101,349,0.45272206303724927,203,412,0.49271844660194175,53,108,364,0.5151098901098901,0.2857142857142857
8,2018-12-23-00-texas-christian,47.6,10,10.8,4,115.5,71.9,23,0.5,47,0.447,21,0.319,15,0.667,10,6,200,80.3,14.3,4,15,57,,4.2,3,0.319,15,0.33299999999999996,5,45.0,27,0.527,28.2,21,32,0.5,16,0.33299999999999996,3,"December 23, 2018",67.7,21,12.5,4,80.3,85.7,24,0.531,65,0.47700000000000004,31,0.24600000000000002,16,0.813,13,1,200,115.5,28.1,9,15,82,,15.5,11,0.431,28,0.25,7,55.0,33,0.565,10.0,8,37,0.649,24,0.909,10,"Stan Sheriff Center, Honolulu, Hawaii",CHARLOTTE,Charlotte,71.4,Home,TEXAS-CHRISTIAN,TCU,Charlotte,cusa,8,False,False,False,Away,False,5,16,47,27,60,7,24,65,0,1,43,116,400,0.45125,238,476,0.5,58,122,416,0.5024038461538461,0.375
9,2018-12-24-00-charlotte,54.5,12,31.0,9,83.6,85.2,23,0.46399999999999997,56,0.39299999999999996,22,0.48200000000000004,27,0.852,23,4,200,102.7,25.0,7,19,75,,11.0,8,0.33899999999999997,19,0.42100000000000004,8,54.5,30,0.545,19.1,16,37,0.37799999999999995,14,0.6,6,"December 24, 2018",41.2,7,10.8,4,102.7,75.0,21,0.44299999999999995,44,0.386,17,0.659,29,0.759,22,7,200,83.6,14.8,4,20,61,,16.4,12,0.341,15,0.33299999999999996,5,45.5,25,0.528,20.9,15,29,0.414,12,0.3,3,"Stan Sheriff Center, Honolulu, Hawaii",CHARLOTTE,Charlotte,73.3,Away,RHODE-ISLAND,Rhode Island,Charlotte,cusa,9,False,True,True,Home,False,5,12,44,25,55,8,14,56,0,1,48,132,447,0.4563758389261745,265,536,0.4944029850746269,65,146,481,0.5062370062370062,0.3333333333333333
