,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DARTMOUTH_homegame,DARTMOUTH_homegame2,DARTMOUTH_home,DARTMOUTH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-dartmouth,31.3,5,5.4,2,144.3,48.8,20,0.271,70,0.22899999999999998,16,0.028999999999999998,2,0.5,1,0,200,49.4,16.0,8,10,39,,7.6,6,0.314,22,0.273,6,30.8,28,0.275,19.3,17,48,0.20800000000000002,10,0.0,0,"November 6, 2018",73.8,31,14.6,7,49.4,84.0,42,0.6459999999999999,82,0.512,42,0.122,10,0.8,8,0,200,144.3,51.2,21,5,114,,10.1,8,0.5489999999999999,45,0.489,22,69.2,63,0.657,12.2,12,37,0.541,20,1.0,1,"Leede Arena, Hanover, New Hampshire","Newbury
			","Newbury
			",78.9,Home,DARTMOUTH,Dartmouth,Dartmouth,ivy,0,True,False,True,Home,True,22,20,82,63,91,6,10,70,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-davidson,69.2,18,6.4,3,112.9,75.0,24,0.598,56,0.46399999999999997,26,0.179,10,0.9,9,1,200,108.6,7.7,2,18,76,,2.9,2,0.589,33,0.455,15,44.8,26,0.626,13.0,9,23,0.478,11,0.5,1,"November 9, 2018",41.9,13,17.4,4,108.6,92.3,24,0.508,65,0.47700000000000004,31,0.262,17,0.765,13,0,200,112.9,25.0,8,13,79,,2.9,2,0.27699999999999997,18,0.222,4,55.2,32,0.541,8.8,7,47,0.574,27,1.0,2,"Belk Arena, Davidson, North Carolina",DARTMOUTH,Dartmouth,69.9,Home,DAVIDSON,Davidson,Dartmouth,ivy,1,False,False,False,Away,False,15,11,56,26,58,4,27,65,0,1,22,20,82,0.6463414634146342,63,91,0.6923076923076923,6,10,70,0.2714285714285714,1.0
2,2018-11-11-17-loyola-md,60.0,15,14.3,7,115.9,70.0,21,0.618,51,0.49,25,0.451,23,0.826,19,1,200,118.8,22.2,6,18,82,,4.3,3,0.451,23,0.565,13,47.4,27,0.662,14.1,10,28,0.429,12,0.667,2,"November 11, 2018",41.9,13,14.3,4,118.8,77.8,21,0.532,63,0.49200000000000005,31,0.317,20,0.65,13,2,200,115.9,30.0,9,19,80,,7.2,5,0.222,14,0.35700000000000004,5,52.6,30,0.552,10.0,8,49,0.531,26,0.0,0,"Reitz Arena, Baltimore, Maryland",LOYOLA-MD,Loyola (MD),68.7,Away,DARTMOUTH,Dartmouth,Dartmouth,ivy,2,False,False,False,Away,True,13,12,51,27,57,5,26,63,1,0,37,31,138,0.6268115942028986,89,149,0.5973154362416108,10,37,135,0.3851851851851852,0.5
3,2018-11-13-19-dartmouth,40.9,9,3.4,1,120.5,80.0,24,0.426,61,0.361,22,0.08199999999999999,5,0.4,2,0,200,65.1,5.7,2,22,54,,6.0,5,0.377,23,0.348,8,40.0,26,0.426,24.0,20,38,0.368,14,0.0,0,"November 13, 2018",60.6,20,10.5,4,65.1,94.3,33,0.637,62,0.532,33,0.435,27,0.778,21,1,200,120.5,20.0,6,14,100,,14.5,12,0.532,33,0.39399999999999996,13,60.0,39,0.6679999999999999,17.8,16,29,0.69,20,0.75,3,"Leede Arena, Hanover, New Hampshire","Elms
			","Elms
			",83.1,Home,DARTMOUTH,Dartmouth,Dartmouth,ivy,3,True,False,True,Home,True,13,20,62,39,65,8,14,61,1,0,50,43,189,0.6243386243386243,116,206,0.5631067961165048,15,63,198,0.4318181818181818,0.6666666666666666
4,2018-11-21-19-buffalo,26.9,7,7.1,4,132.5,73.5,25,0.44,67,0.38799999999999996,26,0.26899999999999996,18,0.667,12,2,200,85.5,16.3,7,17,71,,3.6,3,0.373,25,0.28,7,41.6,32,0.47,16.7,15,42,0.452,19,0.6,3,"November 21, 2018",57.8,26,19.0,8,85.5,83.7,36,0.638,76,0.5920000000000001,45,0.22399999999999998,17,0.765,13,0,200,132.5,26.5,9,20,110,22.0,14.5,12,0.263,20,0.35,7,58.4,45,0.654,7.7,7,56,0.679,38,1.0,4,"Alumni Arena, Buffalo, New York",DARTMOUTH,Dartmouth,82.8,Home,BUFFALO,Buffalo,Dartmouth,ivy,4,False,False,False,Away,False,7,19,67,32,77,7,38,76,0,1,63,63,251,0.6274900398406374,155,271,0.5719557195571956,23,77,259,0.4305019305019305,0.75
5,2018-11-24-17-san-francisco,68.0,17,9.5,4,116.7,78.8,26,0.5,61,0.41,25,0.115,7,0.5710000000000001,4,3,200,90.3,11.4,4,14,65,,6.9,5,0.44299999999999995,27,0.40700000000000003,11,44.1,30,0.505,14.7,11,34,0.41200000000000003,14,0.5,3,"November 24, 2018",42.4,14,8.8,3,90.3,88.6,31,0.575,67,0.493,33,0.16399999999999998,11,0.636,7,0,200,116.7,21.2,7,12,84,,11.1,8,0.373,25,0.44,11,55.9,38,0.5820000000000001,8.9,7,42,0.524,22,1.0,6,"War Memorial Gymnasium, San Francisco, California",DARTMOUTH,Dartmouth,71.8,Home,SAN-FRANCISCO,San Francisco,Dartmouth,ivy,5,False,False,False,Away,False,11,14,61,30,68,11,22,67,0,1,70,82,318,0.5880503144654088,187,348,0.5373563218390804,30,115,335,0.47761194029850745,0.6
6,2018-11-29-11-marist,55.0,11,3.0,1,116.9,81.8,18,0.462,53,0.377,20,0.226,12,0.75,9,4,200,89.2,12.9,4,16,58,,3.1,2,0.45299999999999996,24,0.375,9,41.5,22,0.494,17.1,12,29,0.379,11,0.429,3,"November 29, 2018",55.6,15,13.8,4,89.2,87.1,27,0.608,51,0.529,27,0.294,15,0.9329999999999999,14,4,200,116.9,18.2,4,13,76,,4.6,3,0.353,18,0.444,8,58.5,31,0.654,14.8,10,33,0.5760000000000001,19,0.33299999999999996,2,"SSE Arena, Belfast",DARTMOUTH,Dartmouth,65.4,Home,MARIST,Marist,Dartmouth,ivy,6,False,False,False,Away,False,9,11,53,22,53,8,19,51,0,1,81,96,379,0.5738786279683378,217,416,0.5216346153846154,41,137,402,0.4937810945273632,0.5
7,2018-11-30-12-albany-ny,70.0,21,10.3,4,108.5,66.7,24,0.675,57,0.526,30,0.368,21,0.667,14,4,200,128.2,42.3,11,21,91,,8.5,6,0.579,33,0.515,17,56.5,35,0.679,18.5,15,24,0.542,13,0.5,4,"November 30, 2018",42.3,11,0.0,0,128.2,57.7,15,0.475,61,0.426,26,0.377,23,0.826,19,6,200,108.5,33.3,12,16,77,,11.3,8,0.361,22,0.273,6,43.5,27,0.535,13.4,11,39,0.513,20,0.25,2,"SSE Arena, Belfast",ALBANY-NY,Albany (NY),71.0,Away,DARTMOUTH,Dartmouth,Dartmouth,ivy,7,False,False,False,Away,True,17,13,57,35,62,6,20,61,1,0,90,107,432,0.5601851851851852,239,469,0.509594882729211,49,156,453,0.5066225165562914,0.42857142857142855
8,2018-12-05-19-dartmouth,45.5,10,6.4,3,81.9,80.0,32,0.425,60,0.36700000000000005,22,0.317,19,0.684,13,4,200,88.9,25.7,9,14,64,,6.9,5,0.467,28,0.25,7,54.7,41,0.46399999999999997,13.9,11,32,0.469,15,0.429,3,"December 5, 2018",41.7,10,15.6,5,88.9,74.3,26,0.408,65,0.369,24,0.185,12,0.5,6,5,200,81.9,20.0,8,16,59,,5.6,4,0.27699999999999997,18,0.278,5,45.3,34,0.41700000000000004,12.5,10,47,0.40399999999999997,19,0.444,4,"Leede Arena, Hanover, New Hampshire",DARTMOUTH,Dartmouth,71.9,Away,QUINNIPIAC,Quinnipiac,Dartmouth,ivy,8,False,True,True,Home,False,5,19,65,34,75,7,15,60,0,1,107,120,489,0.5736196319018405,274,531,0.5160075329566854,55,176,514,0.5029182879377432,0.5
9,2018-12-08-14-dartmouth,52.6,10,9.3,4,120.0,74.2,23,0.429,49,0.38799999999999996,19,0.327,16,0.625,10,9,200,80.0,12.9,4,18,52,,4.6,3,0.34700000000000003,17,0.235,4,43.5,27,0.45899999999999996,16.4,11,32,0.469,15,0.1,1,"December 8, 2018",48.3,14,6.3,2,80.0,87.1,27,0.552,58,0.5,29,0.379,22,0.636,14,5,200,120.0,25.8,8,14,78,,9.2,6,0.259,15,0.4,6,56.5,35,0.57,8.1,6,43,0.535,23,0.5,5,"Leede Arena, Hanover, New Hampshire",MAINE,Maine,65.0,Home,DARTMOUTH,Dartmouth,Dartmouth,ivy,9,True,False,True,Home,True,6,23,58,35,62,4,15,49,1,0,112,139,554,0.5541516245487365,308,606,0.5082508250825083,62,191,574,0.49477351916376305,0.4444444444444444
