,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DELAWARE-STATE_homegame,DELAWARE-STATE_homegame2,DELAWARE-STATE_home,DELAWARE-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-east-carolina,63.2,12,6.5,3,105.2,67.6,23,0.41200000000000003,57,0.33299999999999996,19,0.316,18,0.5,9,1,200,72.7,20.0,8,26,56,,2.6,2,0.596,34,0.265,9,41.9,31,0.42700000000000005,23.6,20,23,0.435,10,0.0,0,"November 6, 2018",69.2,18,8.7,2,72.7,80.0,32,0.49200000000000005,61,0.426,26,0.44299999999999995,27,0.778,21,0,200,105.2,32.4,11,17,81,,16.9,13,0.24600000000000002,15,0.5329999999999999,8,58.1,43,0.5489999999999999,15.1,13,46,0.391,18,1.0,1,"Williams Arena at Minges Coliseum, Greenville, North Carolina",DELAWARE-STATE,Delaware State,76.7,Home,EAST-CAROLINA,East Carolina,Delaware State,meac,0,False,False,False,Away,False,9,10,57,31,74,8,18,61,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-21-grand-canyon,40.0,6,0.0,0,112.7,56.7,17,0.35200000000000004,54,0.278,15,0.33299999999999996,18,0.5,9,2,200,59.5,9.8,4,24,47,,8.9,7,0.40700000000000003,22,0.364,8,29.6,21,0.376,24.4,20,32,0.21899999999999997,7,0.0,0,"November 10, 2018",47.2,17,18.8,6,59.5,90.2,37,0.565,69,0.522,36,0.304,21,0.524,11,1,200,112.7,43.3,13,16,89,,13.9,11,0.348,24,0.25,6,70.4,50,0.563,14.2,13,45,0.667,30,0.5,1,"Grand Canyon University Arena, Phoenix, Arizona",DELAWARE-STATE,Delaware State,78.8,Home,GRAND-CANYON,Grand Canyon,Delaware State,meac,1,False,False,False,Away,False,8,7,54,21,71,6,30,69,0,1,9,10,57,0.41228070175438597,31,74,0.4189189189189189,8,18,61,0.4918032786885246,0.0
2,2018-11-13-19-loyola-md,41.2,7,14.3,6,116.7,60.0,21,0.32299999999999995,62,0.27399999999999997,17,0.435,27,0.815,22,3,200,79.5,23.1,9,20,62,,9.0,7,0.435,27,0.222,6,40.5,30,0.414,15.0,13,35,0.314,11,0.0,0,"November 13, 2018",70.0,21,8.6,3,79.5,76.9,30,0.515,68,0.441,30,0.41200000000000003,28,0.75,21,2,200,116.7,40.0,14,22,91,,9.0,7,0.382,26,0.385,10,59.5,44,0.56,11.1,10,42,0.47600000000000003,20,0.33299999999999996,1,"Reitz Arena, Baltimore, Maryland",DELAWARE-STATE,Delaware State,78.1,Home,LOYOLA-MD,Loyola (MD),Delaware State,meac,2,False,False,False,Away,False,6,11,62,30,74,10,20,68,0,1,17,17,111,0.38288288288288286,52,145,0.3586206896551724,14,48,130,0.5307692307692308,0.0
3,2018-11-16-19-longwood,64.0,16,16.7,4,127.1,62.5,20,0.5539999999999999,56,0.446,25,0.23199999999999998,13,0.846,11,4,200,104.3,16.7,5,19,73,,5.7,4,0.5710000000000001,32,0.375,12,40.3,25,0.5870000000000001,18.5,14,24,0.542,13,0.0,0,"November 16, 2018",71.4,20,4.2,1,104.3,83.3,25,0.602,59,0.475,28,0.441,26,0.6920000000000001,18,0,200,127.1,37.5,12,14,89,,11.4,8,0.593,35,0.429,15,59.7,37,0.624,12.4,10,24,0.542,13,1.0,4,"Willett Hall, Farmville, Virginia",DELAWARE-STATE,Delaware State,70.3,Home,LONGWOOD,Longwood,Delaware State,meac,3,False,False,False,Away,False,12,13,56,25,62,15,13,59,0,1,23,28,173,0.36127167630057805,82,219,0.3744292237442922,24,68,198,0.5252525252525253,0.0
4,2018-11-19-19-delaware-state,31.6,6,5.3,2,93.0,59.0,23,0.35200000000000004,61,0.311,19,0.14800000000000002,9,0.444,4,0,200,54.7,23.1,9,15,47,,12.8,11,0.344,21,0.23800000000000002,5,41.0,32,0.36,30.9,29,40,0.35,14,0.0,0,"November 19, 2018",45.2,14,7.5,3,54.7,76.9,30,0.536,70,0.44299999999999995,31,0.129,9,0.556,5,4,200,93.0,41.0,16,16,80,,16.3,14,0.457,32,0.406,13,59.0,46,0.539,27.5,28,38,0.474,18,0.2,1,"Memorial Hall, Dover, Delaware","St. Elizabeth
			","St. Elizabeth
			",85.8,Home,DELAWARE-STATE,Delaware State,Delaware State,meac,4,True,False,True,Home,True,13,18,70,46,78,5,14,61,1,0,35,41,229,0.40829694323144106,107,281,0.3807829181494662,39,81,257,0.5428015564202334,0.0
5,2018-11-24-22-washington-state,52.4,11,3.3,1,106.7,73.0,27,0.327,75,0.28,21,0.08,6,0.5,3,5,200,69.3,25.0,12,23,52,,6.7,5,0.4,30,0.233,7,45.9,39,0.33399999999999996,11.4,10,45,0.311,14,0.16699999999999998,1,"November 24, 2018",55.6,15,15.6,7,69.3,75.0,36,0.542,60,0.45,27,0.4,24,0.625,15,1,200,106.7,27.0,10,12,80,,6.7,5,0.5,30,0.36700000000000005,11,54.1,46,0.56,15.6,13,30,0.5329999999999999,16,0.75,3,"Beasley Coliseum, Pullman, Washington",DELAWARE-STATE,Delaware State,75.1,Home,WASHINGTON-STATE,Washington State,Delaware State,meac,5,False,False,False,Away,False,7,14,75,39,85,11,16,60,0,1,48,59,299,0.43812709030100333,153,359,0.42618384401114207,44,95,318,0.5062893081761006,0.2
6,2018-11-27-19-delaware-state,58.3,14,16.3,7,62.3,89.6,43,0.508,60,0.4,24,0.38299999999999995,23,0.652,15,2,200,98.7,20.0,8,19,76,,9.1,7,0.5329999999999999,32,0.406,13,58.0,51,0.536,14.6,12,28,0.39299999999999996,11,0.75,6,"November 27, 2018",53.3,8,7.1,2,98.7,80.0,32,0.294,63,0.23800000000000002,15,0.23800000000000002,15,0.733,11,6,200,62.3,10.4,5,18,48,,5.2,4,0.317,20,0.35,7,42.0,37,0.342,15.7,13,43,0.18600000000000003,8,0.14300000000000002,1,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,76.5,Away,PENNSYLVANIA,Penn,Delaware State,meac,6,False,True,True,Home,False,7,8,63,37,88,13,11,60,0,1,55,73,374,0.4157754010695187,192,444,0.43243243243243246,55,111,378,0.5119047619047619,0.16666666666666666
7,2018-12-01-16-st-bonaventure,36.8,7,5.7,2,118.4,80.8,21,0.39299999999999996,56,0.33899999999999997,19,0.46399999999999997,26,0.654,17,7,200,80.3,30.6,11,19,61,,10.5,8,0.33899999999999997,19,0.316,6,51.6,32,0.446,22.0,19,37,0.35100000000000003,13,0.125,1,"December 1, 2018",76.5,26,21.6,8,80.3,69.4,25,0.667,60,0.5670000000000001,34,0.233,14,0.7140000000000001,10,5,200,118.4,19.2,5,17,90,,11.8,9,0.41700000000000004,25,0.48,12,48.4,30,0.675,16.4,13,35,0.629,22,0.375,3,"Reilly Center, St. Bonaventure, New York",DELAWARE-STATE,Delaware State,75.5,Home,ST-BONAVENTURE,St. Bonaventure,Delaware State,meac,7,False,False,False,Away,False,6,13,56,32,62,12,22,60,0,1,62,81,437,0.39816933638443935,229,532,0.43045112781954886,68,122,438,0.5114155251141552,0.14285714285714285
8,2018-12-03-19-delaware-state,57.7,15,0.0,0,129.1,60.0,21,0.5,58,0.44799999999999995,26,0.172,10,0.8,8,0,200,83.5,20.7,6,17,66,,6.3,5,0.36200000000000004,21,0.28600000000000003,6,42.2,27,0.526,27.8,24,37,0.541,20,0.0,0,"December 3, 2018",58.5,24,0.0,0,83.5,79.3,23,0.622,74,0.5539999999999999,41,0.21600000000000003,16,0.625,10,7,200,129.1,40.0,14,15,102,,17.7,14,0.405,30,0.33299999999999996,10,57.8,37,0.625,11.0,10,44,0.705,31,0.222,2,"Memorial Hall, Dover, Delaware","Cairn
			","Cairn
			",79.2,Home,DELAWARE-STATE,Delaware State,Delaware State,meac,8,True,False,True,Home,True,10,31,74,37,64,6,20,58,1,0,68,94,493,0.3975659229208925,261,594,0.4393939393939394,80,144,498,0.5301204819277109,0.125
9,2018-12-08-17-delaware-state,48.4,15,16.7,5,70.1,89.5,34,0.557,61,0.508,31,0.295,18,0.722,13,3,200,105.2,36.7,11,20,81,,11.7,9,0.295,18,0.33299999999999996,6,66.2,45,0.5820000000000001,22.5,20,43,0.581,25,0.625,5,"December 8, 2018",38.9,7,0.0,0,105.2,63.3,19,0.386,57,0.316,18,0.263,15,0.667,10,8,200,70.1,10.5,4,17,54,,7.8,6,0.474,27,0.29600000000000004,8,33.8,23,0.42100000000000004,19.1,15,30,0.33299999999999996,10,0.2,2,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,76.8,Away,JACKSONVILLE-STATE,Jacksonville State,Delaware State,meac,9,False,True,True,Home,False,8,10,57,23,68,6,25,61,0,1,78,125,567,0.42680776014109345,298,658,0.45288753799392095,86,164,556,0.5269784172661871,0.2222222222222222
