,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,EASTERN-ILLINOIS_homegame,EASTERN-ILLINOIS_homegame2,EASTERN-ILLINOIS_home,EASTERN-ILLINOIS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-texas,25.0,5,14.8,4,98.6,78.6,22,0.41100000000000003,56,0.35700000000000004,20,0.321,18,0.722,13,1,200,81.9,25.0,9,15,59,,12.5,9,0.41100000000000003,23,0.261,6,48.4,31,0.457,21.0,17,33,0.424,14,0.0,0,"November 6, 2018",76.9,20,6.1,2,81.9,75.0,27,0.5770000000000001,52,0.5,26,0.385,20,0.55,11,0,200,98.6,21.4,6,17,71,,9.7,7,0.48100000000000004,25,0.32,8,51.6,33,0.5770000000000001,20.8,16,27,0.667,18,1.0,1,"Frank Erwin Center, Austin, Texas",EASTERN-ILLINOIS,Eastern Illinois,72.0,Home,TEXAS,Texas,Eastern Illinois,ovc,0,False,False,False,Away,False,6,14,56,31,64,8,18,52,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-13-iupui,57.9,11,15.6,5,92.2,71.4,25,0.415,53,0.358,19,0.491,26,0.8079999999999999,21,2,200,84.4,21.9,7,27,65,,7.8,6,0.321,17,0.353,6,47.8,32,0.49700000000000005,21.8,18,36,0.361,13,0.0,0,"November 10, 2018",72.7,16,11.1,4,84.4,78.1,25,0.447,57,0.386,22,0.509,29,0.69,20,1,200,92.2,28.6,10,20,71,,6.5,5,0.439,25,0.28,7,52.2,35,0.502,19.6,17,32,0.469,15,0.5,1,"Indiana Farmers Coliseum, Indianapolis, Indiana",EASTERN-ILLINOIS,Eastern Illinois,77.1,Home,IUPUI,IUPUI,Eastern Illinois,ovc,1,False,False,False,Away,False,6,13,53,32,67,7,15,57,0,1,6,14,56,0.4107142857142857,31,64,0.484375,8,18,52,0.5769230769230769,0.0
2,2018-11-17-20-eastern-illinois,45.5,10,20.0,9,86.1,75.0,36,0.418,61,0.361,22,0.41,25,0.6,15,2,225,83.5,19.5,8,15,66,,8.9,7,0.39299999999999996,24,0.292,7,49.4,44,0.45299999999999996,18.2,16,37,0.405,15,0.5,2,"November 17, 2018",47.8,11,10.8,4,83.5,80.5,33,0.379,70,0.32899999999999996,23,0.3,21,0.7140000000000001,15,2,225,86.1,25.0,12,20,68,,10.1,8,0.35700000000000004,25,0.28,7,50.6,45,0.425,11.2,10,45,0.35600000000000004,16,0.33299999999999996,1,"Lantz Arena, Charleston, Illinois",WESTERN-ILLINOIS,Western Illinois,70.6,Home,EASTERN-ILLINOIS,Eastern Illinois,Eastern Illinois,ovc,2,True,False,True,Home,True,7,16,70,45,89,7,15,61,1,0,12,27,109,0.41284403669724773,63,131,0.48091603053435117,15,33,109,0.5091743119266054,0.0
3,2018-11-23-17-gardner-webb,26.7,8,8.1,3,121.9,88.0,22,0.61,59,0.508,30,0.153,9,0.778,7,2,200,123.4,34.6,9,15,79,,6.3,4,0.441,26,0.462,12,60.8,31,0.624,13.7,10,33,0.545,18,0.5,2,"November 23, 2018",29.6,8,0.0,0,123.4,65.4,17,0.608,51,0.529,27,0.41200000000000003,21,0.762,16,4,200,121.9,12.0,3,15,78,,9.4,6,0.275,14,0.5710000000000001,8,39.2,20,0.64,9.1,6,37,0.514,19,0.2,1,"U.S. Cellular Center, Asheville, North Carolina",GARDNER-WEBB,Gardner-Webb,64.1,Away,EASTERN-ILLINOIS,Eastern Illinois,Eastern Illinois,ovc,3,False,False,False,Away,True,12,18,59,31,51,8,19,51,1,0,19,43,179,0.3994413407821229,108,220,0.4909090909090909,22,48,170,0.4764705882352941,0.3333333333333333
4,2018-11-24-17-arkansas-state,55.2,16,13.3,6,104.9,75.0,30,0.5489999999999999,61,0.475,29,0.607,37,0.622,23,2,225,109.8,31.6,12,24,90,,3.7,3,0.344,21,0.429,9,53.8,42,0.573,12.5,11,40,0.5,20,0.6,3,"November 24, 2018",37.0,10,10.0,4,109.8,68.4,26,0.455,66,0.409,27,0.5760000000000001,38,0.684,26,4,225,104.9,25.0,10,28,86,,11.0,9,0.318,21,0.28600000000000003,6,46.2,36,0.512,13.6,13,45,0.467,21,0.2,1,"U.S. Cellular Center, Asheville, North Carolina",ARKANSAS-STATE,Arkansas State,73.2,Away,EASTERN-ILLINOIS,Eastern Illinois,Eastern Illinois,ovc,4,False,False,False,Away,True,9,20,61,42,78,6,21,66,1,0,31,61,238,0.45168067226890757,139,271,0.5129151291512916,30,67,221,0.5067873303167421,0.5
5,2018-11-25-13-north-carolina-wilmington,32.0,8,2.6,1,118.8,68.2,15,0.518,57,0.439,25,0.14,8,0.75,6,3,200,94.2,17.9,5,13,65,,11.6,8,0.439,25,0.36,9,40.0,20,0.535,16.5,12,32,0.5,16,0.5,3,"November 25, 2018",54.5,18,3.1,1,94.2,82.1,23,0.653,59,0.5589999999999999,33,0.153,9,0.556,5,4,200,118.8,31.8,7,14,82,,8.7,6,0.35600000000000004,21,0.524,11,60.0,30,0.648,17.1,13,38,0.579,22,0.429,3,"U.S. Cellular Center, Asheville, North Carolina",EASTERN-ILLINOIS,Eastern Illinois,68.5,Home,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,Eastern Illinois,ovc,5,False,False,False,Away,False,9,16,57,20,50,11,22,59,0,1,40,81,299,0.47157190635451507,181,349,0.5186246418338109,36,88,287,0.49477351916376305,0.6
6,2018-11-28-20-eastern-illinois,64.9,24,12.2,5,81.1,76.1,35,0.72,66,0.561,37,0.19699999999999998,13,0.6920000000000001,9,4,200,140.5,46.7,14,14,104,,9.5,7,0.561,37,0.568,21,64.5,49,0.72,19.2,17,29,0.552,16,0.556,5,"November 28, 2018",52.2,12,0.0,0,140.5,53.3,16,0.391,69,0.33299999999999996,23,0.145,10,0.6,6,4,200,81.1,23.9,11,14,60,,5.4,4,0.406,28,0.28600000000000003,8,35.5,27,0.40700000000000003,12.0,10,41,0.366,15,0.429,3,"Lantz Arena, Charleston, Illinois",EASTERN-ILLINOIS,Eastern Illinois,74.0,Away,IPFW,Purdue-Fort Wayne,Eastern Illinois,ovc,6,False,True,True,Home,False,8,15,69,27,76,21,16,66,0,1,49,97,356,0.4789325842696629,201,399,0.5037593984962406,47,110,346,0.5216763005780347,0.5
7,2018-12-01-15-chicago-state,50.0,12,0.0,0,105.3,76.2,16,0.46799999999999997,62,0.387,24,0.33899999999999997,21,0.667,14,5,200,94.7,23.5,8,21,72,,11.8,9,0.532,33,0.303,10,43.6,24,0.5,17.4,15,29,0.483,14,0.375,3,"December 1, 2018",73.3,22,3.4,1,94.7,76.5,26,0.6629999999999999,49,0.612,30,0.449,22,0.682,15,8,200,105.3,23.8,5,18,80,,9.2,7,0.245,12,0.41700000000000004,5,56.4,31,0.6729999999999999,24.5,19,37,0.6759999999999999,25,0.2,2,"Emil and Patricia Jones Convocation Center, Chicago, Illinois",EASTERN-ILLINOIS,Eastern Illinois,76.2,Home,CHICAGO-STATE,Chicago State,Eastern Illinois,ovc,7,False,False,False,Away,False,10,14,62,24,55,5,25,49,0,1,57,112,425,0.4647058823529412,228,475,0.48,68,126,412,0.5533980582524272,0.42857142857142855
8,2018-12-04-20-eastern-illinois,53.8,7,2.5,1,136.4,66.7,16,0.315,46,0.28300000000000003,13,0.391,18,0.444,8,0,200,56.1,27.0,10,16,37,,7.6,5,0.391,18,0.16699999999999998,3,42.6,26,0.33899999999999997,26.1,19,28,0.35700000000000004,10,0.0,0,"December 4, 2018",62.9,22,7.1,2,56.1,73.0,27,0.7190000000000001,57,0.614,35,0.228,13,0.615,8,5,200,136.4,33.3,8,16,90,,16.7,11,0.298,17,0.706,12,57.4,35,0.7120000000000001,18.2,14,40,0.575,23,0.444,4,"Lantz Arena, Charleston, Illinois","Fontbonne
			","Fontbonne
			",66.4,Home,EASTERN-ILLINOIS,Eastern Illinois,Eastern Illinois,ovc,8,True,False,True,Home,True,12,23,57,35,61,3,10,46,1,0,67,126,487,0.4650924024640657,252,530,0.47547169811320755,73,151,461,0.5650759219088937,0.375
9,2018-12-08-20-western-illinois,42.9,12,6.3,2,93.1,77.8,28,0.508,63,0.444,28,0.23800000000000002,15,0.667,10,5,200,102.8,28.9,11,14,74,,11.1,8,0.365,23,0.348,8,52.7,39,0.528,14.7,12,40,0.5,20,0.5,5,"December 8, 2018",66.7,16,10.0,4,102.8,71.1,27,0.517,59,0.40700000000000003,24,0.153,9,0.667,6,6,200,93.1,22.2,8,17,67,,9.7,7,0.45799999999999996,27,0.48100000000000004,13,47.3,35,0.529,21.3,17,32,0.344,11,0.4,4,"Western Hall, Macomb, Illinois",WESTERN-ILLINOIS,Western Illinois,71.7,Away,EASTERN-ILLINOIS,Eastern Illinois,Eastern Illinois,ovc,9,False,False,False,Away,True,8,20,63,39,74,13,11,59,1,0,79,149,544,0.49172794117647056,287,591,0.4856175972927242,76,161,507,0.5424063116370809,0.4444444444444444
