,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,EASTERN-MICHIGAN_homegame,EASTERN-MICHIGAN_homegame2,EASTERN-MICHIGAN_home,EASTERN-MICHIGAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-18-eastern-michigan,52.0,13,4.5,2,102.7,62.1,18,0.469,65,0.385,25,0.10800000000000001,7,0.857,6,0,200,89.3,19.5,8,18,67,,13.3,10,0.508,33,0.33299999999999996,11,37.1,26,0.49,17.1,14,32,0.43799999999999994,14,0.0,0,"November 6, 2018",32.3,10,21.9,7,89.3,80.5,33,0.569,58,0.534,31,0.293,17,0.647,11,0,200,102.7,37.9,11,13,77,,12.0,9,0.24100000000000002,14,0.28600000000000003,4,62.9,44,0.583,23.4,20,44,0.614,27,1.0,1,"Convocation Center, Ypsilanti, Michigan","Rochester (MI)
			","Rochester (MI)
			",74.7,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac,0,True,False,True,Home,True,4,27,58,44,70,11,14,65,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-11-eastern-michigan,81.0,17,5.3,2,100.0,76.7,23,0.48200000000000004,57,0.368,21,0.175,10,0.7,7,1,200,93.9,21.6,8,20,62,,3.0,2,0.596,34,0.382,13,46.3,31,0.502,16.3,12,23,0.348,8,0.0,0,"November 9, 2018",34.6,9,21.7,5,93.9,78.4,29,0.5,57,0.456,26,0.263,15,0.6,9,0,200,100.0,23.3,7,12,66,,7.6,5,0.33299999999999996,19,0.263,5,53.7,36,0.515,12.4,9,38,0.5529999999999999,21,1.0,2,"Convocation Center, Ypsilanti, Michigan",DREXEL,Drexel,65.9,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac,1,True,False,True,Home,True,5,21,57,36,67,13,8,57,1,0,4,27,58,0.5689655172413793,44,70,0.6285714285714286,11,14,65,0.46923076923076923,1.0
2,2018-11-11-14-eastern-michigan,75.9,22,2.1,1,126.0,53.3,16,0.461,76,0.382,29,0.079,6,0.667,4,0,200,96.1,36.4,16,17,74,,11.7,9,0.539,41,0.293,12,43.2,32,0.469,16.0,15,35,0.486,17,0.0,0,"November 11, 2018",55.3,21,14.3,5,96.1,63.6,28,0.627,67,0.5670000000000001,38,0.254,17,0.765,13,0,200,126.0,46.7,14,10,97,,13.0,10,0.299,20,0.4,8,56.8,42,0.6459999999999999,16.8,15,47,0.638,30,1.0,3,"Convocation Center, Ypsilanti, Michigan","Goshen
			","Goshen
			",77.0,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac,2,True,False,True,Home,True,8,30,67,42,74,12,17,76,1,0,9,48,115,0.5347826086956522,80,137,0.583941605839416,24,22,122,0.47540983606557374,1.0
3,2018-11-14-19-duke,42.9,9,9.4,5,113.5,50.0,21,0.331,68,0.309,21,0.044000000000000004,3,0.33299999999999996,1,1,200,62.2,31.1,14,16,46,,13.5,10,0.265,18,0.16699999999999998,3,40.2,35,0.331,19.7,17,50,0.36,18,0.75,3,"November 14, 2018",63.9,23,22.0,11,62.2,68.9,31,0.5,77,0.46799999999999997,36,0.20800000000000002,16,0.43799999999999994,7,0,200,113.5,50.0,21,8,84,1.0,18.9,14,0.312,24,0.20800000000000002,5,59.8,52,0.496,11.6,11,53,0.585,31,1.0,3,"Cameron Indoor Stadium, Durham, North Carolina",EASTERN-MICHIGAN,Eastern Michigan,73.5,Home,DUKE,Duke,Eastern Michigan,mac,3,False,False,False,Away,False,3,18,68,35,87,5,31,77,0,1,17,78,182,0.5686813186813187,122,211,0.5781990521327014,36,39,198,0.4696969696969697,1.0
4,2018-11-17-14-eastern-michigan,62.5,15,2.3,1,117.6,61.5,16,0.529,51,0.47100000000000003,24,0.353,18,0.444,8,2,200,91.2,20.0,6,17,62,,11.8,8,0.33299999999999996,17,0.353,6,39.3,22,0.521,20.3,15,34,0.529,18,0.6,3,"November 17, 2018",38.7,12,20.6,7,91.2,80.0,24,0.585,59,0.525,31,0.203,12,0.917,11,1,200,117.6,38.5,10,19,80,,13.2,9,0.271,16,0.43799999999999994,7,60.7,34,0.618,16.8,13,43,0.5579999999999999,24,0.8,4,"Convocation Center, Ypsilanti, Michigan",BOSTON-UNIVERSITY,Boston University,68.1,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac,4,True,False,True,Home,True,7,24,59,34,56,6,18,51,1,0,20,96,250,0.504,157,298,0.5268456375838926,41,70,275,0.4781818181818182,0.75
5,2018-11-19-19-rutgers,33.3,5,9.4,3,91.3,63.0,17,0.306,54,0.278,15,0.315,17,0.17600000000000002,3,2,200,52.2,30.8,12,16,36,,13.0,9,0.24100000000000002,13,0.231,3,43.9,29,0.29,23.6,19,41,0.293,12,0.667,4,"November 19, 2018",83.3,20,12.2,5,52.2,69.2,27,0.518,56,0.429,24,0.14300000000000002,8,0.625,5,1,200,91.3,37.0,10,17,63,,14.5,10,0.429,24,0.41700000000000004,10,56.1,37,0.527,25.2,20,32,0.43799999999999994,14,0.75,3,"Louis Brown Athletic Center, New Brunswick, New Jersey",EASTERN-MICHIGAN,Eastern Michigan,69.4,Home,RUTGERS,Rutgers,Eastern Michigan,mac,5,False,False,False,Away,False,3,12,54,29,66,10,14,56,0,1,27,120,309,0.5194174757281553,191,354,0.53954802259887,47,88,326,0.48619631901840493,0.8
6,2018-11-24-14-eastern-michigan,73.1,19,7.5,3,110.4,48.7,19,0.54,62,0.419,26,0.226,14,0.7859999999999999,11,3,200,116.4,28.1,9,18,78,,9.0,6,0.484,30,0.5,15,39.4,28,0.568,9.3,7,32,0.344,11,0.5,3,"November 24, 2018",64.3,18,12.5,4,116.4,71.9,23,0.46299999999999997,67,0.418,28,0.32799999999999996,22,0.545,12,3,200,110.4,51.3,20,16,74,,6.0,4,0.40299999999999997,27,0.222,6,60.6,43,0.478,11.5,10,40,0.55,22,0.5710000000000001,4,"Convocation Center, Ypsilanti, Michigan",EASTERN-MICHIGAN,Eastern Michigan,67.1,Away,DETROIT-MERCY,Detroit,Eastern Michigan,mac,6,False,True,True,Home,False,6,22,67,43,71,15,11,62,0,1,30,132,363,0.48760330578512395,220,420,0.5238095238095238,57,102,382,0.4908376963350785,0.6666666666666666
7,2018-11-26-20-texas-christian,61.5,16,13.3,4,131.8,79.2,19,0.5,58,0.44799999999999995,26,0.276,16,0.688,11,4,200,104.5,35.5,11,11,69,,7.6,5,0.31,18,0.33299999999999996,6,54.5,30,0.526,15.6,12,40,0.5,20,0.5,4,"November 26, 2018",91.2,31,12.5,5,104.5,64.5,20,0.705,56,0.607,34,0.23199999999999998,13,0.615,8,1,200,131.8,20.8,5,14,87,,12.1,8,0.46399999999999997,26,0.423,11,45.5,25,0.7,12.7,9,30,0.767,23,0.8,4,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",EASTERN-MICHIGAN,Eastern Michigan,66.4,Home,TEXAS-CHRISTIAN,TCU,Eastern Michigan,mac,7,False,False,False,Away,False,6,20,58,30,55,11,23,56,0,1,36,154,430,0.48372093023255813,263,491,0.5356415478615071,72,113,444,0.49774774774774777,0.5714285714285714
8,2018-12-01-15-northeastern,50.0,14,4.0,1,137.3,66.7,16,0.608,51,0.5489999999999999,28,0.196,10,0.5,5,5,200,113.6,25.9,7,20,67,,8.5,5,0.392,20,0.3,6,45.1,23,0.601,15.3,10,31,0.71,22,0.444,4,"December 1, 2018",66.7,18,3.2,1,113.6,74.1,20,0.6459999999999999,48,0.563,27,0.521,25,0.76,19,4,200,137.3,33.3,8,10,81,,10.2,6,0.479,23,0.348,8,54.9,28,0.6759999999999999,10.6,7,25,0.76,19,0.5,4,"Matthews Arena, Boston, Massachusetts",EASTERN-MICHIGAN,Eastern Michigan,58.8,Home,NORTHEASTERN,Northeastern,Eastern Michigan,mac,8,False,False,False,Away,False,6,22,51,23,51,8,19,48,0,1,42,174,488,0.48565573770491804,293,546,0.5366300366300366,83,136,500,0.521,0.5
9,2018-12-08-12-eastern-michigan,70.6,12,2.3,1,136.4,58.6,17,0.397,58,0.293,17,0.155,9,0.778,7,0,200,68.8,17.1,7,15,53,,2.6,2,0.586,34,0.353,12,34.3,24,0.426,26.2,22,24,0.20800000000000002,5,0.0,0,"December 8, 2018",60.5,26,16.7,4,68.8,82.9,34,0.627,75,0.573,43,0.187,14,0.7859999999999999,11,5,200,136.4,41.4,12,10,105,,15.6,12,0.413,31,0.258,8,65.7,46,0.643,9.0,8,44,0.795,35,0.5,5,"Convocation Center, Ypsilanti, Michigan","Central State (OH)
			","Central State (OH)
			",77.5,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac,9,True,False,True,Home,True,8,35,75,46,70,12,5,58,1,0,48,196,539,0.4972170686456401,316,597,0.5293132328308208,91,155,548,0.531934306569343,0.4444444444444444
