,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FLORIDA-ATLANTIC_homegame,FLORIDA-ATLANTIC_homegame2,FLORIDA-ATLANTIC_home,FLORIDA-ATLANTIC_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-19-florida-atlantic,26.3,5,2.5,1,127.3,45.5,15,0.35600000000000004,59,0.322,19,0.28800000000000003,17,0.588,10,0,200,67.5,26.3,10,18,52,,9.1,7,0.441,26,0.154,4,35.2,25,0.38799999999999996,23.1,20,33,0.455,15,0.0,0,"November 7, 2018",35.9,14,12.1,4,67.5,73.7,28,0.596,73,0.534,39,0.233,17,0.647,11,0,200,127.3,54.5,18,18,98,,11.7,9,0.452,33,0.273,9,64.8,46,0.604,14.8,14,40,0.75,30,1.0,1,"FAU Arena, Boca Raton, Florida","Florida Tech
			","Florida Tech
			",77.1,Home,FLORIDA-ATLANTIC,Florida Atlantic,Florida Atlantic,cusa,0,True,False,True,Home,True,9,30,73,46,71,4,15,59,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-15-central-florida,50.0,14,2.8,1,109.7,70.0,21,0.507,67,0.418,28,0.26899999999999996,18,0.667,12,0,200,111.1,42.9,15,27,80,,8.3,6,0.507,34,0.353,12,55.4,36,0.529,14.8,13,33,0.485,16,1.0,2,"November 11, 2018",50.0,14,6.1,2,111.1,57.1,20,0.5539999999999999,56,0.5,28,0.46399999999999997,26,0.654,17,1,200,109.7,30.0,9,19,79,,6.9,5,0.35700000000000004,20,0.3,6,44.6,29,0.578,15.1,12,36,0.611,22,0.5,1,"CFE Arena, Orlando, Florida",CENTRAL-FLORIDA,UCF,72.5,Away,FLORIDA-ATLANTIC,Florida Atlantic,Florida Atlantic,cusa,1,False,False,False,Away,True,12,16,67,36,65,6,22,56,1,0,9,30,73,0.5958904109589042,46,71,0.647887323943662,4,15,59,0.3559322033898305,1.0
2,2018-11-16-17-florida-atlantic,45.2,14,7.5,3,89.7,67.6,25,0.524,62,0.5,31,0.40299999999999997,25,0.6,15,0,200,102.6,31.3,10,20,80,,7.7,6,0.27399999999999997,17,0.17600000000000002,3,50.7,35,0.541,15.1,13,45,0.622,28,1.0,3,"November 16, 2018",50.0,12,6.7,3,102.6,68.8,22,0.41200000000000003,68,0.353,24,0.25,17,0.8240000000000001,14,1,200,89.7,32.4,12,24,70,,2.6,2,0.41200000000000003,28,0.28600000000000003,8,49.3,34,0.46,17.5,16,40,0.4,16,0.667,2,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",FLORIDA-ATLANTIC,Florida Atlantic,78.5,Away,GEORGIA-SOUTHERN,Georgia Southern,Florida Atlantic,cusa,2,False,True,True,Home,False,8,16,68,34,69,3,28,62,0,1,21,46,140,0.5535714285714286,82,136,0.6029411764705882,10,37,115,0.45217391304347826,1.0
3,2018-11-17-14-towson,54.8,17,0.0,0,110.9,73.3,22,0.59,61,0.508,31,0.295,18,0.722,13,1,200,132.8,53.3,16,18,85,,4.7,3,0.475,29,0.345,10,63.3,38,0.611,10.4,8,32,0.6559999999999999,21,0.75,3,"November 17, 2018",66.7,18,0.0,0,132.8,46.7,14,0.534,59,0.45799999999999996,27,0.237,14,0.5710000000000001,8,3,200,110.9,26.7,8,19,71,,6.3,4,0.373,22,0.409,9,36.7,22,0.541,10.9,8,37,0.486,18,0.25,1,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",TOWSON,Towson,63.6,Away,FLORIDA-ATLANTIC,Florida Atlantic,Florida Atlantic,cusa,3,False,False,False,Away,True,10,21,61,38,60,9,18,59,1,0,29,62,208,0.5072115384615384,116,205,0.5658536585365853,13,65,177,0.4774011299435028,0.6666666666666666
4,2018-11-18-14-florida-atlantic,59.1,13,13.0,3,110.9,76.2,16,0.51,49,0.449,22,0.429,21,0.857,18,3,200,106.3,22.2,6,24,68,,12.5,8,0.429,21,0.28600000000000003,6,45.8,22,0.5770000000000001,12.1,8,28,0.5710000000000001,16,0.5710000000000001,4,"November 18, 2018",65.0,13,3.6,1,106.3,77.8,21,0.56,42,0.47600000000000003,20,0.643,27,0.889,24,1,200,110.9,23.8,5,14,71,,3.1,2,0.452,19,0.368,7,54.2,26,0.648,25.0,18,23,0.565,13,0.8,4,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",INCARNATE-WORD,Incarnate Word,64.4,Home,FLORIDA-ATLANTIC,Florida Atlantic,Florida Atlantic,cusa,4,True,False,True,Home,True,7,13,42,26,48,6,16,49,1,0,39,83,269,0.5260223048327137,154,265,0.5811320754716981,22,83,236,0.4915254237288136,0.75
5,2018-11-21-19-florida-atlantic,56.5,13,3.1,1,96.1,62.5,20,0.45399999999999996,65,0.354,23,0.10800000000000001,7,0.429,3,0,200,81.6,25.6,11,18,62,,13.2,10,0.431,28,0.46399999999999997,13,41.3,31,0.45399999999999996,23.6,21,37,0.27,10,0.0,0,"November 21, 2018",42.3,11,18.9,7,81.6,74.4,32,0.517,59,0.441,26,0.271,16,0.75,12,1,200,96.1,37.5,12,14,73,,11.8,9,0.45799999999999996,27,0.33299999999999996,9,58.7,44,0.5479999999999999,22.3,19,32,0.531,17,0.833,5,"FAU Arena, Boca Raton, Florida","Palm Beach Atlantic
			","Palm Beach Atlantic
			",76.0,Home,FLORIDA-ATLANTIC,Florida Atlantic,Florida Atlantic,cusa,5,True,False,True,Home,True,9,17,59,44,75,13,10,65,1,0,46,96,311,0.5305466237942122,180,313,0.5750798722044729,28,99,285,0.49473684210526314,0.8
6,2018-11-25-15-florida-atlantic,43.5,10,0.0,0,118.1,58.3,21,0.529,51,0.451,23,0.353,18,0.778,14,6,200,94.4,14.3,4,18,68,,11.1,8,0.431,22,0.364,8,39.1,25,0.5710000000000001,20.3,15,29,0.517,15,0.25,2,"November 25, 2018",71.9,23,10.3,3,94.4,85.7,24,0.568,66,0.485,32,0.258,17,0.588,10,1,200,118.1,41.7,15,16,85,,18.1,13,0.5,33,0.33299999999999996,11,60.9,39,0.574,17.0,15,33,0.636,21,0.857,6,"FAU Arena, Boca Raton, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,72.3,Home,FLORIDA-ATLANTIC,Florida Atlantic,Florida Atlantic,cusa,6,True,False,True,Home,True,11,21,66,39,64,8,15,51,1,0,55,113,370,0.5283783783783784,224,388,0.5773195876288659,41,109,350,0.48714285714285716,0.8333333333333334
7,2018-12-01-16-bethune-cookman,56.0,14,11.4,4,92.3,75.0,30,0.49200000000000005,61,0.41,25,0.23,14,0.7140000000000001,10,2,200,89.7,23.7,9,23,70,,12.8,10,0.475,29,0.345,10,50.0,39,0.517,22.9,20,32,0.469,15,0.75,6,"December 1, 2018",72.0,18,12.5,4,89.7,76.3,29,0.5,60,0.41700000000000004,25,0.35,21,0.5710000000000001,12,4,200,92.3,25.0,10,15,72,,12.8,10,0.41700000000000004,25,0.4,10,50.0,39,0.514,20.6,18,35,0.429,15,0.5,4,"Moore Gymnasium, Daytona Beach, Florida",FLORIDA-ATLANTIC,Florida Atlantic,78.3,Home,BETHUNE-COOKMAN,Bethune-Cookman,Florida Atlantic,cusa,7,False,False,False,Away,False,10,15,61,39,78,10,15,60,0,1,66,134,436,0.5344036697247706,263,452,0.581858407079646,49,124,401,0.4925187032418953,0.8571428571428571
8,2018-12-05-19-florida-atlantic,19.0,4,3.6,1,90.7,71.9,23,0.40700000000000003,54,0.389,21,0.426,23,0.87,20,5,200,85.3,30.8,8,24,64,,16.0,12,0.315,17,0.11800000000000001,2,53.4,31,0.493,22.9,19,37,0.514,19,0.444,4,"December 5, 2018",50.0,12,16.2,6,85.3,69.2,18,0.5,54,0.444,24,0.40700000000000003,22,0.636,14,2,200,90.7,28.1,9,23,68,,13.3,10,0.48100000000000004,26,0.231,6,46.6,27,0.528,22.0,18,28,0.643,18,0.778,7,"FAU Arena, Boca Raton, Florida",MERCER,Mercer,74.7,Home,FLORIDA-ATLANTIC,Florida Atlantic,Florida Atlantic,cusa,8,True,False,True,Home,True,6,18,54,27,58,2,19,54,1,0,76,149,497,0.5291750503018109,302,530,0.569811320754717,59,139,461,0.49349240780911063,0.75
9,2018-12-14-20-arkansas-state,45.8,11,11.3,6,90.4,62.1,36,0.337,83,0.289,24,0.205,17,0.882,15,3,250,85.5,37.3,19,25,71,,1.2,1,0.39799999999999996,33,0.242,8,50.5,55,0.39,12.6,13,50,0.32,16,0.7,7,"December 14, 2018",39.1,9,4.0,2,85.5,62.7,32,0.319,80,0.28800000000000003,23,0.413,33,0.727,24,6,250,90.4,37.9,22,18,75,,6.0,5,0.33799999999999997,27,0.185,5,49.5,54,0.392,6.9,7,53,0.34,18,0.4,4,"Convocation Center, Jonesboro, Arkansas",FLORIDA-ATLANTIC,Florida Atlantic,66.3,Home,ARKANSAS-STATE,Arkansas State,Florida Atlantic,cusa,9,False,False,False,Away,False,8,16,83,55,109,5,18,80,0,1,82,167,551,0.5263157894736842,329,588,0.5595238095238095,61,158,515,0.48446601941747575,0.7777777777777778
