,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FLORIDA-INTERNATIONAL_homegame,FLORIDA-INTERNATIONAL_homegame2,FLORIDA-INTERNATIONAL_home,FLORIDA-INTERNATIONAL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-19-florida-international,57.7,15,1.9,1,104.8,76.1,35,0.41200000000000003,74,0.35100000000000003,26,0.486,36,0.639,23,0,200,80.0,26.5,13,22,84,,4.8,5,0.486,36,0.25,9,50.5,48,0.461,22.4,26,38,0.447,17,0.0,0,"November 7, 2018",47.7,21,18.4,7,80.0,73.5,36,0.5710000000000001,85,0.518,44,0.353,30,0.433,13,0,200,104.8,23.9,11,30,110,,15.2,16,0.376,32,0.281,9,49.5,47,0.5539999999999999,14.8,17,53,0.66,35,1.0,1,"FIU Arena, Miami, Florida","Webber
			","Webber
			",104.7,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,0,True,False,True,Home,True,9,35,85,47,95,9,17,74,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-florida-international,62.5,10,9.8,4,136.0,63.2,24,0.32,61,0.262,16,0.16399999999999998,10,0.8,8,0,200,54.7,22.0,9,25,47,,5.8,5,0.541,33,0.212,7,41.8,33,0.35700000000000004,27.7,25,28,0.321,9,0.0,0,"November 9, 2018",63.4,26,25.0,7,54.7,78.0,32,0.615,78,0.526,41,0.474,37,0.568,21,0,200,136.0,36.8,14,12,117,,17.4,15,0.474,37,0.37799999999999995,14,58.2,46,0.612,8.7,9,41,0.659,27,1.0,2,"FIU Arena, Miami, Florida","Johnson &amp; Wales (FL)
			","Johnson &amp; Wales (FL)
			",86.2,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,1,True,False,True,Home,True,14,27,78,46,79,7,9,61,1,0,9,35,85,0.5705882352941176,47,95,0.49473684210526314,9,17,74,0.41216216216216217,1.0
2,2018-11-13-19-florida-international,37.5,12,15.8,6,97.7,73.3,33,0.5,70,0.457,32,0.3,21,0.619,13,3,200,94.3,30.8,12,23,83,,10.2,9,0.257,18,0.33299999999999996,6,53.6,45,0.519,20.9,21,52,0.5,26,0.0,0,"November 13, 2018",55.2,16,11.5,6,94.3,69.2,27,0.466,73,0.397,29,0.37,27,0.667,18,0,200,97.7,26.7,12,18,86,,11.4,10,0.479,35,0.28600000000000003,10,46.4,39,0.501,13.3,13,38,0.5,19,1.0,3,"FIU Arena, Miami, Florida",MILWAUKEE,Milwaukee,87.9,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,2,True,False,True,Home,True,10,19,73,39,84,6,26,70,1,0,23,62,163,0.5920245398773006,93,174,0.5344827586206896,16,26,135,0.37037037037037035,1.0
3,2018-11-16-18-fordham,44.4,12,3.3,1,101.2,74.2,23,0.426,68,0.397,27,0.41200000000000003,28,0.679,19,1,200,93.9,17.9,7,33,77,,13.4,11,0.41200000000000003,28,0.14300000000000002,4,42.9,30,0.474,12.0,11,40,0.575,23,0.75,3,"November 16, 2018",19.0,4,10.0,4,93.9,82.1,32,0.461,51,0.41200000000000003,21,0.843,43,0.8370000000000001,36,1,200,101.2,25.8,8,21,83,,3.7,3,0.41200000000000003,21,0.23800000000000002,5,57.1,40,0.581,18.6,16,30,0.5329999999999999,16,0.667,2,"Rose Hill Gym, Bronx, New York",FLORIDA-INTERNATIONAL,Florida International,82.4,Home,FORDHAM,Fordham,Florida International,cusa,3,False,False,False,Away,False,4,23,68,30,70,5,16,51,0,1,33,81,236,0.5529661016949152,132,258,0.5116279069767442,22,52,205,0.4146341463414634,1.0
4,2018-11-17-18-columbia,47.1,16,10.5,4,100.0,76.2,32,0.565,69,0.493,34,0.522,36,0.556,20,1,200,112.6,25.6,10,25,98,,10.3,9,0.391,27,0.37,10,51.9,42,0.569,14.2,14,42,0.5710000000000001,24,0.8,4,"November 17, 2018",62.1,18,9.5,4,112.6,74.4,29,0.523,66,0.439,29,0.439,29,0.621,18,3,200,100.0,23.8,10,27,87,,5.7,5,0.424,28,0.39299999999999996,11,48.1,39,0.545,15.1,14,38,0.474,18,0.0,0,"Rose Hill Gym, Bronx, New York",COLUMBIA,Columbia,86.9,Away,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,4,False,False,False,Away,True,10,24,69,42,81,11,18,66,1,0,37,104,304,0.524671052631579,162,328,0.49390243902439024,27,68,256,0.423828125,0.75
5,2018-11-18-12-florida-international,45.7,16,4.9,2,117.2,73.3,22,0.5489999999999999,72,0.486,35,0.319,23,0.609,14,4,200,106.9,52.6,20,28,93,,9.2,8,0.431,31,0.29,9,61.8,42,0.561,21.9,23,41,0.634,26,0.33299999999999996,2,"November 18, 2018",45.7,16,2.4,1,106.9,47.4,18,0.5920000000000001,65,0.5379999999999999,35,0.523,34,0.735,25,1,200,117.2,26.7,8,18,102,,11.5,10,0.369,24,0.292,7,38.2,26,0.628,14.9,14,41,0.6829999999999999,28,0.833,5,"Rose Hill Gym, Bronx, New York",YOUNGSTOWN-STATE,Youngstown State,86.5,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,5,True,False,True,Home,True,7,28,65,26,68,9,26,72,1,0,47,128,373,0.532171581769437,204,409,0.49877750611246946,38,86,322,0.4440993788819876,0.8
6,2018-11-23-17-florida-international,42.4,14,4.0,2,110.6,82.9,34,0.594,64,0.516,33,0.203,13,0.615,8,0,200,89.4,28.1,9,24,84,,5.3,5,0.344,22,0.455,10,58.9,43,0.599,30.8,31,42,0.5479999999999999,23,0.0,0,"November 23, 2018",42.1,16,4.8,2,89.4,71.9,23,0.5670000000000001,75,0.507,38,0.36,27,0.7040000000000001,19,1,200,110.6,17.1,7,18,104,,16.0,15,0.33299999999999996,25,0.36,9,41.1,30,0.5920000000000001,13.9,14,50,0.58,29,0.857,6,"FIU Arena, Miami, Florida","Ave Maria
			","Ave Maria
			",93.5,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,6,True,False,True,Home,True,9,29,75,30,73,10,23,64,1,0,54,156,438,0.541095890410959,230,477,0.48218029350104824,47,112,394,0.4631979695431472,0.8333333333333334
7,2018-11-28-19-florida-gulf-coast,46.9,15,8.9,4,103.9,45.7,16,0.594,64,0.5,32,0.188,12,0.41700000000000004,5,1,200,105.2,26.7,8,23,81,,11.7,9,0.516,33,0.364,12,36.9,24,0.581,19.7,17,31,0.645,20,0.875,7,"November 28, 2018",53.3,16,19.4,6,105.2,73.3,22,0.524,63,0.47600000000000003,30,0.413,26,0.5379999999999999,14,7,200,103.9,54.3,19,15,80,,7.8,6,0.28600000000000003,18,0.33299999999999996,6,63.1,41,0.531,19.5,18,45,0.5329999999999999,24,0.222,2,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,76.5,Away,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,7,False,False,False,Away,True,12,20,64,24,65,6,24,63,1,0,63,185,513,0.5448343079922028,260,550,0.4727272727272727,57,135,458,0.4814410480349345,0.8571428571428571
8,2018-12-01-20-arkansas,51.6,16,4.5,2,126.0,73.3,22,0.41,83,0.373,31,0.41,34,0.618,21,2,200,92.7,28.8,15,27,89,,8.3,8,0.446,37,0.162,6,45.1,37,0.449,12.5,14,46,0.5429999999999999,25,0.778,7,"December 1, 2018",64.3,27,23.9,11,92.7,71.2,37,0.703,69,0.609,42,0.565,39,0.615,24,1,200,126.0,26.7,8,28,121,,11.5,11,0.36200000000000004,25,0.52,13,54.9,45,0.691,14.0,14,44,0.659,29,0.833,5,"Bud Walton Arena, Fayetteville, Arkansas",FLORIDA-INTERNATIONAL,Florida International,95.8,Home,ARKANSAS,Arkansas,Florida International,cusa,8,False,False,False,Away,False,6,25,83,37,82,13,29,69,0,1,75,205,577,0.550259965337955,284,615,0.46178861788617886,63,159,521,0.4865642994241843,0.875
9,2018-12-13-19-florida-international,55.9,19,16.0,8,117.2,61.8,21,0.507,73,0.466,34,0.27399999999999997,20,0.75,15,7,200,102.3,41.0,16,23,89,,10.3,9,0.452,33,0.182,6,50.7,37,0.539,18.0,18,40,0.7,28,0.364,4,"December 13, 2018",55.6,20,15.0,6,102.3,59.0,23,0.555,73,0.493,36,0.384,28,0.75,21,2,200,117.2,38.2,13,19,102,,16.1,14,0.315,23,0.391,9,49.3,36,0.591,15.8,16,50,0.54,27,0.8,8,"FIU Arena, Miami, Florida",NORTH-FLORIDA,North Florida,86.9,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,9,True,False,True,Home,True,9,27,73,36,73,6,28,73,1,0,81,230,660,0.5325757575757576,321,697,0.460545193687231,76,188,590,0.511864406779661,0.7777777777777778
