,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HOFSTRA_homegame,HOFSTRA_homegame2,HOFSTRA_home,HOFSTRA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-19-hofstra,34.8,8,4.9,2,108.2,80.6,29,0.48200000000000004,56,0.41100000000000003,23,0.304,17,0.41200000000000003,7,2,197,83.6,8.1,3,18,61,,6.8,5,0.429,24,0.33299999999999996,8,43.8,32,0.47600000000000003,14.8,11,32,0.469,15,0.0,0,"November 9, 2018",51.7,15,12.5,4,83.6,91.9,34,0.523,64,0.45299999999999996,29,0.281,18,0.667,12,0,197,108.2,19.4,7,16,79,,8.2,6,0.359,23,0.391,9,56.2,41,0.544,10.0,8,41,0.488,20,1.0,1,"Mack Sports Complex, Hempstead, New York",MOUNT-ST-MARYS,Mount St. Mary's,73.9,Home,HOFSTRA,Hofstra,Hofstra,colonial,0,True,False,True,Home,True,9,20,64,41,73,8,15,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-14-marshall,26.9,7,5.3,2,101.3,72.7,24,0.49200000000000005,60,0.433,26,0.317,19,0.684,13,1,200,96.0,37.5,12,20,72,,9.3,7,0.317,19,0.368,7,55.4,36,0.522,21.7,19,41,0.46299999999999997,19,0.5,1,"November 11, 2018",44.8,13,9.8,4,96.0,62.5,20,0.524,62,0.46799999999999997,29,0.226,14,0.7859999999999999,11,0,200,101.3,27.3,9,21,76,,13.3,10,0.387,24,0.292,7,44.6,29,0.5539999999999999,17.0,14,38,0.579,22,1.0,2,"Henderson Center, Huntington, West Virginia",HOFSTRA,Hofstra,74.8,Home,MARSHALL,Marshall,Hofstra,colonial,1,False,False,False,Away,False,7,19,60,36,65,7,22,62,0,1,9,20,64,0.5234375,41,73,0.5616438356164384,8,15,56,0.48214285714285715,1.0
2,2018-11-14-19-hofstra,53.8,14,3.2,1,129.6,80.0,16,0.59,50,0.52,26,0.3,15,0.867,13,4,200,101.4,29.2,7,23,72,,8.5,6,0.4,20,0.35,7,52.3,23,0.63,24.1,18,30,0.633,19,0.0,0,"November 14, 2018",69.0,20,10.0,3,101.4,70.8,17,0.62,54,0.537,29,0.519,28,0.893,25,1,200,129.6,20.0,4,15,92,,16.9,12,0.426,23,0.391,9,47.7,21,0.684,14.2,11,31,0.645,20,0.667,2,"Mack Sports Complex, Hempstead, New York",NORTH-CAROLINA-AT,North Carolina A&T,71.2,Home,HOFSTRA,Hofstra,Hofstra,colonial,2,True,False,True,Home,True,9,20,54,21,44,7,19,50,1,0,16,39,124,0.5080645161290323,77,138,0.5579710144927537,15,37,118,0.5042372881355932,0.5
3,2018-11-16-19-maryland,36.4,8,4.8,2,121.2,56.3,18,0.5,53,0.415,22,0.377,20,0.8,16,2,200,104.5,17.9,5,15,69,,6.1,4,0.509,27,0.33299999999999996,9,38.3,23,0.552,10.2,7,26,0.5,13,0.5,2,"November 16, 2018",48.5,16,15.4,4,104.5,82.1,23,0.57,64,0.516,33,0.203,13,0.5379999999999999,7,0,200,121.2,43.8,14,16,80,,7.6,5,0.344,22,0.318,7,61.7,37,0.57,13.6,11,42,0.619,26,1.0,4,"Xfinity Center, College Park, Maryland",HOFSTRA,Hofstra,65.8,Home,MARYLAND,Maryland,Hofstra,colonial,3,False,False,False,Away,False,9,13,53,23,60,7,26,64,0,1,25,59,178,0.5421348314606742,98,182,0.5384615384615384,22,56,168,0.5297619047619048,0.6666666666666666
4,2018-11-21-19-hofstra,57.7,15,12.8,5,111.1,82.8,24,0.544,57,0.456,26,0.228,13,0.6920000000000001,9,4,200,98.6,15.6,5,20,71,,4.2,3,0.491,28,0.35700000000000004,10,47.5,29,0.562,17.2,13,29,0.552,16,0.33299999999999996,2,"November 21, 2018",55.2,16,3.4,1,98.6,84.4,27,0.5,63,0.46,29,0.317,20,0.85,17,2,200,111.1,17.2,5,13,80,,6.9,5,0.381,24,0.20800000000000002,5,52.5,32,0.552,7.7,6,39,0.615,24,0.6,3,"Mack Sports Complex, Hempstead, New York",CAL-STATE-FULLERTON,Cal State Fullerton,72.3,Home,HOFSTRA,Hofstra,Hofstra,colonial,4,True,False,True,Home,True,5,24,63,32,61,10,16,57,1,0,34,72,231,0.5324675324675324,121,242,0.5,29,82,232,0.540948275862069,0.5
5,2018-11-24-19-virginia-commonwealth,40.9,9,7.1,3,88.5,66.7,28,0.41700000000000004,60,0.36700000000000005,22,0.33299999999999996,20,0.85,17,3,225,85.9,21.9,7,14,67,,6.4,5,0.35,21,0.28600000000000003,6,47.3,35,0.48200000000000004,21.6,19,39,0.41,16,0.5,3,"November 24, 2018",50.0,15,12.8,5,85.9,78.1,25,0.45799999999999996,72,0.41700000000000004,30,0.083,6,0.5,3,1,225,88.5,33.3,14,20,69,,17.9,14,0.41700000000000004,30,0.2,6,52.7,39,0.461,14.8,13,42,0.5710000000000001,24,0.833,5,"Stuart Siegel Center, Richmond, Virginia",HOFSTRA,Hofstra,69.0,Home,VIRGINIA-COMMONWEALTH,VCU,Hofstra,colonial,5,False,False,False,Away,False,6,16,60,35,74,6,24,72,0,1,39,96,294,0.5255102040816326,153,303,0.504950495049505,39,98,289,0.5415224913494809,0.6
6,2018-11-28-19-hofstra,56.3,18,9.5,4,132.4,66.7,16,0.619,59,0.542,32,0.35600000000000004,21,0.619,13,5,200,121.1,25.8,8,20,86,,4.2,3,0.441,26,0.34600000000000003,9,43.6,24,0.623,13.9,11,33,0.6970000000000001,23,0.28600000000000003,2,"November 28, 2018",38.7,12,12.1,4,121.1,74.2,23,0.605,57,0.544,31,0.509,29,0.862,25,3,200,132.4,33.3,8,18,94,,9.9,7,0.263,15,0.467,7,56.4,31,0.664,10.3,8,42,0.5710000000000001,24,0.5710000000000001,4,"Mack Sports Complex, Hempstead, New York",SIENA,Siena,71.4,Home,HOFSTRA,Hofstra,Hofstra,colonial,6,True,False,True,Home,True,7,24,57,31,55,9,23,59,1,0,45,112,354,0.5070621468926554,188,377,0.4986737400530504,45,122,361,0.5249307479224377,0.5
7,2018-12-01-14-kennesaw-state,27.6,8,7.4,4,73.2,65.1,28,0.5820000000000001,55,0.527,29,0.327,18,0.778,14,3,200,109.9,21.4,6,15,78,,9.9,7,0.364,20,0.3,6,47.9,34,0.614,17.1,13,35,0.657,23,0.625,5,"December 1, 2018",61.1,11,2.9,1,109.9,78.6,22,0.28600000000000003,63,0.28600000000000003,18,0.27,17,0.941,16,8,200,73.2,34.9,15,19,52,,7.0,5,0.14300000000000002,9,0.0,0,52.1,37,0.366,17.5,15,54,0.33299999999999996,18,0.111,1,"KSU Convocation Center , Kennesaw, Georgia",KENNESAW-STATE,Kennesaw State,70.8,Away,HOFSTRA,Hofstra,Hofstra,colonial,7,False,False,False,Away,True,6,23,55,34,71,0,18,63,1,0,52,136,411,0.5206812652068127,219,432,0.5069444444444444,54,145,420,0.5380952380952381,0.5714285714285714
8,2018-12-05-19-hofstra,60.7,17,7.7,2,113.6,67.9,19,0.5820000000000001,55,0.509,28,0.218,12,0.75,9,10,200,110.6,33.3,9,17,73,,10.6,7,0.345,19,0.42100000000000004,8,50.9,28,0.601,18.8,14,36,0.556,20,0.0,0,"December 5, 2018",63.6,14,16.7,6,110.6,66.7,18,0.5710000000000001,49,0.449,22,0.531,26,0.731,19,3,200,113.6,32.1,9,12,75,,10.6,7,0.469,23,0.522,12,49.1,27,0.611,18.8,14,26,0.385,10,0.667,6,"Mack Sports Complex, Hempstead, New York",MONMOUTH,Monmouth,66.0,Home,HOFSTRA,Hofstra,Hofstra,colonial,8,True,False,True,Home,True,12,10,49,27,55,8,20,55,1,0,58,159,466,0.5278969957081545,253,503,0.5029821073558648,54,163,483,0.505175983436853,0.625
9,2018-12-08-16-hofstra,66.7,18,9.4,3,139.1,44.4,12,0.6809999999999999,47,0.574,27,0.426,20,0.45,9,3,200,114.1,20.0,5,24,73,,7.8,5,0.447,21,0.47600000000000003,10,32.7,17,0.6459999999999999,18.9,13,26,0.654,17,0.4,2,"December 8, 2018",71.0,22,3.8,1,114.1,80.0,20,0.612,58,0.534,31,0.36200000000000004,21,0.857,18,3,200,139.1,55.6,15,15,89,,7.8,5,0.44799999999999995,26,0.34600000000000003,9,67.3,35,0.655,12.9,10,32,0.688,22,0.7,7,"Mack Sports Complex, Hempstead, New York",RIDER,Rider,63.7,Home,HOFSTRA,Hofstra,Hofstra,colonial,9,True,False,True,Home,True,9,22,58,35,52,10,17,47,1,0,70,169,515,0.5320388349514563,280,558,0.5017921146953405,62,183,538,0.5130111524163569,0.6666666666666666
10,2018-12-10-19-manhattan,55.6,15,6.1,2,78.1,76.3,29,0.667,48,0.563,27,0.375,18,0.889,16,3,200,125.0,15.0,3,17,80,,7.8,5,0.354,17,0.588,10,55.2,32,0.7070000000000001,16.4,11,31,0.5479999999999999,17,0.727,8,"December 10, 2018",77.8,14,6.5,2,125.0,85.0,17,0.39799999999999996,54,0.33299999999999996,18,0.315,17,0.41200000000000003,7,7,200,78.1,23.7,9,18,50,,1.6,1,0.389,21,0.33299999999999996,7,44.8,26,0.40299999999999997,14.0,10,33,0.33299999999999996,11,0.222,2,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,63.8,Away,HOFSTRA,Hofstra,Hofstra,colonial,10,False,False,False,Away,True,10,17,48,32,58,7,11,54,1,0,79,191,573,0.5401396160558464,315,610,0.5163934426229508,72,200,585,0.5264957264957265,0.7
11,2018-12-19-19-stony-brook,42.3,11,14.6,7,90.1,70.0,28,0.483,60,0.433,26,0.3,18,0.722,13,3,200,100.0,31.4,11,12,71,,5.6,4,0.35,21,0.28600000000000003,6,52.0,39,0.518,16.1,13,39,0.513,20,0.75,9,"December 19, 2018",46.2,12,10.3,4,100.0,68.6,24,0.442,69,0.377,26,0.043,3,1.0,3,3,200,90.1,30.0,12,18,64,,9.9,7,0.304,21,0.429,9,48.0,36,0.45399999999999996,15.6,13,48,0.354,17,0.769,10,"Island Federal Credit Union, Stony Brook, New York",STONY-BROOK,Stony Brook,71.0,Away,HOFSTRA,Hofstra,Hofstra,colonial,11,False,False,False,Away,True,6,20,60,39,75,9,17,69,1,0,89,208,621,0.5499194847020934,347,668,0.5194610778443114,79,211,639,0.5156494522691706,0.7272727272727273
12,2018-12-22-13-hofstra,65.0,13,6.7,3,133.8,44.4,16,0.358,60,0.33299999999999996,20,0.317,19,0.579,11,0,200,67.5,14.0,6,19,54,,5.0,4,0.38299999999999995,23,0.13,3,27.8,22,0.391,19.0,16,37,0.45899999999999996,17,0.0,0,"December 22, 2018",63.4,26,5.4,2,67.5,86.0,37,0.596,78,0.526,41,0.26899999999999996,21,0.667,14,3,200,133.8,55.6,20,17,107,,16.3,13,0.423,33,0.33299999999999996,11,72.2,57,0.608,12.1,12,45,0.667,30,0.769,10,"Mack Sports Complex, Hempstead, New York","Rosemont
			","Rosemont
			",79.5,Home,HOFSTRA,Hofstra,Hofstra,colonial,12,True,False,True,Home,True,11,30,78,57,79,3,17,60,1,0,95,228,681,0.5440528634361234,386,743,0.5195154777927322,88,228,708,0.5084745762711864,0.75
