,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,JACKSONVILLE-STATE_homegame,JACKSONVILLE-STATE_homegame2,JACKSONVILLE-STATE_home,JACKSONVILLE-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-19-samford,40.9,9,15.2,5,112.2,83.3,20,0.42100000000000004,57,0.386,22,0.614,35,0.6859999999999999,24,1,200,87.8,27.8,10,28,72,,9.8,8,0.228,13,0.308,4,50.0,30,0.489,19.9,18,44,0.409,18,0.0,0,"November 9, 2018",57.1,16,11.4,5,87.8,72.2,26,0.647,51,0.5489999999999999,28,0.6859999999999999,35,0.743,26,0,200,112.2,16.7,4,28,92,,15.9,13,0.353,18,0.556,10,50.0,30,0.68,22.2,19,33,0.545,18,1.0,2,"Pete Hanna Center, Birmingham, Alabama",JACKSONVILLE-STATE,Jacksonville State,82.1,Home,SAMFORD,Samford,Jacksonville State,ovc,0,False,False,False,Away,False,4,18,57,30,60,10,18,51,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-12-19-penn-state,26.1,6,9.4,3,110.1,67.6,25,0.42200000000000004,58,0.397,23,0.276,16,0.75,12,2,200,88.4,38.7,12,22,61,,7.2,5,0.24100000000000002,14,0.214,3,54.4,37,0.465,19.7,16,44,0.455,20,0.0,0,"November 12, 2018",38.5,10,6.8,3,88.4,61.3,19,0.484,64,0.406,26,0.32799999999999996,21,0.667,14,0,200,110.1,32.4,12,17,76,,10.1,7,0.5,32,0.313,10,45.6,31,0.514,7.6,6,32,0.5,16,1.0,2,"Bryce Jordan Center, University Park, Pennsylvania",JACKSONVILLE-STATE,Jacksonville State,68.8,Home,PENN-STATE,Penn State,Jacksonville State,ovc,1,False,False,False,Away,False,3,20,58,37,68,10,16,64,0,1,4,18,57,0.42105263157894735,30,60,0.5,10,18,51,0.6470588235294118,0.0
2,2018-11-14-20-bradley,84.6,22,5.9,2,108.8,81.0,17,0.526,57,0.456,26,0.158,9,0.556,5,3,200,95.6,22.6,7,23,65,,10.3,7,0.33299999999999996,19,0.42100000000000004,8,46.2,24,0.53,18.7,14,38,0.474,18,0.0,0,"November 14, 2018",69.2,18,10.5,4,95.6,77.4,24,0.596,47,0.5529999999999999,26,0.511,24,0.75,18,0,200,108.8,19.0,4,16,74,,11.8,8,0.27699999999999997,13,0.308,4,53.8,28,0.634,19.6,14,34,0.647,22,1.0,3,"Carver Arena, Peoria, Illinois",JACKSONVILLE-STATE,Jacksonville State,68.3,Home,BRADLEY,Bradley,Jacksonville State,ovc,2,False,False,False,Away,False,8,18,57,24,52,4,22,47,0,1,7,38,115,0.4217391304347826,67,128,0.5234375,20,34,115,0.5565217391304348,0.0
3,2018-11-20-12-jacksonville-state,42.9,9,2.2,1,107.7,83.3,25,0.455,56,0.375,21,0.071,4,0.5,2,4,200,67.9,48.6,17,19,53,,5.1,4,0.518,29,0.31,9,64.6,42,0.45799999999999996,37.1,34,27,0.444,12,0.2,1,"November 20, 2018",50.0,16,18.5,5,67.9,51.4,18,0.5479999999999999,62,0.516,32,0.387,24,0.667,16,3,200,107.7,16.7,5,15,84,,24.4,19,0.27399999999999997,17,0.235,4,35.4,23,0.5720000000000001,15.2,13,45,0.622,28,0.25,1,"Hard Rock Hotel Riviera Maya, Cancun",WESTERN-CAROLINA,Western Carolina,78.2,Home,JACKSONVILLE-STATE,Jacksonville State,Jacksonville State,ovc,3,True,False,True,Home,True,4,28,62,23,65,9,12,56,1,0,15,56,172,0.4563953488372093,91,180,0.5055555555555555,24,56,162,0.5679012345679012,0.0
4,2018-11-21-15-jacksonville-state,67.9,19,2.2,1,115.3,66.7,20,0.565,62,0.452,28,0.21,13,0.615,8,4,200,108.3,33.3,11,19,78,,5.6,4,0.581,36,0.389,14,49.2,31,0.5720000000000001,19.1,16,26,0.5379999999999999,14,0.33299999999999996,2,"November 21, 2018",41.4,12,11.5,3,108.3,66.7,22,0.544,57,0.509,29,0.439,25,0.84,21,3,200,115.3,33.3,10,13,83,,15.3,11,0.21100000000000002,12,0.33299999999999996,4,50.8,32,0.603,15.0,12,45,0.556,25,0.4,2,"Hard Rock Hotel Riviera Maya, Cancun",NORTH-FLORIDA,North Florida,72.0,Home,JACKSONVILLE-STATE,Jacksonville State,Jacksonville State,ovc,4,True,False,True,Home,True,4,25,57,32,63,14,14,62,1,0,19,84,234,0.4807692307692308,114,245,0.46530612244897956,33,68,218,0.5389908256880734,0.25
5,2018-11-28-12-jacksonville-state,62.5,15,8.8,5,121.7,61.0,25,0.433,67,0.358,24,0.045,3,1.0,3,0,200,73.5,12.5,5,21,61,,4.8,4,0.38799999999999996,26,0.385,10,37.0,30,0.446,23.5,21,41,0.341,14,0.0,0,"November 28, 2018",47.4,18,24.4,10,73.5,87.5,35,0.526,78,0.48700000000000004,38,0.321,25,0.76,19,3,200,121.7,39.0,16,7,101,,14.5,12,0.26899999999999996,21,0.28600000000000003,6,63.0,51,0.562,8.2,8,57,0.561,32,0.5,3,"Pete Mathews Coliseum, Jacksonville, Alabama","Carver College
			","Carver College
			",83.2,Home,JACKSONVILLE-STATE,Jacksonville State,Jacksonville State,ovc,5,True,False,True,Home,True,6,32,78,51,81,10,14,67,1,0,23,109,291,0.49312714776632305,146,308,0.474025974025974,47,82,280,0.5446428571428571,0.4
6,2018-12-01-13-north-alabama,46.4,13,17.9,5,86.7,73.5,25,0.508,60,0.467,28,0.433,26,0.5770000000000001,15,3,200,101.3,23.7,9,22,76,,8.0,6,0.28300000000000003,17,0.294,5,47.2,34,0.525,12.3,10,43,0.535,23,0.5710000000000001,4,"December 1, 2018",68.4,13,9.3,4,101.3,76.3,29,0.381,59,0.322,19,0.45799999999999996,27,0.741,20,6,200,86.7,26.5,9,25,65,,4.0,3,0.525,31,0.226,7,52.8,38,0.452,16.5,14,28,0.429,12,0.25,2,"Flowers Hall, Florence, Alabama",NORTH-ALABAMA,North Alabama,75.1,Away,JACKSONVILLE-STATE,Jacksonville State,Jacksonville State,ovc,6,False,False,False,Away,True,5,23,60,34,72,7,12,59,1,0,29,141,369,0.5,197,389,0.506426735218509,57,96,347,0.5230547550432276,0.5
7,2018-12-08-17-delaware-state,48.4,15,16.7,5,70.1,89.5,34,0.557,61,0.508,31,0.295,18,0.722,13,3,200,105.2,36.7,11,20,81,,11.7,9,0.295,18,0.33299999999999996,6,66.2,45,0.5820000000000001,22.5,20,43,0.581,25,0.625,5,"December 8, 2018",38.9,7,0.0,0,105.2,63.3,19,0.386,57,0.316,18,0.263,15,0.667,10,8,200,70.1,10.5,4,17,54,,7.8,6,0.474,27,0.29600000000000004,8,33.8,23,0.42100000000000004,19.1,15,30,0.33299999999999996,10,0.2,2,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,76.8,Away,JACKSONVILLE-STATE,Jacksonville State,Jacksonville State,ovc,7,False,False,False,Away,True,6,25,61,45,68,8,10,57,1,0,34,164,429,0.5011655011655012,231,461,0.5010845986984815,64,108,406,0.5024630541871922,0.5714285714285714
8,2018-12-12-20-wichita-state,50.0,12,10.2,5,93.2,64.9,24,0.429,63,0.381,24,0.20600000000000002,13,0.846,11,4,200,87.8,16.7,6,15,65,,9.5,7,0.23800000000000002,15,0.4,6,41.1,30,0.47,14.9,12,48,0.375,18,0.556,5,"December 12, 2018",41.4,12,8.3,4,87.8,83.3,30,0.47,67,0.433,29,0.149,10,0.6,6,4,200,93.2,35.1,13,15,69,,5.4,4,0.26899999999999996,18,0.278,5,58.9,43,0.48100000000000004,16.4,14,49,0.49,24,0.556,5,"Charles Koch Arena, Wichita, Kansas",JACKSONVILLE-STATE,Jacksonville State,74.0,Home,WICHITA-STATE,Wichita State,Jacksonville State,ovc,8,False,False,False,Away,False,6,18,63,30,73,5,24,67,0,1,40,189,490,0.5081632653061224,276,529,0.5217391304347826,72,118,463,0.48812095032397407,0.625
9,2018-12-15-14-evansville,61.9,13,14.8,4,71.4,92.3,36,0.408,60,0.35,21,0.133,8,0.75,6,4,200,78.6,22.5,9,18,55,,8.6,6,0.38299999999999995,23,0.304,7,57.0,45,0.431,21.1,17,37,0.37799999999999995,14,0.6,6,"December 15, 2018",62.5,10,8.1,3,78.6,77.5,31,0.365,52,0.308,16,0.327,17,0.706,12,5,200,71.4,7.7,3,13,50,,15.7,11,0.48100000000000004,25,0.24,6,43.0,34,0.41600000000000004,16.8,12,27,0.37,10,0.5,5,"Ford Center, Evansville, Indiana",EVANSVILLE,Evansville,70.4,Away,JACKSONVILLE-STATE,Jacksonville State,Jacksonville State,ovc,9,False,False,False,Away,True,7,14,60,45,79,6,10,52,1,0,46,207,553,0.49909584086799275,306,602,0.5083056478405316,77,142,530,0.4858490566037736,0.5555555555555556
