,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,KENT-STATE_homegame,KENT-STATE_homegame2,KENT-STATE_home,KENT-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-10-19-cleveland-state,58.3,14,5.9,2,100.0,86.8,33,0.483,58,0.414,24,0.655,38,0.711,27,0,200,105.1,22.9,8,27,83,,3.8,3,0.397,23,0.348,8,56.2,41,0.546,13.8,12,35,0.457,16,1.0,1,"November 10, 2018",48.1,13,11.4,4,105.1,77.1,27,0.508,61,0.44299999999999995,27,0.525,32,0.531,17,2,200,100.0,13.2,5,23,79,,6.3,5,0.44299999999999995,27,0.29600000000000004,8,43.8,32,0.518,8.5,7,34,0.5589999999999999,19,0.0,0,"Wolstein Center, Cleveland, Ohio",CLEVELAND-STATE,Cleveland State,79.1,Away,KENT-STATE,Kent State,Kent State,mac,0,False,False,False,Away,True,8,16,58,41,73,8,19,61,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-19-kent-state,61.5,16,10.7,6,125.0,51.4,19,0.525,59,0.441,26,0.136,8,0.875,7,0,200,95.8,23.3,7,15,69,,5.6,4,0.508,30,0.33299999999999996,10,38.8,26,0.5489999999999999,22.4,18,29,0.552,16,0.0,0,"November 13, 2018",54.1,20,10.3,3,95.8,76.7,23,0.561,74,0.5,37,0.18899999999999997,14,0.5,7,0,200,125.0,48.6,18,9,90,,11.1,8,0.243,18,0.5,9,61.2,41,0.5579999999999999,9.1,8,56,0.5,28,1.0,2,"Memorial Athletic & Convocation Center, Kent, Ohio","Shawnee State
			","Shawnee State
			",72.2,Home,KENT-STATE,Kent State,Kent State,mac,1,True,False,True,Home,True,9,28,74,41,67,10,16,59,1,0,8,16,58,0.4827586206896552,41,73,0.5616438356164384,8,19,61,0.5081967213114754,1.0
2,2018-11-16-19-kent-state,65.5,19,8.8,3,102.9,71.0,22,0.598,56,0.518,29,0.23199999999999998,13,0.769,10,0,200,113.2,25.0,6,24,77,,10.3,7,0.33899999999999997,19,0.474,9,50.9,28,0.619,17.4,13,37,0.541,20,1.0,3,"November 16, 2018",40.0,8,10.8,4,113.2,75.0,18,0.449,49,0.408,20,0.755,37,0.703,26,1,200,102.9,29.0,9,19,70,,10.3,7,0.306,15,0.267,4,49.1,27,0.526,13.3,10,34,0.47100000000000003,16,0.667,2,"Memorial Athletic & Convocation Center, Kent, Ohio",KENT-STATE,Kent State,68.4,Away,LIBERTY,Liberty,Kent State,mac,2,False,True,True,Home,False,4,16,49,27,55,9,20,56,0,1,17,44,132,0.5265151515151515,82,140,0.5857142857142857,18,35,120,0.5166666666666667,1.0
3,2018-11-18-16-kent-state,38.9,7,5.9,2,111.3,66.7,18,0.436,47,0.38299999999999995,18,0.27699999999999997,13,0.5379999999999999,7,3,200,67.6,21.4,6,16,48,,7.0,5,0.38299999999999995,18,0.278,5,43.6,24,0.451,29.4,22,29,0.44799999999999995,13,0.25,1,"November 18, 2018",56.7,17,17.2,5,67.6,78.6,22,0.5660000000000001,61,0.49200000000000005,30,0.262,16,0.625,10,1,200,111.3,33.3,9,15,79,,14.1,10,0.44299999999999995,27,0.33299999999999996,9,56.4,31,0.5760000000000001,16.0,13,34,0.618,21,0.75,3,"Memorial Athletic & Convocation Center, Kent, Ohio",ALCORN-STATE,Alcorn State,70.9,Home,KENT-STATE,Kent State,Kent State,mac,3,True,False,True,Home,True,9,21,61,31,55,5,13,47,1,0,21,60,181,0.505524861878453,109,195,0.558974358974359,27,55,176,0.5426136363636364,0.6666666666666666
4,2018-11-20-19-kent-state,46.7,14,4.9,2,120.9,61.0,25,0.455,77,0.39,30,0.33799999999999997,26,0.5379999999999999,14,4,200,97.7,32.7,16,19,84,,10.5,9,0.46799999999999997,36,0.278,10,45.6,41,0.47,13.7,14,41,0.488,20,0.33299999999999996,2,"November 20, 2018",73.0,27,19.5,8,97.7,67.3,33,0.5579999999999999,77,0.48100000000000004,37,0.299,23,0.7829999999999999,18,1,200,120.9,39.0,16,22,104,,4.7,4,0.46799999999999997,36,0.33299999999999996,12,54.4,49,0.591,13.0,13,41,0.61,25,0.8,4,"Memorial Athletic & Convocation Center, Kent, Ohio",SAVANNAH-STATE,Savannah State,86.1,Home,KENT-STATE,Kent State,Kent State,mac,4,True,False,True,Home,True,12,25,77,49,90,10,20,77,1,0,30,81,242,0.5206611570247934,140,250,0.56,32,68,223,0.5201793721973094,0.75
5,2018-11-23-17-vanderbilt,60.0,15,12.5,5,107.1,58.8,20,0.5539999999999999,56,0.446,25,0.35700000000000004,20,0.75,15,1,200,110.0,12.5,4,20,77,,18.6,13,0.429,24,0.5,12,36.4,24,0.588,9.7,7,32,0.406,13,0.833,5,"November 23, 2018",55.6,15,6.3,2,110.0,87.5,28,0.509,58,0.466,27,0.466,27,0.593,16,1,200,107.1,41.2,14,18,75,,2.9,2,0.31,18,0.278,5,63.6,42,0.529,17.7,15,40,0.55,22,0.8,4,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,70.2,Away,KENT-STATE,Kent State,Kent State,mac,5,False,False,False,Away,True,12,13,56,24,66,5,22,58,1,0,42,106,319,0.5297805642633229,189,340,0.5558823529411765,42,88,300,0.5033333333333333,0.8
6,2018-11-28-19-detroit-mercy,69.6,16,2.5,1,102.9,61.1,22,0.452,62,0.371,23,0.387,24,0.833,20,1,200,108.6,48.5,16,16,76,,10.0,7,0.5,31,0.32299999999999995,10,55.1,38,0.518,16.2,14,31,0.419,13,0.857,6,"November 28, 2018",34.6,9,9.7,3,108.6,51.5,17,0.45299999999999996,64,0.406,26,0.281,18,0.778,14,4,200,102.9,38.9,14,17,72,,15.7,11,0.375,24,0.25,6,44.9,31,0.496,12.2,10,40,0.5,20,0.429,3,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,70.0,Away,KENT-STATE,Kent State,Kent State,mac,6,False,False,False,Away,True,10,13,62,38,69,6,20,64,1,0,54,119,375,0.5333333333333333,213,406,0.5246305418719212,47,110,358,0.5041899441340782,0.8333333333333334
7,2018-12-01-16-kent-state,54.5,12,9.7,3,104.0,76.7,23,0.451,51,0.431,22,0.5489999999999999,28,0.75,21,6,200,89.3,28.0,7,22,67,,10.7,8,0.255,13,0.154,2,54.5,30,0.521,23.1,19,38,0.526,20,0.4,4,"December 1, 2018",64.0,16,2.6,1,89.3,72.0,18,0.536,56,0.446,25,0.48200000000000004,27,0.667,18,1,200,104.0,23.3,7,21,78,,12.0,9,0.446,25,0.4,10,45.5,25,0.5670000000000001,15.0,12,31,0.484,15,0.875,7,"Memorial Athletic & Convocation Center, Kent, Ohio",NORFOLK-STATE,Norfolk State,75.1,Home,KENT-STATE,Kent State,Kent State,mac,7,True,False,True,Home,True,10,15,56,25,55,2,20,51,1,0,64,132,437,0.5217391304347826,251,475,0.5284210526315789,53,130,422,0.49644549763033174,0.8571428571428571
8,2018-12-08-16-kent-state,44.0,11,10.0,4,127.7,67.7,21,0.588,51,0.49,25,0.373,19,0.8420000000000001,16,6,200,116.9,16.7,4,20,76,,4.6,3,0.431,22,0.455,10,45.5,25,0.633,11.9,8,29,0.517,15,0.4,4,"December 8, 2018",36.7,11,6.9,2,116.9,83.3,20,0.588,57,0.526,30,0.42100000000000004,24,0.667,16,1,200,127.7,32.3,10,18,83,,6.2,4,0.298,17,0.41200000000000003,7,54.5,30,0.607,10.6,8,40,0.575,23,0.889,8,"Memorial Athletic & Convocation Center, Kent, Ohio",WRIGHT-STATE,Wright State,65.2,Home,KENT-STATE,Kent State,Kent State,mac,8,True,False,True,Home,True,7,23,57,30,55,10,15,51,1,0,74,147,493,0.5233265720081136,276,530,0.5207547169811321,55,150,473,0.4915433403805497,0.875
9,2018-12-15-16-louisville,54.2,13,6.1,2,129.7,64.3,18,0.5670000000000001,52,0.462,24,0.308,16,0.688,11,2,200,109.4,24.1,7,21,70,,7.8,5,0.462,24,0.45799999999999996,11,43.9,25,0.5870000000000001,15.7,11,28,0.46399999999999997,13,0.8,8,"December 15, 2018",53.8,14,7.1,2,109.4,75.9,22,0.598,51,0.51,26,0.569,29,0.759,22,3,200,129.7,35.7,10,19,83,,7.8,5,0.353,18,0.5,9,56.1,32,0.6409999999999999,13.6,10,33,0.515,17,0.727,8,"KFC Yum! Center, Louisville, Kentucky",KENT-STATE,Kent State,64.2,Home,LOUISVILLE,Louisville,Kent State,mac,9,False,False,False,Away,False,11,13,52,25,57,9,17,51,0,1,81,170,550,0.53,306,585,0.5230769230769231,65,165,524,0.5009541984732825,0.8888888888888888
