,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MCNEESE-STATE_homegame,MCNEESE-STATE_homegame2,MCNEESE-STATE_home,MCNEESE-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-22-saint-marys-ca,37.0,10,0.0,0,133.8,70.4,19,0.49200000000000005,59,0.45799999999999996,27,0.203,12,0.583,7,1,200,100.0,31.4,11,13,65,,3.1,2,0.237,14,0.28600000000000003,4,48.4,30,0.502,16.8,13,45,0.511,23,0.0,0,"November 7, 2018",53.1,17,4.4,2,100.0,68.6,24,0.642,60,0.5329999999999999,32,0.217,13,0.769,10,0,200,133.8,29.6,8,18,87,,15.4,10,0.517,31,0.419,13,51.6,32,0.657,7.1,5,29,0.655,19,1.0,1,"McKeon Pavilion, Moraga, California",MCNEESE-STATE,McNeese State,64.9,Home,SAINT-MARYS-CA,Saint Mary's,McNeese State,southland,0,False,False,False,Away,False,4,23,59,30,62,13,19,60,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-21-arizona-state,66.7,10,2.6,1,114.3,62.5,20,0.37200000000000005,47,0.319,15,0.617,29,0.586,17,2,200,74.3,21.2,7,22,52,,1.4,1,0.426,20,0.25,5,41.5,27,0.428,22.1,17,27,0.37,10,0.0,0,"November 9, 2018",55.6,15,22.2,6,74.3,78.8,26,0.509,58,0.466,27,0.466,27,0.778,21,0,200,114.3,37.5,12,23,80,,12.9,9,0.32799999999999996,19,0.263,5,58.5,38,0.565,13.6,11,39,0.564,22,1.0,2,"Wells Fargo Arena, Tempe, Arizona",MCNEESE-STATE,McNeese State,70.3,Home,ARIZONA-STATE,Arizona State,McNeese State,southland,1,False,False,False,Away,False,5,10,47,27,65,5,22,58,0,1,4,23,59,0.4915254237288136,30,62,0.4838709677419355,13,19,60,0.6416666666666667,0.0
2,2018-11-16-19-mcneese-state,27.3,9,6.1,2,95.1,70.6,24,0.48700000000000004,75,0.44,33,0.133,10,0.6,6,0,200,96.3,28.9,11,18,79,,8.5,7,0.267,20,0.35,7,48.6,35,0.495,16.8,16,55,0.473,26,0.0,0,"November 16, 2018",57.1,16,20.0,11,96.3,71.1,27,0.516,63,0.444,28,0.27,17,0.765,13,3,200,95.1,29.4,10,17,78,,3.7,3,0.47600000000000003,30,0.3,9,51.4,37,0.5489999999999999,20.3,18,33,0.5760000000000001,19,0.0,0,"H&HP Complex, Lake Charles, Louisiana",MCNEESE-STATE,McNeese State,81.9,Away,"Loyola (LA)
			","Loyola (LA)
			",McNeese State,southland,2,False,True,True,Home,False,9,19,63,37,72,7,26,75,0,1,9,33,106,0.4386792452830189,57,127,0.44881889763779526,18,41,118,0.576271186440678,0.0
3,2018-11-20-19-mcneese-state,48.0,12,4.2,2,108.8,51.4,18,0.509,57,0.439,25,0.08800000000000001,5,0.4,2,0,200,88.2,6.7,2,22,60,,8.8,6,0.281,16,0.5,8,30.8,20,0.505,18.0,13,41,0.415,17,0.0,0,"November 20, 2018",58.6,17,17.1,7,88.2,93.3,28,0.49200000000000005,61,0.475,29,0.361,22,0.636,14,3,200,108.8,48.6,17,9,74,,8.8,6,0.213,13,0.154,2,69.2,45,0.518,13.5,11,48,0.563,27,0.25,1,"H&HP Complex, Lake Charles, Louisiana","Mobile
			","Mobile
			",67.9,Home,MCNEESE-STATE,McNeese State,McNeese State,southland,3,True,False,True,Home,True,2,27,61,45,65,8,17,57,1,0,18,52,169,0.46745562130177515,94,199,0.4723618090452261,25,67,193,0.5414507772020726,0.0
4,2018-11-23-19-mcneese-state,64.7,11,2.9,1,112.7,69.2,18,0.33899999999999997,56,0.304,17,0.08900000000000001,5,0.8,4,0,200,59.2,13.5,5,27,42,,8.5,6,0.321,18,0.222,4,36.5,23,0.36,22.6,17,38,0.342,13,0.0,0,"November 23, 2018",55.6,15,10.5,4,59.2,86.5,32,0.5670000000000001,52,0.519,27,0.635,33,0.636,21,3,200,112.7,30.8,8,14,80,,11.3,8,0.34600000000000003,18,0.278,5,63.5,40,0.591,14.2,11,34,0.647,22,0.4,2,"H&HP Complex, Lake Charles, Louisiana","Mississippi College
			","Mississippi College
			",70.5,Home,MCNEESE-STATE,McNeese State,McNeese State,southland,4,True,False,True,Home,True,5,22,52,40,63,4,13,56,1,0,20,79,230,0.47391304347826085,139,264,0.5265151515151515,33,84,250,0.534,0.25
5,2018-11-29-20-southern-methodist,65.2,15,7.9,3,142.2,50.0,14,0.51,49,0.469,23,0.245,12,0.75,9,4,200,92.2,22.2,6,14,59,,3.1,2,0.34700000000000003,17,0.235,4,36.4,20,0.539,21.7,15,32,0.594,19,0.33299999999999996,2,"November 29, 2018",68.6,24,9.4,3,92.2,77.8,21,0.604,67,0.522,35,0.16399999999999998,11,0.909,10,3,200,142.2,50.0,14,13,91,,15.6,10,0.433,29,0.379,11,63.6,35,0.63,7.7,6,38,0.632,24,0.625,5,"Moody Coliseum, Dallas, Texas",MCNEESE-STATE,McNeese State,64.0,Home,SOUTHERN-METHODIST,SMU,McNeese State,southland,5,False,False,False,Away,False,4,19,49,20,55,11,24,67,0,1,25,101,282,0.49113475177304966,179,327,0.5474006116207951,37,97,306,0.49836601307189543,0.4
6,2018-12-01-16-north-carolina-central,52.0,13,7.7,3,101.5,72.7,24,0.518,55,0.455,25,0.273,15,0.6,9,5,200,100.0,35.5,11,16,66,,1.5,1,0.273,15,0.467,7,54.7,35,0.531,16.3,12,40,0.45,18,0.28600000000000003,2,"December 1, 2018",44.0,11,7.5,3,100.0,64.5,20,0.45799999999999996,60,0.41700000000000004,25,0.25,15,0.8,12,5,200,101.5,27.3,9,18,67,,7.6,5,0.35,21,0.23800000000000002,5,45.3,29,0.499,13.1,10,39,0.513,20,0.444,4,"McLendon-McDougald Gym, Durham, North Carolina",MCNEESE-STATE,McNeese State,65.6,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,McNeese State,southland,6,False,False,False,Away,False,7,18,55,35,64,5,20,60,0,1,29,120,331,0.49395770392749244,199,382,0.5209424083769634,48,121,373,0.517426273458445,0.3333333333333333
7,2018-12-04-20-mississippi-state,37.9,11,8.8,3,128.6,52.9,18,0.65,50,0.58,29,0.36,18,0.667,12,6,200,110.0,16.7,4,16,77,,7.1,5,0.26,13,0.5379999999999999,7,37.9,22,0.6579999999999999,19.5,14,37,0.595,22,0.25,2,"December 4, 2018",48.3,14,16.2,6,110.0,83.3,20,0.5539999999999999,65,0.446,29,0.385,25,0.72,18,1,200,128.6,47.1,16,17,90,22.0,8.6,6,0.47700000000000004,31,0.452,14,62.1,36,0.585,11.6,10,34,0.441,15,0.875,7,"Humphrey Coliseum, Starkville, Mississippi",MCNEESE-STATE,McNeese State,69.7,Home,MISSISSIPPI-STATE,Mississippi State,McNeese State,southland,7,False,False,False,Away,False,7,22,50,22,58,14,15,65,0,1,36,138,386,0.49740932642487046,234,446,0.5246636771300448,53,141,433,0.5092378752886836,0.2857142857142857
8,2018-12-13-19-mcneese-state,66.7,16,2.8,1,111.6,59.3,16,0.509,56,0.429,24,0.161,9,0.444,4,7,200,88.4,29.4,10,18,61,,7.2,5,0.429,24,0.375,9,42.6,26,0.506,23.1,18,32,0.469,15,0.364,4,"December 13, 2018",64.0,16,3.1,1,88.4,70.6,24,0.51,51,0.49,25,0.569,29,0.862,25,6,200,111.6,40.7,11,12,77,,10.1,7,0.294,15,0.133,2,57.4,35,0.594,20.1,16,36,0.639,23,0.33299999999999996,3,"H&HP Complex, Lake Charles, Louisiana",NORTH-CAROLINA-CENTRAL,North Carolina Central,69.0,Home,MCNEESE-STATE,McNeese State,McNeese State,southland,8,True,False,True,Home,True,2,23,51,35,61,9,15,56,1,0,43,160,436,0.5149082568807339,256,504,0.5079365079365079,67,156,498,0.5150602409638554,0.25
9,2018-12-15-19-missouri-kansas-city,51.9,14,3.7,1,115.9,91.3,21,0.528,54,0.5,27,0.24100000000000002,13,0.769,10,7,200,97.1,39.1,9,18,67,,7.2,5,0.259,14,0.214,3,65.2,30,0.557,25.1,20,40,0.6,24,0.3,3,"December 15, 2018",55.2,16,2.5,1,97.1,60.9,14,0.6759999999999999,51,0.569,29,0.314,16,0.688,11,8,200,115.9,8.7,2,15,80,,11.6,8,0.47100000000000003,24,0.45799999999999996,11,34.8,16,0.6829999999999999,14.7,10,27,0.667,18,0.33299999999999996,4,"Municipal Auditorium, Kansas City, Missouri",MCNEESE-STATE,McNeese State,68.9,Home,MISSOURI-KANSAS-CITY,UMKC,McNeese State,southland,9,False,False,False,Away,False,3,24,54,30,46,11,18,51,0,1,45,183,487,0.5143737166324436,291,565,0.5150442477876106,76,171,554,0.5144404332129964,0.3333333333333333
