,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MERCER_homegame,MERCER_homegame2,MERCER_home,MERCER_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-alabama-birmingham,52.4,11,0.0,0,94.9,57.1,16,0.40700000000000003,59,0.35600000000000004,21,0.424,25,0.76,19,1,200,84.8,19.4,7,25,67,,7.6,6,0.441,26,0.231,6,35.9,23,0.473,20.5,18,33,0.455,15,0.0,0,"November 6, 2018",38.1,8,18.2,6,84.8,80.6,29,0.426,54,0.389,21,0.648,35,0.8290000000000001,29,0,200,94.9,42.9,12,25,75,,10.1,8,0.426,23,0.174,4,64.1,41,0.531,20.6,18,31,0.5479999999999999,17,1.0,1,"Bartow Arena, Birmingham, Alabama",MERCER,Mercer,79.3,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,Mercer,southern,0,False,False,False,Away,False,6,15,59,23,64,4,17,54,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-mercer,75.0,15,2.6,1,132.9,58.6,17,0.369,65,0.308,20,0.12300000000000001,8,0.5,4,0,200,65.8,20.9,9,24,52,,5.1,4,0.4,26,0.308,8,36.1,26,0.37799999999999995,22.6,20,39,0.308,12,0.0,0,"November 9, 2018",51.5,17,23.1,9,65.8,79.1,34,0.619,63,0.524,33,0.635,40,0.675,27,1,200,132.9,41.4,12,10,105,,17.7,14,0.381,24,0.5,12,63.9,46,0.64,9.0,8,39,0.5379999999999999,21,0.5,1,"Hawkins Arena, Macon, Georgia","Piedmont
			","Piedmont
			",78.9,Home,MERCER,Mercer,Mercer,southern,1,True,False,True,Home,True,12,21,63,46,72,8,12,65,1,0,6,15,59,0.4067796610169492,23,64,0.359375,4,17,54,0.42592592592592593,0.0
2,2018-11-13-19-georgia-state,60.9,14,5.3,1,93.9,81.3,26,0.457,58,0.397,23,0.172,10,0.7,7,2,200,90.9,29.0,9,14,60,,4.5,3,0.44799999999999995,26,0.26899999999999996,7,55.6,35,0.478,17.2,13,32,0.5,16,0.33299999999999996,1,"November 13, 2018",56.5,13,15.6,5,90.9,71.0,22,0.565,54,0.426,23,0.111,6,0.16699999999999998,1,1,200,93.9,18.8,6,15,62,,10.6,7,0.648,35,0.429,15,44.4,28,0.545,19.8,14,19,0.42100000000000004,8,0.667,2,"GSU Sports Arena, Atlanta, Georgia",MERCER,Mercer,65.8,Home,GEORGIA-STATE,Georgia State,Mercer,southern,2,False,False,False,Away,False,7,16,58,35,63,15,8,54,0,1,18,36,122,0.5163934426229508,69,136,0.5073529411764706,12,29,119,0.3949579831932773,0.5
3,2018-11-16-19-mercer,41.7,10,9.4,3,113.2,63.3,19,0.442,60,0.4,24,0.183,11,0.636,7,2,200,88.2,45.2,14,16,60,,2.9,2,0.35,21,0.23800000000000002,5,54.1,33,0.46,20.8,17,39,0.48700000000000004,19,0.33299999999999996,1,"November 16, 2018",60.7,17,2.6,1,88.2,54.8,17,0.5489999999999999,61,0.45899999999999996,28,0.24600000000000002,15,0.667,10,2,200,113.2,36.7,11,15,77,,7.4,5,0.475,29,0.379,11,45.9,28,0.565,14.0,11,32,0.531,17,0.5,2,"Hawkins Arena, Macon, Georgia",TENNESSEE-MARTIN,UT-Martin,68.2,Home,MERCER,Mercer,Mercer,southern,3,True,False,True,Home,True,11,17,61,28,61,5,19,60,1,0,25,52,180,0.49722222222222223,104,199,0.5226130653266332,27,37,173,0.4479768786127168,0.3333333333333333
4,2018-11-20-19-mercer,26.7,4,8.8,3,119.4,62.5,15,0.35100000000000003,47,0.319,15,0.23399999999999999,11,0.818,9,5,200,62.7,13.3,4,14,42,,11.9,8,0.34,16,0.188,3,35.2,19,0.402,24.7,17,31,0.387,12,0.0,0,"November 20, 2018",56.7,17,9.7,3,62.7,86.7,26,0.614,57,0.526,30,0.228,13,0.769,10,2,200,119.4,37.5,9,13,80,,11.9,8,0.40399999999999997,23,0.435,10,64.8,35,0.633,18.2,14,34,0.588,20,0.6,3,"Hawkins Arena, Macon, Georgia",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,66.7,Home,MERCER,Mercer,Mercer,southern,4,True,False,True,Home,True,10,20,57,35,54,3,12,47,1,0,36,69,241,0.5103734439834025,132,260,0.5076923076923077,32,56,233,0.44635193133047213,0.5
5,2018-11-24-17-north-carolina-state,39.1,9,0.0,0,104.0,65.8,25,0.557,44,0.523,23,0.773,34,0.735,25,3,200,98.7,16.7,3,28,74,,6.7,5,0.273,12,0.25,3,50.0,28,0.615,27.2,22,32,0.625,20,0.5,3,"November 24, 2018",44.4,12,6.3,2,98.7,83.3,15,0.517,60,0.45,27,0.483,29,0.552,16,0,200,104.0,34.2,13,25,78,,10.7,8,0.45,27,0.29600000000000004,8,50.0,28,0.529,13.1,11,33,0.5760000000000001,19,1.0,6,"PNC Arena, Raleigh, North Carolina",MERCER,Mercer,75.5,Home,NORTH-CAROLINA-STATE,NC State,Mercer,southern,5,False,False,False,Away,False,3,20,44,28,56,8,19,60,0,1,46,89,298,0.5302013422818792,167,314,0.5318471337579618,35,68,280,0.4303571428571429,0.6
6,2018-11-27-19-mercer,82.6,19,11.1,4,113.9,76.7,23,0.526,58,0.397,23,0.19,11,0.364,4,0,202,82.3,16.2,6,24,65,,13.9,11,0.638,37,0.405,15,43.3,29,0.514,25.0,21,21,0.381,8,0.0,0,"November 27, 2018",76.7,23,23.8,5,82.3,83.8,31,0.5670000000000001,60,0.5,30,0.483,29,0.759,22,3,202,113.9,23.3,7,11,90,,10.1,8,0.4,24,0.33299999999999996,8,56.7,38,0.61,15.2,13,36,0.611,22,0.5710000000000001,4,"Hawkins Arena, Macon, Georgia","Brewton-Parker
			","Brewton-Parker
			",78.2,Home,MERCER,Mercer,Mercer,southern,6,True,False,True,Home,True,8,22,60,38,67,15,8,58,1,0,49,109,342,0.533625730994152,195,370,0.527027027027027,43,87,340,0.4455882352941177,0.5
7,2018-12-01-13-citadel,44.0,11,3.6,1,106.8,73.5,25,0.413,69,0.36200000000000004,25,0.24600000000000002,17,0.706,12,4,200,93.2,35.6,16,18,69,,8.1,6,0.507,35,0.2,7,51.9,41,0.44799999999999995,13.6,12,34,0.529,18,0.5,4,"December 1, 2018",53.8,14,8.8,3,93.2,64.4,29,0.525,61,0.426,26,0.361,22,0.682,15,2,200,106.8,26.5,9,19,79,,13.5,10,0.541,33,0.364,12,48.1,38,0.5529999999999999,14.5,12,28,0.5,14,0.75,6,"McAlister Field House, Charleston, South Carolina",MERCER,Mercer,73.8,Home,CITADEL,Citadel,Mercer,southern,7,False,False,False,Away,False,7,18,69,41,79,12,14,61,0,1,57,131,402,0.5385572139303483,233,437,0.5331807780320366,58,95,398,0.457286432160804,0.5714285714285714
8,2018-12-05-19-florida-atlantic,19.0,4,3.6,1,90.7,71.9,23,0.40700000000000003,54,0.389,21,0.426,23,0.87,20,5,200,85.3,30.8,8,24,64,,16.0,12,0.315,17,0.11800000000000001,2,53.4,31,0.493,22.9,19,37,0.514,19,0.444,4,"December 5, 2018",50.0,12,16.2,6,85.3,69.2,18,0.5,54,0.444,24,0.40700000000000003,22,0.636,14,2,200,90.7,28.1,9,23,68,,13.3,10,0.48100000000000004,26,0.231,6,46.6,27,0.528,22.0,18,28,0.643,18,0.778,7,"FAU Arena, Boca Raton, Florida",MERCER,Mercer,74.7,Home,FLORIDA-ATLANTIC,Florida Atlantic,Mercer,southern,8,False,False,False,Away,False,2,19,54,31,58,6,18,54,0,1,64,149,471,0.5201698513800425,274,516,0.5310077519379846,70,109,459,0.4662309368191721,0.5
9,2018-12-08-16-mercer,46.9,15,17.0,8,107.2,63.9,23,0.597,62,0.516,32,0.32299999999999995,20,0.75,15,2,200,129.0,48.4,15,16,89,,8.7,6,0.419,26,0.385,10,56.7,38,0.622,13.4,11,36,0.611,22,0.75,6,"December 8, 2018",56.7,17,2.8,1,129.0,51.6,16,0.5,66,0.455,30,0.212,14,0.5710000000000001,8,6,200,107.2,36.1,13,19,74,,5.8,4,0.28800000000000003,19,0.316,6,43.3,29,0.509,12.2,10,47,0.511,24,0.4,4,"Hawkins Arena, Macon, Georgia",MERCER,Mercer,68.6,Away,GEORGIA-SOUTHERN,Georgia Southern,Mercer,southern,9,False,True,True,Home,False,6,24,66,29,67,10,22,62,0,1,66,168,525,0.5085714285714286,305,574,0.5313588850174216,76,127,513,0.4697855750487329,0.4444444444444444
10,2018-12-18-20-florida,34.8,8,8.3,2,104.4,73.3,22,0.465,57,0.40399999999999997,23,0.263,15,0.667,10,7,200,92.6,23.5,8,18,63,,8.8,6,0.40399999999999997,23,0.304,7,46.9,30,0.491,15.9,12,34,0.47100000000000003,16,0.364,4,"December 18, 2018",66.7,16,20.6,7,92.6,76.5,26,0.526,57,0.42100000000000004,24,0.263,15,0.733,11,4,200,104.4,26.7,8,13,71,,5.9,4,0.579,33,0.364,12,53.1,34,0.5539999999999999,14.7,11,24,0.5,12,0.6,6,"Stephen C. O'Connell Center, Gainesville, Florida",MERCER,Mercer,67.6,Home,FLORIDA,Florida,Mercer,southern,10,False,False,False,Away,False,7,16,57,30,64,12,12,57,0,1,72,192,591,0.5076142131979695,334,641,0.5210608424336973,86,149,575,0.4834782608695652,0.4
11,2018-12-21-19-mercer,60.0,15,7.1,2,110.0,88.5,23,0.475,60,0.41700000000000004,25,0.33299999999999996,20,0.8,16,9,200,104.3,31.0,9,17,73,,2.9,2,0.45,27,0.259,7,58.2,32,0.525,13.8,11,33,0.545,18,0.308,4,"December 21, 2018",48.1,13,15.2,5,104.3,69.0,20,0.637,51,0.529,27,0.392,20,0.6,12,7,200,110.0,11.5,3,22,77,,5.7,4,0.451,23,0.478,11,41.8,23,0.636,15.5,11,28,0.5710000000000001,16,0.41700000000000004,5,"Hawkins Arena, Macon, Georgia",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,70.0,Home,MERCER,Mercer,Mercer,southern,11,True,False,True,Home,True,11,16,51,23,55,7,18,60,1,0,79,208,648,0.503858024691358,364,705,0.5163120567375886,98,161,632,0.4873417721518987,0.36363636363636365
12,2018-12-29-13-mercer,65.2,15,8.8,3,101.5,79.3,23,0.617,47,0.489,23,0.447,21,0.619,13,5,200,107.6,26.9,7,22,71,,7.6,5,0.596,28,0.429,12,54.5,30,0.623,22.1,16,19,0.579,11,0.545,6,"December 29, 2018",43.5,10,15.8,3,107.6,73.1,19,0.542,48,0.479,23,0.5,24,0.625,15,8,200,101.5,20.7,6,19,67,,15.2,10,0.292,14,0.429,6,45.5,25,0.564,18.2,13,34,0.5,17,0.385,5,"Philips Arena, Atlanta, Georgia",MERCER,Mercer,66.2,Away,HARVARD,Harvard,Mercer,southern,12,False,True,True,Home,False,6,17,48,25,55,12,11,47,0,1,90,224,699,0.5135908440629471,387,760,0.5092105263157894,105,179,692,0.48627167630057805,0.4166666666666667
13,2019-01-03-19-furman,33.3,7,11.5,3,102.9,70.0,21,0.397,58,0.36200000000000004,21,0.36200000000000004,21,0.5710000000000001,12,9,200,84.1,30.6,11,18,58,,15.9,11,0.32799999999999996,19,0.21100000000000002,4,48.5,32,0.42700000000000005,16.2,13,39,0.436,17,0.35700000000000004,5,"January 3, 2019",64.0,16,7.7,3,84.1,69.4,25,0.556,54,0.46299999999999997,25,0.315,17,0.647,11,2,200,102.9,30.0,9,15,71,,11.6,8,0.519,28,0.35700000000000004,10,51.5,34,0.5720000000000001,19.6,15,26,0.5770000000000001,15,0.867,13,"Timmons Arena, Greenville, South Carolina",MERCER,Mercer,69.0,Home,FURMAN,Furman,Mercer,southern,13,False,False,False,Away,False,4,17,58,32,66,10,15,54,0,1,96,241,747,0.5153949129852744,412,815,0.505521472392638,117,190,739,0.4945872801082544,0.38461538461538464
14,2019-01-05-19-wofford,37.5,9,3.6,1,114.7,61.9,13,0.611,45,0.5329999999999999,24,0.489,22,0.8640000000000001,19,10,200,108.8,10.0,2,16,74,,10.3,7,0.33299999999999996,15,0.467,7,36.6,15,0.667,22.6,16,30,0.5670000000000001,17,0.33299999999999996,5,"January 5, 2019",58.6,17,10.0,3,108.8,90.0,18,0.654,52,0.5579999999999999,29,0.26899999999999996,14,0.7140000000000001,10,4,200,114.7,38.1,8,16,78,,8.8,6,0.462,24,0.41700000000000004,10,63.4,26,0.665,21.6,16,28,0.679,19,0.75,12,"Richardson Indoor Stadium, Spartanburg, South Carolina",MERCER,Mercer,68.1,Home,WOFFORD,Wofford,Mercer,southern,14,False,False,False,Away,False,7,17,45,15,41,10,19,52,0,1,100,258,805,0.506832298136646,444,881,0.5039727582292849,127,205,793,0.4987389659520807,0.35714285714285715
15,2019-01-10-19-mercer,63.0,17,8.6,3,123.5,84.0,21,0.6,55,0.491,27,0.418,23,0.609,14,14,200,117.6,43.8,14,20,80,,4.4,3,0.527,29,0.414,12,61.4,35,0.607,20.7,17,26,0.5770000000000001,15,0.222,4,"January 10, 2019",35.5,11,11.5,3,117.6,56.3,18,0.645,55,0.564,31,0.345,19,0.684,13,10,200,123.5,16.0,4,20,84,,14.7,10,0.364,20,0.45,9,38.6,22,0.6559999999999999,11.2,8,35,0.629,22,0.375,6,"Hawkins Arena, Macon, Georgia",WESTERN-CAROLINA,Western Carolina,68.5,Home,MERCER,Mercer,Mercer,southern,15,True,False,True,Home,True,9,22,55,22,57,12,15,55,1,0,107,275,850,0.5123529411764706,459,922,0.49783080260303686,137,224,845,0.508284023668639,0.3333333333333333
