,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MIAMI-FL_homegame,MIAMI-FL_homegame2,MIAMI-FL_home,MIAMI-FL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-19-miami-fl,28.6,6,13.8,4,106.4,75.0,30,0.41,61,0.344,21,0.344,21,0.5710000000000001,12,1,200,79.5,26.8,11,24,62,,6.4,5,0.344,21,0.381,8,50.6,41,0.43700000000000006,20.4,18,40,0.325,13,0.5,1,"November 9, 2018",65.2,15,22.5,9,79.5,73.2,30,0.49200000000000005,61,0.377,23,0.525,32,0.7190000000000001,23,0,200,106.4,25.0,10,17,83,,10.3,8,0.525,32,0.43799999999999994,14,49.4,40,0.545,12.8,11,29,0.31,9,1.0,1,"BankUnited Center, Coral Gables, Florida",LEHIGH,Lehigh,77.6,Home,MIAMI-FL,Miami (FL),Miami (FL),acc,0,True,False,True,Home,True,14,9,61,40,81,8,13,61,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-19-miami-fl,33.3,8,8.7,4,139.1,54.3,19,0.426,61,0.39299999999999996,24,0.115,7,0.857,6,1,200,84.1,36.1,13,15,58,,7.2,5,0.213,13,0.308,4,45.1,32,0.451,21.0,17,48,0.41700000000000004,20,0.667,2,"November 13, 2018",59.5,22,12.5,6,84.1,63.9,23,0.616,69,0.536,37,0.261,18,0.611,11,0,200,139.1,45.7,16,11,96,,14.5,10,0.33299999999999996,23,0.478,11,54.9,39,0.619,9.4,8,46,0.565,26,1.0,2,"BankUnited Center, Coral Gables, Florida",STEPHEN-F-AUSTIN,Stephen F. Austin,68.9,Home,MIAMI-FL,Miami (FL),Miami (FL),acc,1,True,False,True,Home,True,11,26,69,39,71,4,20,61,1,0,14,9,61,0.4918032786885246,40,81,0.49382716049382713,8,13,61,0.4098360655737705,1.0
2,2018-11-17-14-miami-fl,44.4,12,12.8,5,106.8,69.4,25,0.508,59,0.45799999999999996,27,0.22,13,0.769,10,3,200,95.9,29.6,8,25,70,,6.8,5,0.305,18,0.33299999999999996,6,52.4,33,0.537,15.6,12,41,0.512,21,0.4,2,"November 17, 2018",46.2,12,14.6,6,95.9,70.4,19,0.462,65,0.4,26,0.369,24,0.75,18,0,200,106.8,30.6,11,15,78,,9.6,7,0.4,26,0.308,8,47.6,30,0.51,12.7,11,39,0.462,18,1.0,3,"BankUnited Center, Coral Gables, Florida",BETHUNE-COOKMAN,Bethune-Cookman,72.8,Home,MIAMI-FL,Miami (FL),Miami (FL),acc,2,True,False,True,Home,True,8,18,65,30,63,6,21,59,1,0,25,35,130,0.5576923076923077,79,152,0.5197368421052632,12,33,122,0.4180327868852459,1.0
3,2018-11-22-14-miami-fl,42.9,9,8.3,3,109.0,73.9,17,0.36700000000000005,60,0.35,21,0.15,9,0.556,5,5,200,62.8,18.9,7,21,49,,7.7,6,0.41700000000000004,25,0.08,2,40.0,24,0.381,23.8,20,35,0.5429999999999999,19,0.0,0,"November 22, 2018",50.0,15,11.4,4,62.8,81.1,30,0.618,55,0.545,30,0.382,21,0.81,17,0,200,109.0,26.1,6,14,85,,9.0,7,0.345,19,0.42100000000000004,8,60.0,36,0.654,22.8,19,36,0.611,22,1.0,4,"Titan Gym, Fullerton, California",LA-SALLE,La Salle,77.6,Home,MIAMI-FL,Miami (FL),Miami (FL),acc,3,True,False,True,Home,True,8,22,55,36,60,2,19,60,1,0,33,53,195,0.5256410256410257,109,215,0.5069767441860465,18,54,181,0.44751381215469616,1.0
4,2018-11-23-14-fresno-state,48.0,12,2.9,1,100.0,68.8,22,0.5,57,0.439,25,0.491,28,0.75,21,0,200,102.6,18.8,6,20,78,,9.2,7,0.386,22,0.318,7,43.8,28,0.555,13.7,11,35,0.514,18,1.0,5,"November 23, 2018",59.3,16,14.3,5,102.6,81.3,26,0.5429999999999999,58,0.466,27,0.31,18,0.722,13,2,200,100.0,31.3,10,25,76,,5.3,4,0.397,23,0.391,9,56.3,36,0.5710000000000001,23.3,20,35,0.514,18,0.5,2,"Titan Gym, Fullerton, California",FRESNO-STATE,Fresno State,75.9,Away,MIAMI-FL,Miami (FL),Miami (FL),acc,4,False,False,False,Away,True,7,18,57,28,64,9,18,58,1,0,41,75,250,0.546,145,275,0.5272727272727272,20,73,241,0.42738589211618255,1.0
5,2018-11-25-22-seton-hall,36.7,11,9.5,4,106.4,80.0,24,0.609,55,0.545,30,0.327,18,0.778,14,1,200,103.8,12.0,3,18,81,,5.1,4,0.364,20,0.35,7,49.1,27,0.637,20.3,16,35,0.657,23,0.833,5,"November 25, 2018",44.1,15,2.9,1,103.8,88.0,22,0.569,65,0.523,34,0.215,14,0.643,9,2,200,106.4,20.0,6,21,83,,6.4,5,0.354,23,0.261,6,50.9,28,0.579,15.4,13,42,0.667,28,0.667,4,"Titan Gym, Fullerton, California",MIAMI-FL,Miami (FL),77.6,Home,SETON-HALL,Seton Hall,Miami (FL),acc,5,False,False,False,Away,False,7,23,55,27,55,6,28,65,0,1,48,93,307,0.5374592833876222,173,339,0.5103244837758112,29,91,299,0.4498327759197324,1.0
6,2018-11-28-19-miami-fl,41.7,10,21.6,8,78.3,72.1,31,0.45799999999999996,59,0.40700000000000003,24,0.102,6,0.5,3,1,200,82.6,23.5,8,13,57,,11.6,8,0.40700000000000003,24,0.25,6,50.6,39,0.461,18.5,14,35,0.514,18,0.833,5,"November 28, 2018",54.5,12,14.3,5,82.6,76.5,26,0.392,65,0.33799999999999997,22,0.10800000000000001,7,0.429,3,2,200,78.3,27.9,12,12,54,,7.2,5,0.431,28,0.25,7,49.4,38,0.395,16.0,13,37,0.405,15,0.7140000000000001,5,"BankUnited Center, Coral Gables, Florida",MIAMI-FL,Miami (FL),68.6,Away,RUTGERS,Rutgers,Miami (FL),acc,6,False,True,True,Home,False,7,15,65,38,77,6,18,59,0,1,55,116,362,0.5483425414364641,200,394,0.5076142131979695,35,119,364,0.47115384615384615,0.8333333333333334
7,2018-12-01-19-miami-fl,50.0,15,5.4,2,98.6,82.9,29,0.552,58,0.517,30,0.293,17,0.765,13,2,200,104.1,13.8,4,15,77,,9.5,7,0.31,18,0.222,4,51.6,33,0.583,13.2,10,40,0.65,26,0.6,3,"December 1, 2018",46.2,12,10.0,4,104.1,86.2,25,0.46,63,0.413,26,0.28600000000000003,18,0.833,15,3,200,98.6,17.1,6,16,73,,6.8,5,0.413,26,0.231,6,48.4,31,0.51,13.4,11,37,0.541,20,0.625,5,"American Airlines Arena, Miami, Florida",MIAMI-FL,Miami (FL),74.3,Away,YALE,Yale,Miami (FL),acc,7,False,True,True,Home,False,6,20,63,31,64,4,26,58,0,1,62,131,427,0.5245901639344263,238,471,0.505307855626327,41,137,423,0.46926713947990545,0.7142857142857143
8,2018-12-04-19-pennsylvania,35.7,10,5.9,2,136.9,66.7,14,0.534,58,0.483,28,0.32799999999999996,19,0.684,13,4,200,115.4,25.0,8,16,75,,3.1,2,0.345,20,0.3,6,41.5,22,0.5589999999999999,9.5,7,38,0.579,22,0.556,5,"December 4, 2018",67.6,23,7.9,3,115.4,75.0,24,0.711,57,0.596,34,0.21100000000000002,12,0.667,8,2,200,136.9,33.3,7,18,89,,6.2,4,0.40399999999999997,23,0.565,13,58.5,31,0.71,12.6,9,34,0.618,21,0.778,7,"The Palestra, Philadelphia, Pennsylvania",MIAMI-FL,Miami (FL),65.4,Home,PENNSYLVANIA,Penn,Miami (FL),acc,8,False,False,False,Away,False,6,22,58,22,53,13,21,57,0,1,68,151,490,0.5163265306122449,269,535,0.502803738317757,45,163,481,0.4792099792099792,0.625
9,2018-12-19-19-miami-fl,55.6,15,3.4,1,112.7,68.8,22,0.591,55,0.491,27,0.255,14,0.5710000000000001,8,7,200,102.8,20.0,6,14,73,,7.0,5,0.418,23,0.478,11,45.2,28,0.5920000000000001,21.8,17,32,0.5,16,0.3,3,"December 19, 2018",58.6,17,21.9,7,102.8,80.0,24,0.605,57,0.509,29,0.298,17,0.647,11,4,200,112.7,31.3,10,13,80,,12.7,9,0.491,28,0.39299999999999996,11,54.8,34,0.615,17.8,14,29,0.621,18,0.6,6,"BankUnited Center, Coral Gables, Florida",HOUSTON-BAPTIST,Houston Baptist,70.9,Home,MIAMI-FL,Miami (FL),Miami (FL),acc,9,True,False,True,Home,True,11,18,57,34,62,11,16,55,1,0,74,173,548,0.5182481751824818,291,588,0.49489795918367346,58,184,538,0.5037174721189591,0.5555555555555556
