,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MICHIGAN_homegame,MICHIGAN_homegame2,MICHIGAN_home,MICHIGAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-michigan,44.4,8,8.8,3,87.5,69.8,30,0.331,59,0.305,18,0.18600000000000003,11,0.455,5,1,195,61.1,12.8,5,22,44,,1.4,1,0.203,12,0.25,3,42.7,35,0.34299999999999997,15.8,12,47,0.319,15,0.0,0,"November 6, 2018",72.7,16,17.0,8,61.1,87.2,34,0.41700000000000004,60,0.36700000000000005,22,0.483,29,0.44799999999999995,13,0,195,87.5,30.2,13,18,63,19.0,4.2,3,0.433,26,0.231,6,57.3,47,0.42700000000000005,13.1,11,34,0.47100000000000003,16,1.0,1,"Crisler Arena, Ann Arbor, Michigan",NORFOLK-STATE,Norfolk State,73.3,Home,MICHIGAN,Michigan,Michigan,big-ten,0,True,False,True,Home,True,6,16,60,47,82,3,15,59,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-19-michigan,62.5,10,3.2,1,90.3,79.3,23,0.34600000000000003,52,0.308,16,0.057999999999999996,3,0.33299999999999996,1,1,200,59.7,11.1,4,17,37,,1.6,1,0.26899999999999996,14,0.28600000000000003,4,41.5,27,0.34600000000000003,18.4,12,38,0.316,12,0.5,1,"November 10, 2018",72.2,13,23.7,9,59.7,88.9,32,0.39,50,0.36,18,0.42,21,0.81,17,0,200,90.3,20.7,6,8,56,19.0,9.7,6,0.38,19,0.158,3,58.5,38,0.467,13.2,9,31,0.484,15,1.0,2,"Crisler Arena, Ann Arbor, Michigan",HOLY-CROSS,Holy Cross,62.2,Home,MICHIGAN,Michigan,Michigan,big-ten,1,True,False,True,Home,True,3,15,50,38,65,4,12,52,1,0,6,16,60,0.4166666666666667,47,82,0.573170731707317,3,15,59,0.3305084745762712,1.0
2,2018-11-14-18-villanova,46.4,13,20.7,6,70.8,74.1,20,0.555,55,0.509,28,0.345,19,0.632,12,0,200,112.3,26.9,7,20,73,18.0,16.9,11,0.309,17,0.294,5,50.9,27,0.57,9.9,7,38,0.605,23,1.0,3,"November 14, 2018",50.0,7,7.9,3,112.3,73.1,19,0.35200000000000004,44,0.318,14,0.47700000000000004,21,0.7140000000000001,15,1,200,70.8,25.9,7,20,46,8.0,1.5,1,0.341,15,0.2,3,49.1,26,0.426,26.3,19,29,0.379,11,0.667,2,"Finneran Pavilion, Villanova, Pennsylvania",VILLANOVA,Villanova,65.0,Away,MICHIGAN,Michigan,Michigan,big-ten,2,False,False,False,Away,True,5,23,55,27,53,3,11,44,1,0,9,31,110,0.40454545454545454,85,147,0.5782312925170068,7,27,111,0.33783783783783783,1.0
3,2018-11-17-12-george-washington,64.5,20,4.2,2,87.1,81.1,30,0.621,62,0.5,31,0.177,11,0.636,7,0,200,120.0,25.0,8,12,84,18.0,8.6,6,0.484,30,0.5,15,55.1,38,0.625,13.0,10,32,0.5,16,1.0,4,"November 17, 2018",40.0,10,3.1,1,120.0,75.0,24,0.43799999999999994,64,0.391,25,0.094,6,0.833,5,4,200,87.1,18.9,7,14,61,,4.3,3,0.25,16,0.375,6,44.9,31,0.456,14.2,11,48,0.396,19,0.0,0,"Mohegan Sun Arena, Uncasville, Connecticut",GEORGE-WASHINGTON,George Washington,70.0,Away,MICHIGAN,Michigan,Michigan,big-ten,3,False,False,False,Away,True,15,16,62,38,69,6,19,64,1,0,14,54,165,0.45454545454545453,112,200,0.56,10,38,155,0.3419354838709677,1.0
4,2018-11-18-13-providence,65.2,15,7.7,3,73.4,67.6,25,0.5,52,0.442,23,0.385,20,0.7,14,0,200,103.1,27.6,8,18,66,18.0,4.7,3,0.34600000000000003,18,0.33299999999999996,6,50.0,33,0.537,12.9,9,34,0.5,17,1.0,5,"November 18, 2018",37.5,6,17.6,6,103.1,72.4,21,0.298,57,0.281,16,0.35100000000000003,20,0.65,13,2,200,73.4,32.4,12,19,47,,6.3,4,0.316,18,0.111,2,50.0,33,0.353,14.3,11,39,0.359,14,0.6,3,"Mohegan Sun Arena, Uncasville, Connecticut",PROVIDENCE,Providence,64.0,Away,MICHIGAN,Michigan,Michigan,big-ten,4,False,False,False,Away,True,6,17,52,33,66,2,14,57,1,0,29,70,227,0.5,150,269,0.5576208178438662,16,57,219,0.3698630136986301,1.0
5,2018-11-23-16-michigan,59.1,13,5.4,2,122.1,67.7,21,0.434,61,0.361,22,0.066,4,0.5,2,5,200,80.9,13.5,5,17,55,,2.9,2,0.361,22,0.409,9,38.2,26,0.43700000000000006,17.2,13,39,0.33299999999999996,13,0.28600000000000003,2,"November 23, 2018",44.8,13,5.1,2,80.9,86.5,32,0.5589999999999999,59,0.49200000000000005,29,0.40700000000000003,24,0.708,17,0,200,122.1,32.3,10,5,83,9.0,14.7,10,0.373,22,0.364,8,61.8,42,0.589,6.7,5,37,0.568,21,1.0,6,"Crisler Arena, Ann Arbor, Michigan",CHATTANOOGA,Chattanooga,68.2,Home,MICHIGAN,Michigan,Michigan,big-ten,5,True,False,True,Home,True,8,21,59,42,68,9,13,61,1,0,35,87,279,0.5,183,335,0.5462686567164179,18,71,276,0.35507246376811596,1.0
6,2018-11-28-21-michigan,50.0,13,3.1,1,118.3,93.3,28,0.447,66,0.39399999999999996,26,0.19699999999999998,13,0.615,8,2,200,94.4,29.4,10,21,67,11.0,2.8,2,0.318,21,0.33299999999999996,7,59.4,38,0.46399999999999997,12.2,10,45,0.42200000000000004,19,0.75,6,"November 28, 2018",48.4,15,13.3,6,94.4,70.6,24,0.6759999999999999,54,0.574,31,0.426,23,0.478,11,0,200,118.3,6.7,2,14,84,7.0,5.6,4,0.40700000000000003,22,0.5,11,40.6,26,0.647,9.8,7,32,0.625,20,1.0,7,"Crisler Arena, Ann Arbor, Michigan",NORTH-CAROLINA,UNC,71.1,Home,MICHIGAN,Michigan,Michigan,big-ten,6,True,False,True,Home,True,11,20,54,26,64,7,19,66,1,0,43,108,338,0.5103550295857988,225,403,0.5583126550868487,27,84,337,0.3694362017804154,1.0
7,2018-12-01-15-michigan,54.5,12,10.3,3,116.9,80.0,20,0.42700000000000005,62,0.355,22,0.09699999999999999,6,0.667,4,3,200,87.7,32.4,12,12,57,19.0,6.2,4,0.387,24,0.375,9,51.6,32,0.439,12.2,9,38,0.342,13,0.625,5,"December 1, 2018",57.7,15,5.3,2,87.7,67.6,25,0.591,55,0.473,26,0.23600000000000002,13,0.846,11,0,200,116.9,20.0,5,9,76,7.0,4.6,3,0.473,26,0.5,13,48.4,30,0.621,15.3,11,29,0.44799999999999995,13,1.0,8,"Crisler Arena, Ann Arbor, Michigan",PURDUE,Purdue,64.5,Home,MICHIGAN,Michigan,Michigan,big-ten,7,True,False,True,Home,True,13,13,55,30,62,9,13,62,1,0,54,128,392,0.5331632653061225,251,467,0.5374732334047109,34,103,403,0.38213399503722084,1.0
8,2018-12-04-21-northwestern,50.0,12,2.9,1,98.4,81.5,22,0.48200000000000004,55,0.436,24,0.23600000000000002,13,0.6920000000000001,9,0,200,101.6,28.6,8,15,62,5.0,9.8,6,0.364,20,0.25,5,54.5,30,0.507,11.6,8,35,0.5429999999999999,19,1.0,9,"December 4, 2018",52.2,12,17.1,6,101.6,71.4,20,0.51,51,0.451,23,0.255,13,0.615,8,3,200,98.4,18.5,5,12,60,,4.9,3,0.33299999999999996,17,0.353,6,45.5,25,0.525,13.7,9,34,0.5,17,0.667,6,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,61.2,Away,MICHIGAN,Michigan,Michigan,big-ten,8,False,False,False,Away,True,5,19,55,30,55,6,17,51,1,0,67,141,447,0.540268456375839,281,529,0.5311909262759924,43,116,465,0.3881720430107527,1.0
9,2018-12-08-12-michigan,43.8,14,10.0,3,121.9,61.5,16,0.556,62,0.516,32,0.226,14,0.643,9,5,200,106.8,20.0,6,21,78,,11.0,8,0.177,11,0.455,5,39.3,22,0.568,12.8,10,51,0.529,27,0.444,4,"December 8, 2018",46.4,13,7.8,4,106.8,80.0,24,0.611,54,0.519,28,0.556,30,0.767,23,0,200,121.9,38.5,10,14,89,5.0,6.8,5,0.444,24,0.41700000000000004,10,60.7,34,0.652,19.2,16,30,0.6,18,1.0,10,"Crisler Arena, Ann Arbor, Michigan",SOUTH-CAROLINA,South Carolina,73.5,Home,MICHIGAN,Michigan,Michigan,big-ten,9,True,False,True,Home,True,10,18,54,34,56,5,27,62,1,0,72,160,502,0.5338645418326693,311,584,0.5325342465753424,49,133,516,0.4001937984496124,1.0
