,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEVADA-LAS-VEGAS_homegame,NEVADA-LAS-VEGAS_homegame2,NEVADA-LAS-VEGAS_home,NEVADA-LAS-VEGAS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-10-22-nevada-las-vegas,30.4,7,8.6,3,70.4,76.0,19,0.425,60,0.38299999999999995,23,0.2,12,0.833,10,0,200,85.9,24.2,8,15,61,,14.1,10,0.25,15,0.33299999999999996,5,46.6,27,0.46399999999999997,15.5,12,45,0.4,18,1.0,2,"November 10, 2018",52.4,11,22.2,10,85.9,75.8,25,0.431,51,0.41200000000000003,21,0.13699999999999998,7,0.857,6,1,200,70.4,24.0,6,18,50,,8.5,6,0.314,16,0.125,2,53.4,31,0.46,30.7,24,35,0.5429999999999999,19,0.0,0,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,71.0,Away,LOYOLA-MARYMOUNT,Loyola Marymount,Nevada-Las Vegas,mwc,0,False,True,True,Home,False,2,19,51,31,58,5,18,60,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-22-nevada-las-vegas,42.1,8,9.7,3,107.5,63.0,17,0.49,48,0.396,19,0.146,7,0.5710000000000001,4,3,200,76.1,21.4,6,27,51,,14.9,10,0.5,24,0.375,9,41.8,23,0.49700000000000005,28.1,20,24,0.41700000000000004,10,0.0,0,"November 13, 2018",52.2,12,8.3,2,76.1,78.6,22,0.53,50,0.46,23,0.66,33,0.5760000000000001,19,1,200,107.5,37.0,10,15,72,,13.4,9,0.38,19,0.368,7,58.2,32,0.5479999999999999,16.8,13,31,0.516,16,0.5,1,"Thomas & Mack Center, Las Vegas, Nevada",CALIFORNIA-RIVERSIDE,UC-Riverside,67.0,Home,NEVADA-LAS-VEGAS,UNLV,Nevada-Las Vegas,mwc,1,True,False,True,Home,True,7,16,50,32,55,9,10,48,1,0,2,19,51,0.43137254901960786,31,58,0.5344827586206896,5,18,60,0.425,0.0
2,2018-11-16-22-nevada-las-vegas,40.0,8,6.8,3,112.1,55.6,15,0.415,53,0.377,20,0.434,23,0.7390000000000001,17,3,200,92.4,20.6,7,11,61,,6.1,4,0.302,16,0.25,4,36.1,22,0.47700000000000004,13.7,10,37,0.43200000000000005,16,0.0,0,"November 16, 2018",45.2,14,10.8,4,92.4,79.4,27,0.5589999999999999,59,0.525,31,0.18600000000000003,11,0.727,8,1,200,112.1,44.4,12,21,74,,4.5,3,0.254,15,0.267,4,63.9,39,0.5760000000000001,15.8,12,44,0.614,27,0.667,2,"Thomas & Mack Center, Las Vegas, Nevada",OAKLAND,Oakland,65.6,Home,NEVADA-LAS-VEGAS,UNLV,Nevada-Las Vegas,mwc,2,True,False,True,Home,True,4,27,59,39,61,4,16,53,1,0,9,35,101,0.4801980198019802,63,113,0.5575221238938053,14,28,108,0.4537037037037037,0.5
3,2018-11-20-22-nevada-las-vegas,47.8,11,0.0,0,137.1,54.5,12,0.51,52,0.442,23,0.462,24,0.708,17,2,200,100.0,27.6,8,20,70,,7.1,5,0.212,11,0.636,7,39.2,20,0.552,18.3,14,41,0.39,16,0.6,3,"November 20, 2018",61.1,22,2.4,1,100.0,72.4,21,0.716,58,0.621,36,0.414,24,0.542,13,1,200,137.1,45.5,10,20,96,,10.0,7,0.466,27,0.40700000000000003,11,60.8,31,0.6920000000000001,13.8,11,31,0.8059999999999999,25,0.75,3,"Thomas & Mack Center, Las Vegas, Nevada",PACIFIC,Pacific,69.9,Home,NEVADA-LAS-VEGAS,UNLV,Nevada-Las Vegas,mwc,3,True,False,True,Home,True,11,25,58,31,51,7,16,52,1,0,13,62,160,0.509375,102,174,0.5862068965517241,18,44,161,0.4409937888198758,0.6666666666666666
4,2018-11-23-22-nevada-las-vegas,44.4,12,8.3,3,107.0,35.5,11,0.49200000000000005,64,0.42200000000000004,27,0.25,16,0.5,8,1,200,100.0,34.1,14,33,71,,8.5,6,0.359,23,0.391,9,34.7,25,0.496,15.5,13,41,0.439,18,0.75,3,"November 23, 2018",52.4,11,17.1,7,100.0,65.9,27,0.418,55,0.382,21,0.782,43,0.698,30,1,200,107.0,64.5,20,21,76,,9.9,7,0.345,19,0.21100000000000002,4,65.3,47,0.504,16.9,15,36,0.47200000000000003,17,0.8,4,"Thomas & Mack Center, Las Vegas, Nevada",SOUTHERN-UTAH,Southern Utah,70.5,Home,NEVADA-LAS-VEGAS,UNLV,Nevada-Las Vegas,mwc,4,True,False,True,Home,True,4,17,55,47,72,9,18,64,1,0,24,87,218,0.5642201834862385,133,225,0.5911111111111111,25,60,213,0.45774647887323944,0.75
5,2018-11-28-22-nevada-las-vegas,61.5,16,8.2,4,79.0,61.1,22,0.40700000000000003,70,0.371,26,0.257,18,0.833,15,3,200,88.9,35.7,15,13,72,,16.0,13,0.257,18,0.278,5,47.4,37,0.45799999999999996,17.9,17,52,0.40399999999999997,21,0.5710000000000001,4,"November 28, 2018",37.0,10,13.5,7,88.9,64.3,27,0.43200000000000005,66,0.409,27,0.136,9,0.778,7,2,200,79.0,38.9,14,19,64,,9.9,8,0.258,17,0.17600000000000002,3,52.6,41,0.455,26.3,25,49,0.49,24,0.667,4,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,80.9,Away,VALPARAISO,Valparaiso,Nevada-Las Vegas,mwc,5,False,True,True,Home,False,3,24,66,41,78,5,21,70,0,1,28,104,273,0.5347985347985348,180,297,0.6060606060606061,34,78,277,0.4657039711191336,0.8
6,2018-12-01-18-nevada-las-vegas,58.3,14,14.8,4,95.3,61.1,22,0.551,49,0.49,24,0.327,16,0.688,11,1,200,101.6,28.6,8,23,65,,10.9,7,0.245,12,0.5,6,46.9,30,0.574,22.2,16,37,0.486,18,0.875,7,"December 1, 2018",44.4,8,10.8,4,101.6,71.4,20,0.42200000000000004,51,0.353,18,0.569,29,0.621,18,3,200,95.3,38.9,14,17,61,,9.4,6,0.47100000000000003,24,0.292,7,53.1,34,0.47100000000000003,15.8,12,27,0.40700000000000003,11,0.5710000000000001,4,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,63.7,Away,CINCINNATI,Cincinnati,Nevada-Las Vegas,mwc,6,False,True,True,Home,False,7,11,51,34,64,6,18,49,0,1,31,128,339,0.5147492625368731,221,375,0.5893333333333334,39,99,347,0.4538904899135447,0.6666666666666666
7,2018-12-08-14-illinois,30.4,7,13.5,5,95.1,69.2,18,0.382,68,0.33799999999999997,23,0.441,30,0.733,22,4,200,91.4,37.8,14,22,74,,7.4,6,0.353,24,0.25,6,50.8,32,0.45,17.3,17,44,0.386,17,0.5,4,"December 8, 2018",42.9,12,13.6,6,91.4,62.2,23,0.525,59,0.475,28,0.373,22,0.682,15,7,200,95.1,30.8,8,22,77,,7.4,6,0.373,22,0.273,6,49.2,31,0.5539999999999999,18.9,16,37,0.595,22,0.3,3,"State Farm Center, Champaign, Illinois",NEVADA-LAS-VEGAS,UNLV,81.4,Home,ILLINOIS,Illinois,Nevada-Las Vegas,mwc,7,False,False,False,Away,False,6,17,68,32,63,6,22,59,0,1,38,139,390,0.5025641025641026,255,439,0.5808656036446469,45,117,396,0.4659090909090909,0.5714285714285714
8,2018-12-15-20-nevada-las-vegas,36.1,13,0.0,0,115.0,62.1,18,0.5660000000000001,68,0.529,36,0.294,20,0.65,13,5,225,112.5,28.1,9,24,90,,11.3,9,0.235,16,0.313,5,44.3,27,0.581,12.5,11,52,0.596,31,0.615,8,"December 15, 2018",50.0,13,3.8,2,112.5,71.9,23,0.551,59,0.441,26,0.542,32,0.8440000000000001,27,4,225,115.0,37.9,11,22,92,,11.3,9,0.45799999999999996,27,0.48100000000000004,13,55.7,34,0.62,18.9,17,32,0.406,13,0.556,5,"T-Mobile Arena, Las Vegas, Nevada",BRIGHAM-YOUNG,BYU,71.0,Home,NEVADA-LAS-VEGAS,UNLV,Nevada-Las Vegas,mwc,8,True,False,True,Home,True,13,13,59,34,61,5,31,68,1,0,44,156,458,0.4847161572052402,287,502,0.5717131474103586,51,139,455,0.4736263736263736,0.5
9,2018-12-22-17-hawaii,41.7,10,10.8,4,86.8,67.5,27,0.509,56,0.429,24,0.375,21,0.762,16,4,200,107.4,50.0,14,16,73,,1.5,1,0.429,24,0.375,9,60.3,41,0.5529999999999999,21.6,18,32,0.469,15,0.6,6,"December 22, 2018",60.0,12,6.3,2,107.4,50.0,14,0.392,60,0.33299999999999996,20,0.35,21,0.5710000000000001,12,5,200,86.8,32.5,13,17,59,,11.8,8,0.38299999999999995,23,0.304,7,39.7,27,0.42200000000000004,11.5,9,37,0.35100000000000003,13,0.545,6,"Stan Sheriff Center, Honolulu, Hawaii",HAWAII,Hawaii,68.0,Away,NEVADA-LAS-VEGAS,UNLV,Nevada-Las Vegas,mwc,9,False,False,False,Away,True,9,15,56,41,68,7,13,60,1,0,57,169,517,0.4922630560928433,321,563,0.5701598579040853,56,170,523,0.48565965583174,0.5555555555555556
