,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-FLORIDA_homegame,NORTH-FLORIDA_homegame2,NORTH-FLORIDA_home,NORTH-FLORIDA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-19-dayton,40.0,10,10.4,5,113.0,76.3,29,0.509,57,0.439,25,0.24600000000000002,14,0.857,12,1,200,101.4,10.3,3,18,70,,1.4,1,0.368,21,0.381,8,47.8,32,0.55,12.5,9,36,0.47200000000000003,17,0.0,0,"November 7, 2018",69.2,18,2.8,1,101.4,89.7,26,0.475,60,0.433,26,0.45,27,0.778,21,0,200,113.0,23.7,9,10,78,,5.8,4,0.2,12,0.41700000000000004,5,52.2,35,0.536,6.5,5,48,0.43799999999999994,21,1.0,1,"University of Dayton Arena, Dayton, Ohio",NORTH-FLORIDA,North Florida,69.2,Home,DAYTON,Dayton,North Florida,atlantic-sun,0,False,False,False,Away,False,8,17,57,32,67,5,21,60,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-penn-state,48.1,13,16.7,6,104.8,85.7,24,0.461,64,0.42200000000000004,27,0.344,22,0.591,13,2,200,86.7,23.7,9,29,72,,10.8,9,0.42200000000000004,27,0.185,5,50.0,33,0.484,16.9,15,37,0.595,22,0.0,0,"November 9, 2018",63.0,17,13.5,5,86.7,76.3,29,0.544,57,0.474,27,0.614,35,0.7140000000000001,25,0,200,104.8,14.3,4,19,87,,8.4,7,0.368,21,0.381,8,50.0,33,0.591,17.2,15,36,0.528,19,1.0,1,"Bryce Jordan Center, University Park, Pennsylvania",NORTH-FLORIDA,North Florida,82.5,Home,PENN-STATE,Penn State,North Florida,atlantic-sun,1,False,False,False,Away,False,5,22,64,33,66,8,19,57,0,1,8,17,57,0.5087719298245614,32,67,0.47761194029850745,5,21,60,0.475,0.0
2,2018-11-14-19-north-florida,65.6,21,0.0,0,111.8,58.1,18,0.534,73,0.43799999999999994,32,0.096,7,0.7140000000000001,5,0,200,97.6,24.3,9,27,83,,11.8,10,0.342,25,0.56,14,39.7,27,0.544,19.1,18,48,0.375,18,0.0,0,"November 14, 2018",44.8,13,4.2,2,97.6,75.7,28,0.56,58,0.5,29,0.7070000000000001,41,0.732,30,2,200,111.8,41.9,13,14,95,,15.3,13,0.293,17,0.41200000000000003,7,60.3,41,0.613,21.6,21,41,0.537,22,0.33299999999999996,1,"UNF Arena , Jacksonville, Florida","Edward Waters
			","Edward Waters
			",85.4,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,2,True,False,True,Home,True,7,22,58,41,68,14,18,73,1,0,13,39,121,0.4834710743801653,65,133,0.48872180451127817,13,40,117,0.5085470085470085,0.0
3,2018-11-17-15-wright-state,48.0,12,8.3,3,123.6,65.5,19,0.557,53,0.47200000000000003,25,0.302,16,0.813,13,3,200,100.0,15.4,4,27,72,,12.5,9,0.434,23,0.391,9,41.8,23,0.594,15.5,11,30,0.5329999999999999,16,0.25,1,"November 17, 2018",59.3,16,3.3,1,100.0,84.6,22,0.602,54,0.5,27,0.63,34,0.706,24,1,200,123.6,34.5,10,14,89,,11.1,8,0.33299999999999996,18,0.611,11,58.2,32,0.634,18.8,16,36,0.444,16,0.75,3,"Ervin J. Nutter Center, Dayton, Ohio",NORTH-FLORIDA,North Florida,71.9,Home,WRIGHT-STATE,Wright State,North Florida,atlantic-sun,3,False,False,False,Away,False,9,16,53,23,55,11,16,54,0,1,20,61,179,0.5083798882681564,106,201,0.527363184079602,27,58,190,0.5184210526315789,0.3333333333333333
4,2018-11-20-15-southern-mississippi,44.0,11,17.8,8,62.3,87.0,40,0.452,62,0.40299999999999997,25,0.161,10,0.8,8,3,200,83.1,27.8,10,15,64,,10.4,8,0.532,33,0.182,6,61.0,50,0.479,21.3,18,29,0.655,19,0.4,2,"November 20, 2018",71.4,15,3.4,1,83.1,72.2,26,0.344,64,0.32799999999999996,21,0.156,10,0.4,4,1,200,62.3,13.0,6,15,48,,15.6,12,0.297,19,0.105,2,39.0,32,0.349,19.0,16,45,0.42200000000000004,19,0.75,3,"Hard Rock Hotel Riviera Maya, Cancun",SOUTHERN-MISSISSIPPI,Southern Miss,76.8,Away,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,4,False,False,False,Away,True,6,19,62,50,82,2,19,64,1,0,29,77,232,0.5193965517241379,129,256,0.50390625,38,74,244,0.5368852459016393,0.25
5,2018-11-21-15-jacksonville-state,67.9,19,2.2,1,115.3,66.7,20,0.565,62,0.452,28,0.21,13,0.615,8,4,200,108.3,33.3,11,19,78,,5.6,4,0.581,36,0.389,14,49.2,31,0.5720000000000001,19.1,16,26,0.5379999999999999,14,0.33299999999999996,2,"November 21, 2018",41.4,12,11.5,3,108.3,66.7,22,0.544,57,0.509,29,0.439,25,0.84,21,3,200,115.3,33.3,10,13,83,,15.3,11,0.21100000000000002,12,0.33299999999999996,4,50.8,32,0.603,15.0,12,45,0.556,25,0.4,2,"Hard Rock Hotel Riviera Maya, Cancun",NORTH-FLORIDA,North Florida,72.0,Home,JACKSONVILLE-STATE,Jacksonville State,North Florida,atlantic-sun,5,False,False,False,Away,False,14,14,62,31,63,4,25,57,0,1,35,96,294,0.5051020408163265,179,338,0.5295857988165681,40,93,308,0.4967532467532468,0.4
6,2018-11-27-19-florida,62.5,15,0.0,0,140.0,51.9,14,0.491,58,0.414,24,0.19,11,0.818,9,5,200,94.3,25.0,9,8,66,,7.1,5,0.44799999999999995,26,0.34600000000000003,9,36.5,23,0.522,19.3,15,32,0.469,15,0.28600000000000003,2,"November 27, 2018",66.7,26,18.8,6,94.3,75.0,27,0.6809999999999999,69,0.565,39,0.087,6,0.667,4,3,200,140.0,48.1,13,17,98,,15.7,11,0.406,28,0.5710000000000001,16,63.5,40,0.682,13.3,11,41,0.561,23,0.5710000000000001,4,"Stephen C. O'Connell Center, Gainesville, Florida",NORTH-FLORIDA,North Florida,69.5,Home,FLORIDA,Florida,North Florida,atlantic-sun,6,False,False,False,Away,False,9,15,58,23,63,16,23,69,0,1,49,110,356,0.5154494382022472,210,401,0.5236907730673317,44,118,365,0.5041095890410959,0.3333333333333333
7,2018-11-29-20-north-florida,46.4,13,2.7,1,106.6,66.7,22,0.40700000000000003,70,0.4,28,0.14300000000000002,10,0.5,5,5,200,81.6,21.6,8,13,62,,14.5,11,0.14300000000000002,10,0.1,1,42.9,30,0.415,10.8,9,60,0.45,27,0.28600000000000003,2,"November 29, 2018",66.7,20,8.3,5,81.6,78.4,29,0.523,64,0.469,30,0.313,20,0.7,14,5,200,106.6,33.3,11,16,81,,10.5,8,0.42200000000000004,27,0.259,7,57.1,40,0.551,15.2,13,37,0.622,23,0.375,3,"UNF Arena , Jacksonville, Florida",FLORIDA-AM,Florida A&M,75.6,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,7,True,False,True,Home,True,7,23,64,40,70,1,27,70,1,0,58,125,414,0.5120772946859904,233,464,0.5021551724137931,60,141,434,0.532258064516129,0.2857142857142857
8,2018-12-01-17-charleston-southern,63.0,17,15.2,7,88.6,71.7,33,0.561,57,0.474,27,0.368,21,0.5710000000000001,12,5,200,96.2,41.9,13,21,76,,7.6,6,0.439,25,0.4,10,59.7,46,0.5670000000000001,26.6,24,32,0.531,17,0.444,4,"December 1, 2018",55.6,15,9.4,3,96.2,58.1,18,0.429,70,0.386,27,0.257,18,0.556,10,4,200,88.6,28.3,13,18,70,,16.5,13,0.34299999999999997,24,0.25,6,40.3,31,0.446,15.2,14,46,0.457,21,0.5,4,"CSU Fieldhouse, Charleston, South Carolina",CHARLESTON-SOUTHERN,Charleston Southern,78.8,Away,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,8,False,False,False,Away,True,10,17,57,46,77,6,21,70,1,0,65,148,478,0.5135983263598326,273,534,0.5112359550561798,61,168,504,0.5148809523809523,0.375
9,2018-12-11-21-minnesota,61.5,16,17.3,9,108.1,52.2,24,0.47600000000000003,63,0.413,26,0.19,12,0.917,11,6,200,95.9,20.6,7,24,71,,4.1,3,0.349,22,0.364,8,38.8,31,0.517,16.0,13,41,0.439,18,0.4,4,"December 11, 2018",61.5,16,9.8,4,95.9,79.4,27,0.396,67,0.38799999999999996,26,0.5820000000000001,39,0.6920000000000001,27,2,200,108.1,47.8,22,12,80,,9.5,7,0.22399999999999998,15,0.067,1,61.3,49,0.46799999999999997,10.6,10,52,0.48100000000000004,25,0.818,9,"Williams Arena, Minneapolis, Minnesota",NORTH-FLORIDA,North Florida,74.1,Home,MINNESOTA,Minnesota,North Florida,atlantic-sun,9,False,False,False,Away,False,8,18,63,31,80,1,25,67,0,1,75,165,535,0.5186915887850467,319,611,0.5220949263502455,67,189,574,0.5043554006968641,0.4444444444444444
