,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,OKLAHOMA_homegame,OKLAHOMA_homegame2,OKLAHOMA_home,OKLAHOMA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-20-texas-pan-american,55.2,16,14.0,7,92.7,81.6,31,0.595,58,0.5,29,0.534,31,0.71,22,0,200,111.0,25.8,8,22,91,,9.8,8,0.397,23,0.478,11,56.5,39,0.626,17.3,15,35,0.514,18,1.0,1,"November 9, 2018",55.2,16,8.6,3,111.0,74.2,23,0.486,69,0.42,29,0.24600000000000002,17,0.529,9,1,200,92.7,18.4,7,25,76,,12.2,10,0.275,19,0.474,9,43.5,30,0.493,16.4,15,50,0.4,20,0.5,1,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,82.4,Away,OKLAHOMA,Oklahoma,Oklahoma,big-12,0,False,False,False,Away,True,11,18,58,39,69,9,20,69,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-12-20-texas-san-antonio,37.1,13,11.4,5,81.7,72.1,31,0.565,69,0.507,35,0.159,11,0.818,9,0,200,106.1,27.3,9,13,87,,9.8,8,0.275,19,0.42100000000000004,8,52.6,40,0.586,15.9,14,50,0.54,27,1.0,2,"November 12, 2018",50.0,13,6.0,3,106.1,72.7,24,0.418,73,0.35600000000000004,26,0.096,7,0.857,6,2,200,81.7,27.9,12,16,67,,6.1,5,0.397,29,0.31,9,47.4,36,0.439,20.8,20,44,0.386,17,0.0,0,"Convocation Center, San Antonio, Texas",TEXAS-SAN-ANTONIO,UTSA,81.8,Away,OKLAHOMA,Oklahoma,Oklahoma,big-12,1,False,False,False,Away,True,8,27,69,40,76,9,17,73,1,0,11,18,58,0.5948275862068966,39,69,0.5652173913043478,9,20,69,0.4855072463768116,1.0
2,2018-11-18-14-oklahoma,50.0,12,5.0,2,105.6,78.1,25,0.45299999999999996,64,0.375,24,0.203,13,0.462,6,2,200,90.1,23.7,9,24,64,,5.6,4,0.5,32,0.313,10,48.6,34,0.456,11.4,9,32,0.43799999999999994,14,0.5,2,"November 18, 2018",44.0,11,0.0,0,90.1,76.3,29,0.483,58,0.431,25,0.517,30,0.633,19,0,200,105.6,21.9,7,15,75,,7.0,5,0.31,18,0.33299999999999996,6,51.4,36,0.519,9.0,7,40,0.475,19,1.0,3,"Lloyd Noble Center, Norman, Oklahoma",WOFFORD,Wofford,71.2,Home,OKLAHOMA,Oklahoma,Oklahoma,big-12,2,True,False,True,Home,True,6,19,58,36,70,10,14,64,1,0,19,45,127,0.5787401574803149,79,145,0.5448275862068965,18,37,142,0.4507042253521127,1.0
3,2018-11-21-12-florida,52.0,13,25.8,8,85.7,86.1,31,0.42200000000000004,64,0.391,25,0.23399999999999999,15,0.733,11,0,200,92.9,35.9,14,13,65,,8.6,6,0.281,18,0.222,4,60.0,45,0.457,16.5,14,46,0.457,21,1.0,4,"November 21, 2018",65.2,15,13.0,6,92.9,64.1,25,0.483,59,0.39,23,0.18600000000000003,11,0.273,3,2,200,85.7,13.9,5,14,60,,12.9,9,0.475,28,0.39299999999999996,11,40.0,30,0.467,13.5,10,31,0.387,12,0.5,2,"Imperial Arena at Atlantis Resort, Paradise Island",FLORIDA,Florida,70.2,Away,OKLAHOMA,Oklahoma,Oklahoma,big-12,3,False,False,False,Away,True,4,21,64,45,75,11,12,59,1,0,25,64,185,0.5486486486486486,115,215,0.5348837209302325,28,51,206,0.45145631067961167,1.0
4,2018-11-22-13-oklahoma,57.1,16,7.9,3,90.6,72.4,21,0.593,59,0.475,28,0.18600000000000003,11,0.727,8,0,200,121.9,28.0,7,12,78,25.0,12.5,8,0.373,22,0.636,14,51.9,28,0.607,9.9,7,37,0.37799999999999995,14,1.0,5,"November 22, 2018",29.2,7,18.9,7,121.9,72.0,18,0.52,51,0.47100000000000003,24,0.21600000000000003,11,0.455,5,1,200,90.6,27.6,8,14,58,,7.8,5,0.255,13,0.385,5,48.1,26,0.516,21.2,15,38,0.5,19,0.8,4,"Imperial Arena at Atlantis Resort, Paradise Island",OKLAHOMA,Oklahoma,63.7,Away,WISCONSIN,Wisconsin,Oklahoma,big-12,4,False,True,True,Home,False,5,19,51,26,54,14,14,59,0,1,29,85,249,0.5160642570281124,160,290,0.5517241379310345,39,63,265,0.45849056603773586,1.0
5,2018-11-23-11-oklahoma,63.2,12,6.3,2,100.0,81.5,22,0.36700000000000005,60,0.317,19,0.25,15,0.667,10,2,200,83.1,22.9,8,17,54,,9.2,6,0.4,24,0.25,6,48.4,30,0.402,10.7,8,36,0.361,13,0.667,4,"November 23, 2018",71.4,15,11.1,4,83.1,77.1,27,0.48,50,0.42,21,0.42,21,0.81,17,1,200,100.0,18.5,5,18,65,,6.2,4,0.36,18,0.33299999999999996,6,51.6,32,0.542,11.9,8,32,0.469,15,0.833,5,"Imperial Arena at Atlantis Resort, Paradise Island",DAYTON,Dayton,65.1,Home,OKLAHOMA,Oklahoma,Oklahoma,big-12,5,True,False,True,Home,True,6,15,50,32,62,6,13,60,1,0,34,104,300,0.5166666666666667,186,344,0.5406976744186046,53,77,324,0.48302469135802467,0.8
6,2018-11-27-20-oklahoma,42.1,8,2.8,1,91.3,82.8,24,0.319,69,0.275,19,0.24600000000000002,17,0.765,13,1,200,71.3,28.9,13,26,57,,10.0,8,0.377,26,0.231,6,50.0,37,0.37,18.2,17,43,0.302,13,0.889,8,"November 27, 2018",48.0,12,9.3,4,71.3,71.1,32,0.528,53,0.47200000000000003,25,0.623,33,0.515,17,1,200,91.3,17.2,5,15,73,,10.0,8,0.321,17,0.353,6,50.0,37,0.531,19.2,16,36,0.528,19,0.857,6,"Lloyd Noble Center, Norman, Oklahoma",NORTH-TEXAS,North Texas,80.4,Home,OKLAHOMA,Oklahoma,Oklahoma,big-12,6,True,False,True,Home,True,6,19,53,37,74,6,13,69,1,0,40,119,350,0.5114285714285715,218,406,0.5369458128078818,59,90,384,0.46484375,0.8333333333333334
7,2018-12-04-19-notre-dame,59.4,19,8.2,4,106.7,72.7,32,0.581,68,0.47100000000000003,32,0.11800000000000001,8,0.75,6,1,200,113.3,19.4,7,18,85,,4.0,3,0.426,29,0.517,15,48.8,39,0.5920000000000001,13.3,11,39,0.436,17,0.875,7,"December 4, 2018",41.9,13,7.7,3,113.3,80.6,29,0.466,74,0.419,31,0.257,19,0.579,11,2,200,106.7,27.3,12,13,80,,9.3,7,0.33799999999999997,25,0.28,7,51.3,41,0.48200000000000004,3.5,3,49,0.49,24,0.75,6,"Madison Square Garden (IV), New York, New York",NOTRE-DAME,Notre Dame,74.9,Away,OKLAHOMA,Oklahoma,Oklahoma,big-12,7,False,False,False,Away,True,15,17,68,39,80,7,24,74,1,0,46,138,403,0.5136476426799007,255,480,0.53125,65,103,453,0.44260485651214126,0.8571428571428571
8,2018-12-08-12-oklahoma,33.3,5,5.9,2,108.1,60.6,20,0.282,62,0.242,15,0.242,15,0.867,13,4,200,64.9,24.4,11,17,48,,8.1,6,0.435,27,0.185,5,39.7,31,0.34700000000000003,17.9,15,35,0.28600000000000003,10,0.5,4,"December 8, 2018",38.5,10,5.7,2,64.9,75.6,34,0.525,59,0.441,26,0.373,22,0.818,18,1,200,108.1,39.4,13,15,80,,9.5,7,0.424,25,0.4,10,60.3,47,0.5760000000000001,20.8,18,34,0.47100000000000003,16,0.889,8,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",WICHITA-STATE,Wichita State,73.8,Home,OKLAHOMA,Oklahoma,Oklahoma,big-12,8,True,False,True,Home,True,10,16,59,47,78,5,10,62,1,0,61,155,471,0.5233545647558386,294,560,0.525,72,127,527,0.4459203036053131,0.875
9,2018-12-15-21-oklahoma,47.8,11,4.7,2,98.8,77.4,24,0.39399999999999996,66,0.348,23,0.379,25,0.72,18,5,200,85.4,27.7,13,24,70,,6.1,5,0.303,20,0.3,6,47.4,37,0.449,18.9,18,46,0.37,17,0.5,5,"December 15, 2018",46.7,14,4.3,2,85.4,72.3,34,0.541,61,0.49200000000000005,30,0.41,25,0.6,15,1,200,98.8,22.6,7,20,81,,8.5,7,0.295,18,0.33299999999999996,6,52.6,41,0.556,18.2,16,43,0.5579999999999999,24,0.9,9,,SOUTHERN-CALIFORNIA,USC,82.4,Home,OKLAHOMA,Oklahoma,Oklahoma,big-12,9,True,False,True,Home,True,6,24,61,41,78,6,17,66,1,0,71,171,530,0.5235849056603774,341,638,0.5344827586206896,77,137,589,0.42869269949066213,0.8888888888888888
