,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEBRASKA-OMAHA_homegame,NEBRASKA-OMAHA_homegame2,NEBRASKA-OMAHA_home,NEBRASKA-OMAHA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-minnesota,25.0,7,7.3,3,130.0,56.0,14,0.5,63,0.444,28,0.27,17,0.765,13,1,196,95.0,15.6,5,19,76,,11.3,9,0.302,19,0.368,7,33.3,19,0.535,15.6,13,44,0.47700000000000004,21,0.0,0,"November 6, 2018",71.8,28,9.1,4,95.0,84.4,27,0.71,62,0.629,39,0.371,23,0.696,16,0,196,130.0,44.0,11,16,104,,6.3,5,0.33899999999999997,21,0.47600000000000003,10,66.7,38,0.713,20.0,18,41,0.7070000000000001,29,1.0,1,"Williams Arena, Minneapolis, Minnesota",NEBRASKA-OMAHA,Omaha,81.1,Home,MINNESOTA,Minnesota,Omaha,summit,0,False,False,False,Away,False,7,21,63,19,57,10,29,62,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-13-nebraska-omaha,69.6,16,0.0,0,127.0,70.0,21,0.527,55,0.418,23,0.018000000000000002,1,0.0,0,0,200,78.4,6.5,2,13,58,,6.8,5,0.7090000000000001,39,0.308,12,37.7,23,0.523,26.5,20,16,0.688,11,0.0,0,"November 9, 2018",33.3,13,12.5,2,78.4,93.5,29,0.607,70,0.557,39,0.129,9,1.0,9,1,200,127.0,30.0,9,10,94,,18.9,14,0.271,19,0.368,7,62.3,38,0.633,11.9,10,51,0.627,32,0.5,1,"Baxter Arena, Omaha, Nebraska","Buena Vista
			","Buena Vista
			",74.4,Home,NEBRASKA-OMAHA,Omaha,Omaha,summit,1,True,False,True,Home,True,7,32,70,38,61,12,11,55,1,0,7,21,63,0.5,19,57,0.3333333333333333,10,29,62,0.7096774193548387,0.0
2,2018-11-14-20-nebraska-omaha,48.1,13,17.6,6,88.0,73.7,28,0.469,64,0.42200000000000004,27,0.313,20,0.8,16,1,200,101.3,29.0,9,15,76,,12.0,9,0.344,22,0.273,6,53.6,37,0.517,14.2,12,42,0.5,21,0.667,2,"November 14, 2018",55.6,15,4.8,2,101.3,71.0,22,0.462,66,0.409,27,0.152,10,0.5,5,2,200,88.0,26.3,10,17,66,,5.3,4,0.485,32,0.21899999999999997,7,46.4,32,0.466,15.6,13,34,0.588,20,0.33299999999999996,1,"Baxter Arena, Omaha, Nebraska",NEBRASKA-OMAHA,Omaha,75.1,Away,NORTHERN-ARIZONA,Northern Arizona,Omaha,summit,2,False,True,True,Home,False,7,20,66,32,69,6,21,64,0,1,14,53,133,0.556390977443609,57,118,0.4830508474576271,22,40,117,0.6239316239316239,0.5
3,2018-11-16-21-colorado,24.1,7,5.9,2,109.7,69.0,20,0.5489999999999999,61,0.475,29,0.19699999999999998,12,0.667,8,3,200,104.2,17.2,5,22,75,,9.7,7,0.361,22,0.409,9,43.1,25,0.562,13.1,10,39,0.513,20,0.25,1,"November 16, 2018",50.0,13,15.4,6,104.2,82.8,24,0.545,55,0.473,26,0.418,23,0.826,19,0,200,109.7,31.0,9,13,79,,5.6,4,0.382,21,0.381,8,56.9,33,0.599,19.7,16,34,0.529,18,1.0,2,"Coors Events/Conference Center, Boulder, Colorado",NEBRASKA-OMAHA,Omaha,72.3,Home,COLORADO,Colorado,Omaha,summit,3,False,False,False,Away,False,9,20,61,25,58,8,18,55,0,1,21,73,199,0.5251256281407035,89,187,0.47593582887700536,28,61,181,0.569060773480663,0.3333333333333333
4,2018-11-20-19-bethune-cookman,54.2,13,6.5,2,75.7,87.5,28,0.46399999999999997,56,0.429,24,0.536,30,0.8,24,3,200,102.7,18.8,6,14,76,,13.5,10,0.28600000000000003,16,0.25,4,53.1,34,0.541,14.8,12,40,0.5,20,0.4,2,"November 20, 2018",61.9,13,15.0,6,102.7,81.3,26,0.48,50,0.42,21,0.34,17,0.47100000000000003,8,4,200,75.7,12.5,4,22,56,,12.2,9,0.38,19,0.316,6,46.9,30,0.48200000000000004,23.8,18,31,0.484,15,0.33299999999999996,2,"Moore Gymnasium, Daytona Beach, Florida",BETHUNE-COOKMAN,Bethune-Cookman,74.2,Away,NEBRASKA-OMAHA,Omaha,Omaha,summit,4,False,False,False,Away,True,4,20,56,34,64,6,15,50,1,0,30,93,260,0.5307692307692308,114,245,0.46530612244897956,36,79,236,0.5635593220338984,0.25
5,2018-11-24-14-nebraska-omaha,41.7,10,3.6,1,127.1,80.0,16,0.48200000000000004,57,0.42100000000000004,24,0.24600000000000002,14,0.7140000000000001,10,6,200,92.9,25.0,8,13,65,,5.7,4,0.456,26,0.26899999999999996,7,46.2,24,0.511,18.1,14,31,0.5479999999999999,17,0.14300000000000002,1,"November 24, 2018",60.6,20,6.5,2,92.9,75.0,24,0.7020000000000001,57,0.579,33,0.21100000000000002,12,0.75,9,3,200,127.1,20.0,4,17,89,,8.6,6,0.509,29,0.483,14,53.8,28,0.71,16.2,12,28,0.679,19,0.5,3,"Baxter Arena, Omaha, Nebraska",MONTANA-STATE,Montana State,70.2,Home,NEBRASKA-OMAHA,Omaha,Omaha,summit,5,True,False,True,Home,True,14,19,57,28,52,7,17,57,1,0,34,113,316,0.5189873417721519,148,309,0.47896440129449835,42,94,286,0.548951048951049,0.4
6,2018-11-26-20-iowa-state,52.4,11,4.9,2,109.3,66.7,24,0.43200000000000005,59,0.35600000000000004,21,0.153,9,0.444,4,4,200,73.3,18.9,7,19,55,,5.3,4,0.542,32,0.281,9,42.5,31,0.435,23.2,19,27,0.444,12,0.429,3,"November 26, 2018",56.7,17,7.4,2,73.3,81.1,30,0.523,65,0.462,30,0.308,20,0.7,14,1,200,109.3,33.3,12,12,82,,18.7,14,0.369,24,0.33299999999999996,8,57.5,42,0.55,15.0,13,41,0.537,22,0.857,6,"James H. Hilton Coliseum , Ames, Iowa",NEBRASKA-OMAHA,Omaha,75.4,Home,IOWA-STATE,Iowa State,Omaha,summit,6,False,False,False,Away,False,9,12,59,31,73,8,22,65,0,1,48,132,373,0.546916890080429,176,361,0.48753462603878117,49,111,343,0.5379008746355685,0.5
7,2018-11-28-21-arizona-state,50.0,14,4.7,2,117.1,58.1,18,0.5660000000000001,61,0.45899999999999996,28,0.08199999999999999,5,0.4,2,5,200,93.4,10.3,3,19,71,,6.6,5,0.426,26,0.5,13,35.0,21,0.56,21.2,17,35,0.429,15,0.375,3,"November 28, 2018",57.6,19,14.3,5,93.4,89.7,26,0.578,64,0.516,33,0.344,22,0.682,15,0,200,117.1,41.9,13,13,89,,11.8,9,0.32799999999999996,21,0.381,8,65.0,39,0.598,15.0,13,43,0.581,25,1.0,6,"Wells Fargo Arena, Tempe, Arizona",NEBRASKA-OMAHA,Omaha,75.9,Home,ARIZONA-STATE,Arizona State,Omaha,summit,7,False,False,False,Away,False,13,15,61,21,60,8,25,64,0,1,57,144,432,0.53125,207,434,0.4769585253456221,57,133,408,0.5355392156862745,0.42857142857142855
8,2018-12-06-22-seattle,34.8,8,3.1,1,123.3,77.3,17,0.466,59,0.39,23,0.39,23,0.696,16,6,200,97.3,16.2,6,23,71,,5.5,4,0.33899999999999997,20,0.45,9,39.0,23,0.508,11.5,9,39,0.359,14,0.33299999999999996,3,"December 6, 2018",45.2,14,23.1,9,97.3,83.8,31,0.64,57,0.544,31,0.40399999999999997,23,0.7390000000000001,17,2,200,123.3,22.7,5,18,90,,1.4,1,0.439,25,0.44,11,61.0,36,0.662,14.1,11,32,0.625,20,0.818,9,"Connolly Center, Seattle, Washington",NEBRASKA-OMAHA,Omaha,73.4,Home,SEATTLE,Seattle,Omaha,summit,8,False,False,False,Away,False,9,14,59,23,59,11,20,57,0,1,70,159,493,0.5354969574036511,228,494,0.46153846153846156,65,158,472,0.5413135593220338,0.375
9,2018-12-08-20-oregon,71.4,15,3.0,1,142.4,52.4,11,0.54,50,0.42,21,0.16,8,0.875,7,7,200,103.4,7.4,2,13,61,,8.5,5,0.62,31,0.387,12,27.1,13,0.5670000000000001,13.0,8,19,0.474,9,0.3,3,"December 8, 2018",54.5,18,5.3,1,103.4,92.6,25,0.696,56,0.589,33,0.14300000000000002,8,0.75,6,3,200,142.4,47.6,10,13,84,,8.5,5,0.41100000000000003,23,0.522,12,72.9,35,0.7020000000000001,13.1,9,33,0.636,21,0.625,5,"Matthew Knight Arena, Eugene, Oregon",NEBRASKA-OMAHA,Omaha,59.3,Home,OREGON,Oregon,Omaha,summit,9,False,False,False,Away,False,12,9,50,13,48,12,21,56,0,1,79,173,552,0.5280797101449275,251,553,0.4538878842676311,76,178,529,0.5519848771266541,0.3333333333333333
