,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PACIFIC_homegame,PACIFIC_homegame2,PACIFIC_home,PACIFIC_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-southern-illinois-edwardsville,62.5,15,4.0,1,89.0,86.1,31,0.5710000000000001,49,0.49,24,0.449,22,0.818,18,0,200,101.4,33.3,7,23,74,,8.2,6,0.469,23,0.348,8,66.7,38,0.622,24.5,19,26,0.615,16,1.0,1,"November 6, 2018",45.5,10,11.5,3,101.4,66.7,14,0.46399999999999997,56,0.39299999999999996,22,0.46399999999999997,26,0.5,13,1,200,89.0,13.9,5,23,65,,11.0,8,0.5539999999999999,31,0.258,8,33.3,19,0.475,15.1,12,25,0.56,14,0.0,0,"Sam Vadalabene Center , Edwardsville, Illinois",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,73.4,Away,PACIFIC,Pacific,Pacific,wcc,0,False,False,False,Away,True,8,16,49,38,57,8,14,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-22-nevada,60.0,15,4.0,1,122.1,72.7,24,0.45799999999999996,60,0.41700000000000004,25,0.233,14,0.429,6,1,200,89.7,17.6,6,28,61,,5.9,4,0.33299999999999996,20,0.25,5,44.8,30,0.45799999999999996,12.0,9,40,0.5,20,0.5,1,"November 9, 2018",84.0,21,15.0,6,89.7,82.4,28,0.58,56,0.446,25,0.48200000000000004,27,0.667,18,0,200,122.1,27.3,9,18,83,7.0,7.4,5,0.5539999999999999,31,0.484,15,55.2,37,0.603,9.3,7,25,0.4,10,1.0,2,"Lawlor Events Center, Reno, Nevada",PACIFIC,Pacific,68.2,Home,NEVADA,Nevada,Pacific,wcc,1,False,False,False,Away,False,5,20,60,30,67,15,10,56,0,1,8,16,49,0.5714285714285714,38,57,0.6666666666666666,8,14,56,0.4642857142857143,1.0
2,2018-11-13-22-pacific,50.0,11,0.0,0,115.2,64.0,16,0.48100000000000004,52,0.423,22,0.442,23,0.696,16,0,200,83.5,18.8,6,27,66,,10.1,8,0.48100000000000004,25,0.24,6,38.6,22,0.524,23.4,19,27,0.593,16,0.0,0,"November 13, 2018",69.0,20,3.7,1,83.5,81.3,26,0.609,55,0.527,29,0.6,33,0.727,24,1,200,115.2,36.0,9,17,91,,11.4,9,0.473,26,0.34600000000000003,9,61.4,35,0.644,22.3,20,29,0.69,20,0.667,2,"A.G. Spanos Center, Stockton, California","Cal State Stanislaus
			","Cal State Stanislaus
			",78.8,Home,PACIFIC,Pacific,Pacific,wcc,2,True,False,True,Home,True,9,20,55,35,57,6,16,52,1,0,13,36,109,0.5091743119266054,68,124,0.5483870967741935,23,24,112,0.5223214285714286,0.5
3,2018-11-15-21-idaho-state,42.9,12,0.0,0,113.4,80.6,25,0.532,62,0.452,28,0.29,18,0.9440000000000001,17,1,200,123.9,37.5,12,23,83,,6.0,4,0.33899999999999997,21,0.47600000000000003,10,58.7,37,0.588,12.5,10,41,0.439,18,0.75,3,"November 15, 2018",34.8,8,7.3,3,123.9,62.5,20,0.528,54,0.426,23,0.426,23,0.826,19,2,200,113.4,19.4,6,14,76,,7.5,5,0.611,33,0.33299999999999996,11,41.3,26,0.585,9.8,7,21,0.5710000000000001,12,0.33299999999999996,1,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,67.2,Away,PACIFIC,Pacific,Pacific,wcc,3,False,False,False,Away,True,10,18,62,37,63,11,12,54,1,0,22,56,164,0.5426829268292683,103,181,0.569060773480663,29,40,164,0.5091463414634146,0.6666666666666666
4,2018-11-20-22-nevada-las-vegas,47.8,11,0.0,0,137.1,54.5,12,0.51,52,0.442,23,0.462,24,0.708,17,2,200,100.0,27.6,8,20,70,,7.1,5,0.212,11,0.636,7,39.2,20,0.552,18.3,14,41,0.39,16,0.6,3,"November 20, 2018",61.1,22,2.4,1,100.0,72.4,21,0.716,58,0.621,36,0.414,24,0.542,13,1,200,137.1,45.5,10,20,96,,10.0,7,0.466,27,0.40700000000000003,11,60.8,31,0.6920000000000001,13.8,11,31,0.8059999999999999,25,0.75,3,"Thomas & Mack Center, Las Vegas, Nevada",PACIFIC,Pacific,69.9,Home,NEVADA-LAS-VEGAS,UNLV,Pacific,wcc,4,False,False,False,Away,False,7,16,52,20,51,11,25,58,0,1,32,74,226,0.5398230088495575,140,244,0.5737704918032787,40,52,218,0.5137614678899083,0.75
5,2018-11-22-15-pacific,47.1,8,8.3,3,110.4,69.2,18,0.423,52,0.327,17,0.34600000000000003,18,0.556,10,4,200,80.6,18.4,7,21,54,,6.0,4,0.596,31,0.32299999999999995,10,39.1,25,0.446,16.7,12,21,0.33299999999999996,7,0.2,1,"November 22, 2018",38.5,10,0.0,0,80.6,81.6,31,0.55,50,0.52,26,0.5,25,0.76,19,2,200,110.4,30.8,8,21,74,,4.5,3,0.28,14,0.214,3,60.9,39,0.598,18.7,14,36,0.639,23,0.667,4,"A.G. Spanos Center, Stockton, California",CALIFORNIA-RIVERSIDE,UC-Riverside,66.7,Home,PACIFIC,Pacific,Pacific,wcc,5,True,False,True,Home,True,3,23,50,39,64,10,7,52,1,0,39,90,278,0.5341726618705036,160,295,0.5423728813559322,51,77,276,0.5561594202898551,0.6
6,2018-11-23-20-pacific,39.3,11,6.1,2,107.6,72.4,21,0.545,56,0.5,28,0.321,18,0.667,12,0,200,110.6,22.2,6,28,73,,6.1,4,0.268,15,0.33299999999999996,5,48.2,27,0.565,12.3,9,41,0.561,23,1.0,5,"November 23, 2018",25.0,5,7.3,3,110.6,77.8,21,0.467,46,0.435,20,0.804,37,0.757,28,3,200,107.6,27.6,8,19,71,,9.1,6,0.28300000000000003,13,0.231,3,51.8,29,0.5579999999999999,12.6,9,33,0.515,17,0.5710000000000001,4,"A.G. Spanos Center, Stockton, California",PACIFIC,Pacific,66.1,Away,ABILENE-CHRISTIAN,Abilene Christian,Pacific,wcc,6,False,True,True,Home,False,3,17,46,29,56,5,23,56,0,1,42,113,328,0.5365853658536586,199,359,0.5543175487465181,61,84,328,0.5350609756097561,0.6666666666666666
7,2018-11-24-23-pacific,50.0,9,8.8,3,87.8,87.9,29,0.44,50,0.36,18,0.32,16,0.813,13,4,200,77.0,21.9,7,20,57,,8.1,6,0.62,31,0.258,8,55.4,36,0.495,27.8,22,19,0.526,10,0.33299999999999996,2,"November 24, 2018",36.4,8,15.8,3,77.0,78.1,25,0.48100000000000004,54,0.40700000000000003,22,0.35200000000000004,19,0.684,13,3,200,87.8,12.1,4,17,65,,14.9,11,0.37,20,0.4,8,44.6,29,0.516,20.4,16,34,0.41200000000000003,14,0.625,5,"A.G. Spanos Center, Stockton, California",ELON,Elon,73.8,Home,PACIFIC,Pacific,Pacific,wcc,7,True,False,True,Home,True,8,14,54,29,65,8,10,50,1,0,45,130,374,0.5280748663101604,228,415,0.5493975903614458,66,107,384,0.5364583333333334,0.5714285714285714
8,2018-11-28-22-fresno-state,50.0,14,14.7,5,103.8,67.6,23,0.516,64,0.43799999999999994,28,0.266,17,0.706,12,4,225,100.0,29.7,11,22,78,,7.7,6,0.359,23,0.435,10,47.9,34,0.541,21.0,19,41,0.439,18,0.556,5,"November 28, 2018",58.6,17,17.1,7,100.0,70.3,26,0.55,60,0.483,29,0.38299999999999995,23,0.652,15,2,225,103.8,32.4,11,19,81,,12.8,10,0.433,26,0.308,8,52.1,37,0.5710000000000001,18.6,16,34,0.618,21,0.667,4,"Save Mart Center, Fresno, California",PACIFIC,Pacific,69.3,Home,FRESNO-STATE,Fresno State,Pacific,wcc,8,False,False,False,Away,False,10,18,64,34,71,8,21,60,0,1,53,144,428,0.522196261682243,257,480,0.5354166666666667,74,117,434,0.5253456221198156,0.625
9,2018-12-01-22-pacific,50.0,13,0.0,0,130.2,69.0,20,0.602,49,0.531,26,0.265,13,0.769,10,5,200,109.5,16.7,4,16,69,,4.8,3,0.469,23,0.304,7,45.3,24,0.625,15.5,10,26,0.731,19,0.375,3,"December 1, 2018",46.4,13,11.5,3,109.5,83.3,20,0.623,53,0.528,28,0.377,20,0.8,16,4,200,130.2,31.0,9,18,82,,12.7,8,0.415,22,0.455,10,54.7,29,0.6559999999999999,16.3,12,31,0.581,18,0.6,6,"A.G. Spanos Center, Stockton, California",AIR-FORCE,Air Force,63.3,Home,PACIFIC,Pacific,Pacific,wcc,9,True,False,True,Home,True,10,18,53,29,53,7,19,49,1,0,63,162,492,0.5213414634146342,291,551,0.5281306715063521,82,138,494,0.52834008097166,0.5555555555555556
10,2018-12-05-22-pacific,27.6,8,11.8,4,102.8,78.1,25,0.611,54,0.537,29,0.13,7,0.429,3,0,200,95.8,15.4,4,25,69,,5.6,4,0.37,20,0.4,8,50.0,29,0.602,24.0,18,34,0.618,21,0.0,0,"December 5, 2018",33.3,8,2.9,1,95.8,84.6,22,0.48100000000000004,54,0.444,24,0.519,28,0.7859999999999999,22,4,200,102.8,21.9,7,10,74,,11.1,8,0.37,20,0.2,4,50.0,29,0.55,16.4,13,34,0.588,20,0.636,7,"A.G. Spanos Center, Stockton, California","Texas-Permian Basin
			","Texas-Permian Basin
			",72.3,Home,PACIFIC,Pacific,Pacific,wcc,10,True,False,True,Home,True,4,20,54,29,58,8,21,54,1,0,73,180,545,0.5311926605504587,320,604,0.5298013245033113,89,157,543,0.5349907918968693,0.6
