,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PENN-STATE_homegame,PENN-STATE_homegame2,PENN-STATE_home,PENN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-19-penn-state,48.1,13,16.7,6,104.8,85.7,24,0.461,64,0.42200000000000004,27,0.344,22,0.591,13,2,200,86.7,23.7,9,29,72,,10.8,9,0.42200000000000004,27,0.185,5,50.0,33,0.484,16.9,15,37,0.595,22,0.0,0,"November 9, 2018",63.0,17,13.5,5,86.7,76.3,29,0.544,57,0.474,27,0.614,35,0.7140000000000001,25,0,200,104.8,14.3,4,19,87,,8.4,7,0.368,21,0.381,8,50.0,33,0.591,17.2,15,36,0.528,19,1.0,1,"Bryce Jordan Center, University Park, Pennsylvania",NORTH-FLORIDA,North Florida,82.5,Home,PENN-STATE,Penn State,Penn State,big-ten,0,True,False,True,Home,True,8,19,57,33,66,5,22,64,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-12-19-penn-state,26.1,6,9.4,3,110.1,67.6,25,0.42200000000000004,58,0.397,23,0.276,16,0.75,12,2,200,88.4,38.7,12,22,61,,7.2,5,0.24100000000000002,14,0.214,3,54.4,37,0.465,19.7,16,44,0.455,20,0.0,0,"November 12, 2018",38.5,10,6.8,3,88.4,61.3,19,0.484,64,0.406,26,0.32799999999999996,21,0.667,14,0,200,110.1,32.4,12,17,76,,10.1,7,0.5,32,0.313,10,45.6,31,0.514,7.6,6,32,0.5,16,1.0,2,"Bryce Jordan Center, University Park, Pennsylvania",JACKSONVILLE-STATE,Jacksonville State,68.8,Home,PENN-STATE,Penn State,Penn State,big-ten,1,True,False,True,Home,True,10,16,64,31,68,3,20,58,1,0,8,19,57,0.543859649122807,33,66,0.5,5,22,64,0.4609375,1.0
2,2018-11-15-21-depaul,52.0,13,4.8,2,91.1,71.4,25,0.469,64,0.391,25,0.25,16,0.625,10,1,225,88.6,21.4,9,23,70,,12.7,10,0.469,30,0.33299999999999996,10,44.2,34,0.489,18.4,16,34,0.441,15,0.667,2,"November 15, 2018",50.0,14,5.9,2,88.6,78.6,33,0.461,64,0.43799999999999994,28,0.32799999999999996,21,0.619,13,0,225,91.1,28.6,10,17,72,,11.4,9,0.344,22,0.136,3,55.8,43,0.48700000000000004,17.9,16,42,0.595,25,1.0,3,"Wintrust Arena, Chicago, Illinois",PENN-STATE,Penn State,70.5,Home,DEPAUL,DePaul,Penn State,big-ten,2,False,False,False,Away,False,10,15,64,34,77,3,25,64,0,1,18,35,121,0.512396694214876,64,134,0.47761194029850745,8,42,122,0.4426229508196721,1.0
3,2018-11-20-20-penn-state,38.1,8,6.1,2,111.6,81.0,17,0.45299999999999996,53,0.396,21,0.302,16,0.688,11,2,200,85.5,17.2,5,16,59,,7.2,5,0.415,22,0.273,6,44.0,22,0.48700000000000004,20.0,15,31,0.484,15,0.6,3,"November 20, 2018",44.8,13,0.0,0,85.5,82.8,24,0.67,50,0.58,29,0.28,14,0.7140000000000001,10,1,200,111.6,19.0,4,22,77,,11.6,8,0.34,17,0.529,9,56.0,28,0.68,21.1,15,33,0.606,20,0.75,3,"Hard Rock Hotel Riviera Maya, Cancun",WRIGHT-STATE,Wright State,69.1,Home,PENN-STATE,Penn State,Penn State,big-ten,3,True,False,True,Home,True,9,20,50,28,50,6,15,53,1,0,28,50,185,0.4972972972972973,98,211,0.46445497630331756,11,67,186,0.4489247311827957,0.6666666666666666
4,2018-11-21-20-bradley,35.3,6,12.0,3,93.7,82.8,24,0.322,59,0.28800000000000003,17,0.373,22,0.818,18,2,200,88.9,48.7,19,19,56,,11.1,7,0.45799999999999996,27,0.14800000000000002,4,63.2,43,0.40299999999999997,14.9,12,32,0.406,13,0.6,3,"November 21, 2018",61.9,13,9.4,3,88.9,51.3,20,0.51,49,0.429,21,0.34700000000000003,17,0.529,9,1,200,93.7,17.2,5,18,59,,7.9,5,0.49,24,0.33299999999999996,8,36.8,25,0.517,17.5,12,25,0.52,13,0.833,5,"Hard Rock Hotel Riviera Maya, Cancun",PENN-STATE,Penn State,63.3,Home,BRADLEY,Bradley,Penn State,big-ten,4,False,False,False,Away,False,4,13,59,43,68,8,13,49,0,1,37,70,235,0.5340425531914894,126,261,0.4827586206896552,17,82,239,0.4497907949790795,0.75
5,2018-11-27-19-penn-state,40.9,9,10.7,3,100.0,58.1,18,0.54,50,0.44,22,0.26,13,0.615,8,1,200,98.4,26.7,8,14,62,13.0,17.5,11,0.38,19,0.526,10,42.6,26,0.552,20.1,14,31,0.387,12,0.833,5,"November 27, 2018",56.0,14,16.1,5,98.4,73.3,22,0.518,57,0.439,25,0.12300000000000001,7,0.5710000000000001,4,2,200,100.0,41.9,13,16,63,,12.7,8,0.509,29,0.31,9,57.4,35,0.522,21.0,16,28,0.5710000000000001,16,0.667,4,"Bryce Jordan Center, University Park, Pennsylvania",VIRGINIA-TECH,Virginia Tech,62.8,Home,PENN-STATE,Penn State,Penn State,big-ten,5,True,False,True,Home,True,9,16,57,35,61,10,12,50,1,0,41,83,294,0.4914965986394558,169,329,0.513677811550152,25,95,288,0.4600694444444444,0.6
6,2018-12-01-17-maryland,36.0,9,6.5,2,100.0,68.0,17,0.43700000000000006,63,0.397,25,0.095,6,0.667,4,3,200,89.4,22.9,8,24,59,,18.2,12,0.33299999999999996,21,0.23800000000000002,5,41.7,25,0.44799999999999995,10.9,8,42,0.47600000000000003,20,0.5710000000000001,4,"December 1, 2018",40.9,9,2.4,1,89.4,77.1,27,0.5329999999999999,45,0.489,22,0.556,25,0.72,18,1,200,100.0,32.0,8,14,66,24.0,3.0,2,0.311,14,0.28600000000000003,4,58.3,35,0.58,23.3,17,31,0.581,18,0.875,7,"Xfinity Center, College Park, Maryland",PENN-STATE,Penn State,65.9,Home,MARYLAND,Maryland,Penn State,big-ten,6,False,False,False,Away,False,5,20,63,25,60,4,18,45,0,1,50,99,351,0.49572649572649574,204,390,0.5230769230769231,35,107,338,0.4718934911242604,0.6666666666666666
7,2018-12-04-19-penn-state,52.2,12,12.2,5,87.3,71.4,35,0.48200000000000004,55,0.418,23,0.255,14,0.7859999999999999,11,2,200,90.1,18.8,6,21,64,,8.5,6,0.327,18,0.389,7,50.6,41,0.519,20.7,16,37,0.43200000000000005,16,0.778,7,"December 4, 2018",47.8,11,5.4,2,90.1,81.3,26,0.41100000000000003,62,0.371,23,0.419,26,0.423,11,4,200,87.3,28.6,14,16,62,,16.9,12,0.33899999999999997,21,0.23800000000000002,5,49.4,40,0.41700000000000004,10.9,9,41,0.439,18,0.5,4,"Bryce Jordan Center, University Park, Pennsylvania",PENN-STATE,Penn State,70.5,Away,INDIANA,Indiana,Penn State,big-ten,7,False,True,True,Home,False,5,18,62,40,81,7,16,55,0,1,55,119,414,0.4867149758454106,229,450,0.5088888888888888,39,125,383,0.47911227154047,0.5714285714285714
8,2018-12-08-14-penn-state,56.0,14,11.8,4,107.0,64.7,22,0.556,54,0.46299999999999997,25,0.14800000000000002,8,0.625,5,4,200,91.5,6.9,2,15,65,,12.7,9,0.389,21,0.47600000000000003,10,38.1,24,0.562,18.4,13,33,0.455,15,0.636,7,"December 8, 2018",60.0,15,15.2,5,91.5,93.1,27,0.5,60,0.41700000000000004,25,0.317,19,0.8420000000000001,16,4,200,107.0,35.3,12,13,76,,9.9,7,0.433,26,0.385,10,61.9,39,0.551,19.0,16,34,0.441,15,0.556,5,"Bryce Jordan Center, University Park, Pennsylvania",COLGATE,Colgate,70.9,Home,PENN-STATE,Penn State,Penn State,big-ten,8,True,False,True,Home,True,10,15,60,39,63,10,15,54,1,0,60,137,476,0.47689075630252103,269,531,0.5065913370998116,46,141,438,0.4794520547945205,0.5
9,2018-12-15-14-penn-state,41.2,14,2.1,1,97.5,80.5,33,0.67,56,0.607,34,0.35700000000000004,20,0.7,14,1,200,111.3,20.8,5,25,89,,7.5,6,0.25,14,0.5,7,58.5,38,0.679,20.8,17,42,0.643,27,0.9,9,"December 15, 2018",48.1,13,4.8,2,111.3,79.2,19,0.469,64,0.42200000000000004,27,0.42200000000000004,27,0.667,18,5,200,97.5,19.5,8,20,78,,11.3,9,0.266,17,0.353,6,41.5,27,0.508,15.6,14,47,0.447,21,0.5,5,"Boardwalk Hall, Atlantic City, New Jersey",PENN-STATE,Penn State,80.2,Away,NORTH-CAROLINA-STATE,NC State,Penn State,big-ten,9,False,True,True,Home,False,6,21,64,27,65,7,27,56,0,1,70,152,536,0.47947761194029853,308,594,0.5185185185185185,56,156,492,0.4878048780487805,0.5555555555555556
