,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAINT-JOSEPHS_homegame,SAINT-JOSEPHS_homegame2,SAINT-JOSEPHS_home,SAINT-JOSEPHS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-19-saint-josephs,39.1,9,3.0,1,114.5,88.9,24,0.46,62,0.371,23,0.177,11,0.636,7,1,200,92.8,20.0,7,16,64,,5.8,4,0.452,28,0.39299999999999996,11,50.0,31,0.47600000000000003,11.9,9,34,0.353,12,0.5,1,"November 9, 2018",46.2,12,2.9,1,92.8,80.0,28,0.574,54,0.48100000000000004,26,0.40700000000000003,22,0.773,17,0,200,114.5,11.1,3,11,79,,2.9,2,0.389,21,0.47600000000000003,10,50.0,31,0.613,11.2,8,33,0.485,16,1.0,1,"Hagan Arena, Philadelphia, Pennsylvania",OLD-DOMINION,Old Dominion,69.3,Home,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10,0,True,False,True,Home,True,10,16,54,31,62,11,12,62,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-12-19-saint-josephs,50.0,13,12.8,5,113.0,64.1,25,0.519,54,0.48100000000000004,26,0.259,14,0.5,7,3,200,91.3,6.9,2,18,63,,5.8,4,0.33299999999999996,18,0.222,4,39.7,27,0.519,13.0,9,36,0.611,22,0.0,0,"November 12, 2018",60.7,17,2.8,1,91.3,93.1,27,0.46299999999999997,68,0.41200000000000003,28,0.324,22,0.682,15,0,200,113.0,35.9,14,16,78,,5.8,4,0.426,29,0.24100000000000002,7,60.3,41,0.49700000000000005,7.2,6,39,0.5379999999999999,21,1.0,2,"Hagan Arena, Philadelphia, Pennsylvania",MONMOUTH,Monmouth,69.1,Home,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10,1,True,False,True,Home,True,7,21,68,41,68,4,22,54,1,0,10,16,54,0.5740740740740741,31,62,0.5,11,12,62,0.4596774193548387,1.0
2,2018-11-15-11-wake-forest,62.5,20,15.4,4,101.5,75.8,25,0.645,62,0.516,32,0.19399999999999998,12,0.75,9,0,200,130.9,29.2,7,19,89,,17.6,12,0.484,30,0.5329999999999999,16,56.1,32,0.657,10.6,8,32,0.5,16,1.0,3,"November 15, 2018",60.0,12,6.3,2,130.9,70.8,17,0.5,51,0.392,20,0.451,23,0.7829999999999999,18,1,200,101.5,24.2,8,11,69,,7.4,5,0.49,25,0.44,11,43.9,25,0.557,18.6,14,26,0.34600000000000003,9,0.5,1,"The HTC Center, Conway, South Carolina",WAKE-FOREST,Wake Forest,68.3,Away,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10,2,False,False,False,Away,True,16,16,62,32,57,11,9,51,1,0,17,37,122,0.5122950819672131,72,130,0.5538461538461539,15,34,116,0.4870689655172414,1.0
3,2018-11-16-13-central-florida,57.1,12,8.1,3,122.2,62.5,15,0.46399999999999997,55,0.382,21,0.23600000000000002,13,0.462,6,1,200,90.5,23.5,8,9,57,,9.5,6,0.455,25,0.36,9,39.7,23,0.466,15.3,11,30,0.4,12,0.75,3,"November 16, 2018",43.8,14,13.3,4,90.5,76.5,26,0.638,58,0.552,32,0.069,4,0.75,3,1,200,122.2,37.5,9,13,77,,12.7,8,0.36200000000000004,21,0.47600000000000003,10,60.3,35,0.643,15.5,11,37,0.595,22,0.75,3,"The HTC Center, Conway, South Carolina",SAINT-JOSEPHS,St. Joseph's,63.0,Home,CENTRAL-FLORIDA,UCF,Saint Joseph's,atlantic-10,3,False,False,False,Away,False,9,12,55,23,58,10,22,58,0,1,33,53,184,0.5570652173913043,104,187,0.5561497326203209,26,43,167,0.49101796407185627,1.0
4,2018-11-18-16-west-virginia,43.3,13,7.4,2,131.1,70.0,21,0.608,60,0.5,30,0.467,28,0.607,17,2,200,121.6,16.7,5,25,90,,6.8,5,0.41700000000000004,25,0.52,13,43.3,26,0.614,7.7,6,35,0.486,17,0.6,3,"November 18, 2018",67.9,19,11.4,4,121.6,83.3,25,0.634,56,0.5,28,0.589,33,0.7879999999999999,26,2,200,131.1,30.0,9,19,97,,4.1,3,0.518,29,0.517,15,56.7,34,0.677,13.5,11,27,0.48100000000000004,13,0.5,2,"The HTC Center, Conway, South Carolina",SAINT-JOSEPHS,St. Joseph's,74.0,Home,WEST-VIRGINIA,West Virginia,Saint Joseph's,atlantic-10,4,False,False,False,Away,False,13,17,60,26,60,15,13,56,0,1,42,65,239,0.5355648535564853,127,245,0.5183673469387755,36,65,225,0.5288888888888889,0.75
5,2018-11-24-16-william-mary,55.6,15,0.0,0,117.6,83.3,25,0.561,57,0.474,27,0.491,28,0.75,21,3,200,114.9,15.6,5,16,85,,12.2,9,0.439,25,0.4,10,48.4,30,0.605,11.5,9,32,0.531,17,0.5,3,"November 24, 2018",68.8,22,9.4,3,114.9,84.4,27,0.67,56,0.5710000000000001,32,0.35700000000000004,20,0.6,12,4,200,117.6,16.7,5,20,87,,8.1,6,0.429,24,0.45799999999999996,11,51.6,32,0.664,17.8,14,32,0.6559999999999999,21,0.33299999999999996,2,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",SAINT-JOSEPHS,St. Joseph's,74.4,Home,WILLIAM-MARY,William & Mary,Saint Joseph's,atlantic-10,5,False,False,False,Away,False,10,17,57,30,62,11,21,56,0,1,55,82,299,0.5501672240802675,153,305,0.5016393442622951,51,78,281,0.5498220640569395,0.6
6,2018-11-28-19-saint-josephs,46.2,12,11.1,4,114.1,76.5,26,0.47700000000000004,66,0.39399999999999996,26,0.242,16,0.75,12,4,200,96.2,20.5,8,26,75,,7.7,6,0.53,35,0.314,11,46.6,34,0.51,14.1,12,31,0.484,15,0.429,3,"November 28, 2018",43.5,10,12.9,4,96.2,79.5,31,0.442,60,0.38299999999999995,23,0.6829999999999999,41,0.878,36,3,200,114.1,23.5,8,14,89,,9.0,7,0.4,24,0.292,7,53.4,39,0.56,8.2,7,36,0.444,16,0.5710000000000001,4,"Hagan Arena, Philadelphia, Pennsylvania",ILLINOIS-CHICAGO,UIC,78.0,Home,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10,6,True,False,True,Home,True,7,16,60,39,73,11,15,66,1,0,65,99,356,0.5519662921348315,183,367,0.4986376021798365,62,99,337,0.56973293768546,0.5
7,2018-12-01-17-saint-josephs,59.3,16,5.4,2,94.6,83.3,30,0.441,68,0.397,27,0.265,18,0.9440000000000001,17,1,200,104.1,26.5,9,18,77,,6.8,5,0.397,27,0.222,6,55.7,39,0.503,9.5,8,41,0.512,21,0.875,7,"December 1, 2018",37.5,9,7.3,3,104.1,73.5,25,0.451,61,0.39299999999999996,24,0.377,23,0.652,15,4,200,94.6,16.7,6,15,70,,5.4,4,0.39299999999999996,24,0.292,7,44.3,31,0.48700000000000004,9.0,7,37,0.45899999999999996,17,0.5,4,"Hagan Arena, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,74.2,Away,TEMPLE,Temple,Saint Joseph's,atlantic-10,7,False,True,True,Home,False,7,17,61,31,70,6,21,68,0,1,72,115,416,0.5360576923076923,222,440,0.5045454545454545,73,114,403,0.5545905707196029,0.5714285714285714
8,2018-12-05-19-princeton,36.4,12,6.5,2,112.3,78.1,25,0.642,60,0.55,33,0.317,19,0.789,15,4,200,126.0,20.0,5,15,92,,9.6,7,0.41700000000000004,25,0.44,11,52.6,30,0.6659999999999999,11.6,9,35,0.629,22,0.556,5,"December 5, 2018",48.1,13,5.7,2,126.0,80.0,20,0.5589999999999999,59,0.45799999999999996,27,0.33899999999999997,20,0.8,16,3,200,112.3,21.9,7,17,82,,5.5,4,0.475,28,0.429,12,47.4,27,0.599,15.0,12,31,0.484,15,0.5710000000000001,4,"Jadwin Gymnasium, Princeton, New Jersey",PRINCETON,Princeton,73.3,Away,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10,8,False,False,False,Away,True,11,22,60,30,57,12,15,59,1,0,79,132,477,0.5251572327044025,253,510,0.49607843137254903,79,135,471,0.5382165605095541,0.5
9,2018-12-08-14-villanova,45.0,9,0.0,0,98.6,84.6,33,0.397,58,0.345,20,0.31,18,0.667,12,5,200,81.7,12.8,5,13,58,,7.0,5,0.466,27,0.222,6,48.7,38,0.436,12.0,9,31,0.452,14,0.5,5,"December 8, 2018",87.0,20,3.2,1,81.7,87.2,34,0.46799999999999997,63,0.365,23,0.23800000000000002,15,0.733,11,2,200,98.6,15.4,6,19,70,21.0,7.0,5,0.6829999999999999,43,0.302,13,51.3,40,0.499,9.1,7,20,0.5,10,0.8,8,"Finneran Pavilion, Villanova, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,70.8,Home,VILLANOVA,Villanova,Saint Joseph's,atlantic-10,9,False,False,False,Away,False,6,14,58,38,78,13,10,63,0,1,90,154,537,0.5381750465549349,283,567,0.4991181657848324,91,150,530,0.5405660377358491,0.5555555555555556
