,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAM-HOUSTON-STATE_homegame,SAM-HOUSTON-STATE_homegame2,SAM-HOUSTON-STATE_home,SAM-HOUSTON-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-sam-houston-state,65.2,15,0.0,0,109.0,61.1,22,0.46,62,0.371,23,0.161,10,0.7,7,0,200,82.1,15.8,6,14,64,,11.5,9,0.581,36,0.306,11,37.8,28,0.479,22.2,19,26,0.462,12,0.0,0,"November 6, 2018",58.8,20,7.7,2,82.1,84.2,32,0.528,71,0.479,34,0.21100000000000002,15,0.667,10,0,200,109.0,38.9,14,13,85,,14.1,11,0.423,30,0.233,7,62.2,46,0.544,14.3,13,41,0.659,27,1.0,1,"Johnson Coliseum, Huntsville, Texas","East Texas Baptist
			","East Texas Baptist
			",78.4,Home,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,0,True,False,True,Home,True,7,27,71,46,74,11,12,62,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-08-20-sam-houston-state,70.6,12,1.9,1,114.6,52.5,21,0.35600000000000004,59,0.28800000000000003,17,0.322,19,0.737,14,0,200,68.3,13.5,5,17,56,,11.0,9,0.593,35,0.22899999999999998,8,33.8,26,0.41200000000000003,23.8,21,24,0.375,9,0.0,0,"November 8, 2018",63.2,24,20.8,5,68.3,86.5,32,0.519,80,0.475,38,0.175,14,0.7859999999999999,11,0,200,114.6,47.5,19,21,94,,17.1,14,0.325,26,0.26899999999999996,7,66.2,51,0.542,13.1,13,54,0.574,31,1.0,2,"Johnson Coliseum, Huntsville, Texas","Southwestern
			","Southwestern
			",82.3,Home,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,1,True,False,True,Home,True,7,31,80,51,77,8,9,59,1,0,7,27,71,0.528169014084507,46,74,0.6216216216216216,11,12,62,0.4596774193548387,1.0
2,2018-11-11-17-louisiana-tech,38.1,8,4.8,1,107.0,60.0,21,0.46399999999999997,55,0.382,21,0.436,24,0.75,18,1,200,97.2,18.2,6,31,69,,9.9,7,0.418,23,0.391,9,39.7,27,0.52,16.5,13,32,0.375,12,0.667,2,"November 11, 2018",66.7,14,9.4,3,97.2,81.8,27,0.521,48,0.43799999999999994,21,0.813,39,0.667,26,0,200,107.0,40.0,14,21,76,,9.9,7,0.563,27,0.29600000000000004,8,60.3,41,0.5710000000000001,20.7,17,21,0.619,13,1.0,2,"Thomas Assembly Center, Ruston, Louisiana",SAM-HOUSTON-STATE,Sam Houston State,71.5,Home,LOUISIANA-TECH,Louisiana Tech,Sam Houston State,southland,2,False,False,False,Away,False,9,12,55,27,68,8,13,48,0,1,14,58,151,0.5231788079470199,97,151,0.6423841059602649,19,21,121,0.4090909090909091,1.0
3,2018-11-14-19-clemson,45.5,10,3.8,1,112.1,72.7,16,0.413,63,0.349,22,0.127,8,0.875,7,2,200,89.4,20.6,7,15,59,,7.6,5,0.381,24,0.33299999999999996,8,41.1,23,0.442,10.7,8,39,0.359,14,0.5,2,"November 14, 2018",53.8,14,12.8,5,89.4,79.4,27,0.622,49,0.531,26,0.36700000000000005,18,0.722,13,0,200,112.1,27.3,6,11,74,19.0,9.1,6,0.469,23,0.391,9,58.9,33,0.643,17.4,12,26,0.654,17,1.0,3,"Littlejohn Coliseum, Clemson, South Carolina",SAM-HOUSTON-STATE,Sam Houston State,65.7,Home,CLEMSON,Clemson,Sam Houston State,southland,3,False,False,False,Away,False,8,14,63,23,56,9,17,49,0,1,23,70,206,0.5072815533980582,124,219,0.5662100456621004,27,34,169,0.4408284023668639,0.6666666666666666
4,2018-11-16-19-georgia,40.0,10,3.7,1,111.9,64.5,20,0.447,66,0.379,25,0.106,7,0.7140000000000001,5,3,200,95.5,23.5,8,29,64,,3.0,2,0.409,27,0.33299999999999996,9,43.1,28,0.462,9.2,7,39,0.41,16,0.4,2,"November 16, 2018",52.4,11,20.5,8,95.5,76.5,26,0.469,49,0.429,21,0.7759999999999999,38,0.763,29,1,200,111.9,35.5,11,15,75,,7.5,5,0.449,22,0.182,4,56.9,37,0.5589999999999999,13.2,10,27,0.63,17,0.667,2,"Stegeman Coliseum, Athens, Georgia",SAM-HOUSTON-STATE,Sam Houston State,67.2,Home,GEORGIA,Georgia,Sam Houston State,southland,4,False,False,False,Away,False,9,16,66,28,65,4,17,49,0,1,31,84,269,0.4851301115241636,147,275,0.5345454545454545,36,51,218,0.481651376146789,0.5
5,2018-11-19-16-sam-houston-state,45.0,9,13.2,5,100.0,67.6,23,0.45899999999999996,49,0.408,20,0.531,26,0.5770000000000001,15,4,200,80.0,15.6,5,20,60,,5.3,4,0.38799999999999996,19,0.263,5,42.4,28,0.489,22.9,18,30,0.5,15,0.0,0,"November 19, 2018",55.6,15,6.7,2,80.0,84.4,27,0.508,60,0.45,27,0.28300000000000003,17,0.8240000000000001,14,3,200,100.0,32.4,11,22,75,,9.3,7,0.36700000000000005,22,0.318,7,57.6,38,0.551,21.1,18,38,0.526,20,0.5,3,"Freedom Hall Civic Center, Johnson City, Tennessee",JACKSON-STATE,Jackson State,74.7,Home,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,5,True,False,True,Home,True,7,20,60,38,66,5,15,49,1,0,40,100,335,0.47761194029850745,175,340,0.5147058823529411,40,68,267,0.4794007490636704,0.4
6,2018-11-20-19-east-tennessee-state,65.2,15,0.0,0,124.2,72.7,24,0.519,53,0.434,23,0.17,9,0.889,8,4,200,101.6,13.8,4,19,63,,3.2,2,0.415,22,0.409,9,45.2,28,0.55,14.9,10,31,0.452,14,0.429,3,"November 20, 2018",53.8,14,16.1,5,101.6,86.2,25,0.585,53,0.491,26,0.396,21,0.7140000000000001,15,2,200,124.2,27.3,9,13,77,,6.5,4,0.434,23,0.435,10,54.8,34,0.611,10.1,7,30,0.5329999999999999,16,0.667,4,"Freedom Hall Civic Center, Johnson City, Tennessee",SAM-HOUSTON-STATE,Sam Houston State,62.1,Home,EAST-TENNESSEE-STATE,ETSU,Sam Houston State,southland,6,False,False,False,Away,False,9,14,53,28,62,10,16,53,0,1,47,120,395,0.48227848101265824,213,406,0.5246305418719212,45,83,316,0.4762658227848101,0.5
7,2018-11-28-19-sam-houston-state,61.5,16,6.3,2,84.4,73.7,28,0.5870000000000001,52,0.5,26,0.519,27,0.741,20,1,200,105.2,14.8,4,23,81,,5.2,4,0.40399999999999997,21,0.429,9,49.2,32,0.625,21.0,17,31,0.5479999999999999,17,0.857,6,"November 28, 2018",50.0,11,12.9,4,105.2,85.2,23,0.434,61,0.361,22,0.344,21,0.5710000000000001,12,5,200,84.4,26.3,10,20,65,,3.9,3,0.475,29,0.31,9,50.8,33,0.45799999999999996,17.6,15,32,0.406,13,0.375,3,"Johnson Coliseum, Huntsville, Texas",SAM-HOUSTON-STATE,Sam Houston State,76.9,Away,CENTRAL-MICHIGAN,Central Michigan,Sam Houston State,southland,7,False,True,True,Home,False,9,13,61,33,65,9,17,52,0,1,56,134,448,0.48660714285714285,241,468,0.5149572649572649,55,99,369,0.491869918699187,0.42857142857142855
8,2018-12-01-16-arkansas-little-rock,47.4,9,0.0,0,117.9,77.4,24,0.391,55,0.345,19,0.255,14,0.643,9,6,200,77.6,25.7,9,27,52,,4.5,3,0.491,27,0.185,5,50.0,33,0.42200000000000004,19.7,15,28,0.5,14,0.33299999999999996,3,"December 1, 2018",52.2,12,7.1,2,77.6,74.3,26,0.583,48,0.479,23,0.6459999999999999,31,0.742,23,4,200,117.9,22.6,7,13,79,,6.0,4,0.45799999999999996,22,0.455,10,50.0,33,0.63,14.0,10,26,0.5,13,0.5,4,"Jack Stephens Center, Little Rock, Arkansas",SAM-HOUSTON-STATE,Sam Houston State,66.7,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Sam Houston State,southland,8,False,False,False,Away,False,5,14,55,33,66,10,13,48,0,1,65,147,509,0.48035363457760316,274,533,0.5140712945590994,64,116,421,0.503562945368171,0.375
9,2018-12-08-16-colorado-state,45.8,11,6.5,2,100.0,62.5,20,0.439,66,0.364,24,0.152,10,0.7,7,7,200,91.5,27.5,11,25,65,,14.1,10,0.409,27,0.37,10,43.1,31,0.45899999999999996,15.6,13,39,0.359,14,0.3,3,"December 8, 2018",40.9,9,5.1,2,91.5,72.5,29,0.47100000000000003,52,0.423,22,0.5379999999999999,28,0.7859999999999999,22,5,200,100.0,37.5,12,12,71,,9.9,7,0.40399999999999997,21,0.23800000000000002,5,56.9,41,0.544,19.9,16,31,0.5479999999999999,17,0.5,5,"Moby Arena, Fort Collins, Colorado",SAM-HOUSTON-STATE,Sam Houston State,71.0,Home,COLORADO-STATE,Colorado State,Sam Houston State,southland,9,False,False,False,Away,False,10,14,66,31,72,5,17,52,0,1,70,161,564,0.4716312056737589,307,599,0.5125208681135225,74,129,469,0.511727078891258,0.3333333333333333
