,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAN-FRANCISCO_homegame,SAN-FRANCISCO_homegame2,SAN-FRANCISCO_home,SAN-FRANCISCO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-22-california-davis,56.3,18,9.4,3,60.9,86.1,31,0.574,61,0.525,32,0.19699999999999998,12,0.5,6,0,200,110.1,30.3,10,20,76,,14.5,10,0.361,22,0.273,6,59.4,41,0.57,15.3,12,39,0.667,26,1.0,1,"November 6, 2018",50.0,7,7.7,3,110.1,69.7,23,0.304,51,0.275,14,0.235,12,0.917,11,1,200,60.9,13.9,5,16,42,,10.1,7,0.373,19,0.158,3,40.6,28,0.37,24.2,18,32,0.344,11,0.0,0,"The Pavilion, Davis, California",CALIFORNIA-DAVIS,UC-Davis,69.2,Away,SAN-FRANCISCO,San Francisco,San Francisco,wcc,0,False,False,False,Away,True,6,26,61,41,69,3,11,51,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-17-san-francisco,57.1,12,7.7,2,143.1,48.0,12,0.41700000000000004,54,0.389,21,0.13,7,0.7140000000000001,5,3,200,76.9,18.8,6,16,50,,9.2,6,0.37,20,0.15,3,31.6,18,0.436,18.6,13,34,0.529,18,0.0,0,"November 10, 2018",70.0,21,14.7,5,76.9,81.3,26,0.6729999999999999,55,0.545,30,0.418,23,0.826,19,0,200,143.1,52.0,13,13,93,,13.8,9,0.527,29,0.483,14,68.4,39,0.705,16.6,13,26,0.615,16,1.0,2,"War Memorial Gymnasium, San Francisco, California",MAINE,Maine,65.1,Home,SAN-FRANCISCO,San Francisco,San Francisco,wcc,1,True,False,True,Home,True,14,16,55,39,57,3,18,54,1,0,6,26,61,0.5737704918032787,41,69,0.5942028985507246,3,11,51,0.30392156862745096,1.0
2,2018-11-12-22-san-francisco,50.0,10,2.8,1,163.0,10.5,4,0.402,56,0.35700000000000004,20,0.23199999999999998,13,0.6920000000000001,9,0,200,100.0,54.1,20,14,54,,7.4,4,0.28600000000000003,16,0.313,5,32.0,24,0.434,16.3,12,40,0.375,15,0.0,0,"November 12, 2018",60.6,20,5.0,2,100.0,45.9,17,0.565,69,0.478,33,0.24600000000000002,17,0.588,10,0,200,163.0,89.5,34,10,88,,9.3,5,0.478,33,0.364,12,68.0,51,0.5710000000000001,12.6,11,36,0.583,21,1.0,3,"War Memorial Gymnasium, San Francisco, California","Sonoma State
			","Sonoma State
			",54.1,Home,SAN-FRANCISCO,San Francisco,San Francisco,wcc,2,True,False,True,Home,True,12,21,69,51,75,5,15,56,1,0,20,42,116,0.6206896551724138,80,126,0.6349206349206349,6,29,105,0.3619047619047619,1.0
3,2018-11-18-21-san-francisco,44.4,8,4.7,2,112.0,67.9,19,0.336,64,0.281,18,0.25,16,0.563,9,1,200,69.3,17.1,7,16,52,,6.7,5,0.469,30,0.233,7,37.7,26,0.363,12.3,10,34,0.324,11,0.75,3,"November 18, 2018",44.1,15,14.7,5,69.3,82.9,34,0.589,62,0.5479999999999999,34,0.306,19,0.579,11,0,200,112.0,32.1,9,17,84,,9.3,7,0.306,19,0.263,5,62.3,43,0.591,15.6,13,43,0.674,29,1.0,4,"Otter Sports Center, Marina, California",LONG-ISLAND-UNIVERSITY,LIU,74.8,Home,SAN-FRANCISCO,San Francisco,San Francisco,wcc,3,True,False,True,Home,True,5,29,62,43,69,7,11,64,1,0,32,63,185,0.6,131,201,0.6517412935323383,11,44,161,0.37577639751552794,1.0
4,2018-11-21-22-san-francisco,27.3,6,13.6,6,81.3,73.8,31,0.387,62,0.355,22,0.19399999999999998,12,0.75,9,3,200,76.0,21.6,8,20,57,,6.7,5,0.33899999999999997,21,0.19,4,49.4,39,0.42100000000000004,16.2,13,41,0.439,18,0.4,2,"November 21, 2018",30.0,6,7.3,3,76.0,78.4,29,0.33899999999999997,62,0.32299999999999995,20,0.452,28,0.679,19,0,200,81.3,26.2,11,17,61,,12.0,9,0.29,18,0.111,2,50.6,40,0.405,13.9,12,44,0.409,18,1.0,5,"War Memorial Gymnasium, San Francisco, California",HARVARD,Harvard,74.5,Home,SAN-FRANCISCO,San Francisco,San Francisco,wcc,4,True,False,True,Home,True,2,18,62,40,79,4,18,62,1,0,37,92,247,0.597165991902834,174,270,0.6444444444444445,18,55,225,0.36444444444444446,1.0
5,2018-11-24-17-san-francisco,68.0,17,9.5,4,116.7,78.8,26,0.5,61,0.41,25,0.115,7,0.5710000000000001,4,3,200,90.3,11.4,4,14,65,,6.9,5,0.44299999999999995,27,0.40700000000000003,11,44.1,30,0.505,14.7,11,34,0.41200000000000003,14,0.5,3,"November 24, 2018",42.4,14,8.8,3,90.3,88.6,31,0.575,67,0.493,33,0.16399999999999998,11,0.636,7,0,200,116.7,21.2,7,12,84,,11.1,8,0.373,25,0.44,11,55.9,38,0.5820000000000001,8.9,7,42,0.524,22,1.0,6,"War Memorial Gymnasium, San Francisco, California",DARTMOUTH,Dartmouth,71.8,Home,SAN-FRANCISCO,San Francisco,San Francisco,wcc,5,True,False,True,Home,True,11,22,67,38,68,11,14,61,1,0,39,110,309,0.5453074433656958,214,349,0.6131805157593123,22,73,287,0.3693379790940767,1.0
6,2018-11-30-08-san-francisco,33.3,8,7.1,2,110.1,84.6,22,0.44799999999999995,58,0.414,24,0.172,10,0.6,6,2,200,84.1,21.9,7,20,58,,7.2,5,0.276,16,0.25,4,50.0,29,0.462,18.3,14,42,0.47600000000000003,20,0.667,4,"November 30, 2018",70.0,21,4.8,2,84.1,78.1,25,0.627,55,0.545,30,0.218,12,0.583,7,0,200,110.1,15.4,4,12,76,,5.8,4,0.491,27,0.33299999999999996,9,50.0,29,0.626,16.6,12,28,0.75,21,1.0,7,"SSE Arena, Belfast",STEPHEN-F-AUSTIN,Stephen F. Austin,69.2,Home,SAN-FRANCISCO,San Francisco,San Francisco,wcc,6,True,False,True,Home,True,9,21,55,29,58,4,20,58,1,0,50,132,376,0.550531914893617,252,417,0.60431654676259,33,87,348,0.3922413793103448,1.0
7,2018-12-01-10-san-francisco,39.4,13,9.3,4,102.5,78.1,25,0.552,67,0.493,33,0.299,20,0.55,11,0,200,107.6,21.6,8,19,85,21.0,7.6,6,0.373,25,0.32,8,47.8,33,0.556,13.7,12,42,0.595,25,1.0,7,"December 1, 2018",31.3,10,4.8,2,107.6,78.4,29,0.54,63,0.508,32,0.33299999999999996,21,0.619,13,1,200,102.5,21.9,7,21,81,,7.6,6,0.317,20,0.2,4,52.2,36,0.555,13.2,11,43,0.6509999999999999,28,0.875,7,"SSE Arena, Belfast",SAN-FRANCISCO,San Francisco,78.7,Away,BUFFALO,Buffalo,San Francisco,wcc,7,False,True,True,Home,False,4,28,63,36,69,8,25,67,0,1,59,153,431,0.5603248259860789,281,475,0.5915789473684211,37,107,406,0.4002463054187192,1.0
8,2018-12-05-23-california,55.2,16,7.7,2,92.3,78.8,26,0.5760000000000001,59,0.49200000000000005,29,0.28800000000000003,17,0.647,11,1,200,121.5,37.5,12,19,79,,7.7,5,0.45799999999999996,27,0.37,10,58.5,38,0.589,13.1,10,32,0.594,19,0.889,8,"December 5, 2018",63.2,12,15.6,5,121.5,62.5,20,0.45899999999999996,49,0.38799999999999996,19,0.429,21,0.7140000000000001,15,5,200,92.3,21.2,7,17,60,,4.6,3,0.469,23,0.304,7,41.5,27,0.509,17.1,12,26,0.462,12,0.28600000000000003,2,"Haas Pavilion, Berkeley, California",CALIFORNIA,California,64.5,Away,SAN-FRANCISCO,San Francisco,San Francisco,wcc,8,False,False,False,Away,True,10,19,59,38,65,7,12,49,1,0,63,181,494,0.5576923076923077,317,544,0.5827205882352942,45,132,473,0.42177589852008457,0.875
9,2018-12-13-22-san-francisco,28.0,7,2.9,1,125.0,66.7,22,0.475,60,0.41700000000000004,25,0.15,9,0.667,6,7,200,92.6,17.1,6,17,63,,4.4,3,0.38299999999999995,23,0.304,7,41.2,28,0.49,14.7,11,37,0.486,18,0.125,1,"December 13, 2018",61.3,19,10.8,4,92.6,82.9,29,0.608,60,0.517,31,0.28300000000000003,17,0.706,12,1,200,125.0,33.3,11,14,85,,11.8,8,0.41700000000000004,25,0.44,11,58.8,40,0.624,11.8,9,35,0.5710000000000001,20,0.9,9,"War Memorial Gymnasium, San Francisco, California",EASTERN-WASHINGTON,Eastern Washington,67.7,Home,SAN-FRANCISCO,San Francisco,San Francisco,wcc,9,True,False,True,Home,True,11,20,60,40,68,7,18,60,1,0,73,200,553,0.5596745027124774,355,609,0.5829228243021346,52,144,522,0.42528735632183906,0.8888888888888888
