,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAN-JOSE-STATE_homegame,SAN-JOSE-STATE_homegame2,SAN-JOSE-STATE_home,SAN-JOSE-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-22-san-jose-state,32.0,8,3.1,1,125.4,48.5,16,0.602,49,0.51,25,0.408,20,0.65,13,0,200,101.4,3.6,1,23,72,,14.1,10,0.429,21,0.429,9,27.9,17,0.615,18.4,13,28,0.5710000000000001,16,0.0,0,"November 7, 2018",66.7,20,10.7,3,101.4,96.4,27,0.5479999999999999,63,0.47600000000000003,30,0.429,27,0.741,20,0,200,125.4,51.5,17,20,89,,8.5,6,0.49200000000000005,31,0.29,9,72.1,44,0.5870000000000001,14.8,13,32,0.6559999999999999,21,1.0,1,"San Jose State Event Center, San Jose, California","Life Pacific
			","Life Pacific
			",71.2,Home,SAN-JOSE-STATE,San Jose State,San Jose State,mwc,0,True,False,True,Home,True,9,21,63,44,61,9,16,49,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-21-san-jose-state,46.4,13,12.9,4,80.8,83.9,26,0.434,68,0.41200000000000003,28,0.25,17,0.41200000000000003,7,0,200,90.4,28.9,11,23,66,,12.3,9,0.265,18,0.16699999999999998,3,53.6,37,0.434,10.7,9,50,0.5,25,1.0,2,"November 10, 2018",70.6,12,10.0,5,90.4,71.1,27,0.406,48,0.354,17,0.563,27,0.741,20,1,200,80.8,16.1,5,22,59,,0.0,0,0.354,17,0.294,5,46.4,32,0.485,22.1,17,31,0.387,12,0.5,1,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,73.5,Away,SOUTHERN-UTAH,Southern Utah,San Jose State,mwc,1,False,True,True,Home,False,5,12,48,32,69,3,25,68,0,1,9,21,63,0.5476190476190477,44,61,0.7213114754098361,9,16,49,0.6020408163265306,1.0
2,2018-11-15-20-san-jose-state,33.3,10,6.1,3,91.7,67.4,31,0.54,62,0.484,30,0.46799999999999997,29,0.621,18,1,200,101.2,22.9,8,24,85,,7.1,6,0.355,22,0.318,7,48.1,39,0.561,18.5,17,40,0.575,23,0.667,2,"November 15, 2018",42.9,12,5.0,2,101.2,77.1,27,0.44299999999999995,70,0.4,28,0.386,27,0.556,15,2,200,91.7,32.6,15,27,77,,6.0,5,0.3,21,0.28600000000000003,6,51.9,42,0.465,15.5,15,49,0.449,22,0.33299999999999996,1,"Gateway Christian Academy, Bimini",SAN-JOSE-STATE,San Jose State,83.8,Away,WEBER-STATE,Weber State,San Jose State,mwc,2,False,True,True,Home,False,6,22,70,42,81,7,23,62,0,1,14,33,111,0.4864864864864865,76,130,0.5846153846153846,12,41,117,0.5042735042735043,0.5
3,2018-11-17-18-san-jose-state,65.4,17,3.8,1,100.0,61.5,8,0.478,67,0.38799999999999996,26,0.22399999999999998,15,0.6,9,2,200,101.4,44.1,15,23,73,,23.6,17,0.507,34,0.353,12,48.9,23,0.49200000000000005,15.0,13,33,0.424,14,0.5,2,"November 17, 2018",50.0,11,9.1,3,101.4,55.9,19,0.634,41,0.537,22,0.585,24,0.833,20,3,200,100.0,38.5,5,18,72,,4.2,3,0.366,15,0.5329999999999999,8,51.1,24,0.687,31.8,24,26,0.5379999999999999,14,0.25,1,"Gateway Christian Academy, Bimini",SAN-JOSE-STATE,San Jose State,71.8,Away,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,San Jose State,mwc,3,False,True,True,Home,False,8,14,41,24,47,12,14,67,0,1,20,55,181,0.4696132596685083,118,211,0.5592417061611374,19,64,179,0.5167597765363129,0.3333333333333333
4,2018-11-18-18-san-jose-state,35.7,10,11.5,3,105.7,60.9,14,0.525,60,0.467,28,0.38299999999999995,23,0.565,13,1,200,108.6,36.4,12,19,76,,18.6,13,0.5,30,0.233,7,46.4,26,0.536,13.6,11,30,0.7,21,0.8,4,"November 18, 2018",60.0,15,3.3,1,108.6,63.6,21,0.612,49,0.51,25,0.449,22,0.636,14,4,200,105.7,39.1,9,19,74,,1.4,1,0.469,23,0.435,10,53.6,30,0.622,24.5,19,26,0.5770000000000001,15,0.2,1,"Gateway Christian Academy, Bimini",SAN-JOSE-STATE,San Jose State,69.7,Away,CENTRAL-MICHIGAN,Central Michigan,San Jose State,mwc,4,False,True,True,Home,False,10,15,49,30,56,7,21,60,0,1,28,69,222,0.5,142,258,0.5503875968992248,31,78,246,0.5060975609756098,0.25
5,2018-11-24-18-san-jose-state,58.6,17,9.3,4,94.0,62.2,23,0.5479999999999999,63,0.46,29,0.063,4,0.5,2,4,200,106.0,12.5,4,15,71,,3.0,2,0.47600000000000003,30,0.36700000000000005,11,39.1,27,0.547,11.0,8,33,0.545,18,0.2,1,"November 24, 2018",70.8,17,3.0,1,106.0,87.5,28,0.444,63,0.381,24,0.159,10,0.7,7,5,200,94.0,37.8,14,14,63,,4.5,3,0.317,20,0.4,8,60.9,42,0.465,14.0,11,43,0.37200000000000005,16,0.16699999999999998,1,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,66.8,Away,SANTA-CLARA,Santa Clara,San Jose State,mwc,5,False,True,True,Home,False,8,16,63,42,69,11,18,63,0,1,38,84,271,0.5202952029520295,172,314,0.5477707006369427,38,99,306,0.5098039215686274,0.2
6,2018-11-28-22-san-jose-state,50.0,17,15.2,5,77.0,81.1,30,0.6890000000000001,53,0.642,34,0.358,19,0.684,13,1,200,116.2,29.4,5,24,86,,4.1,3,0.17,9,0.556,5,64.8,35,0.693,19.6,15,44,0.659,29,0.8,4,"November 28, 2018",58.8,10,4.5,2,116.2,70.6,12,0.348,56,0.304,17,0.5,28,0.643,18,6,200,77.0,18.9,7,21,57,,6.8,5,0.41100000000000003,23,0.217,5,35.2,19,0.41100000000000003,16.0,13,33,0.364,12,0.14300000000000002,1,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,73.7,Away,INDIANA-STATE,Indiana State,San Jose State,mwc,6,False,True,True,Home,False,5,12,56,19,54,5,29,53,0,1,46,100,334,0.5059880239520959,214,383,0.5587467362924282,49,117,369,0.516260162601626,0.16666666666666666
7,2018-12-06-22-san-jose-state,56.5,13,2.4,1,89.3,71.4,30,0.483,59,0.39,23,0.28800000000000003,17,0.47100000000000003,8,6,200,86.7,21.2,7,24,65,,2.7,2,0.542,32,0.344,11,49.3,37,0.485,18.4,15,27,0.444,12,0.4,4,"December 6, 2018",56.5,13,18.5,5,86.7,78.8,26,0.405,63,0.365,23,0.397,25,0.64,16,6,200,89.3,28.6,12,17,67,,4.0,3,0.349,22,0.22699999999999998,5,50.7,38,0.447,14.0,12,41,0.439,18,0.25,2,"San Jose State Event Center, San Jose, California",BETHUNE-COOKMAN,Bethune-Cookman,75.0,Home,SAN-JOSE-STATE,San Jose State,San Jose State,mwc,7,True,False,True,Home,True,5,18,63,38,75,11,12,59,1,0,51,112,390,0.48333333333333334,233,437,0.5331807780320366,54,146,422,0.5379146919431279,0.14285714285714285
8,2018-12-15-22-san-jose-state,59.1,13,0.0,0,106.8,58.1,18,0.483,58,0.379,22,0.431,25,0.72,18,6,200,100.0,19.4,7,29,74,,12.2,9,0.552,32,0.375,12,37.3,25,0.53,15.9,13,26,0.385,10,0.25,2,"December 15, 2018",71.4,15,11.5,3,100.0,80.6,29,0.47100000000000003,52,0.40399999999999997,21,0.731,38,0.789,30,6,200,106.8,41.9,13,19,79,,1.4,1,0.462,24,0.292,7,62.7,42,0.564,18.9,16,28,0.5,14,0.33299999999999996,3,"San Jose State Event Center, San Jose, California",NORTHERN-ARIZONA,Northern Arizona,74.5,Home,SAN-JOSE-STATE,San Jose State,San Jose State,mwc,8,True,False,True,Home,True,7,14,52,42,67,12,10,58,1,0,56,130,453,0.47240618101545256,271,512,0.529296875,65,158,481,0.5311850311850311,0.25
9,2018-12-18-22-stanford,38.5,10,12.5,3,105.4,78.8,26,0.491,57,0.456,26,0.439,25,0.68,17,7,200,98.6,31.3,10,17,73,,9.5,7,0.228,13,0.308,4,55.4,36,0.53,19.0,16,44,0.5,22,0.3,3,"December 18, 2018",66.7,18,6.8,3,98.6,68.8,22,0.578,58,0.466,27,0.32799999999999996,19,0.579,11,4,200,105.4,21.2,7,17,78,,10.8,8,0.586,34,0.382,13,44.6,29,0.5820000000000001,17.4,14,24,0.583,14,0.6,6,"Maples Pavilion, Stanford, California",SAN-JOSE-STATE,San Jose State,74.5,Home,STANFORD,Stanford,San Jose State,mwc,9,False,False,False,Away,False,4,22,57,36,65,13,14,58,0,1,63,144,505,0.47227722772277225,313,579,0.540587219343696,77,168,539,0.525974025974026,0.3333333333333333
