,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-CAROLINA_homegame,SOUTH-CAROLINA_homegame2,SOUTH-CAROLINA_home,SOUTH-CAROLINA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-south-carolina,52.6,10,7.5,3,84.4,58.5,24,0.38799999999999996,58,0.32799999999999996,19,0.172,10,0.7,7,1,200,67.5,16.7,6,28,52,,9.1,7,0.483,28,0.25,7,39.0,30,0.414,24.3,20,30,0.4,12,0.0,0,"November 6, 2018",31.6,6,10.0,3,67.5,83.3,30,0.32799999999999996,58,0.32799999999999996,19,0.638,37,0.73,27,0,200,84.4,41.5,17,13,65,,14.3,11,0.31,18,0.0,0,61.0,47,0.43,20.4,19,40,0.475,19,1.0,1,"The Colonial Life Arena, Columbia, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,77.2,Home,SOUTH-CAROLINA,South Carolina,South Carolina,sec,0,True,False,True,Home,True,0,19,58,47,77,7,12,58,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-south-carolina,55.6,15,7.5,3,105.2,74.2,23,0.457,70,0.386,27,0.32899999999999996,23,0.826,19,0,200,107.8,47.2,17,22,83,,6.5,5,0.314,22,0.455,10,59.7,40,0.513,14.0,13,48,0.354,17,1.0,2,"November 9, 2018",62.1,18,10.4,5,107.8,52.8,19,0.532,63,0.46,29,0.413,26,0.5379999999999999,14,1,200,105.2,25.8,8,21,81,,5.2,4,0.365,23,0.391,9,40.3,27,0.537,10.8,9,40,0.5,20,0.5,1,"The Colonial Life Arena, Columbia, South Carolina",SOUTH-CAROLINA,South Carolina,76.6,Away,STONY-BROOK,Stony Brook,South Carolina,sec,1,False,True,True,Home,False,9,20,63,27,67,10,17,70,0,1,0,19,58,0.3275862068965517,47,77,0.6103896103896104,7,12,58,0.3879310344827586,1.0
2,2018-11-13-19-south-carolina,40.0,8,12.0,3,112.5,84.0,21,0.532,47,0.426,20,0.46799999999999997,22,0.636,14,2,200,88.9,10.0,3,22,64,,6.9,5,0.46799999999999997,22,0.455,10,43.6,24,0.557,20.9,15,25,0.4,10,0.5,2,"November 13, 2018",75.0,21,32.0,8,88.9,90.0,27,0.62,54,0.519,28,0.389,21,0.667,14,1,200,112.5,16.0,4,16,81,,9.7,7,0.537,29,0.379,11,56.4,31,0.633,18.1,14,25,0.68,17,0.667,2,"The Colonial Life Arena, Columbia, South Carolina",NORFOLK-STATE,Norfolk State,71.7,Home,SOUTH-CAROLINA,South Carolina,South Carolina,sec,2,True,False,True,Home,True,11,17,54,31,55,10,10,47,1,0,9,39,121,0.43388429752066116,74,144,0.5138888888888888,17,29,128,0.42578125,0.5
3,2018-11-17-14-providence,32.0,8,4.7,2,104.1,71.9,23,0.452,62,0.40299999999999997,25,0.226,14,0.7859999999999999,11,2,200,91.8,25.8,8,26,67,,8.2,6,0.40299999999999997,25,0.24,6,49.2,31,0.488,15.0,12,37,0.514,19,0.5,2,"November 17, 2018",59.1,13,8.1,3,91.8,74.2,23,0.429,56,0.39299999999999996,22,0.607,34,0.8240000000000001,28,1,200,104.1,28.1,9,18,76,,6.8,5,0.23199999999999998,13,0.308,4,50.8,32,0.527,13.4,11,43,0.419,18,0.75,3,"Mohegan Sun Arena, Uncasville, Connecticut",SOUTH-CAROLINA,South Carolina,73.4,Home,PROVIDENCE,Providence,South Carolina,sec,3,False,False,False,Away,False,6,19,62,31,63,4,18,56,0,1,20,56,175,0.49142857142857144,105,199,0.5276381909547738,27,39,175,0.4542857142857143,0.6666666666666666
4,2018-11-18-16-george-washington,55.9,19,9.7,3,67.9,83.3,30,0.5870000000000001,69,0.493,34,0.23199999999999998,16,0.563,9,2,200,111.1,28.1,9,26,90,,8.6,7,0.36200000000000004,25,0.52,13,57.4,39,0.5870000000000001,16.5,15,44,0.47700000000000004,21,0.6,3,"November 18, 2018",68.8,11,2.3,1,111.1,71.9,23,0.319,58,0.276,16,0.431,25,0.72,18,5,200,67.9,16.7,6,16,55,,7.4,6,0.466,27,0.185,5,42.6,29,0.39399999999999996,18.8,16,31,0.355,11,0.0,0,"Mohegan Sun Arena, Uncasville, Connecticut",GEORGE-WASHINGTON,George Washington,81.2,Away,SOUTH-CAROLINA,South Carolina,South Carolina,sec,4,False,False,False,Away,True,13,21,69,39,68,5,11,58,1,0,26,75,237,0.4810126582278481,136,262,0.5190839694656488,31,57,231,0.44805194805194803,0.5
5,2018-11-26-19-south-carolina,54.8,17,3.1,1,79.2,81.6,31,0.5770000000000001,65,0.47700000000000004,31,0.185,12,0.5,6,2,200,105.2,26.3,10,23,81,,9.1,7,0.446,29,0.44799999999999995,13,53.9,41,0.573,19.5,17,36,0.5,18,0.7140000000000001,5,"November 26, 2018",63.2,12,8.3,3,105.2,73.7,28,0.395,57,0.33299999999999996,19,0.368,21,0.762,16,3,200,79.2,18.4,7,16,61,,3.9,3,0.439,25,0.28,7,46.1,35,0.455,20.4,17,32,0.375,12,0.5,3,"The Colonial Life Arena, Columbia, South Carolina",SOUTH-CAROLINA,South Carolina,77.3,Away,WOFFORD,Wofford,South Carolina,sec,5,False,True,True,Home,False,7,12,57,35,76,13,18,65,0,1,39,96,306,0.5049019607843137,175,330,0.5303030303030303,36,68,289,0.42214532871972316,0.6
6,2018-11-30-19-south-carolina,48.0,12,9.4,3,106.3,69.7,23,0.47700000000000004,64,0.391,25,0.359,23,0.7829999999999999,18,4,200,98.8,37.1,13,24,79,,8.8,7,0.359,23,0.478,11,52.9,36,0.527,19.5,18,41,0.341,14,0.5,4,"November 30, 2018",52.0,13,29.3,12,98.8,62.9,22,0.517,58,0.431,25,0.569,33,0.758,25,3,200,106.3,30.3,10,17,85,,11.3,9,0.44799999999999995,26,0.385,10,47.1,32,0.5770000000000001,18.1,16,32,0.469,15,0.5710000000000001,4,"The Colonial Life Arena, Columbia, South Carolina",COASTAL-CAROLINA,Coastal Carolina,79.8,Home,SOUTH-CAROLINA,South Carolina,South Carolina,sec,6,True,False,True,Home,True,10,15,58,32,68,11,14,64,1,0,46,108,363,0.48760330578512395,210,406,0.5172413793103449,49,86,354,0.4505649717514124,0.5
7,2018-12-05-21-wyoming,59.1,13,17.9,5,92.4,100.0,29,0.35600000000000004,66,0.33299999999999996,22,0.303,20,0.85,17,4,200,81.0,21.6,8,23,64,,7.6,6,0.303,20,0.15,3,56.1,37,0.424,17.6,16,46,0.413,19,0.5,4,"December 5, 2018",66.7,14,4.3,2,81.0,78.4,29,0.542,48,0.43799999999999994,21,0.583,28,0.75,21,6,200,92.4,0.0,0,20,73,,8.9,7,0.41700000000000004,20,0.5,10,43.9,29,0.595,18.8,14,28,0.39299999999999996,11,0.33299999999999996,3,"Arena-Auditorium, Laramie, Wyoming",SOUTH-CAROLINA,South Carolina,79.4,Home,WYOMING,Wyoming,South Carolina,sec,7,False,False,False,Away,False,3,19,66,37,66,10,11,48,0,1,56,123,421,0.4916864608076009,242,474,0.510548523206751,60,100,418,0.45454545454545453,0.5714285714285714
8,2018-12-08-12-michigan,43.8,14,10.0,3,121.9,61.5,16,0.556,62,0.516,32,0.226,14,0.643,9,5,200,106.8,20.0,6,21,78,,11.0,8,0.177,11,0.455,5,39.3,22,0.568,12.8,10,51,0.529,27,0.444,4,"December 8, 2018",46.4,13,7.8,4,106.8,80.0,24,0.611,54,0.519,28,0.556,30,0.767,23,0,200,121.9,38.5,10,14,89,5.0,6.8,5,0.444,24,0.41700000000000004,10,60.7,34,0.652,19.2,16,30,0.6,18,1.0,10,"Crisler Arena, Ann Arbor, Michigan",SOUTH-CAROLINA,South Carolina,73.5,Home,MICHIGAN,Michigan,South Carolina,sec,8,False,False,False,Away,False,5,27,62,22,56,10,18,54,0,1,59,142,487,0.473305954825462,279,540,0.5166666666666667,70,111,466,0.463519313304721,0.5
9,2018-12-19-19-south-carolina,57.7,15,5.4,2,83.9,66.7,22,0.508,59,0.441,26,0.22,13,0.6920000000000001,9,0,200,111.3,27.3,9,15,69,5.0,9.7,6,0.40700000000000003,24,0.33299999999999996,8,47.0,31,0.529,7.2,5,35,0.514,18,1.0,10,"December 19, 2018",45.0,9,11.4,4,111.3,72.7,24,0.391,55,0.364,20,0.23600000000000002,13,0.6920000000000001,9,6,200,83.9,33.3,11,15,52,,6.5,4,0.327,18,0.16699999999999998,3,53.0,35,0.425,16.5,12,37,0.45899999999999996,17,0.4,4,"The Colonial Life Arena, Columbia, South Carolina",SOUTH-CAROLINA,South Carolina,61.7,Away,VIRGINIA,Virginia,South Carolina,sec,9,False,True,True,Home,False,3,17,55,35,66,8,18,59,0,1,64,169,549,0.48269581056466304,301,596,0.5050335570469798,80,129,520,0.47884615384615387,0.4444444444444444
