,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTHERN-ILLINOIS_homegame,SOUTHERN-ILLINOIS_homegame2,SOUTHERN-ILLINOIS_home,SOUTHERN-ILLINOIS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-19-kentucky,56.5,13,5.0,2,104.4,40.0,12,0.455,56,0.41100000000000003,23,0.214,12,0.667,8,1,200,86.8,16.7,6,24,59,,10.3,7,0.28600000000000003,16,0.313,5,27.3,18,0.478,17.5,13,40,0.45,18,0.0,0,"November 9, 2018",45.8,11,15.0,6,86.8,83.3,30,0.48100000000000004,54,0.444,24,0.5,27,0.7040000000000001,19,1,200,104.4,60.0,18,15,71,2.0,7.4,5,0.259,14,0.28600000000000003,4,72.7,48,0.531,22.4,19,40,0.5,20,0.5,1,"Rupp Arena, Lexington, Kentucky",SOUTHERN-ILLINOIS,Southern Illinois,68.3,Home,KENTUCKY,Kentucky,Southern Illinois,mvc,0,False,False,False,Away,False,5,18,56,18,66,4,20,54,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-12-20-southern-illinois,54.5,12,10.3,4,79.1,76.9,20,0.419,62,0.355,22,0.19399999999999998,12,0.833,10,0,200,92.5,41.0,16,15,62,25.0,9.0,6,0.452,28,0.28600000000000003,8,55.4,36,0.45799999999999996,16.2,13,34,0.41200000000000003,14,1.0,3,"November 12, 2018",28.6,6,20.6,7,92.5,59.0,23,0.433,52,0.40399999999999997,21,0.231,12,0.667,8,2,200,79.1,23.1,6,15,53,,9.0,6,0.25,13,0.231,3,44.6,29,0.45899999999999996,22.9,17,39,0.462,18,0.0,0,"The SIU Arena, Carbondale, Illinois",SOUTHERN-ILLINOIS,Southern Illinois,66.7,Away,BUFFALO,Buffalo,Southern Illinois,mvc,1,False,True,True,Home,False,3,18,52,29,65,8,14,62,0,1,5,18,56,0.45535714285714285,18,66,0.2727272727272727,4,20,54,0.48148148148148145,0.0
2,2018-11-17-20-southern-illinois,33.3,6,8.6,3,111.4,65.5,19,0.336,58,0.31,18,0.276,16,0.563,9,3,200,68.6,28.6,12,15,48,,11.4,8,0.431,25,0.12,3,43.7,31,0.366,18.7,15,33,0.455,15,0.0,0,"November 17, 2018",75.0,21,9.1,3,68.6,71.4,30,0.57,57,0.491,28,0.298,17,0.765,13,2,200,111.4,34.5,10,14,78,,10.0,7,0.386,22,0.409,9,56.3,40,0.599,19.9,16,35,0.5429999999999999,19,0.33299999999999996,1,"The SIU Arena, Carbondale, Illinois",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,69.8,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc,2,True,False,True,Home,True,9,19,57,40,71,3,15,58,1,0,8,36,108,0.4444444444444444,47,131,0.35877862595419846,12,34,116,0.4482758620689655,0.0
3,2018-11-19-20-southern-illinois,53.8,14,5.1,2,113.7,54.8,17,0.478,67,0.38799999999999996,26,0.10400000000000001,7,0.7140000000000001,5,1,200,94.5,22.0,9,13,69,,17.8,13,0.418,28,0.429,12,36.1,26,0.491,14.6,12,39,0.359,14,0.8,4,"November 19, 2018",76.7,23,7.7,3,94.5,78.0,32,0.59,61,0.49200000000000005,30,0.23,14,0.7859999999999999,11,2,200,113.7,45.2,14,12,83,,5.5,4,0.361,22,0.545,12,63.9,46,0.613,22.9,20,39,0.462,18,0.5,2,"The SIU Arena, Carbondale, Illinois",HOWARD,Howard,73.5,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc,3,True,False,True,Home,True,12,18,61,46,72,12,14,67,1,0,17,55,165,0.48787878787878786,87,202,0.4306930693069307,15,49,174,0.4109195402298851,0.3333333333333333
4,2018-11-22-13-southern-illinois,61.3,19,13.2,5,87.3,71.9,23,0.583,66,0.47,31,0.136,9,0.778,7,2,200,118.3,46.9,15,18,84,,7.0,5,0.545,36,0.41700000000000004,15,59.4,38,0.598,17.7,15,30,0.5329999999999999,16,0.667,4,"November 22, 2018",52.2,12,6.7,2,118.3,53.1,17,0.455,55,0.418,23,0.364,20,0.6,12,3,200,87.3,28.1,9,18,62,,7.0,5,0.309,17,0.235,4,40.6,26,0.48100000000000004,21.0,17,38,0.5,19,0.4,2,"Orleans Arena, Paradise, Nevada",SOUTHERN-ILLINOIS,Southern Illinois,71.4,Away,MASSACHUSETTS,UMass,Southern Illinois,mvc,4,False,True,True,Home,False,4,19,55,26,64,15,16,66,0,1,29,73,226,0.5154867256637168,133,274,0.4854014598540146,27,63,241,0.42946058091286304,0.5
5,2018-11-23-23-southern-illinois,36.4,8,3.8,1,112.9,90.9,20,0.5,51,0.431,22,0.451,23,0.7829999999999999,18,2,200,98.6,16.0,4,18,69,,1.4,1,0.392,20,0.35,7,51.1,24,0.557,19.7,15,31,0.484,15,0.667,4,"November 23, 2018",68.0,17,19.4,6,98.6,84.0,21,0.693,44,0.568,25,0.591,26,0.6920000000000001,18,3,200,112.9,9.1,2,24,79,,11.4,8,0.409,18,0.611,11,48.9,23,0.701,19.0,13,26,0.5379999999999999,14,0.5,3,"Orleans Arena, Paradise, Nevada",TULSA,Tulsa,70.1,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc,5,True,False,True,Home,True,11,14,44,23,47,7,15,51,1,0,33,92,281,0.50355871886121,159,338,0.47041420118343197,42,79,307,0.46254071661237783,0.4
6,2018-11-27-21-colorado-state,67.6,23,0.0,0,106.3,95.2,20,0.653,59,0.5760000000000001,34,0.102,6,0.833,5,3,200,130.2,40.9,9,16,82,,7.9,5,0.40700000000000003,24,0.375,9,67.4,29,0.6629999999999999,11.5,8,35,0.7140000000000001,25,0.5710000000000001,4,"November 27, 2018",60.0,15,2.9,1,130.2,59.1,13,0.612,49,0.51,25,0.265,13,0.5379999999999999,7,3,200,106.3,4.8,1,9,67,,4.8,3,0.469,23,0.435,10,32.6,14,0.607,15.5,10,26,0.5770000000000001,15,0.5710000000000001,4,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,62.5,Away,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc,6,False,False,False,Away,True,9,25,59,29,43,10,15,49,1,0,44,106,325,0.5292307692307693,182,385,0.4727272727272727,49,94,358,0.46787709497206703,0.5
7,2018-12-01-15-southern-illinois-edwardsville,61.3,19,9.8,4,85.9,65.7,23,0.7020000000000001,52,0.596,31,0.212,11,0.818,9,3,200,115.5,20.0,4,18,82,,9.9,7,0.385,20,0.55,11,49.1,27,0.716,23.0,17,32,0.625,20,0.625,5,"December 1, 2018",47.8,11,12.5,4,115.5,80.0,16,0.418,61,0.377,23,0.344,21,0.47600000000000003,10,5,200,85.9,34.3,12,15,61,,8.5,6,0.32799999999999996,20,0.25,5,50.9,28,0.43,15.6,13,41,0.439,18,0.16699999999999998,1,"Sam Vadalabene Center , Edwardsville, Illinois",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,71.1,Away,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc,7,False,False,False,Away,True,11,20,52,27,55,5,18,61,1,0,53,131,384,0.5481770833333334,211,428,0.4929906542056075,59,109,407,0.48525798525798525,0.5714285714285714
8,2018-12-05-20-southern-illinois,60.9,14,6.1,2,80.3,87.5,28,0.377,69,0.33299999999999996,23,0.13,9,0.444,4,2,200,73.7,25.6,11,19,56,,11.8,9,0.377,26,0.231,6,52.0,39,0.382,18.0,16,43,0.395,17,0.75,6,"December 5, 2018",47.8,11,18.6,8,73.7,74.4,32,0.49,51,0.451,23,0.41200000000000003,21,0.524,11,3,200,80.3,12.5,4,13,61,,11.8,9,0.353,18,0.222,4,48.0,36,0.5,21.0,16,33,0.5760000000000001,19,0.667,6,"The SIU Arena, Carbondale, Illinois",SAINT-LOUIS,Saint Louis,75.6,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc,8,True,False,True,Home,True,4,19,51,36,75,6,17,69,1,0,64,151,436,0.5665137614678899,238,483,0.4927536231884058,64,127,468,0.47649572649572647,0.625
9,2018-12-08-19-southeast-missouri-state,75.0,21,20.8,5,109.0,76.5,26,0.602,54,0.519,28,0.40700000000000003,22,0.818,18,3,200,123.9,29.6,8,17,83,,6.0,4,0.389,21,0.429,9,55.7,34,0.644,13.6,10,33,0.5760000000000001,19,0.7,7,"December 8, 2018",51.9,14,6.1,2,123.9,70.4,19,0.5670000000000001,60,0.45,27,0.16699999999999998,10,0.5,5,5,200,109.0,23.5,8,20,73,,7.5,5,0.6,36,0.389,14,44.3,27,0.564,14.6,11,24,0.542,13,0.5,5,"Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,67.1,Away,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc,9,False,False,False,Away,True,9,19,54,34,61,14,13,60,1,0,68,170,487,0.5585215605749486,274,558,0.4910394265232975,70,144,537,0.46368715083798884,0.6666666666666666
