,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ST-FRANCIS-NY_homegame,ST-FRANCIS-NY_homegame2,ST-FRANCIS-NY_home,ST-FRANCIS-NY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-19-st-francis-ny,17.6,3,13.2,5,109.5,57.9,22,0.31,58,0.293,17,0.379,22,0.273,6,0,200,50.0,19.1,9,31,42,,3.6,3,0.276,16,0.125,2,36.5,31,0.307,24.5,22,42,0.35700000000000004,15,0.0,0,"November 7, 2018",69.0,20,21.4,9,50.0,80.9,38,0.508,65,0.446,29,0.6459999999999999,42,0.619,26,0,200,109.5,42.1,16,25,92,,14.3,12,0.415,27,0.29600000000000004,8,63.5,54,0.541,17.7,18,38,0.5529999999999999,21,1.0,1,"Pope Physical Education Center, Brooklyn Heights, New York","Medgar Evers
			","Medgar Evers
			",84.2,Home,ST-FRANCIS-NY,St. Francis (NY),St. Francis (NY),northeast,0,True,False,True,Home,True,8,21,65,54,85,2,15,58,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-13-boston-college,54.5,12,10.0,3,108.8,71.9,23,0.5489999999999999,51,0.431,22,0.41200000000000003,21,0.619,13,1,200,101.5,20.6,7,24,69,,2.9,2,0.588,30,0.4,12,45.5,30,0.5660000000000001,15.4,11,21,0.47600000000000003,10,0.5,1,"November 11, 2018",40.9,9,9.5,2,101.5,79.4,27,0.49,50,0.44,22,0.74,37,0.6759999999999999,25,0,200,108.8,28.1,9,19,74,,5.9,4,0.4,20,0.25,5,54.5,36,0.5479999999999999,16.4,13,30,0.5670000000000001,17,1.0,2,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",ST-FRANCIS-NY,St. Francis (NY),68.3,Home,BOSTON-COLLEGE,Boston College,St. Francis (NY),northeast,1,False,False,False,Away,False,12,10,51,30,66,5,17,50,0,1,8,21,65,0.5076923076923077,54,85,0.6352941176470588,2,15,58,0.3103448275862069,1.0
2,2018-11-14-11-richmond,32.0,8,2.5,1,133.3,80.0,20,0.461,64,0.391,25,0.125,8,0.875,7,2,200,100.0,31.6,12,13,66,,6.1,4,0.45299999999999996,29,0.31,9,50.8,32,0.48700000000000004,12.9,10,35,0.457,16,0.33299999999999996,1,"November 14, 2018",47.2,17,2.9,1,100.0,68.4,26,0.6809999999999999,58,0.621,36,0.22399999999999998,13,0.6920000000000001,9,1,200,133.3,20.0,5,11,88,,13.6,9,0.31,18,0.389,7,49.2,31,0.6859999999999999,11.2,8,40,0.725,29,0.5,1,"Robins Center, Richmond, Virginia",ST-FRANCIS-NY,St. Francis (NY),66.5,Home,RICHMOND,Richmond,St. Francis (NY),northeast,2,False,False,False,Away,False,9,16,64,32,63,7,29,58,0,1,20,31,116,0.5258620689655172,84,151,0.5562913907284768,7,32,108,0.39351851851851855,0.5
3,2018-11-18-14-lafayette,26.7,8,5.4,2,91.1,80.6,25,0.507,68,0.441,30,0.33799999999999997,23,0.652,15,2,200,106.3,29.3,12,19,84,,15.2,12,0.353,24,0.375,9,51.4,37,0.532,13.3,12,44,0.47700000000000004,21,0.5,2,"November 18, 2018",28.0,7,11.4,5,106.3,70.7,29,0.509,57,0.439,25,0.281,16,0.875,14,3,200,91.1,19.4,6,20,72,,6.3,5,0.35100000000000003,20,0.4,8,48.6,35,0.557,23.8,20,37,0.45899999999999996,17,0.25,1,"Kirby Sports Center, Easton, Pennsylvania",LAFAYETTE,Lafayette,78.8,Away,ST-FRANCIS-NY,St. Francis (NY),St. Francis (NY),northeast,3,False,False,False,Away,True,9,21,68,37,72,8,17,57,1,0,29,47,180,0.5027777777777778,116,214,0.5420560747663551,14,61,166,0.4939759036144578,0.3333333333333333
4,2018-11-23-19-iupui,22.2,4,12.2,5,93.2,80.8,21,0.377,53,0.34,18,0.302,16,0.5,8,3,200,65.8,11.1,4,15,48,,8.2,6,0.302,16,0.25,4,40.3,25,0.396,23.1,18,37,0.37799999999999995,14,0.4,2,"November 23, 2018",25.0,7,5.4,2,65.8,88.9,32,0.537,54,0.519,28,0.29600000000000004,16,0.625,10,2,200,93.2,19.2,5,15,68,,15.1,11,0.24100000000000002,13,0.154,2,59.7,37,0.552,19.7,15,41,0.634,26,0.6,3,"Gallagher Center, Niagara University, New York",ST-FRANCIS-NY,St. Francis (NY),73.1,Home,IUPUI,IUPUI,St. Francis (NY),northeast,4,False,False,False,Away,False,4,14,53,25,62,2,26,54,0,1,38,68,248,0.5040322580645161,153,286,0.534965034965035,22,78,223,0.4977578475336323,0.5
5,2018-11-24-19-niagara,38.5,10,17.5,7,86.3,80.6,29,0.5,65,0.4,26,0.262,17,0.588,10,3,200,102.7,26.3,10,19,75,,5.5,4,0.431,28,0.46399999999999997,13,52.7,39,0.513,12.1,10,37,0.35100000000000003,13,0.5,3,"November 24, 2018",30.0,6,16.2,6,102.7,73.7,28,0.39299999999999996,56,0.35700000000000004,20,0.46399999999999997,26,0.731,19,3,200,86.3,19.4,7,18,63,,2.7,2,0.28600000000000003,16,0.25,4,47.3,35,0.461,15.1,12,40,0.4,16,0.4,2,"Gallagher Center, Niagara University, New York",NIAGARA,Niagara,73.2,Away,ST-FRANCIS-NY,St. Francis (NY),St. Francis (NY),northeast,5,False,False,False,Away,True,13,13,65,39,74,4,16,56,1,0,42,82,301,0.48172757475083056,178,348,0.5114942528735632,24,104,277,0.5054151624548736,0.4
6,2018-11-28-19-presbyterian,30.3,10,6.7,3,108.9,83.8,31,0.569,65,0.508,33,0.308,20,0.8,16,3,200,113.9,17.9,5,23,90,,1.3,1,0.27699999999999997,18,0.444,8,55.4,36,0.604,10.9,9,47,0.532,25,0.5710000000000001,4,"November 28, 2018",56.7,17,4.3,2,113.9,82.1,23,0.522,67,0.44799999999999995,30,0.40299999999999997,27,0.593,16,4,200,108.9,16.2,6,18,86,,3.8,3,0.32799999999999996,22,0.455,10,44.6,29,0.539,7.1,6,45,0.444,20,0.429,3,"Ross E.Templeton Center, Clinton, South Carolina",PRESBYTERIAN,Presbyterian,79.2,Away,ST-FRANCIS-NY,St. Francis (NY),St. Francis (NY),northeast,6,False,False,False,Away,True,8,25,65,36,65,10,20,67,1,0,55,95,366,0.4849726775956284,217,422,0.514218009478673,28,120,333,0.4864864864864865,0.5
7,2018-12-03-19-st-francis-ny,57.7,15,2.4,1,119.5,64.9,24,0.439,74,0.35100000000000003,26,0.18899999999999997,14,0.7140000000000001,10,0,200,86.2,18.2,8,15,75,,4.6,4,0.419,31,0.419,13,39.5,32,0.465,17.5,17,43,0.302,13,0.0,0,"December 3, 2018",59.5,25,20.9,9,86.2,81.8,36,0.613,80,0.525,42,0.138,11,0.545,6,3,200,119.5,35.1,13,18,104,,9.2,8,0.475,38,0.368,14,60.5,49,0.61,12.4,12,42,0.667,28,0.625,5,"Pope Physical Education Center, Brooklyn Heights, New York","St. Joseph's (NY)
			","St. Joseph's (NY)
			",86.9,Home,ST-FRANCIS-NY,St. Francis (NY),St. Francis (NY),northeast,7,True,False,True,Home,True,14,28,80,49,81,13,13,74,1,0,63,120,431,0.4976798143851508,253,487,0.5195071868583162,38,140,400,0.4925,0.5714285714285714
8,2018-12-08-16-njit,38.1,8,11.4,5,113.9,71.4,25,0.358,67,0.313,21,0.254,17,0.706,12,4,200,83.3,25.0,11,24,60,,0.0,0,0.418,28,0.214,6,45.6,36,0.4,10.8,9,39,0.385,15,0.556,5,"December 8, 2018",42.3,11,15.4,6,83.3,75.0,33,0.467,60,0.433,26,0.55,33,0.7879999999999999,26,2,200,113.9,28.6,10,18,82,,5.6,4,0.267,16,0.25,4,54.4,43,0.542,7.5,6,44,0.5,22,0.818,9,"NJIT Wellness and Events Center, Newark, New Jersey",ST-FRANCIS-NY,St. Francis (NY),72.4,Home,NJIT,NJIT,St. Francis (NY),northeast,8,False,False,False,Away,False,6,15,67,36,79,4,22,60,0,1,77,148,511,0.5156555772994129,302,568,0.5316901408450704,51,153,474,0.48417721518987344,0.625
9,2018-12-11-19-st-francis-ny,34.6,9,15.8,6,110.3,74.4,29,0.423,65,0.4,26,0.292,19,0.737,14,7,200,101.5,31.6,12,18,69,,4.4,3,0.33799999999999997,22,0.136,3,53.2,41,0.466,8.7,7,43,0.535,23,0.462,6,"December 11, 2018",22.2,6,16.3,7,101.5,68.4,26,0.516,61,0.44299999999999995,27,0.32799999999999996,20,0.6,12,4,200,110.3,25.6,10,18,75,,2.9,2,0.377,23,0.391,9,46.8,36,0.532,9.1,7,38,0.474,18,0.6,6,"Pope Physical Education Center, Brooklyn Heights, New York",MASSACHUSETTS-LOWELL,UMass-Lowell,68.3,Home,ST-FRANCIS-NY,St. Francis (NY),St. Francis (NY),northeast,9,True,False,True,Home,True,9,18,61,36,77,3,23,65,1,0,83,163,578,0.49740484429065746,338,647,0.5224111282843895,55,175,534,0.48220973782771537,0.5555555555555556
