,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,STONY-BROOK_homegame,STONY-BROOK_homegame2,STONY-BROOK_home,STONY-BROOK_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-george-washington,33.3,9,8.6,3,94.9,74.3,26,0.429,70,0.386,27,0.386,27,0.63,17,0,225,98.7,36.8,14,28,77,,6.4,5,0.371,26,0.231,6,54.8,40,0.465,11.8,11,44,0.47700000000000004,21,1.0,1,"November 6, 2018",50.0,13,15.9,7,98.7,63.2,24,0.527,55,0.473,26,0.618,34,0.47100000000000003,16,1,225,94.9,25.7,9,21,74,,9.0,7,0.364,20,0.3,6,45.2,33,0.52,16.7,14,35,0.5710000000000001,20,0.0,0,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,69.3,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,0,False,False,False,Away,True,6,21,70,40,73,6,20,55,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-south-carolina,55.6,15,7.5,3,105.2,74.2,23,0.457,70,0.386,27,0.32899999999999996,23,0.826,19,0,200,107.8,47.2,17,22,83,,6.5,5,0.314,22,0.455,10,59.7,40,0.513,14.0,13,48,0.354,17,1.0,2,"November 9, 2018",62.1,18,10.4,5,107.8,52.8,19,0.532,63,0.46,29,0.413,26,0.5379999999999999,14,1,200,105.2,25.8,8,21,81,,5.2,4,0.365,23,0.391,9,40.3,27,0.537,10.8,9,40,0.5,20,0.5,1,"The Colonial Life Arena, Columbia, South Carolina",SOUTH-CAROLINA,South Carolina,76.6,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,1,False,False,False,Away,True,10,17,70,40,67,9,20,63,1,0,6,21,70,0.42857142857142855,40,73,0.547945205479452,6,20,55,0.5272727272727272,1.0
2,2018-11-16-18-stony-brook,86.7,26,25.7,9,106.1,63.3,19,0.583,60,0.5,30,0.267,16,0.875,14,2,200,127.3,26.7,8,16,84,,7.6,5,0.433,26,0.385,10,45.0,27,0.621,5.6,4,34,0.588,20,0.5,2,"November 16, 2018",36.4,8,14.7,5,127.3,73.3,22,0.446,56,0.39299999999999996,22,0.429,24,0.833,20,1,200,106.1,36.7,11,17,70,,3.0,2,0.375,21,0.28600000000000003,6,55.0,33,0.519,15.3,12,35,0.457,16,0.667,2,"Mohegan Sun Arena, Uncasville, Connecticut",STONY-BROOK,Stony Brook,66.0,Away,HOLY-CROSS,Holy Cross,Stony Brook,america-east,2,False,True,True,Home,False,6,16,56,33,60,10,20,60,0,1,16,38,140,0.44285714285714284,80,140,0.5714285714285714,15,40,118,0.5296610169491526,1.0
3,2018-11-17-20-stony-brook,27.3,6,14.3,4,101.4,64.0,16,0.47200000000000003,54,0.40700000000000003,22,0.33299999999999996,18,0.778,14,4,200,91.5,10.7,3,25,65,,9.9,7,0.35200000000000004,19,0.368,7,35.8,19,0.52,15.1,11,35,0.429,15,0.33299999999999996,2,"November 17, 2018",36.4,8,5.7,2,91.5,89.3,25,0.532,47,0.46799999999999997,22,0.596,28,0.7859999999999999,22,1,200,101.4,36.0,9,18,72,,2.8,2,0.40399999999999997,19,0.316,6,64.2,34,0.597,26.1,21,28,0.5710000000000001,16,0.75,3,"Mohegan Sun Arena, Uncasville, Connecticut",NORFOLK-STATE,Norfolk State,71.4,Home,STONY-BROOK,Stony Brook,Stony Brook,america-east,3,True,False,True,Home,True,6,16,47,34,53,7,15,54,1,0,22,54,196,0.44387755102040816,113,200,0.565,25,60,178,0.547752808988764,0.6666666666666666
4,2018-11-21-18-stony-brook,47.6,10,4.3,2,112.8,51.3,20,0.402,61,0.344,21,0.32799999999999996,20,0.6,12,0,200,70.9,16.2,6,28,61,,8.1,7,0.41,25,0.28,7,34.2,26,0.433,23.1,21,36,0.389,14,0.0,0,"November 21, 2018",48.4,15,22.2,8,70.9,83.8,31,0.473,75,0.413,31,0.467,35,0.743,26,1,200,112.8,48.7,19,19,97,,14.0,12,0.373,28,0.321,9,65.8,50,0.529,12.6,13,47,0.46799999999999997,22,0.8,4,"Island Federal Credit Union, Stony Brook, New York","Molloy
			","Molloy
			",85.6,Home,STONY-BROOK,Stony Brook,Stony Brook,america-east,4,True,False,True,Home,True,9,22,75,50,76,7,14,61,1,0,28,70,243,0.4609053497942387,147,253,0.5810276679841897,32,75,232,0.5301724137931034,0.75
5,2018-11-24-14-rhode-island,33.3,8,10.5,4,80.6,61.5,24,0.48100000000000004,54,0.444,24,0.35200000000000004,19,0.8420000000000001,16,1,200,94.4,24.1,7,20,68,,15.3,11,0.37,20,0.2,4,45.6,31,0.539,20.4,16,34,0.588,20,0.833,5,"November 24, 2018",36.4,8,11.8,4,94.4,75.9,22,0.371,62,0.355,22,0.306,19,0.632,12,2,200,80.6,38.5,15,20,58,,9.7,7,0.387,24,0.083,2,54.4,37,0.408,18.5,16,38,0.526,20,0.5,2,"Ryan Center, Kingston, Rhode Island",RHODE-ISLAND,Rhode Island,72.0,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,5,False,False,False,Away,True,4,20,54,31,68,2,20,62,1,0,37,92,318,0.4638364779874214,197,329,0.5987841945288754,39,89,293,0.5034129692832765,0.8
6,2018-11-27-19-norfolk-state,38.5,10,14.8,4,101.4,86.2,25,0.649,47,0.5529999999999999,26,0.5529999999999999,26,0.6920000000000001,18,1,200,109.7,33.3,6,24,79,,5.6,4,0.40399999999999997,19,0.474,9,66.0,31,0.6659999999999999,24.5,19,28,0.607,17,0.857,6,"November 27, 2018",68.2,15,3.6,1,109.7,66.7,12,0.542,48,0.45799999999999996,22,0.688,33,0.636,21,5,200,101.4,13.8,4,23,73,,11.1,8,0.43799999999999994,21,0.381,8,34.0,16,0.573,15.0,11,27,0.519,14,0.375,3,"Echols Memorial Hall, Norfolk, Virginia",NORFOLK-STATE,Norfolk State,71.5,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,6,False,False,False,Away,True,9,17,47,31,47,8,14,48,1,0,41,112,372,0.46639784946236557,228,397,0.5743073047858942,41,109,355,0.4802816901408451,0.8333333333333334
7,2018-12-01-19-stony-brook,42.1,8,5.6,2,100.0,74.2,23,0.364,55,0.345,19,0.509,28,0.75,21,4,200,85.9,20.5,8,19,61,,8.5,6,0.327,18,0.111,2,44.3,31,0.447,14.0,11,37,0.45899999999999996,17,0.33299999999999996,2,"December 1, 2018",50.0,12,13.5,5,85.9,79.5,31,0.528,54,0.444,24,0.37,20,0.7,14,1,200,100.0,25.8,8,22,71,,9.9,7,0.33299999999999996,18,0.5,9,55.7,39,0.5589999999999999,19.3,15,36,0.41700000000000004,15,0.875,7,"Island Federal Credit Union, Stony Brook, New York",QUINNIPIAC,Quinnipiac,70.9,Home,STONY-BROOK,Stony Brook,Stony Brook,america-east,7,True,False,True,Home,True,9,15,54,39,70,2,17,55,1,0,50,129,419,0.48687350835322196,259,444,0.5833333333333334,49,123,403,0.48759305210918114,0.8571428571428571
8,2018-12-05-19-manhattan,46.7,7,17.5,7,92.5,67.6,23,0.41700000000000004,42,0.35700000000000004,15,0.976,41,0.8290000000000001,34,1,200,103.0,37.9,11,21,69,,4.5,3,0.35700000000000004,15,0.33299999999999996,5,54.0,34,0.561,18.9,14,27,0.37,10,0.889,8,"December 5, 2018",47.6,10,29.6,8,103.0,62.1,18,0.375,60,0.35,21,0.38299999999999995,23,0.7390000000000001,17,6,200,92.5,32.4,11,32,62,,10.4,7,0.33299999999999996,20,0.15,3,46.0,29,0.43700000000000006,11.4,9,40,0.45,18,0.25,2,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,66.7,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,8,False,False,False,Away,True,5,10,42,34,63,3,18,60,1,0,59,144,473,0.4915433403805497,298,514,0.5797665369649806,51,140,458,0.47270742358078605,0.875
9,2018-12-08-14-brown,40.0,10,6.3,2,101.4,64.5,20,0.5,58,0.431,25,0.414,24,0.45799999999999996,11,2,200,98.6,22.2,8,29,69,,2.9,2,0.32799999999999996,19,0.42100000000000004,8,41.8,28,0.49700000000000005,11.6,9,39,0.436,17,0.8,8,"December 8, 2018",45.0,9,17.9,7,98.6,77.8,28,0.434,53,0.377,20,0.66,35,0.7140000000000001,25,4,200,101.4,35.5,11,21,71,,5.7,4,0.396,21,0.28600000000000003,6,58.2,39,0.51,13.9,11,32,0.43799999999999994,14,0.636,7,"Pizzitola Sports Center, Providence, Rhode Island",STONY-BROOK,Stony Brook,70.0,Home,BROWN,Brown,Stony Brook,america-east,9,False,False,False,Away,False,8,17,58,28,67,6,14,53,0,1,64,154,515,0.4854368932038835,332,577,0.5753899480069324,54,158,518,0.4613899613899614,0.8888888888888888
10,2018-12-12-19-stony-brook,59.3,16,8.5,4,113.7,61.8,21,0.6629999999999999,49,0.551,27,0.49,24,0.583,14,5,200,108.2,8.3,2,19,79,,8.2,6,0.449,22,0.5,11,39.7,23,0.654,20.1,15,27,0.593,16,0.5,5,"December 12, 2018",43.8,14,14.8,4,108.2,91.7,22,0.531,65,0.49200000000000005,32,0.32299999999999995,21,0.667,14,2,200,113.7,38.2,13,17,83,,6.8,5,0.27699999999999997,18,0.278,5,60.3,35,0.5539999999999999,12.9,11,47,0.574,27,0.818,9,"Island Federal Credit Union, Stony Brook, New York",LONG-ISLAND-UNIVERSITY,LIU,73.2,Home,STONY-BROOK,Stony Brook,Stony Brook,america-east,10,True,False,True,Home,True,5,27,65,35,58,11,16,49,1,0,72,171,573,0.4869109947643979,360,644,0.5590062111801242,60,172,571,0.45884413309982486,0.8
11,2018-12-16-14-stony-brook,45.8,11,9.1,4,113.8,69.4,25,0.536,55,0.436,24,0.182,10,0.9,9,4,200,104.6,13.8,4,11,68,,7.7,5,0.455,25,0.44,11,44.6,29,0.569,10.5,7,30,0.433,13,0.667,8,"December 16, 2018",50.0,14,16.7,5,104.6,86.2,25,0.486,69,0.406,28,0.11599999999999999,8,0.875,7,2,200,113.8,30.6,11,12,74,,7.7,5,0.36200000000000004,25,0.44,11,55.4,36,0.508,7.6,6,44,0.386,17,0.833,10,"Island Federal Credit Union, Stony Brook, New York",DELAWARE,Delaware,65.3,Home,STONY-BROOK,Stony Brook,Stony Brook,america-east,11,True,False,True,Home,True,11,17,69,36,65,11,13,55,1,0,77,198,638,0.49137931034482757,395,702,0.5626780626780626,71,188,620,0.475,0.8181818181818182
12,2018-12-19-19-stony-brook,42.3,11,14.6,7,90.1,70.0,28,0.483,60,0.433,26,0.3,18,0.722,13,3,200,100.0,31.4,11,12,71,,5.6,4,0.35,21,0.28600000000000003,6,52.0,39,0.518,16.1,13,39,0.513,20,0.75,9,"December 19, 2018",46.2,12,10.3,4,100.0,68.6,24,0.442,69,0.377,26,0.043,3,1.0,3,3,200,90.1,30.0,12,18,64,,9.9,7,0.304,21,0.429,9,48.0,36,0.45399999999999996,15.6,13,48,0.354,17,0.769,10,"Island Federal Credit Union, Stony Brook, New York",STONY-BROOK,Stony Brook,71.0,Away,HOFSTRA,Hofstra,Stony Brook,america-east,12,False,True,True,Home,False,9,17,69,36,75,6,20,60,0,1,88,215,707,0.4908062234794908,431,767,0.5619295958279009,82,201,675,0.48,0.8333333333333334
13,2018-12-22-14-quinnipiac,34.6,9,6.7,2,101.4,63.9,23,0.475,60,0.433,26,0.467,28,0.679,19,3,200,105.6,38.9,14,21,76,,8.3,6,0.267,16,0.313,5,51.4,37,0.518,15.2,13,44,0.47700000000000004,21,0.7859999999999999,11,"December 22, 2018",52.2,12,4.5,2,105.6,61.1,22,0.49200000000000005,59,0.39,23,0.39,23,0.652,15,6,200,101.4,36.1,13,23,73,,6.9,5,0.49200000000000005,29,0.414,12,48.6,35,0.522,16.8,14,30,0.36700000000000005,11,0.455,5,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,71.6,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,13,False,False,False,Away,True,5,21,60,37,72,12,11,59,1,0,97,232,776,0.48646907216494845,467,842,0.5546318289786223,88,221,735,0.48027210884353744,0.7692307692307693
14,2018-12-29-20-northern-iowa,44.4,12,7.7,2,90.0,77.8,28,0.564,55,0.491,27,0.273,15,0.733,11,3,200,104.3,25.9,7,19,73,,12.9,9,0.364,20,0.4,8,55.6,35,0.588,19.6,15,35,0.5429999999999999,19,0.8,12,"December 29, 2018",60.0,12,5.7,2,104.3,74.1,20,0.46399999999999997,55,0.364,20,0.364,20,0.6,12,8,200,90.0,22.2,8,15,63,,8.6,6,0.527,29,0.379,11,44.4,28,0.488,18.0,14,26,0.34600000000000003,9,0.385,5,"McLeod Center, Cedar Falls, Iowa",NORTHERN-IOWA,Northern Iowa,70.3,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,14,False,False,False,Away,True,8,19,55,35,63,11,9,55,1,0,102,253,836,0.48564593301435405,504,914,0.5514223194748359,100,232,794,0.4811083123425693,0.7857142857142857
15,2019-01-05-13-massachusetts-lowell,40.0,10,20.0,4,81.8,85.3,29,0.467,61,0.41,25,0.32799999999999996,20,0.9,18,3,200,97.4,28.1,9,21,75,,9.1,7,0.32799999999999996,20,0.35,7,57.6,38,0.532,18.6,16,41,0.439,18,0.812,13,"January 5, 2019",68.4,13,4.9,2,97.4,71.9,23,0.418,55,0.345,19,0.4,22,0.773,17,8,200,81.8,14.7,5,18,63,,6.5,5,0.636,35,0.22899999999999998,8,42.4,28,0.48100000000000004,19.8,16,20,0.55,11,0.5,8,"Costello Athletic Center, Lowell, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,77.0,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,15,False,False,False,Away,True,7,18,61,38,66,8,11,55,1,0,110,272,891,0.4904601571268238,539,977,0.5516888433981576,111,241,849,0.4799764428739694,0.8
16,2019-01-09-19-stony-brook,22.2,4,3.1,1,88.1,60.0,15,0.32299999999999995,62,0.29,18,0.129,8,0.75,6,12,200,68.7,30.2,13,17,46,,14.9,10,0.306,19,0.21100000000000002,4,41.2,28,0.35,17.6,14,43,0.326,14,0.294,5,"January 9, 2019",65.2,15,16.3,7,68.7,69.8,30,0.5329999999999999,46,0.5,23,0.391,18,0.556,10,3,200,88.1,40.0,10,11,59,,7.5,5,0.304,14,0.214,3,58.8,40,0.541,29.9,23,32,0.625,20,0.8240000000000001,14,"Island Federal Credit Union, Stony Brook, New York",BINGHAMTON,Binghamton,67.2,Home,STONY-BROOK,Stony Brook,Stony Brook,america-east,16,True,False,True,Home,True,3,20,46,40,68,4,14,62,1,0,117,290,952,0.4889705882352941,577,1043,0.5532118887823586,119,252,904,0.476216814159292,0.8125
