,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SYRACUSE_homegame,SYRACUSE_homegame2,SYRACUSE_home,SYRACUSE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-syracuse,84.6,11,4.4,2,91.7,64.7,22,0.271,59,0.22,13,0.136,8,0.25,2,1,195,47.2,22.7,10,23,34,,5.6,4,0.593,35,0.171,6,41.0,32,0.271,23.3,19,24,0.292,7,0.0,0,"November 6, 2018",45.8,11,16.7,4,47.2,77.3,34,0.41100000000000003,62,0.387,24,0.452,28,0.536,15,0,195,91.7,35.3,12,17,66,16.0,13.9,10,0.27399999999999997,17,0.17600000000000002,3,59.0,46,0.43799999999999994,10.8,9,45,0.467,21,1.0,1,"Carrier Dome, Syracuse, New York",EASTERN-WASHINGTON,Eastern Washington,73.9,Home,SYRACUSE,Syracuse,Syracuse,acc,0,True,False,True,Home,True,3,21,62,46,78,6,7,59,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-19-syracuse,50.0,14,5.8,3,103.7,60.0,21,0.45,70,0.4,28,0.171,12,0.583,7,2,200,86.4,20.5,8,24,70,,8.6,7,0.34299999999999997,24,0.292,7,39.2,29,0.462,13.7,12,46,0.457,21,0.33299999999999996,1,"November 10, 2018",39.3,11,17.4,8,86.4,79.5,31,0.434,68,0.41200000000000003,28,0.441,30,0.833,25,0,200,103.7,40.0,14,18,84,16.0,7.4,6,0.235,16,0.188,3,60.8,45,0.511,14.7,14,52,0.48100000000000004,25,1.0,2,"Carrier Dome, Syracuse, New York",MOREHEAD-STATE,Morehead State,81.0,Home,SYRACUSE,Syracuse,Syracuse,acc,1,True,False,True,Home,True,3,25,68,45,74,7,21,70,1,0,3,21,62,0.4112903225806452,46,78,0.5897435897435898,6,7,59,0.2711864406779661,1.0
2,2018-11-15-19-connecticut,38.5,10,11.1,4,106.4,61.3,19,0.439,66,0.39399999999999996,26,0.379,25,0.72,18,1,200,97.4,20.0,7,23,76,15.0,10.3,8,0.33299999999999996,22,0.273,6,39.4,26,0.488,11.5,10,44,0.455,20,0.667,2,"November 15, 2018",78.6,22,18.2,8,97.4,80.0,28,0.596,57,0.491,28,0.40399999999999997,23,0.652,15,0,200,106.4,38.7,12,22,83,,7.7,6,0.368,21,0.5710000000000001,12,60.6,40,0.611,22.1,19,36,0.444,16,1.0,3,"Madison Square Garden (IV), New York, New York",SYRACUSE,Syracuse,77.9,Home,CONNECTICUT,UConn,Syracuse,acc,2,False,False,False,Away,False,6,20,66,26,66,12,16,57,0,1,6,46,130,0.4230769230769231,91,152,0.5986842105263158,13,28,129,0.3682170542635659,1.0
3,2018-11-16-16-oregon,66.7,12,3.2,1,112.7,52.2,12,0.402,51,0.353,18,0.608,31,0.774,24,2,200,91.5,32.3,10,24,65,15.0,16.9,12,0.5489999999999999,28,0.179,5,40.7,22,0.494,19.8,16,23,0.565,13,0.5,2,"November 16, 2018",68.0,17,26.1,6,91.5,67.7,21,0.5589999999999999,51,0.49,25,0.49,25,0.92,23,1,200,112.7,47.8,11,20,80,13.0,12.7,9,0.392,20,0.35,7,59.3,32,0.636,22.5,18,31,0.581,18,0.75,3,"Madison Square Garden (IV), New York, New York",SYRACUSE,Syracuse,70.8,Home,OREGON,Oregon,Syracuse,acc,3,False,False,False,Away,False,5,13,51,22,54,7,18,51,0,1,12,66,196,0.42857142857142855,117,218,0.536697247706422,25,44,186,0.4381720430107527,0.6666666666666666
4,2018-11-21-19-syracuse,77.8,14,2.5,1,116.7,52.8,19,0.47100000000000003,51,0.353,18,0.196,10,0.8,8,2,200,84.8,17.2,5,20,56,,6.1,4,0.784,40,0.3,12,36.9,24,0.502,21.3,15,11,0.545,6,0.667,4,"November 21, 2018",50.0,13,27.3,3,84.8,82.8,24,0.49200000000000005,60,0.433,26,0.5,30,0.6,18,2,200,116.7,47.2,17,14,77,,19.7,13,0.33299999999999996,20,0.35,7,63.1,41,0.519,10.9,9,40,0.475,19,0.6,3,"Carrier Dome, Syracuse, New York",COLGATE,Colgate,66.0,Home,SYRACUSE,Syracuse,Syracuse,acc,4,True,False,True,Home,True,7,19,60,41,65,12,6,51,1,0,17,79,247,0.4230769230769231,139,272,0.5110294117647058,32,62,237,0.4641350210970464,0.5
5,2018-11-28-19-ohio-state,59.1,13,12.5,3,98.4,72.4,21,0.611,45,0.489,22,0.42200000000000004,19,0.895,17,2,200,114.3,16.7,4,28,72,,1.6,1,0.5329999999999999,24,0.45799999999999996,11,47.2,25,0.6659999999999999,18.4,12,21,0.524,11,0.667,4,"November 28, 2018",80.0,12,4.8,1,114.3,83.3,20,0.391,46,0.326,15,0.7609999999999999,35,0.743,26,1,200,98.4,27.6,8,17,62,16.0,7.9,5,0.478,22,0.273,6,52.8,28,0.495,14.0,10,24,0.375,9,0.857,6,"Value City Arena, Columbus, Ohio",OHIO-STATE,Ohio State,63.3,Away,SYRACUSE,Syracuse,Syracuse,acc,5,False,False,False,Away,True,11,11,45,25,53,6,9,46,1,0,24,98,307,0.4364820846905538,180,337,0.5341246290801187,44,68,288,0.4652777777777778,0.6
6,2018-12-01-20-syracuse,85.0,17,9.5,2,114.5,77.3,17,0.57,43,0.465,20,0.209,9,0.667,6,4,200,100.0,13.6,3,18,55,,7.3,4,0.5579999999999999,24,0.375,9,45.5,20,0.5820000000000001,16.1,9,19,0.579,11,0.5,4,"December 1, 2018",42.9,9,21.1,4,100.0,86.4,19,0.595,42,0.5,21,0.5,21,0.619,13,2,200,114.5,22.7,5,11,63,,12.7,7,0.5,21,0.381,8,54.5,24,0.606,16.3,10,21,0.619,13,0.7140000000000001,5,"Carrier Dome, Syracuse, New York",CORNELL,Cornell,55.1,Home,SYRACUSE,Syracuse,Syracuse,acc,6,True,False,True,Home,True,8,13,42,24,44,9,11,43,1,0,35,109,352,0.4588068181818182,205,390,0.5256410256410257,50,77,334,0.4550898203592814,0.6666666666666666
7,2018-12-04-19-syracuse,64.7,11,0.0,0,118.0,61.8,21,0.4,50,0.34,17,0.24,12,0.75,9,5,200,80.3,17.6,6,14,49,,6.6,4,0.56,28,0.214,6,39.7,27,0.44,16.6,11,22,0.5,11,0.444,4,"December 4, 2018",76.9,20,22.7,5,80.3,82.4,28,0.508,60,0.433,26,0.28300000000000003,17,0.647,11,2,200,118.0,38.2,13,15,72,,13.1,8,0.517,31,0.29,9,60.3,41,0.529,9.4,7,29,0.586,17,0.75,6,"Carrier Dome, Syracuse, New York",NORTHEASTERN,Northeastern,61.4,Home,SYRACUSE,Syracuse,Syracuse,acc,7,True,False,True,Home,True,9,17,60,41,68,6,11,50,1,0,43,122,394,0.4733502538071066,229,434,0.5276497695852534,59,88,377,0.46816976127320953,0.7142857142857143
8,2018-12-08-15-syracuse,68.0,17,10.0,3,100.0,81.8,27,0.47600000000000003,63,0.397,25,0.27,17,0.647,11,2,200,98.6,34.2,13,15,71,,5.6,4,0.49200000000000005,31,0.32299999999999995,10,56.3,40,0.499,17.5,15,32,0.469,15,0.778,7,"December 8, 2018",52.0,13,15.6,5,98.6,65.8,25,0.5,58,0.431,25,0.379,22,0.636,14,2,200,100.0,18.2,6,17,72,,13.9,10,0.483,28,0.28600000000000003,8,43.7,31,0.526,11.7,9,30,0.5670000000000001,17,0.778,7,"Carrier Dome, Syracuse, New York",GEORGETOWN,Georgetown,72.3,Home,SYRACUSE,Syracuse,Syracuse,acc,8,True,False,True,Home,True,8,17,58,31,71,10,15,63,1,0,52,139,454,0.4779735682819383,270,502,0.5378486055776892,65,99,427,0.4601873536299766,0.75
9,2018-12-15-12-syracuse,60.9,14,7.7,2,89.9,83.3,25,0.55,50,0.46,23,0.4,20,0.65,13,3,200,98.6,26.7,8,25,68,,10.1,7,0.52,26,0.34600000000000003,9,55.0,33,0.5710000000000001,21.4,16,24,0.583,14,0.727,8,"December 15, 2018",81.3,13,16.7,4,98.6,73.3,22,0.41700000000000004,48,0.33299999999999996,16,0.708,34,0.647,22,3,200,89.9,16.7,5,17,62,25.0,11.6,8,0.45799999999999996,22,0.364,8,45.0,27,0.483,16.0,12,26,0.308,8,0.7,7,"Carrier Dome, Syracuse, New York",SYRACUSE,Syracuse,69.3,Away,OLD-DOMINION,Old Dominion,Syracuse,acc,9,False,True,True,Home,False,8,8,48,27,60,9,14,50,0,1,60,156,512,0.48046875,301,573,0.525305410122164,75,114,490,0.46224489795918366,0.7777777777777778
