,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TEMPLE_homegame,TEMPLE_homegame2,TEMPLE_home,TEMPLE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-temple,36.4,8,9.8,4,98.7,61.1,22,0.419,62,0.355,22,0.29,18,0.833,15,1,200,88.2,10.8,4,27,67,,9.2,7,0.387,24,0.33299999999999996,8,35.6,26,0.475,12.5,10,38,0.368,14,0.0,0,"November 6, 2018",63.6,14,7.9,3,88.2,89.2,33,0.43,57,0.386,22,0.632,36,0.722,26,0,200,98.7,38.9,14,20,75,,7.9,6,0.281,16,0.313,5,64.4,47,0.506,17.1,15,41,0.415,17,1.0,1,"Liacouras Center, Philadelphia, Pennsylvania",LA-SALLE,La Salle,75.8,Home,TEMPLE,Temple,Temple,aac,0,True,False,True,Home,True,5,17,57,47,73,8,14,62,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-temple,48.0,12,5.7,2,115.3,51.7,15,0.5670000000000001,52,0.48100000000000004,25,0.25,13,0.615,8,2,200,93.1,23.1,6,16,67,,11.1,8,0.48100000000000004,25,0.36,9,38.2,21,0.5760000000000001,24.8,19,27,0.593,16,0.0,0,"November 9, 2018",62.1,18,7.4,2,93.1,76.9,20,0.556,62,0.46799999999999997,29,0.32299999999999995,20,0.7,14,0,200,115.3,48.3,14,18,83,,15.3,11,0.435,27,0.40700000000000003,11,61.8,34,0.58,18.4,16,35,0.514,18,1.0,2,"Liacouras Center, Philadelphia, Pennsylvania",DETROIT-MERCY,Detroit,72.3,Home,TEMPLE,Temple,Temple,aac,1,True,False,True,Home,True,11,18,62,34,55,9,16,52,1,0,5,17,57,0.4298245614035088,47,73,0.6438356164383562,8,14,62,0.41935483870967744,1.0
2,2018-11-13-19-temple,53.6,15,8.2,4,98.8,79.4,27,0.545,55,0.509,28,0.4,22,0.773,17,1,200,93.9,13.6,3,17,77,,11.0,9,0.182,10,0.4,4,53.6,30,0.588,22.7,19,45,0.5329999999999999,24,0.5,1,"November 13, 2018",36.7,11,4.4,2,93.9,86.4,19,0.478,69,0.435,30,0.261,18,0.833,15,0,200,98.8,20.6,7,17,81,,15.9,13,0.29,20,0.3,6,46.4,26,0.522,12.5,11,49,0.49,24,1.0,3,"Liacouras Center, Philadelphia, Pennsylvania",GEORGIA,Georgia,81.5,Home,TEMPLE,Temple,Temple,aac,2,True,False,True,Home,True,6,24,69,26,56,4,24,55,1,0,16,35,119,0.4957983193277311,81,128,0.6328125,17,30,114,0.4868421052631579,1.0
3,2018-11-16-19-temple,45.8,11,8.9,4,111.0,75.0,24,0.5379999999999999,53,0.45299999999999996,24,0.226,12,0.833,10,3,200,91.8,26.9,7,14,67,,6.8,5,0.45299999999999996,24,0.375,9,53.4,31,0.5710000000000001,26.5,21,29,0.517,15,0.25,1,"November 16, 2018",61.3,19,20.7,6,91.8,73.1,19,0.507,67,0.46299999999999997,31,0.239,16,0.813,13,0,200,111.0,25.0,8,14,81,,13.7,10,0.32799999999999996,22,0.273,6,46.6,27,0.5429999999999999,7.5,6,45,0.556,25,1.0,4,"Liacouras Center, Philadelphia, Pennsylvania",LOYOLA-MD,Loyola (MD),72.7,Home,TEMPLE,Temple,Temple,aac,3,True,False,True,Home,True,6,25,67,27,58,9,15,53,1,0,22,59,188,0.48936170212765956,107,184,0.5815217391304348,21,54,169,0.5059171597633136,1.0
4,2018-11-19-21-virginia-commonwealth,40.0,8,3.6,1,82.6,75.9,22,0.355,62,0.32299999999999995,20,0.242,15,0.467,7,1,200,73.9,30.6,11,17,51,,18.8,13,0.452,28,0.14300000000000002,4,50.8,33,0.369,15.9,13,34,0.47100000000000003,16,0.8,4,"November 19, 2018",50.0,11,8.8,3,73.9,69.4,25,0.521,48,0.45799999999999996,22,0.271,13,0.5379999999999999,7,0,200,82.6,24.1,7,20,57,,8.7,6,0.41700000000000004,20,0.3,6,49.2,32,0.526,26.1,19,28,0.5710000000000001,16,1.0,4,"Barclays Center, Brooklyn, New York",TEMPLE,Temple,68.7,Home,VIRGINIA-COMMONWEALTH,VCU,Temple,aac,4,False,False,False,Away,False,4,16,62,33,65,6,16,48,0,1,28,84,255,0.49411764705882355,134,242,0.5537190082644629,30,69,222,0.5135135135135135,1.0
5,2018-11-20-17-temple,47.6,10,0.0,0,111.8,81.5,22,0.532,47,0.447,21,0.38299999999999995,18,0.5,9,3,200,86.8,8.0,2,15,59,,5.9,4,0.319,15,0.5329999999999999,8,46.2,24,0.531,20.3,14,32,0.406,13,0.25,1,"November 20, 2018",77.4,24,12.5,4,86.8,92.0,23,0.623,57,0.544,31,0.175,10,0.5,5,1,200,111.8,18.5,5,18,76,,14.7,10,0.368,21,0.429,9,53.8,28,0.615,15.2,11,36,0.611,22,0.833,5,"Barclays Center, Brooklyn, New York",CALIFORNIA,California,67.7,Home,TEMPLE,Temple,Temple,aac,5,True,False,True,Home,True,9,22,57,28,52,8,13,47,1,0,32,100,317,0.4668769716088328,167,307,0.5439739413680782,36,85,270,0.5148148148148148,0.8
6,2018-11-27-21-missouri,54.5,18,0.0,0,118.5,59.3,16,0.586,64,0.516,33,0.125,8,0.5,4,1,200,121.5,18.8,6,17,79,,12.3,8,0.406,26,0.34600000000000003,9,37.3,22,0.583,6.9,5,38,0.632,24,0.857,6,"November 27, 2018",42.3,11,2.6,1,121.5,81.3,26,0.63,50,0.52,26,0.4,20,0.7,14,3,200,118.5,40.7,11,14,77,,3.1,2,0.38,19,0.579,11,62.7,37,0.647,20.3,15,31,0.484,15,0.5,3,"Mizzou Arena, Columbia, Missouri",MISSOURI,Missouri,65.2,Away,TEMPLE,Temple,Temple,aac,6,False,False,False,Away,True,9,24,64,22,59,11,15,50,1,0,41,122,374,0.49064171122994654,195,359,0.5431754874651811,44,98,317,0.5173501577287066,0.8333333333333334
7,2018-12-01-17-saint-josephs,59.3,16,5.4,2,94.6,83.3,30,0.441,68,0.397,27,0.265,18,0.9440000000000001,17,1,200,104.1,26.5,9,18,77,,6.8,5,0.397,27,0.222,6,55.7,39,0.503,9.5,8,41,0.512,21,0.875,7,"December 1, 2018",37.5,9,7.3,3,104.1,73.5,25,0.451,61,0.39299999999999996,24,0.377,23,0.652,15,4,200,94.6,16.7,6,15,70,,5.4,4,0.39299999999999996,24,0.292,7,44.3,31,0.48700000000000004,9.0,7,37,0.45899999999999996,17,0.5,4,"Hagan Arena, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,74.2,Away,TEMPLE,Temple,Temple,aac,7,False,False,False,Away,True,6,21,68,39,70,7,17,61,1,0,50,146,438,0.5045662100456622,217,418,0.5191387559808612,55,113,367,0.5326975476839237,0.8571428571428571
8,2018-12-05-20-villanova,30.4,7,0.0,0,115.0,66.7,20,0.49,51,0.451,23,0.235,12,0.75,9,2,200,98.3,17.2,5,20,59,,6.7,4,0.275,14,0.28600000000000003,4,42.4,25,0.52,13.8,9,37,0.514,19,0.778,7,"December 5, 2018",52.4,11,2.7,1,98.3,82.8,24,0.47100000000000003,52,0.40399999999999997,21,0.48100000000000004,25,0.8,20,2,200,115.0,33.3,10,12,69,21.0,5.0,3,0.40399999999999997,21,0.33299999999999996,7,57.6,34,0.54,8.7,6,31,0.452,14,0.778,7,"Finneran Pavilion, Villanova, Pennsylvania",TEMPLE,Temple,60.3,Home,VILLANOVA,Villanova,Temple,aac,8,False,False,False,Away,False,4,19,51,25,59,7,14,52,0,1,56,167,506,0.49604743083003955,256,488,0.5245901639344263,62,130,428,0.5210280373831776,0.875
9,2018-12-12-19-temple,40.0,10,2.3,1,89.0,76.3,29,0.466,59,0.424,25,0.16899999999999998,10,0.8,8,5,200,86.3,27.6,8,17,63,,4.1,3,0.40700000000000003,24,0.20800000000000002,5,55.2,37,0.494,21.1,17,35,0.5710000000000001,20,0.545,6,"December 12, 2018",30.4,7,8.6,3,86.3,72.4,21,0.39299999999999996,61,0.377,23,0.344,21,0.81,17,2,200,89.0,23.7,9,16,65,,15.1,11,0.295,18,0.111,2,44.8,30,0.45799999999999996,13.5,11,43,0.488,21,0.8,8,"Liacouras Center, Philadelphia, Pennsylvania",MASSACHUSETTS,UMass,72.9,Home,TEMPLE,Temple,Temple,aac,9,True,False,True,Home,True,2,21,61,30,67,5,20,59,1,0,60,186,557,0.4955116696588869,281,547,0.5137111517367459,69,144,480,0.515625,0.7777777777777778
