,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TEXAS_homegame,TEXAS_homegame2,TEXAS_home,TEXAS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-texas,25.0,5,14.8,4,98.6,78.6,22,0.41100000000000003,56,0.35700000000000004,20,0.321,18,0.722,13,1,200,81.9,25.0,9,15,59,,12.5,9,0.41100000000000003,23,0.261,6,48.4,31,0.457,21.0,17,33,0.424,14,0.0,0,"November 6, 2018",76.9,20,6.1,2,81.9,75.0,27,0.5770000000000001,52,0.5,26,0.385,20,0.55,11,0,200,98.6,21.4,6,17,71,,9.7,7,0.48100000000000004,25,0.32,8,51.6,33,0.5770000000000001,20.8,16,27,0.667,18,1.0,1,"Frank Erwin Center, Austin, Texas",EASTERN-ILLINOIS,Eastern Illinois,72.0,Home,TEXAS,Texas,Texas,big-12,0,True,False,True,Home,True,8,18,52,33,64,6,14,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-texas,32.0,8,13.9,5,90.1,68.9,31,0.475,61,0.41,25,0.39299999999999996,24,0.542,13,1,225,87.7,25.0,10,23,71,,7.4,6,0.361,22,0.364,8,48.2,41,0.49,20.1,18,39,0.436,17,0.0,0,"November 9, 2018",47.6,10,12.8,5,87.7,75.0,30,0.38799999999999996,67,0.313,21,0.44799999999999995,30,0.7,21,0,225,90.1,31.1,14,25,73,,9.9,8,0.46299999999999997,31,0.32299999999999995,10,51.8,44,0.449,14.9,14,36,0.306,11,1.0,2,"Fort Bliss, El Paso, Texas",ARKANSAS,Arkansas,71.8,Home,TEXAS,Texas,Texas,big-12,1,True,False,True,Home,True,10,11,67,44,85,8,17,61,1,0,8,18,52,0.5769230769230769,33,64,0.515625,6,14,56,0.4107142857142857,1.0
2,2018-11-12-20-texas,22.7,5,2.7,1,94.2,74.3,26,0.42100000000000004,57,0.386,22,0.21100000000000002,12,0.583,7,1,200,79.7,18.8,6,13,55,,5.8,4,0.281,16,0.25,4,47.8,32,0.439,18.4,14,41,0.439,18,0.667,2,"November 12, 2018",46.2,12,12.2,5,79.7,81.3,26,0.46799999999999997,62,0.419,26,0.177,11,0.636,7,0,200,94.2,25.7,9,13,65,,11.6,8,0.40299999999999997,25,0.24,6,52.2,35,0.483,11.9,9,37,0.541,20,1.0,3,"Frank Erwin Center, Austin, Texas",LOUISIANA-MONROE,Louisiana-Monroe,69.0,Home,TEXAS,Texas,Texas,big-12,2,True,False,True,Home,True,6,20,62,35,67,4,18,57,1,0,18,29,119,0.47058823529411764,77,149,0.5167785234899329,14,31,117,0.4444444444444444,1.0
3,2018-11-16-20-texas,34.6,9,5.1,2,119.8,50.0,21,0.49200000000000005,62,0.419,26,0.21,13,0.615,8,2,200,85.2,17.6,6,22,69,,1.2,1,0.516,32,0.281,9,35.5,27,0.506,22.8,20,30,0.5670000000000001,17,0.5,2,"November 16, 2018",54.5,18,16.7,5,85.2,82.4,28,0.48100000000000004,81,0.40700000000000003,33,0.34600000000000003,28,0.679,19,0,200,119.8,50.0,21,13,97,,16.0,13,0.519,42,0.28600000000000003,12,64.5,49,0.514,7.0,7,39,0.5379999999999999,21,1.0,4,"Frank Erwin Center, Austin, Texas",CITADEL,Citadel,81.2,Home,TEXAS,Texas,Texas,big-12,3,True,False,True,Home,True,12,21,81,49,76,9,17,62,1,0,24,49,181,0.4696132596685083,112,216,0.5185185185185185,18,49,174,0.4367816091954023,1.0
4,2018-11-22-19-north-carolina,48.4,15,12.2,5,111.3,60.0,21,0.619,59,0.525,31,0.49200000000000005,29,0.655,19,0,200,115.0,26.5,9,18,92,,7.5,6,0.40700000000000003,24,0.45799999999999996,11,43.5,30,0.632,15.3,13,35,0.5710000000000001,20,1.0,5,"November 22, 2018",41.9,13,5.7,2,115.0,73.5,25,0.521,70,0.44299999999999995,31,0.3,21,0.762,16,1,200,111.3,40.0,14,23,89,7.0,5.0,4,0.414,29,0.379,11,56.5,39,0.556,17.7,17,41,0.488,20,0.833,5,"Orleans Arena, Paradise, Nevada",NORTH-CAROLINA,UNC,79.9,Away,TEXAS,Texas,Texas,big-12,4,False,False,False,Away,True,11,20,59,30,69,11,20,70,1,0,36,70,262,0.4732824427480916,161,292,0.5513698630136986,27,66,236,0.451271186440678,1.0
5,2018-11-23-18-michigan-state,50.0,11,19.4,6,106.8,56.5,13,0.414,64,0.344,22,0.297,19,0.789,15,1,200,93.2,20.6,7,19,68,,16.4,12,0.531,34,0.265,9,35.1,20,0.466,10.0,8,30,0.433,13,0.833,5,"November 23, 2018",65.4,17,10.0,3,93.2,79.4,27,0.627,51,0.51,26,0.353,18,0.778,14,1,200,106.8,43.5,10,18,78,11.0,5.5,4,0.392,20,0.6,12,64.9,37,0.655,27.2,22,31,0.452,14,0.833,5,"Orleans Arena, Paradise, Nevada",TEXAS,Texas,72.8,Home,MICHIGAN-STATE,Michigan State,Texas,big-12,5,False,False,False,Away,False,9,13,64,20,57,12,14,51,0,1,47,90,321,0.5,191,361,0.5290858725761773,38,86,306,0.4673202614379085,1.0
6,2018-11-30-19-texas,41.7,10,5.6,2,84.3,70.5,31,0.415,65,0.369,24,0.231,15,0.5329999999999999,8,1,200,88.6,27.5,11,18,62,,5.7,4,0.32299999999999995,21,0.28600000000000003,6,50.0,42,0.43,10.1,8,44,0.409,18,0.857,6,"November 30, 2018",50.0,11,13.6,6,88.6,72.5,29,0.389,63,0.349,22,0.317,20,0.5,10,2,200,84.3,29.5,13,17,59,17.0,4.3,3,0.429,27,0.185,5,50.0,42,0.40700000000000003,14.3,12,36,0.47200000000000003,17,0.7140000000000001,5,"Frank Erwin Center, Austin, Texas",TEXAS,Texas,70.3,Away,RADFORD,Radford,Texas,big-12,6,False,True,True,Home,False,5,17,63,42,84,6,18,65,0,1,56,103,385,0.4857142857142857,211,418,0.5047846889952153,50,100,357,0.49019607843137253,0.8333333333333334
7,2018-12-05-20-texas,37.5,6,16.7,6,80.3,73.1,19,0.33299999999999996,57,0.281,16,0.368,21,0.762,16,2,200,81.8,38.1,16,17,54,,10.6,7,0.439,25,0.24,6,51.5,35,0.40299999999999997,17.4,14,32,0.313,10,0.778,7,"December 5, 2018",54.5,12,12.5,4,81.8,61.9,26,0.45299999999999996,53,0.415,22,0.151,8,0.625,5,3,200,80.3,26.9,7,21,53,,7.6,5,0.321,17,0.235,4,48.5,33,0.467,23.1,17,36,0.5,18,0.625,5,"Frank Erwin Center, Austin, Texas",TEXAS,Texas,65.9,Away,VIRGINIA-COMMONWEALTH,VCU,Texas,big-12,7,False,True,True,Home,False,4,18,53,33,68,6,10,57,0,1,61,120,448,0.4720982142857143,253,502,0.5039840637450199,56,118,422,0.4786729857819905,0.7142857142857143
8,2018-12-09-18-texas,22.2,6,13.6,3,109.1,86.4,19,0.485,65,0.415,27,0.10800000000000001,7,0.7140000000000001,5,4,200,103.0,21.2,7,19,68,,9.1,6,0.49200000000000005,32,0.281,9,47.3,26,0.498,8.1,6,33,0.545,18,0.6,6,"December 9, 2018",73.9,17,21.2,7,103.0,78.8,26,0.606,47,0.489,23,0.34,16,0.938,15,3,200,109.1,13.6,3,11,72,,1.5,1,0.532,25,0.44,11,52.7,29,0.659,20.6,14,22,0.545,12,0.667,6,"Frank Erwin Center, Austin, Texas",PURDUE,Purdue,66.5,Home,TEXAS,Texas,Texas,big-12,8,True,False,True,Home,True,11,12,47,29,55,9,18,65,1,0,65,138,501,0.47005988023952094,286,570,0.5017543859649123,62,128,479,0.4613778705636743,0.625
9,2018-12-15-18-texas,54.5,12,9.1,3,136.1,65.2,15,0.426,61,0.361,22,0.18,11,0.727,8,5,200,83.3,11.1,4,11,60,,2.8,2,0.44299999999999995,27,0.29600000000000004,8,32.2,19,0.45299999999999996,14.3,11,34,0.41200000000000003,14,0.5,5,"December 15, 2018",59.5,22,14.7,5,83.3,88.9,32,0.7140000000000001,63,0.5870000000000001,37,0.175,11,0.727,8,3,200,136.1,34.8,8,14,98,,6.9,5,0.47600000000000003,30,0.5329999999999999,16,67.8,40,0.718,14.0,11,33,0.636,21,0.7,7,"Frank Erwin Center, Austin, Texas",GRAND-CANYON,Grand Canyon,72.2,Home,TEXAS,Texas,Texas,big-12,9,True,False,True,Home,True,16,21,63,40,59,8,14,61,1,0,76,150,548,0.48175182481751827,315,625,0.504,71,146,544,0.4641544117647059,0.6666666666666666
