,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WASHINGTON-STATE_homegame,WASHINGTON-STATE_homegame2,WASHINGTON-STATE_home,WASHINGTON-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-11-19-washington-state,70.8,17,9.3,4,115.6,70.3,26,0.485,66,0.364,24,0.152,10,0.8,8,2,200,93.5,31.4,11,19,72,,1.3,1,0.682,45,0.35600000000000004,16,51.4,37,0.509,20.4,18,21,0.381,8,0.33299999999999996,1,"November 11, 2018",74.3,26,14.3,3,93.5,68.6,24,0.557,70,0.5,35,0.271,19,0.579,11,0,200,115.6,29.7,11,13,89,,11.7,9,0.386,27,0.29600000000000004,8,48.6,35,0.563,9.3,8,43,0.628,27,1.0,1,"Beasley Coliseum, Pullman, Washington",NICHOLLS-STATE,Nicholls State,76.9,Home,WASHINGTON-STATE,Washington State,Washington State,pac-12,0,True,False,True,Home,True,8,27,70,35,72,16,8,66,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-14-22-seattle,38.1,8,5.6,2,101.3,75.9,22,0.33799999999999997,71,0.29600000000000004,21,0.33799999999999997,24,0.875,21,1,200,89.6,36.0,18,21,69,,7.8,6,0.33799999999999997,24,0.25,6,50.6,40,0.419,14.7,14,47,0.319,15,0.5,1,"November 14, 2018",39.3,11,14.9,7,89.6,64.0,32,0.555,55,0.509,28,0.418,23,0.7390000000000001,17,1,200,101.3,24.1,7,22,78,,7.8,6,0.345,19,0.263,5,49.4,39,0.5920000000000001,20.7,17,36,0.639,23,0.75,3,"ShoWare Center, Kent, Washington",WASHINGTON-STATE,Washington State,77.2,Home,SEATTLE,Seattle,Washington State,pac-12,1,False,False,False,Away,False,6,15,71,40,79,5,23,55,0,1,8,27,70,0.5571428571428572,35,72,0.4861111111111111,16,8,66,0.48484848484848486,1.0
2,2018-11-19-21-washington-state,50.0,14,2.6,1,118.3,62.5,20,0.524,62,0.452,28,0.113,7,0.7140000000000001,5,2,200,98.6,31.3,10,13,70,,7.0,5,0.484,30,0.3,9,46.9,30,0.536,19.7,16,32,0.594,19,0.33299999999999996,1,"November 19, 2018",75.8,25,3.1,1,98.6,68.8,22,0.575,67,0.493,33,0.179,12,0.583,7,1,200,118.3,37.5,12,13,84,,9.9,7,0.433,29,0.379,11,53.1,34,0.578,12.2,10,38,0.579,22,0.667,2,"Beasley Coliseum, Pullman, Washington",CAL-POLY,Cal Poly,71.0,Home,WASHINGTON-STATE,Washington State,Washington State,pac-12,2,True,False,True,Home,True,11,22,67,34,64,9,19,62,1,0,14,42,141,0.44680851063829785,75,151,0.4966887417218543,21,31,121,0.5165289256198347,0.5
3,2018-11-24-22-washington-state,52.4,11,3.3,1,106.7,73.0,27,0.327,75,0.28,21,0.08,6,0.5,3,5,200,69.3,25.0,12,23,52,,6.7,5,0.4,30,0.233,7,45.9,39,0.33399999999999996,11.4,10,45,0.311,14,0.16699999999999998,1,"November 24, 2018",55.6,15,15.6,7,69.3,75.0,36,0.542,60,0.45,27,0.4,24,0.625,15,1,200,106.7,27.0,10,12,80,,6.7,5,0.5,30,0.36700000000000005,11,54.1,46,0.56,15.6,13,30,0.5329999999999999,16,0.75,3,"Beasley Coliseum, Pullman, Washington",DELAWARE-STATE,Delaware State,75.1,Home,WASHINGTON-STATE,Washington State,Washington State,pac-12,3,True,False,True,Home,True,11,16,60,46,85,7,14,75,1,0,25,64,208,0.4879807692307692,109,215,0.5069767441860465,30,50,183,0.5191256830601093,0.6666666666666666
4,2018-11-27-23-washington-state,48.7,19,14.7,5,119.8,78.1,25,0.5379999999999999,79,0.494,39,0.165,13,0.6920000000000001,9,4,200,109.3,28.9,11,18,94,,8.1,7,0.316,25,0.28,7,51.4,36,0.552,13.3,13,54,0.593,32,0.2,1,"November 27, 2018",75.0,27,7.4,4,109.3,71.1,27,0.621,70,0.514,36,0.28600000000000003,20,0.8,16,1,200,119.8,21.9,7,15,103,,5.8,5,0.514,36,0.41700000000000004,15,48.6,34,0.648,14.2,13,34,0.618,21,0.8,4,"Beasley Coliseum, Pullman, Washington",CAL-STATE-NORTHRIDGE,Cal State Northridge,86.3,Home,WASHINGTON-STATE,Washington State,Washington State,pac-12,4,True,False,True,Home,True,15,21,70,34,70,7,32,79,1,0,36,80,268,0.5,155,300,0.5166666666666667,37,64,258,0.4631782945736434,0.75
5,2018-12-01-21-new-mexico-state,23.1,6,4.2,1,103.0,69.4,25,0.565,54,0.48100000000000004,26,0.13,7,0.28600000000000003,2,2,200,94.0,28.6,8,18,63,,3.0,2,0.5,27,0.33299999999999996,9,51.6,33,0.5489999999999999,24.0,18,27,0.63,17,0.667,4,"December 1, 2018",66.7,14,0.0,0,94.0,71.4,20,0.457,58,0.36200000000000004,21,0.36200000000000004,21,0.762,16,1,200,103.0,30.6,11,14,69,,10.4,7,0.586,34,0.324,11,48.4,31,0.508,11.8,9,24,0.41700000000000004,10,0.857,6,"Pan American Center, Las Cruces, New Mexico",WASHINGTON-STATE,Washington State,66.7,Home,NEW-MEXICO-STATE,New Mexico State,Washington State,pac-12,5,False,False,False,Away,False,9,17,54,33,64,11,10,58,0,1,51,101,338,0.5251479289940828,189,370,0.5108108108108108,44,96,337,0.4807121661721068,0.8
6,2018-12-05-21-washington-state,25.0,7,3.3,1,126.8,77.8,28,0.49200000000000005,63,0.444,28,0.23800000000000002,15,0.5329999999999999,8,5,200,98.6,31.4,11,16,70,,2.8,2,0.33299999999999996,21,0.28600000000000003,6,54.9,39,0.499,13.6,11,42,0.524,22,0.375,3,"December 5, 2018",54.8,17,11.9,5,98.6,68.6,24,0.5770000000000001,65,0.47700000000000004,31,0.33799999999999997,22,0.682,15,2,200,126.8,22.2,8,17,90,,5.6,4,0.5379999999999999,35,0.371,13,45.1,32,0.596,5.1,4,30,0.6,18,0.7140000000000001,5,"Beasley Coliseum, Pullman, Washington",IDAHO,Idaho,70.8,Home,WASHINGTON-STATE,Washington State,Washington State,pac-12,6,True,False,True,Home,True,13,18,65,32,71,6,22,63,1,0,60,118,392,0.5306122448979592,222,434,0.511520737327189,55,106,395,0.4772151898734177,0.6666666666666666
7,2018-12-09-19-washington-state,67.7,21,2.9,1,111.1,82.9,29,0.639,61,0.508,31,0.377,23,0.7390000000000001,17,6,200,117.3,17.2,5,18,95,,6.2,5,0.525,32,0.5,16,53.1,34,0.66,16.4,14,29,0.517,15,0.33299999999999996,3,"December 9, 2018",66.7,22,3.4,1,117.3,82.8,24,0.598,66,0.5,33,0.273,18,0.611,11,3,200,111.1,17.1,6,21,90,,7.4,6,0.485,32,0.406,13,46.9,30,0.604,14.0,12,34,0.588,20,0.625,5,"Toyota Center, Kennewick, Washington",WASHINGTON-STATE,Washington State,80.7,Away,MONTANA-STATE,Montana State,Washington State,pac-12,7,False,True,True,Home,False,13,20,66,30,64,16,15,61,0,1,73,136,457,0.537199124726477,254,505,0.502970297029703,61,128,458,0.47925764192139736,0.7142857142857143
8,2018-12-17-22-washington-state,40.7,11,0.0,0,109.3,85.2,23,0.45799999999999996,72,0.375,27,0.33299999999999996,24,0.583,14,4,200,93.0,22.7,10,33,80,,10.5,9,0.486,35,0.34299999999999997,12,46.5,33,0.48,15.4,15,37,0.405,15,0.5,4,"December 17, 2018",62.5,15,5.4,2,93.0,77.3,34,0.598,46,0.522,24,1.109,51,0.765,39,3,200,109.3,14.8,4,22,94,,7.0,6,0.435,20,0.35,7,53.5,38,0.669,20.8,18,26,0.654,17,0.667,6,"Beasley Coliseum, Pullman, Washington",RIDER,Rider,86.3,Home,WASHINGTON-STATE,Washington State,Washington State,pac-12,8,True,False,True,Home,True,7,17,46,38,71,12,15,72,1,0,86,156,523,0.5449330783938815,284,569,0.4991212653778559,77,143,519,0.4980732177263969,0.625
9,2018-12-19-22-washington-state,44.8,13,0.0,0,111.3,77.8,21,0.515,65,0.446,29,0.262,17,0.353,6,7,200,91.3,21.1,8,29,73,,8.8,7,0.431,28,0.321,9,44.6,29,0.499,18.1,16,37,0.541,20,0.222,2,"December 19, 2018",40.7,11,13.5,5,91.3,78.9,30,0.575,53,0.509,27,0.623,33,0.848,28,3,200,111.3,22.2,6,14,89,,6.3,5,0.45299999999999996,24,0.292,7,55.4,36,0.648,19.2,16,29,0.69,20,0.7,7,"Beasley Coliseum, Pullman, Washington",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,79.9,Home,WASHINGTON-STATE,Washington State,Washington State,pac-12,9,True,False,True,Home,True,7,20,53,36,65,9,20,65,1,0,93,173,569,0.5492091388400703,322,640,0.503125,89,158,591,0.49323181049069376,0.6666666666666666
