,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WEBER-STATE_homegame,WEBER-STATE_homegame2,WEBER-STATE_home,WEBER-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-22-san-diego,33.3,9,8.3,4,116.9,64.7,22,0.49200000000000005,61,0.44299999999999995,27,0.131,8,0.75,6,1,200,93.0,21.2,7,18,66,,2.8,2,0.344,21,0.28600000000000003,6,43.3,29,0.509,18.9,15,40,0.525,21,0.0,0,"November 6, 2018",59.4,19,2.5,1,93.0,78.8,26,0.546,65,0.49200000000000005,32,0.27699999999999997,18,0.667,12,0,200,116.9,35.3,12,12,83,,11.3,8,0.262,17,0.41200000000000003,7,56.7,38,0.564,9.9,8,48,0.521,25,1.0,1,"Jenny Craig Pavillion, San Diego, California",WEBER-STATE,Weber State,71.2,Home,SAN-DIEGO,San Diego,Weber State,big-sky,0,False,False,False,Away,False,6,21,61,29,67,7,25,65,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-21-weber-state,37.5,6,4.1,2,150.0,57.6,19,0.297,64,0.25,16,0.375,24,0.625,15,0,200,64.6,24.5,12,23,53,,4.9,4,0.406,26,0.231,6,37.8,31,0.35100000000000003,19.4,18,38,0.263,10,0.0,0,"November 9, 2018",62.8,27,10.5,4,64.6,75.5,37,0.6509999999999999,76,0.5660000000000001,43,0.368,28,0.857,24,1,200,150.0,42.4,14,22,123,,9.8,8,0.355,27,0.48100000000000004,13,62.2,51,0.6890000000000001,8.3,8,49,0.612,30,0.5,1,"Dee Events Center, Ogden, Utah","Bethesda University (CA)
			","Bethesda University (CA)
			",82.4,Home,WEBER-STATE,Weber State,Weber State,big-sky,1,True,False,True,Home,True,13,30,76,51,82,6,10,64,1,0,6,21,61,0.4918032786885246,29,67,0.43283582089552236,7,25,65,0.5461538461538461,0.0
2,2018-11-15-20-san-jose-state,33.3,10,6.1,3,91.7,67.4,31,0.54,62,0.484,30,0.46799999999999997,29,0.621,18,1,200,101.2,22.9,8,24,85,,7.1,6,0.355,22,0.318,7,48.1,39,0.561,18.5,17,40,0.575,23,0.667,2,"November 15, 2018",42.9,12,5.0,2,101.2,77.1,27,0.44299999999999995,70,0.4,28,0.386,27,0.556,15,2,200,91.7,32.6,15,27,77,,6.0,5,0.3,21,0.28600000000000003,6,51.9,42,0.465,15.5,15,49,0.449,22,0.33299999999999996,1,"Gateway Christian Academy, Bimini",SAN-JOSE-STATE,San Jose State,83.8,Away,WEBER-STATE,Weber State,Weber State,big-sky,2,False,False,False,Away,True,7,23,62,39,81,6,22,70,1,0,19,51,137,0.5802919708029197,80,149,0.5369127516778524,13,35,129,0.42248062015503873,0.5
3,2018-11-16-20-weber-state,32.1,9,14.9,7,101.3,76.9,20,0.47700000000000004,65,0.431,28,0.33799999999999997,22,0.636,14,1,200,98.7,25.6,10,18,76,,10.4,8,0.262,17,0.353,6,46.2,30,0.504,11.8,10,48,0.45799999999999996,22,0.75,3,"November 16, 2018",26.9,7,14.6,7,98.7,74.4,29,0.491,57,0.456,26,0.474,27,0.815,22,1,200,101.3,23.1,6,19,78,,6.5,5,0.175,10,0.4,4,53.8,35,0.5589999999999999,16.9,14,47,0.46799999999999997,22,0.75,3,"Gateway Christian Academy, Bimini",CENTRAL-MICHIGAN,Central Michigan,76.6,Home,WEBER-STATE,Weber State,Weber State,big-sky,3,True,False,True,Home,True,4,22,57,35,65,6,22,65,1,0,26,74,199,0.5678391959798995,119,230,0.5173913043478261,19,57,199,0.4296482412060301,0.6666666666666666
4,2018-11-18-20-cal-state-bakersfield,36.4,8,3.2,1,100.0,79.2,19,0.557,44,0.5,22,0.614,27,0.667,18,2,200,98.5,16.7,4,19,67,,10.3,7,0.318,14,0.35700000000000004,5,47.9,23,0.59,23.3,17,30,0.5670000000000001,17,0.6,3,"November 18, 2018",52.0,13,10.0,3,98.5,83.3,20,0.57,50,0.5,25,0.3,15,0.733,11,2,200,100.0,20.8,5,25,68,,8.8,6,0.38,19,0.368,7,52.1,25,0.595,20.9,15,31,0.581,18,0.6,3,"Gateway Christian Academy, Bimini",WEBER-STATE,Weber State,68.5,Home,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Weber State,big-sky,4,False,False,False,Away,False,5,17,44,23,48,7,18,50,0,1,30,96,256,0.55078125,154,295,0.5220338983050847,25,79,264,0.4412878787878788,0.75
5,2018-11-27-21-weber-state,47.8,11,2.3,1,125.0,65.6,21,0.366,71,0.324,23,0.19699999999999998,14,0.643,9,0,200,76.3,16.3,8,14,61,,7.5,6,0.239,17,0.353,6,35.8,29,0.39299999999999996,11.5,10,54,0.315,17,0.0,0,"November 27, 2018",51.4,19,7.4,4,76.3,83.7,41,0.629,70,0.529,37,0.243,17,0.706,12,2,200,125.0,34.4,11,17,100,,6.3,5,0.386,27,0.519,14,64.2,52,0.64,14.4,13,43,0.535,23,0.667,4,"Dee Events Center, Ogden, Utah","Benedictine
			","Benedictine
			",79.9,Home,WEBER-STATE,Weber State,Weber State,big-sky,5,True,False,True,Home,True,14,23,70,52,81,6,17,71,1,0,35,113,300,0.5516666666666666,177,343,0.5160349854227405,32,97,314,0.46178343949044587,0.6
6,2018-12-01-21-weber-state,34.1,14,4.4,2,129.9,75.0,27,0.63,69,0.594,41,0.348,24,0.667,16,4,200,118.4,13.3,4,26,103,,1.1,1,0.203,14,0.35700000000000004,5,47.0,31,0.6409999999999999,13.1,12,55,0.655,36,0.556,5,"December 1, 2018",43.2,16,7.3,4,118.4,86.7,26,0.607,70,0.529,37,0.5429999999999999,38,0.737,28,2,200,129.9,25.0,9,22,113,,9.2,8,0.35700000000000004,25,0.44,11,53.0,35,0.642,6.5,6,45,0.578,26,0.7140000000000001,5,"Dee Events Center, Ogden, Utah",BRIGHAM-YOUNG,BYU,86.7,Home,WEBER-STATE,Weber State,Weber State,big-sky,6,True,False,True,Home,True,11,26,70,35,66,5,36,69,1,0,49,136,370,0.5662162162162162,229,424,0.5400943396226415,38,114,385,0.44415584415584414,0.6666666666666666
7,2018-12-05-22-fresno-state,17.6,3,7.7,3,94.7,73.5,25,0.373,51,0.33299999999999996,17,0.451,23,0.609,14,3,200,69.3,12.5,5,20,52,,14.7,11,0.392,20,0.2,4,40.5,30,0.42,21.8,17,31,0.419,13,0.625,5,"December 5, 2018",48.1,13,6.5,2,69.3,87.5,35,0.5,61,0.44299999999999995,27,0.24600000000000002,15,0.667,10,2,200,94.7,26.5,9,19,71,,12.0,9,0.361,22,0.318,7,59.5,44,0.521,19.1,16,39,0.513,20,0.75,6,"Save Mart Center, Fresno, California",WEBER-STATE,Weber State,74.5,Home,FRESNO-STATE,Fresno State,Weber State,big-sky,7,False,False,False,Away,False,4,13,51,30,74,7,20,61,0,1,60,162,440,0.5727272727272728,264,490,0.5387755102040817,43,150,454,0.4724669603524229,0.7142857142857143
8,2018-12-08-16-utah-state,25.0,6,11.1,5,101.3,81.8,27,0.44299999999999995,61,0.39299999999999996,24,0.32799999999999996,20,0.65,13,4,200,89.3,10.3,4,19,67,,5.3,4,0.361,22,0.273,6,43.1,31,0.475,12.5,10,39,0.462,18,0.556,5,"December 8, 2018",64.3,18,7.7,3,89.3,89.7,35,0.517,60,0.467,28,0.36700000000000005,22,0.636,14,2,200,101.3,18.2,6,19,76,,10.7,8,0.25,15,0.4,6,56.9,41,0.539,12.6,10,45,0.489,22,0.8,8,"Vivint Smart Home Arena, Salt Lake City, Utah",WEBER-STATE,Weber State,75.5,Home,UTAH-STATE,Utah State,Weber State,big-sky,8,False,False,False,Away,False,6,18,61,31,72,6,22,60,0,1,64,175,491,0.5519348268839104,294,564,0.5212765957446809,50,170,515,0.47572815533980584,0.625
9,2018-12-15-21-weber-state,41.9,13,4.5,2,88.7,82.9,34,0.515,66,0.47,31,0.22699999999999998,15,0.467,7,4,200,105.6,23.7,9,19,75,,7.0,5,0.273,18,0.33299999999999996,6,54.4,43,0.513,8.8,7,48,0.521,25,0.667,8,"December 15, 2018",27.3,6,10.4,5,105.6,76.3,29,0.4,60,0.36700000000000005,22,0.38299999999999995,23,0.652,15,5,200,88.7,17.1,7,15,63,,5.6,4,0.267,16,0.25,4,45.6,36,0.444,7.9,6,44,0.409,18,0.5,5,"Dee Events Center, Ogden, Utah",WEBER-STATE,Weber State,70.5,Away,UTAH-VALLEY,Utah Valley,Weber State,big-sky,9,False,True,True,Home,False,4,18,60,36,79,6,25,66,0,1,70,193,552,0.5398550724637681,325,636,0.5110062893081762,56,192,575,0.48,0.5555555555555556
10,2018-12-22-16-weber-state,41.7,10,0.0,0,107.8,67.6,23,0.423,65,0.369,24,0.24600000000000002,16,0.875,14,9,200,89.6,24.3,9,23,69,,11.7,9,0.308,20,0.35,7,45.1,32,0.475,17.2,15,45,0.37799999999999995,17,0.25,3,"December 22, 2018",53.8,14,13.3,6,89.6,75.7,28,0.517,58,0.44799999999999995,26,0.466,27,0.852,23,5,200,107.8,32.4,11,15,83,,7.8,6,0.397,23,0.348,8,54.9,39,0.586,17.7,15,35,0.514,18,0.545,6,"Dee Events Center, Ogden, Utah",DELAWARE-STATE,Delaware State,76.7,Home,WEBER-STATE,Weber State,Weber State,big-sky,10,True,False,True,Home,True,8,18,58,39,71,7,17,65,1,0,74,211,612,0.5261437908496732,361,715,0.5048951048951049,62,217,641,0.4836193447737909,0.5
11,2018-12-29-17-eastern-washington,51.6,16,12.2,6,98.6,80.0,32,0.603,58,0.534,31,0.31,18,0.778,14,5,200,115.1,14.3,4,17,84,,4.1,3,0.259,15,0.5329999999999999,8,52.9,36,0.631,13.2,10,43,0.535,23,0.583,7,"December 29, 2018",50.0,13,14.0,6,115.1,85.7,24,0.433,67,0.38799999999999996,26,0.254,17,0.8240000000000001,14,10,200,98.6,20.0,8,17,72,,8.2,6,0.26899999999999996,18,0.33299999999999996,6,47.1,32,0.48,7.5,6,49,0.408,20,0.16699999999999998,2,"Reese Court, Cheney, Washington",EASTERN-WASHINGTON,Eastern Washington,72.8,Away,WEBER-STATE,Weber State,Weber State,big-sky,11,False,False,False,Away,True,8,23,58,36,68,6,20,67,1,0,82,229,670,0.5253731343283582,400,786,0.5089058524173028,69,234,706,0.4780453257790368,0.5454545454545454
