,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WILLIAM-MARY_homegame,WILLIAM-MARY_homegame2,WILLIAM-MARY_home,WILLIAM-MARY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-19-william-mary,26.9,7,6.7,2,111.3,74.2,23,0.483,60,0.433,26,0.317,19,0.579,11,1,200,97.2,30.6,11,20,69,,12.7,9,0.183,11,0.545,6,50.7,34,0.5,16.0,13,49,0.408,20,0.0,0,"November 7, 2018",51.9,14,14.3,7,97.2,69.4,25,0.573,55,0.491,27,0.418,23,0.696,16,0,200,111.3,25.8,8,19,79,,4.2,3,0.455,25,0.36,9,49.3,33,0.599,17.7,14,30,0.6,18,1.0,1,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",HIGH-POINT,High Point,71.5,Home,WILLIAM-MARY,William & Mary,William & Mary,colonial,0,True,False,True,Home,True,9,18,55,33,67,6,20,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-17-duquesne,53.8,14,8.6,3,121.7,75.9,22,0.526,57,0.456,26,0.316,18,0.556,10,1,200,101.4,32.4,11,15,70,,4.3,3,0.35100000000000003,20,0.4,8,52.4,33,0.534,19.8,16,37,0.486,18,0.5,1,"November 10, 2018",59.4,19,5.4,2,101.4,67.6,23,0.623,61,0.525,32,0.213,13,0.615,8,0,200,121.7,24.1,7,16,84,,15.9,11,0.426,26,0.462,12,47.6,30,0.625,9.5,7,35,0.5710000000000001,20,1.0,1,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",WILLIAM-MARY,William & Mary,68.9,Home,DUQUESNE,Duquesne,William & Mary,colonial,1,False,False,False,Away,False,8,18,57,33,63,12,20,61,0,1,9,18,55,0.5727272727272728,33,67,0.4925373134328358,6,20,60,0.48333333333333334,1.0
2,2018-11-15-20-illinois-chicago,57.6,19,8.6,3,122.0,82.1,23,0.5870000000000001,69,0.478,33,0.261,18,0.778,14,2,225,115.9,27.3,9,19,95,,6.1,5,0.493,34,0.441,15,52.5,32,0.613,16.3,15,35,0.514,18,0.33299999999999996,1,"November 15, 2018",44.4,16,14.3,5,115.9,72.7,24,0.664,64,0.563,36,0.281,18,0.833,15,3,225,122.0,17.9,5,22,100,,11.0,9,0.45299999999999996,29,0.44799999999999995,13,47.5,29,0.6890000000000001,14.3,12,35,0.657,23,0.25,1,"UIC Pavilion, Chicago, Illinois",WILLIAM-MARY,William & Mary,72.5,Home,ILLINOIS-CHICAGO,UIC,William & Mary,colonial,2,False,False,False,Away,False,15,18,69,32,61,13,23,64,0,1,17,36,112,0.5491071428571429,66,130,0.5076923076923077,18,40,121,0.5537190082644629,0.5
3,2018-11-17-12-notre-dame,72.7,16,2.3,1,107.4,65.8,25,0.552,48,0.45799999999999996,22,0.271,13,0.846,11,3,200,94.1,7.7,2,20,64,,7.4,5,0.542,26,0.34600000000000003,9,42.2,27,0.591,22.9,16,22,0.591,13,0.25,1,"November 17, 2018",38.5,10,13.6,3,94.1,92.3,24,0.452,63,0.413,26,0.365,23,0.696,16,1,200,107.4,34.2,13,13,73,,14.7,10,0.317,20,0.25,5,57.8,37,0.494,8.7,7,43,0.488,21,0.75,3,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",WILLIAM-MARY,William & Mary,68.1,Home,NOTRE-DAME,Notre Dame,William & Mary,colonial,3,False,False,False,Away,False,9,13,48,27,64,5,21,63,0,1,32,54,181,0.56353591160221,98,191,0.5130890052356021,31,63,185,0.5918918918918918,0.3333333333333333
4,2018-11-20-19-william-mary,40.6,13,11.1,4,105.9,73.1,19,0.627,55,0.5820000000000001,32,0.273,15,0.8,12,1,200,119.1,32.0,8,15,81,,8.8,6,0.255,14,0.35700000000000004,5,52.9,27,0.652,15.2,11,41,0.659,27,0.8,4,"November 20, 2018",66.7,18,4.9,2,119.1,68.0,17,0.527,56,0.48200000000000004,27,0.268,15,0.867,13,4,200,105.9,26.9,7,14,72,,5.9,4,0.35700000000000004,20,0.25,5,47.1,24,0.57,18.3,14,36,0.611,22,0.2,1,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",WILLIAM-MARY,William & Mary,67.6,Away,RADFORD,Radford,William & Mary,colonial,4,False,True,True,Home,False,5,22,56,24,51,5,27,55,0,1,41,67,229,0.5611353711790393,125,255,0.49019607843137253,36,84,248,0.5564516129032258,0.25
5,2018-11-24-16-william-mary,55.6,15,0.0,0,117.6,83.3,25,0.561,57,0.474,27,0.491,28,0.75,21,3,200,114.9,15.6,5,16,85,,12.2,9,0.439,25,0.4,10,48.4,30,0.605,11.5,9,32,0.531,17,0.5,3,"November 24, 2018",68.8,22,9.4,3,114.9,84.4,27,0.67,56,0.5710000000000001,32,0.35700000000000004,20,0.6,12,4,200,117.6,16.7,5,20,87,,8.1,6,0.429,24,0.45799999999999996,11,51.6,32,0.664,17.8,14,32,0.6559999999999999,21,0.33299999999999996,2,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",SAINT-JOSEPHS,St. Joseph's,74.4,Home,WILLIAM-MARY,William & Mary,William & Mary,colonial,5,True,False,True,Home,True,11,21,56,32,62,10,17,57,1,0,46,89,285,0.5543859649122806,149,306,0.4869281045751634,41,111,303,0.5693069306930693,0.2
6,2018-11-28-19-marshall,50.0,12,5.0,2,115.1,76.7,23,0.51,52,0.462,24,0.34600000000000003,18,0.611,11,5,200,87.7,20.7,6,16,64,,6.8,5,0.40399999999999997,21,0.23800000000000002,5,49.2,29,0.528,24.1,19,31,0.613,19,0.28600000000000003,2,"November 28, 2018",36.7,11,12.9,4,87.7,79.3,23,0.54,62,0.484,30,0.32299999999999995,20,0.85,17,1,200,115.1,23.3,7,18,84,,13.7,10,0.355,22,0.318,7,50.8,30,0.5870000000000001,10.2,8,40,0.575,23,0.833,5,"Henderson Center, Huntington, West Virginia",WILLIAM-MARY,William & Mary,73.0,Home,MARSHALL,Marshall,William & Mary,colonial,6,False,False,False,Away,False,5,19,52,29,59,7,23,62,0,1,57,110,341,0.5733137829912024,181,368,0.49184782608695654,51,128,360,0.5680555555555555,0.3333333333333333
7,2018-12-01-16-william-mary,61.1,22,3.8,1,121.7,76.7,23,0.672,61,0.59,36,0.131,8,0.625,5,5,200,126.1,24.0,6,14,87,,7.2,5,0.39299999999999996,24,0.41700000000000004,10,52.7,29,0.6709999999999999,14.6,11,37,0.703,26,0.444,4,"December 1, 2018",75.0,21,8.1,3,126.1,76.0,19,0.607,56,0.5,28,0.35700000000000004,20,0.8,16,6,200,121.7,23.3,7,14,84,,4.3,3,0.536,30,0.4,12,47.3,26,0.6409999999999999,13.4,10,26,0.615,16,0.25,2,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",WILLIAM-MARY,William & Mary,69.2,Away,GEORGE-MASON,George Mason,William & Mary,colonial,7,False,True,True,Home,False,12,16,56,26,55,10,26,61,0,1,62,129,393,0.5648854961832062,210,427,0.4918032786885246,58,151,422,0.5639810426540285,0.2857142857142857
8,2018-12-05-19-old-dominion,52.4,11,0.0,0,104.4,80.8,21,0.392,60,0.35,21,0.217,13,0.462,6,7,200,77.9,20.5,8,11,53,,5.9,4,0.433,26,0.192,5,44.6,29,0.4,12.0,9,34,0.47100000000000003,16,0.222,2,"December 5, 2018",59.3,16,11.8,4,77.9,79.5,31,0.593,54,0.5,27,0.16699999999999998,9,0.778,7,3,200,104.4,19.2,5,17,71,,5.9,4,0.426,23,0.435,10,55.4,36,0.609,20.6,15,31,0.5479999999999999,17,0.667,6,"Ted Constant Convocation Ctr., Norfolk, Virginia",WILLIAM-MARY,William & Mary,67.7,Home,OLD-DOMINION,Old Dominion,William & Mary,colonial,8,False,False,False,Away,False,5,16,60,29,65,10,17,54,0,1,74,145,449,0.5701559020044543,236,482,0.4896265560165975,68,177,483,0.577639751552795,0.25
9,2018-12-08-16-hampton,63.0,17,12.5,6,97.3,76.9,30,0.508,61,0.44299999999999995,27,0.344,21,0.667,14,7,200,104.1,20.6,7,18,76,,4.1,3,0.44299999999999995,27,0.29600000000000004,8,50.7,37,0.535,12.5,10,34,0.5589999999999999,19,0.3,3,"December 8, 2018",58.3,14,11.8,4,104.1,79.4,27,0.409,66,0.364,24,0.318,21,0.81,17,7,200,97.3,23.1,9,20,71,,11.0,8,0.273,18,0.33299999999999996,6,49.3,36,0.467,7.4,6,48,0.375,18,0.3,3,"Hampton Convocation Center, Hampton, Virginia",HAMPTON,Hampton,73.5,Away,WILLIAM-MARY,William & Mary,William & Mary,colonial,9,False,False,False,Away,True,8,19,61,37,73,6,18,66,1,0,79,161,509,0.5491159135559921,265,547,0.4844606946983547,78,194,537,0.5791433891992551,0.2222222222222222
10,2018-12-16-16-william-mary,60.7,17,0.0,0,130.9,66.7,24,0.507,70,0.4,28,0.314,22,0.818,18,0,200,109.9,23.8,10,27,89,,7.4,6,0.457,32,0.469,15,43.6,34,0.5529999999999999,12.1,11,38,0.342,13,0.0,0,"December 16, 2018",66.7,24,36.8,14,109.9,76.2,32,0.591,66,0.545,36,0.621,41,0.6829999999999999,28,7,200,130.9,33.3,12,19,106,,9.9,8,0.409,27,0.222,6,56.4,44,0.62,8.7,8,39,0.769,30,0.364,4,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia","William Peace
			","William Peace
			",81.5,Home,WILLIAM-MARY,William & Mary,William & Mary,colonial,10,True,False,True,Home,True,6,30,66,44,78,15,13,70,1,0,87,180,570,0.5447368421052632,302,620,0.4870967741935484,84,212,603,0.560530679933665,0.3
11,2018-12-22-14-virginia,18.8,3,8.1,3,124.1,66.7,16,0.34700000000000003,49,0.327,16,0.327,16,0.375,6,8,200,69.0,15.0,6,17,40,,6.9,4,0.408,20,0.1,2,34.4,22,0.353,11.1,7,29,0.483,14,0.33299999999999996,4,"December 22, 2018",50.0,12,3.4,1,69.0,85.0,34,0.53,50,0.48,24,0.42,21,0.905,19,0,200,124.1,33.3,8,17,72,5.0,6.9,4,0.26,13,0.385,5,65.6,42,0.6,10.6,7,37,0.514,19,1.0,11,"John Paul Jones Arena, Charlottesville, Virginia",WILLIAM-MARY,William & Mary,58.3,Home,VIRGINIA,Virginia,William & Mary,colonial,11,False,False,False,Away,False,2,14,49,22,64,5,19,50,0,1,93,210,636,0.5495283018867925,346,698,0.49570200573065903,99,225,673,0.5549777117384844,0.36363636363636365
12,2018-12-28-19-william-mary,64.0,16,13.9,5,111.3,82.4,28,0.527,55,0.455,25,0.345,19,0.8420000000000001,16,7,200,104.2,13.8,4,14,74,,7.0,5,0.345,19,0.42100000000000004,8,50.8,32,0.578,15.9,12,36,0.47200000000000003,17,0.5,7,"December 28, 2018",73.3,22,19.4,7,104.2,86.2,25,0.59,61,0.49200000000000005,30,0.24600000000000002,15,0.467,7,8,200,111.3,17.6,6,14,79,,7.0,5,0.41,25,0.48,12,49.2,31,0.58,10.6,8,36,0.5,18,0.385,5,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",JAMES-MADISON,James Madison,71.1,Home,WILLIAM-MARY,William & Mary,William & Mary,colonial,12,True,False,True,Home,True,12,18,61,31,63,8,17,55,1,0,95,224,685,0.535036496350365,368,762,0.48293963254593175,104,244,723,0.5532503457814661,0.3333333333333333
