,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,YALE_homegame,YALE_homegame2,YALE_home,YALE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-23-california,56.0,14,9.8,4,77.6,81.1,30,0.5670000000000001,52,0.48100000000000004,25,0.48100000000000004,25,0.68,17,0,200,100.0,22.2,6,29,76,,9.2,7,0.40399999999999997,21,0.429,9,56.3,36,0.595,23.2,19,31,0.516,16,1.0,1,"November 9, 2018",33.3,6,3.2,1,100.0,77.8,21,0.373,51,0.353,18,0.627,32,0.6559999999999999,21,1,200,77.6,18.9,7,17,59,,7.9,6,0.196,10,0.2,2,43.8,28,0.446,19.7,16,41,0.39,16,0.0,0,"Baoshan Sports Center, Shanghai",CALIFORNIA,California,76.0,Away,YALE,Yale,Yale,ivy,0,False,False,False,Away,True,9,16,52,36,64,2,16,51,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-17-20-memphis,41.2,14,6.1,3,109.0,65.1,28,0.5710000000000001,70,0.486,34,0.414,29,0.759,22,1,250,102.0,20.6,7,40,102,,8.0,8,0.414,29,0.414,12,45.5,35,0.609,22.5,24,41,0.537,22,0.5,1,"November 17, 2018",45.5,15,9.8,4,102.0,79.4,27,0.5,72,0.45799999999999996,33,0.778,56,0.6609999999999999,37,1,250,109.0,34.9,15,22,109,,12.0,12,0.319,23,0.261,6,54.5,42,0.5529999999999999,14.2,16,49,0.551,27,0.667,2,"FedExForum, Memphis, Tennessee",YALE,Yale,80.2,Home,MEMPHIS,Memphis,Yale,ivy,1,False,False,False,Away,False,12,22,70,35,77,6,27,72,0,1,9,16,52,0.5673076923076923,36,64,0.5625,2,16,51,0.37254901960784315,1.0
2,2018-11-21-19-vermont,44.4,12,4.0,1,116.2,82.4,28,0.545,55,0.491,27,0.23600000000000002,13,0.769,10,2,200,102.9,20.7,6,18,70,,2.9,2,0.327,18,0.33299999999999996,6,54.0,34,0.5720000000000001,17.6,13,37,0.568,21,0.33299999999999996,1,"November 21, 2018",55.6,15,16.2,6,102.9,79.3,23,0.568,59,0.45799999999999996,27,0.28800000000000003,17,0.706,12,2,200,116.2,17.6,6,15,79,,11.8,8,0.5760000000000001,34,0.382,13,46.0,29,0.589,8.3,6,25,0.56,14,0.6,3,"Roy L. Patrick Gymnasium, Burlington, Vermont",YALE,Yale,67.6,Home,VERMONT,Vermont,Yale,ivy,2,False,False,False,Away,False,6,21,55,34,63,13,14,59,0,1,21,38,122,0.569672131147541,71,141,0.5035460992907801,8,43,123,0.44715447154471544,0.5
3,2018-11-28-19-bryant,74.4,29,13.8,4,77.2,79.5,31,0.705,66,0.591,39,0.212,14,0.7140000000000001,10,2,200,130.4,30.8,8,17,103,,6.3,5,0.364,24,0.625,15,60.0,39,0.7090000000000001,17.2,15,42,0.5710000000000001,24,0.5,2,"November 28, 2018",30.0,6,4.8,2,130.4,69.2,18,0.392,60,0.33299999999999996,20,0.28300000000000003,17,0.8240000000000001,14,5,200,77.2,20.5,8,19,61,,10.1,8,0.517,31,0.226,7,40.0,26,0.44799999999999995,22.0,19,29,0.44799999999999995,13,0.16699999999999998,1,"Chace Athletic Center , Smithfield, Rhode Island",BRYANT,Bryant,79.4,Away,YALE,Yale,Yale,ivy,3,False,False,False,Away,True,15,24,66,39,65,7,13,60,1,0,27,59,177,0.5621468926553672,105,204,0.5147058823529411,21,57,182,0.48626373626373626,0.3333333333333333
4,2018-12-01-19-miami-fl,50.0,15,5.4,2,98.6,82.9,29,0.552,58,0.517,30,0.293,17,0.765,13,2,200,104.1,13.8,4,15,77,,9.5,7,0.31,18,0.222,4,51.6,33,0.583,13.2,10,40,0.65,26,0.6,3,"December 1, 2018",46.2,12,10.0,4,104.1,86.2,25,0.46,63,0.413,26,0.28600000000000003,18,0.833,15,3,200,98.6,17.1,6,16,73,,6.8,5,0.413,26,0.231,6,48.4,31,0.51,13.4,11,37,0.541,20,0.625,5,"American Airlines Arena, Miami, Florida",MIAMI-FL,Miami (FL),74.3,Away,YALE,Yale,Yale,ivy,4,False,False,False,Away,True,4,26,58,33,64,6,20,63,1,0,42,83,243,0.6008230452674898,144,269,0.5353159851301115,28,70,242,0.4628099173553719,0.5
5,2018-12-05-19-yale,77.4,24,11.8,4,126.0,60.6,20,0.575,67,0.46299999999999997,31,0.179,12,0.833,10,3,200,113.0,14.7,5,21,87,,13.0,10,0.478,32,0.469,15,37.3,25,0.598,13.2,11,35,0.457,16,0.625,5,"December 5, 2018",63.6,21,8.6,3,113.0,85.3,29,0.5920000000000001,65,0.508,33,0.385,25,0.8,20,2,200,126.0,39.4,13,10,97,,6.5,5,0.47700000000000004,31,0.355,11,62.7,42,0.631,13.6,12,34,0.647,22,0.667,4,"John J. Lee Ampitheater, New Haven, Connecticut",LEHIGH,Lehigh,77.3,Home,YALE,Yale,Yale,ivy,5,True,False,True,Home,True,11,22,65,42,67,15,16,67,1,0,46,109,301,0.5913621262458472,177,333,0.5315315315315315,34,90,305,0.46229508196721314,0.6
6,2018-12-08-17-duke,60.9,14,4.3,2,108.3,68.3,28,0.377,65,0.354,23,0.16899999999999998,11,0.818,9,3,200,69.0,22.5,9,23,58,,10.7,9,0.354,23,0.13,3,45.7,37,0.413,24.8,23,42,0.47600000000000003,20,0.5710000000000001,4,"December 8, 2018",60.6,20,14.3,6,69.0,77.5,31,0.53,67,0.493,33,0.46299999999999997,31,0.645,20,1,200,108.3,31.7,13,14,91,3.0,19.0,16,0.313,21,0.23800000000000002,5,54.3,44,0.557,15.7,15,46,0.609,28,0.9,9,"Cameron Indoor Stadium, Durham, North Carolina",YALE,Yale,84.0,Home,DUKE,Duke,Yale,ivy,6,False,False,False,Away,False,3,20,65,37,81,5,28,67,0,1,57,131,366,0.5915300546448088,219,400,0.5475,49,106,372,0.4825268817204301,0.6666666666666666
7,2018-12-11-19-yale,65.2,15,2.5,1,100.0,78.1,25,0.45,60,0.38299999999999995,23,0.217,13,0.6920000000000001,9,7,200,88.7,14.3,5,19,63,,8.5,6,0.433,26,0.308,8,44.8,30,0.47600000000000003,14.3,11,34,0.441,15,0.3,3,"December 11, 2018",65.5,19,5.9,2,88.7,85.7,30,0.574,54,0.537,29,0.40700000000000003,22,0.409,9,3,200,100.0,21.9,7,16,71,,5.6,4,0.259,14,0.28600000000000003,4,55.2,37,0.551,17.0,13,40,0.625,25,0.625,5,"John J. Lee Ampitheater, New Haven, Connecticut",ALBANY-NY,Albany (NY),71.3,Home,YALE,Yale,Yale,ivy,7,True,False,True,Home,True,4,25,54,37,67,8,15,60,1,0,60,151,431,0.5591647331786543,256,481,0.5322245322245323,54,134,439,0.489749430523918,0.5714285714285714
8,2018-12-20-19-monmouth,73.9,17,15.6,7,85.3,70.3,26,0.509,55,0.418,23,0.327,18,0.556,10,3,200,97.1,31.6,12,16,66,,5.9,4,0.436,24,0.41700000000000004,10,50.7,38,0.519,20.3,16,31,0.419,13,0.667,6,"December 20, 2018",38.1,8,6.5,2,97.1,68.4,26,0.384,56,0.375,21,0.39299999999999996,22,0.682,15,12,200,85.3,29.7,11,18,58,,10.3,7,0.196,11,0.091,1,49.3,37,0.436,15.4,12,45,0.444,20,0.0,0,"Multipurpose Activity Center, West Long Branch, New Jersey",MONMOUTH,Monmouth,67.5,Away,YALE,Yale,Yale,ivy,8,False,False,False,Away,True,10,13,55,38,75,1,20,56,1,0,64,176,485,0.5608247422680412,293,548,0.5346715328467153,62,149,499,0.4849699398797595,0.625
9,2018-12-22-14-yale,51.7,15,6.8,3,123.8,57.5,23,0.486,70,0.414,29,0.314,22,0.727,16,8,200,105.0,14.3,6,21,84,,11.3,9,0.5,35,0.28600000000000003,10,35.4,29,0.522,8.1,7,35,0.5429999999999999,19,0.2,2,"December 22, 2018",78.9,30,11.4,4,105.0,85.7,36,0.597,72,0.528,38,0.319,23,0.565,13,3,200,123.8,42.5,17,16,99,,2.5,2,0.389,28,0.35700000000000004,10,64.6,53,0.597,13.7,13,44,0.636,28,0.7,7,"John J. Lee Ampitheater, New Haven, Connecticut",IONA,Iona,80.2,Home,YALE,Yale,Yale,ivy,9,True,False,True,Home,True,10,28,72,53,82,10,19,70,1,0,74,189,540,0.5555555555555556,331,623,0.5313001605136437,63,169,555,0.47477477477477475,0.6666666666666666
