,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-07-21-arizona,36.4,8,0.0,0,118.4,62.5,20,0.355,69,0.319,22,0.391,27,0.407,11,1,201,78.9,31.4,16,30,60,,6.6,5,0.319,22,0.227,5,43.4,36,0.367,12.9,12,47,0.362,17,0.0,0,"November 7, 2018",46.4,13,6.4,3,78.9,68.6,35,0.544,57,0.491,28,0.632,36,0.778,28,0,201,118.4,37.5,12,20,90,,7.9,6,0.386,22,0.273,6,56.6,47,0.607,15.1,13,35,0.629,22,1.0,1,"McKale Center, Tucson, Arizona",HOUSTON-BAPTIST,Houston Baptist,76.1,Home,ARIZONA,Arizona,Houston Baptist,southland
2018-11-10-20-houston-baptist,66.7,16,16.2,6,105.6,72.0,18,0.544,57,0.421,24,0.211,12,0.833,10,1,200,101.4,35.5,11,23,72,,8.5,6,0.509,29,0.483,14,51.8,29,0.574,21.4,17,28,0.357,10,0.5,1,"November 10, 2018",68.0,17,7.1,2,101.4,64.5,20,0.548,52,0.481,25,0.5,26,0.692,18,1,200,105.6,28.0,7,18,75,,11.3,8,0.288,15,0.467,7,48.2,27,0.583,20.1,16,37,0.486,18,0.5,1,"Frank and Lucille Sharp Gymnasium, Houston, Texas",FORDHAM,Fordham,71.0,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2018-11-17-20-wisconsin,31.8,7,2.5,1,129.7,73.9,17,0.447,57,0.386,22,0.211,12,0.667,8,2,200,79.7,12.9,4,25,59,,5.4,4,0.386,22,0.318,7,38.9,21,0.47,19.4,15,35,0.429,15,0.333,1,"November 17, 2018",51.4,18,11.4,4,79.7,87.1,27,0.664,58,0.603,35,0.431,25,0.76,19,0,200,129.7,26.1,6,14,96,,8.1,6,0.31,18,0.389,7,61.1,33,0.687,12.7,10,40,0.7,28,1.0,3,"Kohl Center, Madison, Wisconsin",HOUSTON-BAPTIST,Houston Baptist,73.8,Home,WISCONSIN,Wisconsin,Houston Baptist,southland
2018-11-23-14-wake-forest,46.9,15,2.7,1,111.0,55.6,15,0.528,72,0.444,32,0.444,32,0.531,17,2,225,113.4,32.6,14,29,93,,9.8,8,0.389,28,0.429,12,41.4,29,0.533,10.4,10,44,0.455,20,0.5,2,"November 23, 2018",48.4,15,13.6,6,113.4,67.4,29,0.636,55,0.564,31,0.618,34,0.618,21,2,225,111.0,44.4,12,27,91,,11.0,9,0.327,18,0.444,8,58.6,41,0.639,23.9,22,37,0.622,23,0.6,3,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",WAKE-FOREST,Wake Forest,73.0,Away,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2018-11-26-20-houston-baptist,37.9,11,6.8,3,100.0,65.0,26,0.524,62,0.468,29,0.516,32,0.656,21,5,200,104.9,34.2,13,25,86,,7.3,6,0.323,20,0.35,7,50.0,39,0.557,18.3,17,42,0.524,22,0.286,2,"November 26, 2018",60.7,17,2.4,1,104.9,65.8,25,0.448,67,0.418,28,0.493,33,0.667,22,3,200,100.0,35.0,14,24,82,,9.8,8,0.343,23,0.174,4,50.0,39,0.496,14.7,14,44,0.545,24,0.4,2,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,81.9,Away,TEXAS-SAN-ANTONIO,UTSA,Houston Baptist,southland
2018-12-01-17-louisiana-tech,64.3,18,8.9,4,113.3,57.9,22,0.516,61,0.459,28,0.295,18,0.833,15,4,200,104.0,20.7,6,21,78,,9.3,7,0.328,20,0.35,7,41.8,28,0.561,15.9,13,41,0.512,21,0.333,2,"December 1, 2018",58.6,17,17.1,7,104.0,79.3,23,0.484,64,0.453,29,0.422,27,0.852,23,3,200,113.3,42.1,16,13,85,,6.7,5,0.297,19,0.211,4,58.2,39,0.553,13.7,12,45,0.556,25,0.625,5,"Thomas Assembly Center, Ruston, Louisiana",HOUSTON-BAPTIST,Houston Baptist,74.7,Home,LOUISIANA-TECH,Louisiana Tech,Houston Baptist,southland
2018-12-08-17-texas-state,34.8,8,0.0,0,126.8,66.7,18,0.491,54,0.426,23,0.648,35,0.771,27,5,200,112.7,37.1,13,21,80,,9.9,7,0.389,21,0.333,7,50.0,31,0.566,15.8,13,33,0.485,16,0.286,2,"December 8, 2018",53.3,16,3.0,1,112.7,62.9,22,0.579,57,0.526,30,0.491,28,0.857,24,1,200,126.8,33.3,9,26,90,,9.9,7,0.316,18,0.333,6,50.0,31,0.64,13.7,11,39,0.615,24,0.9,9,"Strahan Coliseum, San Marcos, Texas",HOUSTON-BAPTIST,Houston Baptist,71.5,Home,TEXAS-STATE,Texas State,Houston Baptist,southland
2018-12-14-20-houston-baptist,60.7,17,4.9,3,125.9,48.7,19,0.585,53,0.528,28,0.283,15,0.533,8,0,200,82.4,3.6,1,20,70,,5.9,5,0.283,15,0.4,6,29.9,20,0.582,28.7,24,38,0.579,22,0.0,0,"December 14, 2018",40.0,16,0.0,0,82.4,96.4,27,0.558,78,0.513,40,0.333,26,0.769,20,5,200,125.9,51.3,20,20,107,,15.3,13,0.218,17,0.412,7,70.1,47,0.592,15.2,16,61,0.541,33,0.375,3,"Frank and Lucille Sharp Gymnasium, Houston, Texas","Arlington Baptist
			","Arlington Baptist
			",84.7,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2018-12-17-19-samford,50.0,10,2.5,1,114.9,71.4,25,0.362,65,0.308,20,0.308,20,0.7,14,6,200,82.4,34.9,15,15,61,,6.8,5,0.369,24,0.292,7,51.3,40,0.409,15.9,14,41,0.317,13,0.333,3,"December 17, 2018",41.9,13,14.6,6,82.4,65.1,28,0.578,64,0.484,31,0.281,18,0.611,11,2,200,114.9,28.6,10,17,85,,10.8,8,0.375,24,0.5,12,48.7,38,0.586,13.3,11,40,0.475,19,0.833,10,"Pete Hanna Center, Birmingham, Alabama",HOUSTON-BAPTIST,Houston Baptist,73.5,Home,SAMFORD,Samford,Houston Baptist,southland
2018-12-19-19-miami-fl,55.6,15,3.4,1,112.7,68.8,22,0.591,55,0.491,27,0.255,14,0.571,8,7,200,102.8,20.0,6,14,73,,7.0,5,0.418,23,0.478,11,45.2,28,0.592,21.8,17,32,0.5,16,0.3,3,"December 19, 2018",58.6,17,21.9,7,102.8,80.0,24,0.605,57,0.509,29,0.298,17,0.647,11,4,200,112.7,31.3,10,13,80,,12.7,9,0.491,28,0.393,11,54.8,34,0.615,17.8,14,29,0.621,18,0.6,6,"BankUnited Center, Coral Gables, Florida",HOUSTON-BAPTIST,Houston Baptist,70.9,Home,MIAMI-FL,Miami (FL),Houston Baptist,southland
2018-12-29-14-houston-baptist,34.4,11,0.0,0,160.7,27.6,8,0.616,69,0.464,32,0.13,9,0.778,7,0,200,103.4,16.7,6,23,92,,3.4,3,0.522,36,0.583,21,21.5,14,0.628,23.2,22,33,0.333,11,0.0,0,"December 29, 2018",50.9,29,6.1,2,103.4,83.3,30,0.744,82,0.695,57,0.378,31,0.677,21,7,200,160.7,72.4,21,16,143,,14.6,13,0.207,17,0.471,8,78.5,51,0.739,11.1,12,65,0.754,49,0.364,4,"Frank and Lucille Sharp Gymnasium, Houston, Texas","Dallas Christian
			","Dallas Christian
			",88.5,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2019-01-02-20-houston-baptist,40.6,13,6.8,3,100.0,78.8,26,0.548,63,0.508,32,0.349,22,0.591,13,7,225,93.2,20.6,7,30,82,,11.4,10,0.286,18,0.278,5,49.3,33,0.558,21.6,20,45,0.6,27,0.5,7,"January 2, 2019",50.0,15,4.4,2,93.2,79.4,27,0.516,64,0.469,30,0.5,32,0.688,22,7,225,100.0,21.2,7,19,88,,10.2,9,0.313,20,0.3,6,50.7,34,0.556,18.7,18,44,0.545,24,0.417,5,"Frank and Lucille Sharp Gymnasium, Houston, Texas",LAMAR,Lamar,78.5,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2019-01-05-15-new-orleans,42.9,12,3.8,2,100.0,62.9,22,0.397,73,0.384,28,0.274,20,0.9,18,8,225,93.8,48.7,19,18,76,,11.1,9,0.247,18,0.111,2,55.4,41,0.461,18.8,19,55,0.473,26,0.385,5,"January 5, 2019",56.3,18,20.0,11,93.8,51.3,20,0.515,67,0.478,32,0.209,14,0.857,12,7,225,100.0,37.1,13,23,81,,9.9,8,0.209,14,0.357,5,44.6,33,0.55,20.6,19,53,0.509,27,0.462,6,"Kiefer Lakefront Arena, New Orleans , Louisiana",HOUSTON-BAPTIST,Houston Baptist,72.1,Home,NEW-ORLEANS,New Orleans,Houston Baptist,southland
2019-01-12-16-nicholls-state,46.4,13,0.0,0,106.9,74.2,23,0.5,59,0.475,28,0.492,29,0.586,17,9,200,105.6,45.5,15,13,76,,6.9,5,0.22,13,0.231,3,59.4,38,0.522,17.3,15,46,0.543,25,0.357,5,"January 12, 2019",45.2,14,6.5,3,105.6,54.5,18,0.581,62,0.5,31,0.161,10,0.5,5,7,200,106.9,25.8,8,25,77,,11.1,8,0.387,24,0.417,10,40.6,26,0.577,15.3,12,38,0.553,21,0.588,10,"David Stopher Gymnasium, Thibodaux, Louisiana",HOUSTON-BAPTIST,Houston Baptist,71.8,Home,NICHOLLS-STATE,Nicholls State,Houston Baptist,southland
2019-01-16-20-abilene-christian,56.0,14,2.6,1,107.1,67.7,21,0.56,50,0.5,25,0.34,17,0.706,12,10,200,97.1,32.0,8,18,68,,8.6,6,0.28,14,0.429,6,51.8,29,0.585,25.8,20,36,0.528,19,0.333,5,"January 16, 2019",64.3,18,5.6,2,97.1,68.0,17,0.534,58,0.483,28,0.362,21,0.619,13,3,200,107.1,32.3,10,18,75,,14.3,10,0.345,20,0.3,6,48.2,27,0.552,15.1,12,38,0.579,22,0.833,15,"Moody Coliseum , Abilene, Texas",HOUSTON-BAPTIST,Houston Baptist,70.0,Home,ABILENE-CHRISTIAN,Abilene Christian,Houston Baptist,southland
2019-01-19-20-houston-baptist,62.5,15,12.2,5,82.3,67.6,25,0.456,57,0.421,24,0.421,24,0.792,19,8,200,89.9,16.7,5,22,71,,16.5,13,0.281,16,0.25,4,44.8,30,0.519,17.2,14,41,0.488,20,0.556,10,"January 19, 2019",50.0,11,4.9,2,89.9,83.3,25,0.402,61,0.361,22,0.377,23,0.696,16,11,200,82.3,32.4,12,24,65,,7.6,6,0.328,20,0.25,5,55.2,37,0.452,22.8,21,41,0.415,17,0.312,5,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,79.2,Away,SAM-HOUSTON-STATE,Sam Houston State,Houston Baptist,southland
2019-01-23-20-houston-baptist,82.6,19,6.3,2,94.4,72.0,18,0.574,47,0.489,23,0.489,23,0.696,16,12,200,98.6,39.1,9,18,70,,14.1,10,0.383,18,0.444,8,56.3,27,0.604,25.9,20,29,0.517,15,0.368,7,"January 23, 2019",40.9,9,10.3,3,98.6,60.9,14,0.521,47,0.468,22,0.511,24,0.75,18,12,200,94.4,28.0,7,23,67,,15.5,11,0.319,15,0.333,5,43.8,21,0.574,26.7,21,32,0.531,17,0.294,5,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,70.7,Away,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Houston Baptist,southland
2019-01-26-16-mcneese-state,40.9,9,5.7,2,103.9,75.9,22,0.462,53,0.415,22,0.642,34,0.706,24,13,200,96.1,33.3,12,26,73,,10.5,8,0.358,19,0.263,5,52.3,34,0.528,20.0,17,34,0.5,17,0.278,5,"January 26, 2019",54.2,13,0.0,0,96.1,66.7,24,0.529,51,0.471,24,0.627,32,0.781,25,13,200,103.9,24.1,7,29,79,,9.2,7,0.314,16,0.375,6,47.7,31,0.597,21.7,18,35,0.514,18,0.35,7,"H&HP Complex, Lake Charles, Louisiana",HOUSTON-BAPTIST,Houston Baptist,75.7,Home,MCNEESE-STATE,McNeese State,Houston Baptist,southland
2019-01-30-20-incarnate-word,45.9,17,3.1,1,115.0,90.9,20,0.598,66,0.561,37,0.394,26,0.654,17,13,200,120.0,42.9,12,21,96,,10.0,8,0.227,15,0.333,5,64.0,32,0.613,17.1,16,51,0.627,32,0.316,6,"January 30, 2019",56.7,17,7.8,4,120.0,57.1,16,0.689,53,0.566,30,0.415,22,0.864,19,15,200,115.0,9.1,2,26,92,,13.8,11,0.396,21,0.619,13,36.0,18,0.725,20.3,16,32,0.531,17,0.286,6,"McDermott Center, San Antonio, Texas",INCARNATE-WORD,Incarnate Word,79.9,Away,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2019-02-02-20-houston-baptist,57.1,16,7.7,3,94.8,75.0,24,0.508,60,0.467,28,0.267,16,0.688,11,12,200,93.5,27.3,9,29,72,,11.7,9,0.267,16,0.313,5,50.8,33,0.533,22.1,19,44,0.523,23,0.429,9,"February 2, 2019",56.0,14,9.1,4,93.5,72.7,24,0.531,49,0.51,25,0.735,36,0.583,21,13,200,94.8,25.0,8,21,73,,9.1,7,0.204,10,0.2,2,49.2,32,0.552,22.7,19,39,0.59,23,0.35,7,"Frank and Lucille Sharp Gymnasium, Houston, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,77.4,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2019-02-06-20-houston-baptist,31.0,9,6.5,3,98.7,61.3,19,0.517,60,0.483,29,0.383,23,0.739,17,9,200,101.3,23.3,7,22,79,,10.3,8,0.283,17,0.235,4,42.6,26,0.557,14.6,12,43,0.581,25,0.571,12,"February 6, 2019",65.4,17,7.0,3,101.3,76.7,23,0.46,63,0.413,26,0.444,28,0.679,19,14,200,98.7,38.7,12,18,77,,11.5,9,0.27,17,0.353,6,57.4,35,0.505,16.6,15,46,0.435,20,0.333,7,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,77.6,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Houston Baptist,southland
2019-02-13-20-central-arkansas,61.5,16,2.4,1,92.2,65.1,28,0.463,68,0.382,26,0.235,16,0.75,12,14,200,97.4,27.3,12,22,75,,15.6,12,0.382,26,0.423,11,46.0,40,0.496,13.8,12,42,0.357,15,0.364,8,"February 13, 2019",50.0,12,28.6,12,97.4,72.7,32,0.415,65,0.369,24,0.354,23,0.739,17,15,200,92.2,34.9,15,17,71,,6.5,5,0.369,24,0.25,6,54.0,47,0.468,18.5,17,41,0.439,18,0.4,10,"Jeff Farris Center, Conway, Arkansas",CENTRAL-ARKANSAS,Central Arkansas,76.8,Away,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2019-02-16-20-houston-baptist,53.3,16,7.0,3,108.6,57.6,19,0.514,71,0.423,30,0.169,12,0.75,9,14,200,101.2,25.6,10,29,82,,14.8,12,0.465,33,0.394,13,40.3,29,0.535,15.5,14,38,0.447,17,0.44,11,"February 16, 2019",41.4,12,5.3,2,101.2,74.4,29,0.5,62,0.468,29,0.613,38,0.684,26,14,200,108.6,42.4,14,15,88,,3.7,3,0.306,19,0.211,4,59.7,43,0.55,16.9,16,43,0.581,25,0.391,9,"Frank and Lucille Sharp Gymnasium, Houston, Texas",NICHOLLS-STATE,Nicholls State,81.4,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2019-02-20-20-houston-baptist,47.8,11,10.7,6,113.6,66.7,26,0.366,67,0.343,23,0.104,7,0.714,5,17,200,66.7,18.6,8,16,54,,4.9,4,0.254,17,0.176,3,41.5,34,0.384,20.4,18,50,0.4,20,0.37,10,"February 20, 2019",60.0,21,16.0,8,66.7,81.4,35,0.52,75,0.467,35,0.253,19,0.737,14,14,200,113.6,33.3,13,11,92,,12.3,10,0.253,19,0.421,8,58.5,48,0.547,10.7,10,56,0.482,27,0.417,10,"Frank and Lucille Sharp Gymnasium, Houston, Texas",NORTHWESTERN-STATE,Northwestern State,80.7,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2019-02-23-20-sam-houston-state,53.7,22,0.0,0,120.2,83.9,26,0.524,85,0.482,41,0.471,40,0.6,24,15,250,114.1,34.7,17,24,113,,12.1,12,0.282,24,0.292,7,53.8,43,0.543,13.5,16,61,0.557,34,0.4,10,"February 23, 2019",75.6,31,6.6,4,114.1,65.3,32,0.714,70,0.586,41,0.357,25,0.76,19,9,250,120.2,16.1,5,29,119,,9.1,9,0.429,30,0.6,18,46.3,37,0.727,19.0,19,40,0.575,23,0.679,19,"Johnson Coliseum, Huntsville, Texas",HOUSTON-BAPTIST,Houston Baptist,79.6,Home,SAM-HOUSTON-STATE,Sam Houston State,Houston Baptist,southland
2019-02-27-20-lamar,66.7,16,11.4,5,142.9,53.6,15,0.46,62,0.387,24,0.419,26,0.692,18,16,200,97.4,22.5,9,15,75,,10.4,8,0.419,26,0.346,9,35.3,24,0.504,15.0,13,36,0.417,15,0.385,10,"February 27, 2019",58.5,24,13.9,5,97.4,77.5,31,0.697,71,0.577,41,0.169,12,0.917,11,12,200,142.9,46.4,13,24,110,,16.9,13,0.38,27,0.63,17,64.7,44,0.717,13.6,12,44,0.545,24,0.586,17,"Montagne Center, Beaumont, Texas",HOUSTON-BAPTIST,Houston Baptist,77.0,Home,LAMAR,Lamar,Houston Baptist,southland
2019-03-02-20-houston-baptist,47.6,10,9.8,4,119.4,73.9,17,0.397,58,0.362,21,0.362,21,0.905,19,20,200,90.3,19.4,7,10,65,,9.7,7,0.241,14,0.286,4,40.7,24,0.478,14.1,11,44,0.386,17,0.31,9,"March 2, 2019",55.9,19,4.5,2,90.3,80.6,29,0.655,58,0.586,34,0.241,14,0.714,10,16,200,119.4,26.1,6,13,86,,11.1,8,0.293,17,0.471,8,59.3,35,0.665,16.8,13,41,0.634,26,0.407,11,"Frank and Lucille Sharp Gymnasium, Houston, Texas",MCNEESE-STATE,McNeese State,71.8,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2019-03-06-20-houston-baptist,55.0,22,4.8,2,145.7,80.6,25,0.763,59,0.678,40,0.441,26,0.808,21,24,200,137.0,14.3,3,30,111,,2.5,2,0.288,17,0.588,10,53.8,28,0.778,14.6,12,42,0.714,30,0.2,6,"March 6, 2019",56.4,22,2.4,1,137.0,85.7,18,0.71,62,0.629,39,0.645,40,0.75,30,16,200,145.7,19.4,6,22,118,,8.6,7,0.323,20,0.5,10,46.2,24,0.728,7.0,6,42,0.69,29,0.429,12,"Frank and Lucille Sharp Gymnasium, Houston, Texas",INCARNATE-WORD,Incarnate Word,80.7,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2019-03-09-18-texas-am-corpus-christi,56.5,13,2.7,1,107.0,73.7,14,0.393,70,0.329,23,0.314,22,0.636,14,17,200,97.2,37.8,17,17,69,,11.3,8,0.4,28,0.321,9,48.4,31,0.429,10.1,9,42,0.333,14,0.414,12,"March 9, 2019",60.0,18,2.4,1,97.2,62.2,28,0.637,51,0.588,30,0.333,17,0.647,11,17,200,107.0,26.3,5,21,76,,5.6,4,0.275,14,0.357,5,51.6,33,0.643,21.5,16,37,0.676,25,0.452,14,"American Bank Center, Corpus Christi, Texas",HOUSTON-BAPTIST,Houston Baptist,71.3,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Houston Baptist,southland
