,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-ball-state,42.3,11,10.9,5,122.9,55.9,19,0.433,67,0.388,26,0.269,18,0.611,11,1,195,98.6,35.9,14,20,69,,8.6,6,0.179,12,0.5,6,45.2,33,0.457,11.8,10,55,0.364,20,0.0,0,"November 6, 2018",43.8,14,9.1,5,98.6,64.1,25,0.546,65,0.492,32,0.308,20,0.75,15,0,195,122.9,44.1,15,18,86,,10.0,7,0.292,19,0.368,7,54.8,40,0.577,10.9,9,46,0.543,25,1.0,1,"Worthen Arena, Muncie, Indiana",INDIANA-STATE,Indiana State,71.8,Home,BALL-STATE,Ball State,Indiana State,mvc
2018-11-09-16-green-bay,50.0,11,6.1,2,90.2,74.4,32,0.447,57,0.386,22,0.614,35,0.771,27,1,200,95.1,22.2,6,28,78,,9.8,8,0.228,13,0.538,7,54.3,38,0.53,17.2,15,44,0.341,15,0.5,1,"November 9, 2018",65.2,15,13.6,6,95.1,77.8,21,0.414,64,0.359,23,0.516,33,0.636,21,1,200,90.2,25.6,11,27,74,,3.7,3,0.484,31,0.226,7,45.7,32,0.464,14.2,13,33,0.485,16,0.5,1,"Kress Events Center, Green Bay, Wisconsin",GREEN-BAY,Green Bay,82.2,Away,INDIANA-STATE,Indiana State,Indiana State,mvc
2018-11-14-19-indiana-state,65.2,15,10.5,4,112.7,63.6,21,0.475,59,0.39,23,0.136,8,0.875,7,0,201,88.7,11.1,3,23,63,,5.6,4,0.475,28,0.357,10,40.0,24,0.502,19.3,15,31,0.419,13,0.0,0,"November 14, 2018",44.0,11,12.9,4,88.7,88.9,24,0.528,53,0.472,25,0.66,35,0.686,24,1,201,112.7,36.4,12,12,80,,9.9,7,0.283,15,0.4,6,60.0,36,0.575,11.6,9,38,0.5,19,0.667,2,"Hulman Center, Terre Haute, Indiana","McKendree
			","McKendree
			",70.4,Home,INDIANA-STATE,Indiana State,Indiana State,mvc
2018-11-24-14-indiana-state,38.1,8,15.8,6,95.5,71.9,23,0.404,57,0.368,21,0.211,12,0.667,8,3,200,81.8,35.3,12,16,54,,9.1,6,0.316,18,0.222,4,53.0,35,0.431,19.4,15,39,0.436,17,0.5,3,"November 24, 2018",56.5,13,10.3,4,81.8,64.7,22,0.491,56,0.411,23,0.232,13,0.615,8,1,200,95.5,28.1,9,18,63,,7.6,5,0.321,18,0.5,9,47.0,31,0.507,17.4,13,38,0.368,14,0.75,3,"Hulman Center, Terre Haute, Indiana",WESTERN-KENTUCKY,Western Kentucky,65.9,Home,INDIANA-STATE,Indiana State,Indiana State,mvc
2018-11-28-22-san-jose-state,50.0,17,15.2,5,77.0,81.1,30,0.689,53,0.642,34,0.358,19,0.684,13,1,200,116.2,29.4,5,24,86,,4.1,3,0.17,9,0.556,5,64.8,35,0.693,19.6,15,44,0.659,29,0.8,4,"November 28, 2018",58.8,10,4.5,2,116.2,70.6,12,0.348,56,0.304,17,0.5,28,0.643,18,6,200,77.0,18.9,7,21,57,,6.8,5,0.411,23,0.217,5,35.2,19,0.411,16.0,13,33,0.364,12,0.143,1,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,73.7,Away,INDIANA-STATE,Indiana State,Indiana State,mvc
2018-12-01-14-indiana-state,71.4,15,0.0,0,104.5,75.9,22,0.464,55,0.382,21,0.273,15,0.8,12,4,200,95.5,23.1,6,20,63,,6.1,4,0.418,23,0.391,9,50.9,28,0.507,16.3,12,32,0.375,12,0.5,4,"December 1, 2018",29.2,7,15.6,5,95.5,76.9,20,0.55,50,0.48,24,0.46,23,0.609,14,1,200,104.5,24.1,7,19,69,,10.6,7,0.26,13,0.538,7,49.1,27,0.566,13.0,9,37,0.459,17,0.833,5,"Hulman Center, Terre Haute, Indiana",WRIGHT-STATE,Wright State,65.5,Home,INDIANA-STATE,Indiana State,Indiana State,mvc
2018-12-05-19-indiana-state,48.3,14,7.1,3,94.5,78.4,29,0.592,60,0.483,29,0.167,10,0.9,9,1,200,109.6,30.0,9,23,80,,5.5,4,0.533,32,0.406,13,56.7,38,0.618,18.9,15,28,0.571,16,0.9,9,"December 5, 2018",43.5,10,7.1,2,109.6,70.0,21,0.441,59,0.39,23,0.407,24,0.708,17,2,200,94.5,21.6,8,15,69,,8.2,6,0.288,17,0.353,6,43.3,29,0.49,14.7,12,42,0.405,17,0.714,5,"Hulman Center, Terre Haute, Indiana",INDIANA-STATE,Indiana State,72.6,Away,NORTH-TEXAS,North Texas,Indiana State,mvc
2018-12-08-13-indiana-state,71.4,15,2.5,1,113.2,72.0,18,0.529,51,0.412,21,0.373,19,0.789,15,0,200,101.5,16.1,5,15,69,,10.3,7,0.588,30,0.4,12,41.1,23,0.575,19.1,14,21,0.429,9,0.0,0,"December 8, 2018",71.0,22,23.8,5,101.5,83.9,26,0.636,55,0.564,31,0.164,9,0.778,7,2,200,113.2,28.0,7,18,77,,10.3,7,0.273,15,0.533,8,58.9,33,0.65,19.2,14,40,0.575,23,0.75,6,"Hulman Center, Terre Haute, Indiana","Truman State
			","Truman State
			",67.7,Home,INDIANA-STATE,Indiana State,Indiana State,mvc
2018-12-16-17-texas-christian,69.2,18,6.3,3,118.4,62.2,23,0.458,60,0.433,26,0.333,20,0.75,15,3,200,92.1,30.3,10,17,70,,5.3,4,0.267,16,0.188,3,47.1,33,0.504,21.6,19,44,0.523,23,0.667,6,"December 16, 2018",60.6,20,4.5,2,92.1,69.7,23,0.544,68,0.485,33,0.324,22,0.727,16,1,200,118.4,37.8,14,16,90,,10.5,8,0.294,20,0.4,8,52.9,37,0.574,11.4,10,48,0.521,25,0.889,8,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",INDIANA-STATE,Indiana State,76.5,Home,TEXAS-CHRISTIAN,TCU,Indiana State,mvc
2018-12-22-15-colorado,46.4,13,5.9,2,89.3,82.1,23,0.516,63,0.444,28,0.143,9,0.778,7,3,200,96.0,22.6,7,21,72,,12.0,9,0.254,16,0.563,9,50.8,30,0.535,18.3,15,47,0.404,19,0.7,7,"December 22, 2018",40.0,10,19.1,9,96.0,77.4,24,0.529,52,0.481,25,0.365,19,0.632,12,2,200,89.3,17.9,5,15,67,,8.0,6,0.346,18,0.278,5,49.2,29,0.549,23.9,19,34,0.588,20,0.8,8,"Stan Sheriff Center, Honolulu, Hawaii",COLORADO,Colorado,75.2,Away,INDIANA-STATE,Indiana State,Indiana State,mvc
