,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-jackson-state,58.3,14,16.2,6,97.1,72.7,24,0.557,53,0.453,24,0.377,20,0.8,16,0,200,110.3,30.0,9,16,75,,10.3,7,0.434,23,0.478,11,52.4,33,0.6,19.5,15,30,0.433,13,1.0,1,"November 6, 2018",50.0,12,16.7,5,110.3,70.0,21,0.473,56,0.429,24,0.339,19,0.684,13,1,200,97.1,27.3,9,20,66,,11.8,8,0.339,19,0.263,5,47.6,30,0.507,14.6,11,37,0.514,19,0.0,0,"Lee E. Williams Athletics and Assembly Center, Jackson, Mississippi",JACKSON-STATE,Jackson State,67.8,Away,LOUISIANA-MONROE,Louisiana-Monroe,Jackson State,swac
2018-11-10-14-st-bonaventure,61.5,8,6.3,2,90.5,66.7,20,0.25,62,0.21,13,0.194,12,0.417,5,2,200,48.6,38.9,14,21,36,,9.5,7,0.419,26,0.192,5,51.5,34,0.266,24.6,22,36,0.222,8,0.0,0,"November 10, 2018",50.0,10,27.8,10,48.6,61.1,22,0.418,55,0.364,20,0.473,26,0.808,21,1,200,90.5,33.3,10,16,67,,20.3,15,0.418,23,0.261,6,48.5,32,0.497,18.4,15,32,0.438,14,0.5,1,"Reilly Center, St. Bonaventure, New York",JACKSON-STATE,Jackson State,74.0,Home,ST-BONAVENTURE,St. Bonaventure,Jackson State,swac
2018-11-16-22-boise-state,33.3,8,0.0,0,98.6,85.7,24,0.425,60,0.4,24,0.067,4,0.5,2,3,200,74.6,17.6,6,18,53,,7.0,5,0.233,14,0.214,3,48.4,30,0.428,21.6,17,46,0.457,21,0.0,0,"November 16, 2018",52.0,13,10.9,5,74.6,82.4,28,0.519,52,0.481,25,0.365,19,0.842,16,1,200,98.6,14.3,4,12,70,,9.9,7,0.385,20,0.2,4,51.6,32,0.574,17.7,13,32,0.656,21,0.5,1,"Taco Bell Arena, Boise, Idaho",JACKSON-STATE,Jackson State,71.5,Home,BOISE-STATE,Boise State,Jackson State,swac
2018-11-19-16-sam-houston-state,45.0,9,13.2,5,100.0,67.6,23,0.459,49,0.408,20,0.531,26,0.577,15,4,200,80.0,15.6,5,20,60,,5.3,4,0.388,19,0.263,5,42.4,28,0.489,22.9,18,30,0.5,15,0.0,0,"November 19, 2018",55.6,15,6.7,2,80.0,84.4,27,0.508,60,0.45,27,0.283,17,0.824,14,3,200,100.0,32.4,11,22,75,,9.3,7,0.367,22,0.318,7,57.6,38,0.551,21.1,18,38,0.526,20,0.5,3,"Freedom Hall Civic Center, Johnson City, Tennessee",JACKSON-STATE,Jackson State,74.7,Home,SAM-HOUSTON-STATE,Sam Houston State,Jackson State,swac
2018-11-20-16-chicago-state,65.6,21,10.3,4,90.7,76.9,30,0.538,65,0.492,32,0.2,13,0.846,11,4,200,108.0,32.3,10,19,81,,14.7,11,0.292,19,0.316,6,57.1,40,0.569,15.5,13,46,0.565,26,0.2,1,"November 20, 2018",65.2,15,4.3,2,108.0,67.7,21,0.429,63,0.365,23,0.254,16,0.875,14,7,200,90.7,23.1,9,14,68,,6.7,5,0.381,24,0.333,8,42.9,30,0.482,17.6,15,39,0.385,15,0.0,0,"John Gray Gymnasium, Grand Cayman",CHICAGO-STATE,Chicago State,75.4,Away,JACKSON-STATE,Jackson State,Jackson State,swac
2018-11-24-22-san-diego,12.0,3,0.0,0,107.0,88.9,24,0.457,58,0.431,25,0.19,11,0.455,5,5,200,81.7,15.2,5,29,58,,7.0,5,0.259,15,0.2,3,48.3,29,0.459,18.2,14,43,0.512,22,0.167,1,"November 24, 2018",45.5,10,9.3,4,81.7,84.8,28,0.52,49,0.449,22,0.673,33,0.758,25,1,200,107.0,11.1,3,13,76,,5.6,4,0.531,26,0.269,7,51.7,31,0.588,12.4,9,23,0.652,15,0.833,5,"Jenny Craig Pavillion, San Diego, California",JACKSON-STATE,Jackson State,71.5,Home,SAN-DIEGO,San Diego,Jackson State,swac
2018-11-27-22-san-diego-state,60.0,9,15.2,5,110.1,67.9,19,0.293,58,0.259,15,0.241,14,0.714,10,6,200,55.7,21.4,9,23,44,,11.4,9,0.345,20,0.2,4,40.0,28,0.34,26.4,23,38,0.289,11,0.143,1,"November 27, 2018",69.0,20,13.2,5,55.7,78.6,33,0.596,57,0.509,29,0.439,25,0.76,19,2,200,110.1,32.1,9,15,87,,16.5,13,0.421,24,0.417,10,60.0,42,0.632,21.8,19,33,0.576,19,0.667,4,"Viejas Arena, San Diego, California",JACKSON-STATE,Jackson State,78.8,Home,SAN-DIEGO-STATE,San Diego State,Jackson State,swac
2018-11-29-22-santa-clara,57.1,16,6.7,2,117.4,69.6,16,0.555,55,0.509,28,0.2,11,0.818,9,7,200,101.4,7.4,2,25,70,,8.7,6,0.327,18,0.278,5,36.0,18,0.581,14.3,10,37,0.622,23,0.125,1,"November 29, 2018",70.8,17,5.4,2,101.4,92.6,25,0.571,49,0.49,24,0.653,32,0.781,25,5,200,117.4,30.4,7,10,81,,2.9,2,0.388,19,0.421,8,64.0,32,0.631,17.1,13,30,0.533,16,0.286,2,"Leavey Center, Santa Clara, California",JACKSON-STATE,Jackson State,69.2,Home,SANTA-CLARA,Santa Clara,Jackson State,swac
2018-12-08-22-pepperdine,46.2,12,8.8,3,95.8,81.8,27,0.5,59,0.441,26,0.186,11,0.636,7,8,200,91.7,12.9,4,24,66,,4.2,3,0.356,21,0.333,7,48.4,31,0.514,15.8,12,38,0.5,19,0.111,1,"December 8, 2018",54.2,13,7.9,3,91.7,87.1,27,0.465,57,0.421,24,0.368,21,0.762,16,4,200,95.8,18.2,6,13,69,,6.9,5,0.404,23,0.217,5,51.6,33,0.515,14.2,11,34,0.559,19,0.6,6,"Firestone Fieldhouse, Malibu, California",JACKSON-STATE,Jackson State,72.1,Home,PEPPERDINE,Pepperdine,Jackson State,swac
2018-12-11-20-jackson-state,64.7,11,10.6,5,102.7,61.1,22,0.4,55,0.309,17,0.345,19,0.632,12,0,200,74.7,13.2,5,16,56,,9.3,7,0.455,25,0.4,10,36.5,27,0.437,19.1,15,30,0.233,7,0.0,0,"December 11, 2018",34.4,11,16.7,5,74.7,86.8,33,0.531,65,0.492,32,0.292,19,0.421,8,8,200,102.7,38.9,14,18,77,,13.3,10,0.277,18,0.278,5,63.5,47,0.52,17.0,15,47,0.574,27,0.2,2,"Lee E. Williams Athletics and Assembly Center, Jackson, Mississippi","Fisk
			","Fisk
			",74.5,Home,JACKSON-STATE,Jackson State,Jackson State,swac
