,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-james-madison,60.0,15,2.1,1,116.2,52.5,21,0.441,59,0.424,25,0.203,12,0.5,6,0,200,78.4,33.3,12,17,58,,10.8,8,0.153,9,0.222,2,43.4,33,0.448,25.5,22,50,0.46,23,0.0,0,"November 6, 2018",48.6,17,18.0,9,78.4,66.7,24,0.535,72,0.486,35,0.194,14,0.643,9,0,200,116.2,47.5,19,17,86,,18.9,14,0.347,25,0.28,7,56.6,43,0.547,15.2,14,47,0.596,28,1.0,1,"JMU Convocation Center, Harrisonburg, Virginia","East Mennonite
			","East Mennonite
			",74.2,Home,JAMES-MADISON,James Madison,James Madison,colonial
2018-11-09-19-east-carolina,47.6,10,8.6,3,87.8,85.2,23,0.5,47,0.447,21,0.787,37,0.703,26,0,200,89.0,25.9,7,23,73,,17.1,14,0.362,17,0.294,5,55.6,30,0.565,28.3,25,30,0.533,16,1.0,2,"November 9, 2018",50.0,13,10.0,3,89.0,74.1,20,0.559,51,0.51,26,0.51,26,0.577,15,1,200,87.8,14.8,4,28,72,,18.3,15,0.314,16,0.313,5,44.4,24,0.568,26.1,22,35,0.6,21,0.5,1,"Williams Arena at Minges Coliseum, Greenville, North Carolina",EAST-CAROLINA,East Carolina,82.0,Away,JAMES-MADISON,James Madison,James Madison,colonial
2018-11-12-19-james-madison,40.9,9,4.5,2,120.6,48.1,13,0.389,63,0.349,22,0.302,19,0.526,10,0,200,86.8,33.3,14,16,59,,5.9,4,0.365,23,0.217,5,39.1,27,0.41,13.4,11,40,0.425,17,0.0,0,"November 12, 2018",36.4,12,15.0,6,86.8,66.7,28,0.602,59,0.559,33,0.271,16,0.688,11,0,200,120.6,51.9,14,16,82,,13.2,9,0.254,15,0.333,5,60.9,42,0.616,18.5,15,44,0.636,28,1.0,3,"JMU Convocation Center, Harrisonburg, Virginia","Bridgewater (VA)
			","Bridgewater (VA)
			",68.3,Home,JAMES-MADISON,James Madison,James Madison,colonial
2018-11-16-19-charlotte,30.0,6,8.8,3,93.7,78.1,25,0.511,45,0.444,20,0.511,23,0.783,18,0,200,101.6,23.1,6,17,64,,11.1,7,0.467,21,0.286,6,53.4,31,0.572,21.4,15,24,0.583,14,1.0,4,"November 16, 2018",57.1,12,8.3,2,101.6,76.9,20,0.434,53,0.396,21,0.264,14,0.929,13,2,200,93.7,21.9,7,18,59,,4.8,3,0.358,19,0.211,4,46.6,27,0.495,13.2,9,34,0.5,17,0.333,1,"Dale F. Halton Arena, Charlotte, North Carolina",CHARLOTTE,Charlotte,63.3,Away,JAMES-MADISON,James Madison,James Madison,colonial
2018-11-20-19-james-madison,46.7,14,5.1,2,101.2,60.0,27,0.479,72,0.417,30,0.375,27,0.815,22,2,225,112.3,18.6,8,19,91,,9.9,8,0.389,28,0.321,9,39.8,35,0.536,6.7,6,44,0.477,21,0.6,3,"November 20, 2018",60.7,17,9.1,4,112.3,81.4,35,0.471,69,0.406,28,0.348,24,0.708,17,1,225,101.2,40.0,18,24,82,,3.7,3,0.435,30,0.3,9,60.2,53,0.51,16.7,16,39,0.487,19,0.8,4,"JMU Convocation Center, Harrisonburg, Virginia",JAMES-MADISON,James Madison,71.7,Away,CITADEL,Citadel,James Madison,colonial
2018-11-23-14-oakland,69.0,20,7.4,2,122.2,74.1,20,0.533,61,0.475,29,0.148,9,0.444,4,2,200,109.5,42.4,14,16,69,,9.5,6,0.246,15,0.467,7,56.7,34,0.529,15.6,12,46,0.478,22,0.667,4,"November 23, 2018",84.6,22,4.3,2,109.5,57.6,19,0.585,53,0.491,26,0.321,17,0.882,15,3,200,122.2,25.9,7,13,77,,11.1,7,0.491,26,0.385,10,43.3,26,0.63,11.7,8,27,0.593,16,0.4,2,"Athletics Center O'rena, Rochester, Michigan",JAMES-MADISON,James Madison,62.7,Home,OAKLAND,Oakland,James Madison,colonial
2018-11-24-12-james-madison,57.1,16,0.0,0,130.0,64.0,16,0.573,55,0.509,28,0.255,14,0.786,11,2,200,123.3,33.3,8,15,74,,5.0,3,0.273,15,0.467,7,49.0,24,0.6,10.3,7,40,0.525,21,0.6,3,"November 24, 2018",72.0,18,5.0,2,123.3,66.7,16,0.596,52,0.481,25,0.327,17,0.941,16,2,200,130.0,36.0,9,13,78,,3.3,2,0.5,26,0.462,12,51.0,25,0.649,11.9,8,26,0.5,13,0.714,5,"Athletics Center O'rena, Rochester, Michigan",NORTHERN-ILLINOIS,Northern Illinois,59.9,Home,JAMES-MADISON,James Madison,James Madison,colonial
2018-11-25-12-james-madison,65.2,15,14.3,5,87.3,82.4,28,0.481,54,0.426,23,0.593,32,0.813,26,6,225,98.7,32.3,10,21,78,,5.1,4,0.315,17,0.353,6,58.5,38,0.564,24.4,22,37,0.459,17,0.333,3,"November 25, 2018",63.2,12,8.1,3,98.7,67.7,21,0.396,53,0.358,19,0.604,32,0.844,27,3,225,87.3,17.6,6,23,69,,16.5,13,0.34,18,0.222,4,41.5,27,0.506,18.3,15,35,0.429,15,0.625,5,"Athletics Center O'rena, Rochester, Michigan",JAMES-MADISON,James Madison,70.4,Away,ORAL-ROBERTS,Oral Roberts,James Madison,colonial
2018-11-29-19-james-madison,40.7,11,12.2,5,100.0,66.7,18,0.444,72,0.375,27,0.181,13,0.538,7,8,225,87.7,38.5,15,23,71,,7.4,6,0.403,29,0.345,10,50.0,33,0.454,20.5,20,43,0.395,17,0.0,0,"November 29, 2018",34.6,9,16.3,7,87.7,61.5,24,0.5,56,0.464,26,0.625,35,0.714,25,3,225,100.0,33.3,9,17,81,,17.3,14,0.268,15,0.267,4,50.0,33,0.558,17.4,15,41,0.537,22,0.667,6,"JMU Convocation Center, Harrisonburg, Virginia",COPPIN-STATE,Coppin State,71.9,Home,JAMES-MADISON,James Madison,James Madison,colonial
2018-12-01-19-old-dominion,40.0,6,0.0,0,106.3,65.6,21,0.317,52,0.288,15,0.308,16,0.563,9,4,200,66.7,28.2,11,18,42,,11.1,7,0.269,14,0.214,3,45.1,32,0.352,20.3,15,38,0.316,12,0.6,6,"December 1, 2018",64.0,16,21.1,8,66.7,71.8,28,0.527,55,0.455,25,0.218,12,0.75,9,3,200,106.3,34.4,11,20,67,,9.5,6,0.382,21,0.381,8,54.9,39,0.552,17.7,13,34,0.5,17,0.625,5,"Ted Constant Convocation Ctr., Norfolk, Virginia",JAMES-MADISON,James Madison,63.2,Home,OLD-DOMINION,Old Dominion,James Madison,colonial
2018-12-04-19-james-madison,53.8,14,9.7,3,110.6,68.0,17,0.527,55,0.473,26,0.2,11,0.727,8,2,200,100.0,15.4,4,20,66,,15.2,10,0.309,17,0.353,6,41.2,21,0.548,14.3,10,38,0.526,20,0.75,6,"December 4, 2018",44.0,11,5.3,2,100.0,84.6,22,0.596,52,0.481,25,0.346,18,0.611,11,4,200,110.6,32.0,8,15,73,,7.6,5,0.404,21,0.571,12,58.8,30,0.603,18.9,14,31,0.419,13,0.636,7,"JMU Convocation Center, Harrisonburg, Virginia",RADFORD,Radford,66.4,Home,JAMES-MADISON,James Madison,James Madison,colonial
