,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-kansas,73.1,19,15.2,7,105.7,74.4,32,0.542,59,0.441,26,0.593,35,0.657,23,1,202,100.0,16.1,5,25,87,10,5.7,5,0.39,23,0.522,12,50.0,37,0.575,19.5,18,36,0.389,14,0.0,0,"November 6, 2018",67.7,21,19.4,7,100.0,83.9,26,0.522,69,0.449,31,0.478,33,0.606,20,0,202,105.7,25.6,11,28,92,1,11.5,10,0.333,23,0.435,10,50.0,37,0.543,11.6,11,46,0.457,21,1.0,1,"Bankers Life Fieldhouse, Indianapolis, Indiana",MICHIGAN-STATE,Michigan State,85.8,Home,KANSAS,Kansas,Kansas,big-12
2018-11-12-21-kansas,47.8,11,4.5,2,116.7,75.9,22,0.491,56,0.411,23,0.304,17,0.765,13,1,200,94.4,14.3,5,13,68,,4.2,3,0.464,26,0.346,9,42.2,27,0.531,15.9,12,30,0.467,14,0.5,1,"November 12, 2018",57.6,19,6.7,2,94.4,85.7,30,0.619,63,0.524,33,0.159,10,0.6,6,0,200,116.7,24.1,7,18,84,2,9.7,7,0.302,19,0.632,12,57.8,37,0.62,16.2,13,44,0.477,21,1.0,2,"Allen Fieldhouse, Lawrence, Kansas",VERMONT,Vermont,72.4,Home,KANSAS,Kansas,Kansas,big-12
2018-11-16-20-kansas,59.3,16,0.0,0,115.6,56.8,21,0.524,63,0.429,27,0.19,12,0.833,10,2,200,98.7,20.0,6,20,76,,13.0,10,0.571,36,0.333,12,40.3,27,0.553,17.0,14,27,0.556,15,0.333,1,"November 16, 2018",62.5,20,18.5,5,98.7,80.0,24,0.554,65,0.492,32,0.4,26,0.654,17,0,200,115.6,43.2,16,13,89,2,7.8,6,0.338,22,0.364,8,59.7,40,0.575,17.3,16,43,0.558,24,1.0,3,"Allen Fieldhouse, Lawrence, Kansas",LOUISIANA-LAFAYETTE,Louisiana,77.0,Home,KANSAS,Kansas,Kansas,big-12
2018-11-21-19-kansas,68.0,17,14.6,7,110.0,73.3,22,0.533,60,0.417,25,0.083,5,0.8,4,2,200,97.1,16.7,5,22,68,,2.9,2,0.517,31,0.452,14,45.0,27,0.545,17.3,13,29,0.379,11,0.6,3,"November 21, 2018",35.7,10,17.2,5,97.1,83.3,25,0.526,58,0.483,28,0.414,24,0.667,16,0,200,110.0,26.7,8,15,77,2,8.6,6,0.172,10,0.5,5,55.0,33,0.555,10.4,8,48,0.479,23,1.0,4,"Barclays Center, Brooklyn, New York",MARQUETTE,Marquette,69.9,Home,KANSAS,Kansas,Kansas,big-12
2018-11-23-21-kansas,61.3,19,9.3,4,103.6,75.0,27,0.46,75,0.413,31,0.227,17,0.706,12,1,225,96.4,29.3,12,25,81,5,6.0,5,0.36,27,0.259,7,50.6,39,0.488,14.5,14,48,0.5,24,0.8,4,"November 23, 2018",43.3,13,4.2,2,96.4,70.7,29,0.542,60,0.5,30,0.567,34,0.647,22,0,225,103.6,25.0,9,18,87,2,7.1,6,0.283,17,0.294,5,49.4,38,0.571,17.6,16,43,0.581,25,1.0,5,"Barclays Center, Brooklyn, New York",TENNESSEE,Tennessee,74.8,Home,KANSAS,Kansas,Kansas,big-12
2018-12-01-17-kansas,46.4,13,12.5,6,115.4,70.3,26,0.54,63,0.444,28,0.302,19,0.842,16,4,225,107.7,27.8,10,22,84,,3.8,3,0.54,34,0.353,12,49.3,36,0.583,20.1,18,29,0.552,16,0.5,4,"December 1, 2018",37.5,12,0.0,0,107.7,72.2,26,0.555,64,0.5,32,0.422,27,0.704,19,0,225,115.4,29.7,11,20,90,2,12.8,10,0.25,16,0.438,7,50.7,37,0.586,12.7,11,48,0.521,25,1.0,6,"Allen Fieldhouse, Lawrence, Kansas",STANFORD,Stanford,69.7,Home,KANSAS,Kansas,Kansas,big-12
2018-12-04-20-kansas,29.4,5,7.5,3,104.3,80.6,25,0.3,65,0.262,17,0.154,10,0.8,8,3,200,68.1,39.1,18,14,47,,1.4,1,0.4,26,0.192,5,55.8,43,0.337,20.6,18,39,0.308,12,0.667,6,"December 4, 2018",35.5,11,12.8,5,68.1,60.9,28,0.516,63,0.492,31,0.159,10,0.7,7,0,200,104.3,19.4,6,11,72,2,13.0,9,0.365,23,0.13,3,44.2,34,0.531,9.4,7,40,0.7,28,1.0,7,"Allen Fieldhouse, Lawrence, Kansas",WOFFORD,Wofford,69.3,Home,KANSAS,Kansas,Kansas,big-12
2018-12-08-20-kansas,80.0,20,10.8,4,96.9,67.6,23,0.518,55,0.455,25,0.182,10,0.3,3,2,200,92.3,30.0,9,15,60,,9.2,6,0.473,26,0.269,7,50.0,32,0.502,19.1,14,29,0.621,18,0.778,7,"December 8, 2018",60.0,15,13.8,4,92.3,70.0,21,0.491,58,0.431,25,0.207,12,0.5,6,0,200,96.9,32.4,11,15,63,2,10.8,7,0.362,21,0.333,7,50.0,32,0.495,17.0,13,37,0.486,18,1.0,8,"Sprint Center, Kansas City, Missouri",NEW-MEXICO-STATE,New Mexico State,65.2,Home,KANSAS,Kansas,Kansas,big-12
2018-12-15-12-kansas,33.3,8,6.5,2,110.4,65.2,15,0.475,59,0.407,24,0.322,19,0.789,15,4,200,106.0,30.3,10,21,71,17,7.5,5,0.475,28,0.286,8,44.6,25,0.522,11.8,9,31,0.516,16,0.667,8,"December 15, 2018",39.1,9,6.5,2,106.0,69.7,23,0.554,46,0.5,23,0.652,30,0.767,23,0,200,110.4,34.8,8,19,74,1,6.0,4,0.326,15,0.333,5,55.4,31,0.614,19.1,14,31,0.581,18,1.0,9,"Allen Fieldhouse, Lawrence, Kansas",VILLANOVA,Villanova,66.6,Home,KANSAS,Kansas,Kansas,big-12
2018-12-18-20-kansas,63.6,14,4.7,2,118.7,68.8,22,0.405,58,0.379,22,0.224,13,0.462,6,6,200,70.7,17.9,7,15,53,,10.7,8,0.224,13,0.231,3,40.8,29,0.413,21.1,17,45,0.422,19,0.5,6,"December 18, 2018",55.9,19,11.1,5,70.7,82.1,32,0.583,66,0.515,34,0.227,15,0.8,12,0,200,118.7,31.3,10,16,89,1,14.7,11,0.348,23,0.391,9,59.2,42,0.609,14.2,12,43,0.581,25,1.0,10,"Allen Fieldhouse, Lawrence, Kansas",SOUTH-DAKOTA,South Dakota,74.7,Home,KANSAS,Kansas,Kansas,big-12
