,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-08-19-arkansas-little-rock,66.7,22,7.7,3,121.7,74.1,20,0.538,78,0.423,33,0.154,12,0.667,8,0,225,110.8,40.0,18,19,92,,6.0,5,0.603,47,0.383,18,52.8,38,0.55,17.0,17,31,0.484,15,0.0,0,"November 8, 2018",60.5,23,9.7,3,110.8,60.0,27,0.647,68,0.559,38,0.338,23,0.565,13,0,225,121.7,25.9,7,16,101,,8.4,7,0.426,29,0.414,12,47.2,34,0.64,13.3,12,39,0.667,26,1.0,1,"Jack Stephens Center, Little Rock, Arkansas","SE Oklahoma St.
			","SE Oklahoma St.
			",74.1,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt
2018-11-13-20-tennessee-state,36.4,12,15.4,4,89.3,74.4,29,0.603,58,0.569,33,0.328,19,0.684,13,0,200,110.7,28.6,8,16,83,,9.3,7,0.259,15,0.267,4,55.2,37,0.619,19.4,16,43,0.674,29,1.0,2,"November 13, 2018",70.8,17,7.0,3,110.7,71.4,20,0.492,61,0.393,24,0.23,14,0.5,7,2,200,89.3,25.6,10,21,67,,8.0,6,0.574,35,0.343,12,44.8,30,0.495,20.2,17,26,0.462,12,0.0,0,"Gentry Center Complex, Nashville, Tennessee",TENNESSEE-STATE,Tennessee State,74.8,Away,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt
2018-11-16-23-nevada,59.1,13,6.9,2,113.0,90.0,27,0.413,63,0.349,22,0.27,17,0.412,7,1,200,76.6,11.4,5,24,59,,7.8,6,0.476,30,0.267,8,43.2,32,0.415,14.5,12,33,0.424,14,0.667,2,"November 16, 2018",73.3,22,15.2,5,76.6,88.6,39,0.625,56,0.536,30,0.446,25,0.68,17,0,200,113.0,10.0,3,20,87,6,5.2,4,0.482,27,0.37,10,56.8,42,0.641,14.1,11,29,0.69,20,1.0,3,"Lawlor Events Center, Reno, Nevada",ARKANSAS-LITTLE-ROCK,Little Rock,77.0,Home,NEVADA,Nevada,Little Rock,sun-belt
2018-11-19-20-tulsa,48.3,14,7.9,3,108.6,78.4,29,0.563,56,0.518,29,0.5,28,0.536,15,2,200,96.3,23.5,8,32,78,,7.4,6,0.214,12,0.417,5,52.1,37,0.563,21.8,19,44,0.545,24,0.5,2,"November 19, 2018",50.0,14,13.6,6,96.3,76.5,26,0.526,58,0.483,28,0.672,39,0.692,27,0,200,108.6,21.6,8,23,88,,12.3,10,0.345,20,0.25,5,47.9,34,0.575,14.7,13,38,0.605,23,1.0,4,"Donald W. Reynolds Center, Tulsa, Oklahoma",ARKANSAS-LITTLE-ROCK,Little Rock,80.9,Home,TULSA,Tulsa,Little Rock,sun-belt
2018-11-23-16-arkansas-little-rock,21.4,6,2.9,1,116.9,85.0,17,0.464,69,0.406,28,0.217,15,0.8,12,2,200,91.6,22.0,9,23,76,,6.0,5,0.391,27,0.296,8,42.6,26,0.499,17.5,16,42,0.476,20,0.667,4,"November 23, 2018",58.1,18,4.8,2,91.6,78.0,32,0.67,53,0.585,31,0.585,31,0.839,26,2,200,116.9,15.0,3,16,97,,3.6,3,0.34,18,0.5,9,57.4,35,0.716,22.2,19,35,0.629,22,0.6,3,"Jack Stephens Center, Little Rock, Arkansas",HOWARD,Howard,83.4,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt
2018-11-24-16-arkansas-little-rock,51.9,14,8.1,3,91.7,73.5,25,0.492,65,0.415,27,0.292,19,0.579,11,4,200,104.2,22.5,9,17,75,,8.3,6,0.431,28,0.357,10,45.9,34,0.507,8.7,7,37,0.459,17,0.333,2,"November 24, 2018",50.0,13,10.8,4,104.2,77.5,31,0.5,56,0.464,26,0.339,19,0.526,10,3,200,91.7,26.5,9,18,66,,6.9,5,0.339,19,0.211,4,54.1,40,0.507,18.9,15,37,0.595,22,0.5,3,"Jack Stephens Center, Little Rock, Arkansas",ARKANSAS-LITTLE-ROCK,Little Rock,71.5,Away,ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,Little Rock,sun-belt
2018-11-28-20-central-arkansas,51.9,14,6.1,2,101.3,86.2,25,0.462,66,0.409,27,0.318,21,0.19,4,4,200,84.4,30.4,14,20,65,,11.7,9,0.379,25,0.28,7,52.0,39,0.428,17.5,16,41,0.488,20,0.429,3,"November 28, 2018",63.0,17,4.9,2,84.4,69.6,32,0.604,53,0.509,27,0.358,19,0.737,14,4,200,101.3,13.8,4,20,78,,6.5,5,0.377,20,0.5,10,48.0,36,0.629,21.7,17,33,0.515,17,0.429,3,"Jeff Farris Center, Conway, Arkansas",ARKANSAS-LITTLE-ROCK,Little Rock,76.5,Home,CENTRAL-ARKANSAS,Central Arkansas,Little Rock,sun-belt
2018-12-01-16-arkansas-little-rock,47.4,9,0.0,0,117.9,77.4,24,0.391,55,0.345,19,0.255,14,0.643,9,6,200,77.6,25.7,9,27,52,,4.5,3,0.491,27,0.185,5,50.0,33,0.422,19.7,15,28,0.5,14,0.333,3,"December 1, 2018",52.2,12,7.1,2,77.6,74.3,26,0.583,48,0.479,23,0.646,31,0.742,23,4,200,117.9,22.6,7,13,79,,6.0,4,0.458,22,0.455,10,50.0,33,0.63,14.0,10,26,0.5,13,0.5,4,"Jack Stephens Center, Little Rock, Arkansas",SAM-HOUSTON-STATE,Sam Houston State,66.7,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt
2018-12-04-19-arkansas-little-rock,59.1,13,15.2,5,91.2,62.5,15,0.482,55,0.4,22,0.436,24,0.625,15,3,200,100.0,35.1,13,20,68,,7.4,5,0.455,25,0.36,9,45.9,28,0.512,18.6,15,30,0.433,13,0.7,7,"December 4, 2018",58.3,14,10.0,3,100.0,64.9,24,0.553,47,0.511,24,0.468,22,0.455,10,5,200,91.2,37.5,9,24,62,,8.8,6,0.298,14,0.286,4,54.1,33,0.54,26.1,20,33,0.606,20,0.444,4,"Jack Stephens Center, Little Rock, Arkansas",ARKANSAS-LITTLE-ROCK,Little Rock,68.4,Away,BRADLEY,Bradley,Little Rock,sun-belt
2018-12-08-18-arkansas-little-rock,48.4,15,2.8,1,115.5,76.5,13,0.569,65,0.477,31,0.2,13,0.846,11,5,200,119.7,47.1,16,19,85,,7.0,5,0.492,32,0.375,12,56.9,29,0.597,16.5,14,33,0.576,19,0.444,4,"December 8, 2018",56.7,17,3.0,1,119.7,52.9,18,0.681,47,0.638,30,0.447,21,0.857,18,6,200,115.5,23.5,4,15,82,,11.3,8,0.234,11,0.364,4,43.1,22,0.72,25.3,19,36,0.722,26,0.4,4,"Jack Stephens Center, Little Rock, Arkansas",ARKANSAS-LITTLE-ROCK,Little Rock,70.6,Away,CENTRAL-ARKANSAS,Central Arkansas,Little Rock,sun-belt
