,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-army,29.6,8,0.0,0,110.6,81.3,26,0.548,52,0.519,27,0.462,24,0.5,12,1,200,104.5,26.7,8,23,69,,6.1,4,0.288,15,0.2,3,54.8,34,0.544,16.1,12,37,0.649,24,0.0,0,"November 6, 2018",63.6,14,2.7,1,104.5,73.3,22,0.52,51,0.431,22,0.569,29,0.69,20,0,200,110.6,18.8,6,22,73,,7.6,5,0.588,30,0.3,9,45.2,28,0.563,8.6,6,21,0.619,13,1.0,1,"Christl Arena, West Point, New York",MARIST,Marist,66.1,Home,ARMY,Army,Marist,maac
2018-11-10-19-marist,61.5,16,10.3,3,112.3,67.7,21,0.527,56,0.464,26,0.429,24,0.708,17,1,200,104.1,23.5,8,23,76,,12.3,9,0.411,23,0.304,7,44.6,29,0.564,17.4,14,33,0.576,19,0.0,0,"November 10, 2018",44.8,13,6.1,2,104.1,76.5,26,0.614,57,0.509,29,0.386,22,0.545,12,1,200,112.3,32.3,10,24,82,,5.5,4,0.491,28,0.429,12,55.4,36,0.608,19.4,16,29,0.586,17,0.5,1,"McCann Recreation Center, Poughkeepsie, New York",COLUMBIA,Columbia,73.4,Home,MARIST,Marist,Marist,maac
2018-11-13-19-lehigh,82.6,19,0.0,0,109.9,78.1,25,0.555,55,0.418,23,0.255,14,0.786,11,2,200,101.4,6.7,2,14,72,,9.9,7,0.527,29,0.517,15,43.5,27,0.584,16.4,12,26,0.308,8,0.333,1,"November 13, 2018",55.2,16,0.0,0,101.4,93.3,28,0.592,60,0.483,29,0.167,10,0.7,7,1,200,109.9,21.9,7,14,78,,5.6,4,0.45,27,0.481,13,56.5,35,0.602,15.7,12,33,0.485,16,0.667,2,"Stabler Arena, Bethlehem, Pennsylvania",MARIST,Marist,70.7,Home,LEHIGH,Lehigh,Marist,maac
2018-11-20-20-stephen-f-austin,78.9,15,0.0,0,100.0,64.5,20,0.625,40,0.475,19,0.35,14,0.714,10,3,200,93.8,8.7,2,23,60,,9.4,6,0.575,23,0.522,12,40.7,22,0.643,26.9,17,17,0.412,7,0.25,1,"November 20, 2018",60.9,14,17.6,3,93.8,91.3,21,0.481,54,0.426,23,0.37,20,0.6,12,1,200,100.0,35.5,11,20,64,,9.4,6,0.352,19,0.316,6,59.3,32,0.504,18.2,14,35,0.486,17,0.75,3,"William Johnson Coliseum, Nacogdoches, Texas",MARIST,Marist,64.1,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Marist,maac
2018-11-24-14-buffalo,57.9,11,4.8,1,115.2,80.8,21,0.382,55,0.345,19,0.145,8,0.875,7,4,200,74.2,27.8,10,16,49,,9.1,6,0.327,18,0.222,4,50.0,31,0.417,21.5,16,37,0.405,15,0.2,1,"November 24, 2018",74.1,20,18.9,7,74.2,72.2,26,0.66,53,0.509,27,0.189,10,0.6,6,0,200,115.2,19.2,5,13,76,22,9.1,6,0.604,32,0.5,16,50.0,31,0.658,19.6,14,21,0.524,11,1.0,5,"Alumni Arena, Buffalo, New York",MARIST,Marist,65.8,Home,BUFFALO,Buffalo,Marist,maac
2018-11-29-11-marist,55.0,11,3.0,1,116.9,81.8,18,0.462,53,0.377,20,0.226,12,0.75,9,4,200,89.2,12.9,4,16,58,,3.1,2,0.453,24,0.375,9,41.5,22,0.494,17.1,12,29,0.379,11,0.429,3,"November 29, 2018",55.6,15,13.8,4,89.2,87.1,27,0.608,51,0.529,27,0.294,15,0.933,14,4,200,116.9,18.2,4,13,76,,4.6,3,0.353,18,0.444,8,58.5,31,0.654,14.8,10,33,0.576,19,0.333,2,"SSE Arena, Belfast",DARTMOUTH,Dartmouth,65.4,Home,MARIST,Marist,Marist,maac
2018-11-30-14-long-island-university,59.3,16,13.0,3,77.9,74.3,26,0.526,57,0.474,27,0.298,17,0.588,10,4,200,102.9,30.0,9,19,70,,14.7,10,0.404,23,0.261,6,53.8,35,0.538,16.8,13,34,0.618,21,0.429,3,"November 30, 2018",41.2,7,8.8,3,102.9,70.0,21,0.396,53,0.321,17,0.302,16,0.688,11,4,200,77.9,25.7,9,19,53,,11.8,8,0.566,30,0.267,8,46.2,30,0.437,21.0,16,23,0.391,9,0.5,4,"SSE Arena, Belfast",LONG-ISLAND-UNIVERSITY,LIU,68.3,Away,MARIST,Marist,Marist,maac
2018-12-08-13-stetson,60.7,17,8.3,2,107.1,82.1,23,0.591,55,0.509,28,0.364,20,0.7,14,4,200,112.9,23.3,7,17,79,,12.9,9,0.364,20,0.45,9,51.7,30,0.612,13.6,10,35,0.543,19,0.5,4,"December 8, 2018",72.0,18,5.7,2,112.9,76.7,23,0.575,53,0.472,25,0.34,18,0.778,14,9,200,107.1,17.9,5,20,75,,8.6,6,0.547,29,0.379,11,48.3,28,0.609,19.8,15,24,0.583,14,0.182,2,"Edmunds Center, DeLand, Florida",STETSON,Stetson,69.5,Away,MARIST,Marist,Marist,maac
2018-12-15-14-colgate,52.2,12,0.0,0,110.8,62.1,18,0.442,60,0.383,23,0.367,22,0.591,13,5,200,89.2,11.1,4,27,66,,12.2,9,0.467,28,0.25,7,33.8,22,0.468,13.6,11,32,0.5,16,0.444,4,"December 15, 2018",50.0,13,9.4,3,89.2,88.9,32,0.558,52,0.5,26,0.577,30,0.8,24,4,200,110.8,37.9,11,19,82,,5.4,4,0.404,21,0.286,6,66.2,43,0.619,19.7,16,31,0.645,20,0.667,8,"Cotterell Court, Hamilton, New York",MARIST,Marist,74.4,Home,COLGATE,Colgate,Marist,maac
2018-12-19-11-new-hampshire,43.5,10,4.8,1,80.3,86.1,31,0.542,48,0.479,23,0.417,20,0.3,6,5,200,95.1,15.6,5,10,58,,4.9,3,0.333,16,0.375,6,52.9,36,0.504,15.0,10,32,0.531,17,0.5,5,"December 19, 2018",63.2,12,0.0,0,95.1,84.4,27,0.444,54,0.352,19,0.093,5,0.2,1,9,200,80.3,13.9,5,17,49,,4.9,3,0.611,33,0.303,10,47.1,32,0.435,13.8,9,21,0.429,9,0.182,2,"Lundholm Gymnasium, Durham, New Hampshire",NEW-HAMPSHIRE,New Hampshire,61.4,Away,MARIST,Marist,Marist,maac
