,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-21-marquette,64.3,9,3.6,1,97.1,69.7,23,0.274,62,0.226,14,0.194,12,0.667,8,1,194,60.9,17.8,8,19,42,,2.9,2,0.452,28,0.214,6,39.7,31,0.31,14.1,11,34,0.235,8,0.0,0,"November 6, 2018",50.0,12,26.5,9,60.9,82.2,37,0.467,60,0.4,24,0.267,16,0.688,11,0,194,97.1,30.3,10,16,67,,2.9,2,0.533,32,0.25,8,60.3,47,0.496,13.0,10,28,0.571,16,1.0,1,"Fiserv Forum, Milwaukee, Wisconsin",MARYLAND-BALTIMORE-COUNTY,UMBC,71.3,Home,MARQUETTE,Marquette,Marquette,big-east
2018-11-10-16-marquette,35.0,7,6.7,2,110.8,76.0,19,0.312,69,0.29,20,0.319,22,0.727,16,2,200,71.1,23.3,10,19,59,,13.3,11,0.275,19,0.158,3,42.6,29,0.371,15.1,14,50,0.34,17,0.0,0,"November 10, 2018",69.0,20,14.0,7,71.1,76.7,33,0.632,57,0.509,29,0.386,22,0.909,20,0,200,110.8,24.0,6,16,92,,6.0,5,0.474,27,0.519,14,57.4,39,0.682,24.0,21,30,0.5,15,1.0,2,"Fiserv Forum, Milwaukee, Wisconsin",BETHUNE-COOKMAN,Bethune-Cookman,83.0,Home,MARQUETTE,Marquette,Marquette,big-east
2018-11-14-20-indiana,32.0,8,0.0,0,128.0,79.2,19,0.466,59,0.424,25,0.441,26,0.692,18,1,200,97.3,23.1,9,20,73,24,2.7,2,0.39,23,0.217,5,44.4,28,0.512,16.6,14,36,0.556,20,0.667,2,"November 14, 2018",51.4,18,13.9,5,97.3,76.9,30,0.718,55,0.636,35,0.418,23,0.739,17,0,200,128.0,20.8,5,26,96,,9.3,7,0.364,20,0.45,9,55.6,35,0.728,15.6,12,35,0.743,26,1.0,3,"Assembly Hall, Bloomington, Indiana",MARQUETTE,Marquette,74.6,Home,INDIANA,Indiana,Marquette,big-east
2018-11-17-13-marquette,73.7,14,10.0,3,108.8,60.9,14,0.41,61,0.311,19,0.148,9,0.556,5,2,200,80.9,15.0,6,16,55,,13.2,9,0.475,29,0.414,12,31.7,20,0.421,11.0,8,32,0.219,7,0.6,3,"November 17, 2018",84.0,21,12.5,4,80.9,85.0,34,0.536,55,0.455,25,0.327,18,0.833,15,1,200,108.8,39.1,9,12,74,24,7.4,5,0.455,25,0.36,9,68.3,43,0.582,19.3,15,30,0.533,16,0.75,3,"Fiserv Forum, Milwaukee, Wisconsin",PRESBYTERIAN,Presbyterian,68.4,Home,MARQUETTE,Marquette,Marquette,big-east
2018-11-21-19-kansas,68.0,17,14.6,7,110.0,73.3,22,0.533,60,0.417,25,0.083,5,0.8,4,2,200,97.1,16.7,5,22,68,,2.9,2,0.517,31,0.452,14,45.0,27,0.545,17.3,13,29,0.379,11,0.6,3,"November 21, 2018",35.7,10,17.2,5,97.1,83.3,25,0.526,58,0.483,28,0.414,24,0.667,16,0,200,110.0,26.7,8,15,77,2,8.6,6,0.172,10,0.5,5,55.0,33,0.555,10.4,8,48,0.479,23,1.0,4,"Barclays Center, Brooklyn, New York",MARQUETTE,Marquette,69.9,Home,KANSAS,Kansas,Marquette,big-east
2018-11-23-19-marquette,38.5,10,11.1,5,102.7,71.9,23,0.42,69,0.377,26,0.304,21,0.762,16,2,225,98.7,30.0,12,21,74,,8.0,6,0.29,20,0.3,6,48.6,35,0.469,11.3,10,49,0.408,20,0.6,3,"November 23, 2018",44.0,11,8.2,4,98.7,70.0,28,0.452,63,0.397,25,0.365,23,0.87,20,2,225,102.7,28.1,9,20,77,,8.0,6,0.286,18,0.389,7,51.4,37,0.521,11.0,9,45,0.4,18,0.667,4,"Barclays Center, Brooklyn, New York",LOUISVILLE,Louisville,67.1,Home,MARQUETTE,Marquette,Marquette,big-east
2018-11-27-20-marquette,50.0,11,3.2,1,104.1,65.4,17,0.438,56,0.393,22,0.196,11,0.545,6,3,200,75.3,25.0,8,17,55,,15.1,11,0.232,13,0.385,5,43.1,25,0.449,21.8,17,43,0.395,17,0.571,4,"November 27, 2018",76.7,23,11.6,5,75.3,75.0,24,0.579,63,0.476,30,0.111,7,0.429,3,2,200,104.1,34.6,9,17,76,,15.1,11,0.508,32,0.406,13,56.9,33,0.573,22.3,19,31,0.548,17,0.714,5,"Fiserv Forum, Milwaukee, Wisconsin",CHARLESTON-SOUTHERN,Charleston Southern,73.3,Home,MARQUETTE,Marquette,Marquette,big-east
2018-12-01-14-marquette,47.8,11,0.0,0,107.8,83.3,15,0.473,55,0.418,23,0.564,31,0.613,19,1,200,92.2,14.7,5,29,71,12,10.4,8,0.4,22,0.273,6,38.5,20,0.509,15.9,13,33,0.515,17,0.857,6,"December 1, 2018",36.0,9,0.0,0,92.2,85.3,29,0.636,44,0.568,25,0.818,36,0.75,27,2,200,107.8,16.7,3,24,83,,10.4,8,0.5,22,0.273,6,61.5,32,0.679,23.1,18,22,0.864,19,0.75,6,"Fiserv Forum, Milwaukee, Wisconsin",KANSAS-STATE,Kansas State,76.9,Home,MARQUETTE,Marquette,Marquette,big-east
2018-12-04-20-marquette,44.0,11,0.0,0,101.3,76.5,26,0.475,59,0.424,25,0.322,19,0.684,13,5,200,92.0,18.9,7,22,69,,10.7,8,0.339,20,0.3,6,46.5,33,0.507,18.2,15,39,0.487,19,0.375,3,"December 4, 2018",55.2,16,7.7,3,92.0,81.1,30,0.525,59,0.492,29,0.356,21,0.667,14,2,200,101.3,23.5,8,20,76,,9.3,7,0.373,22,0.182,4,53.5,38,0.551,16.0,13,37,0.676,25,0.778,7,"Fiserv Forum, Milwaukee, Wisconsin",TEXAS-EL-PASO,UTEP,75.0,Home,MARQUETTE,Marquette,Marquette,big-east
2018-12-08-17-marquette,55.6,15,4.3,2,97.4,72.7,32,0.546,54,0.5,27,0.389,21,0.476,10,2,225,90.8,7.1,2,21,69,12,5.3,4,0.444,24,0.208,5,47.2,34,0.539,15.9,12,30,0.733,22,0.8,8,"December 8, 2018",47.8,11,13.3,4,90.8,92.9,26,0.4,65,0.354,23,0.523,34,0.647,22,2,225,97.4,27.3,12,18,74,,6.6,5,0.277,18,0.333,6,52.8,38,0.456,9.1,8,47,0.362,17,0.8,8,"Fiserv Forum, Milwaukee, Wisconsin",WISCONSIN,Wisconsin,67.2,Home,MARQUETTE,Marquette,Marquette,big-east
