,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-10-19-butler,32.0,8,5.4,2,134.3,56.0,14,0.492,63,0.397,25,0.111,7,0.857,6,1,200,101.5,20.0,6,18,68,,11.9,8,0.524,33,0.364,12,36.4,20,0.513,10.8,8,30,0.433,13,0.0,0,"November 10, 2018",51.4,18,6.7,2,101.5,80.0,24,0.672,58,0.603,35,0.293,17,0.706,12,0,200,134.3,44.0,11,17,90,,3.0,2,0.362,21,0.381,8,63.6,35,0.681,14.4,11,37,0.73,27,1.0,1,"Hinkle Fieldhouse, Indianapolis, Indiana",MIAMI-OH,Miami (OH),67.2,Home,BUTLER,Butler,Miami (OH),mac
2018-11-12-19-miami-oh,62.5,10,0.0,0,115.2,76.7,23,0.303,61,0.262,16,0.197,12,0.417,5,0,200,53.2,18.6,8,17,42,,3.8,3,0.508,31,0.161,5,42.5,31,0.315,24.1,21,30,0.367,11,0.0,0,"November 12, 2018",33.3,12,26.7,8,53.2,81.4,35,0.602,64,0.563,36,0.297,19,0.737,14,1,200,115.2,23.3,7,12,91,,13.9,11,0.328,21,0.238,5,57.5,42,0.623,14.2,12,43,0.721,31,0.5,1,"Millett Hall, Oxford, Ohio","Midway
			","Midway
			",78.9,Home,MIAMI-OH,Miami (OH),Miami (OH),mac
2018-11-16-14-miami-oh,47.6,10,3.6,1,139.1,56.5,13,0.539,51,0.412,21,0.608,31,0.742,23,2,200,121.9,33.3,11,20,78,,7.8,5,0.667,34,0.382,13,42.9,24,0.593,11.0,8,17,0.471,8,0.333,1,"November 16, 2018",53.1,17,5.9,1,121.9,66.7,22,0.691,55,0.582,32,0.273,15,0.867,13,1,200,139.1,43.5,10,24,89,,4.7,3,0.491,27,0.444,12,57.1,32,0.716,17.4,13,28,0.714,20,0.667,2,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",NORTH-DAKOTA-STATE,North Dakota State,63.9,Home,MIAMI-OH,Miami (OH),Miami (OH),mac
2018-11-17-17-miami-oh,47.8,11,0.0,0,106.0,50.0,14,0.598,46,0.5,23,0.565,26,0.692,18,0,200,109.0,21.7,5,24,73,,6.0,4,0.413,19,0.474,9,37.3,19,0.626,20.7,15,27,0.519,14,1.0,4,"November 17, 2018",42.1,8,7.4,2,109.0,78.3,18,0.448,48,0.396,19,0.688,33,0.848,28,2,200,106.0,50.0,14,28,71,,3.0,2,0.375,18,0.278,5,62.7,32,0.558,20.4,16,30,0.467,14,0.5,2,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",MIAMI-OH,Miami (OH),67.0,Away,MONTANA,Montana,Miami (OH),mac
2018-11-18-17-pepperdine,53.6,15,0.0,0,111.7,87.5,28,0.532,63,0.444,28,0.27,17,0.765,13,3,200,103.9,27.3,9,23,80,,3.9,3,0.492,31,0.355,11,56.9,37,0.563,16.6,14,32,0.531,17,0.4,2,"November 18, 2018",58.6,17,3.1,1,103.9,72.7,24,0.548,62,0.468,29,0.387,24,0.75,18,2,200,111.7,12.5,4,16,86,,6.5,5,0.484,30,0.333,10,43.1,28,0.586,11.0,9,32,0.594,19,0.6,3,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",MIAMI-OH,Miami (OH),77.2,Home,PEPPERDINE,Pepperdine,Miami (OH),mac
2018-11-24-14-miami-oh,63.6,14,2.8,1,116.4,66.7,24,0.406,64,0.344,22,0.109,7,0.429,3,5,200,75.3,15.4,6,17,55,,9.6,7,0.469,30,0.267,8,40.0,30,0.408,17.3,14,34,0.412,14,0.286,2,"November 24, 2018",56.3,18,8.8,3,75.3,84.6,33,0.561,66,0.485,32,0.242,16,0.688,11,3,200,116.4,33.3,12,9,85,,15.1,11,0.455,30,0.333,10,60.0,45,0.577,12.0,10,36,0.611,22,0.5,3,"Millett Hall, Oxford, Ohio",ARMY,Army,73.5,Home,MIAMI-OH,Miami (OH),Miami (OH),mac
2018-11-28-18-xavier,42.9,9,7.7,3,126.2,82.1,23,0.389,63,0.333,21,0.175,11,0.545,6,4,200,84.6,36.4,16,13,55,,3.1,2,0.46,29,0.241,7,54.2,39,0.403,16.1,13,34,0.412,14,0.429,3,"November 28, 2018",45.5,15,14.7,5,84.6,63.6,28,0.598,61,0.541,33,0.197,12,0.75,9,3,200,126.2,17.9,5,11,82,,13.8,9,0.361,22,0.318,7,45.8,33,0.615,4.3,3,39,0.667,26,0.571,4,"Cintas Center, Cincinnati, Ohio",MIAMI-OH,Miami (OH),65.0,Home,XAVIER,Xavier,Miami (OH),mac
2018-12-01-14-miami-oh,36.8,7,9.3,4,112.8,54.5,18,0.404,57,0.333,19,0.281,16,0.688,11,0,200,73.1,21.1,8,17,57,,15.4,12,0.368,21,0.381,8,36.6,26,0.441,25.6,22,36,0.306,11,0.0,0,"December 1, 2018",62.9,22,16.7,6,73.1,78.9,30,0.58,69,0.507,35,0.188,13,0.615,8,4,200,112.8,45.5,15,17,88,,14.1,11,0.377,26,0.385,10,63.4,45,0.585,19.4,18,43,0.581,25,0.5,4,"Millett Hall, Oxford, Ohio","Wilberforce
			","Wilberforce
			",78.4,Home,MIAMI-OH,Miami (OH),Miami (OH),mac
2018-12-05-19-wright-state,45.8,11,7.4,2,101.6,76.0,19,0.546,54,0.444,24,0.278,15,0.4,6,4,200,106.6,39.4,13,18,65,,3.3,2,0.426,23,0.478,11,55.2,32,0.532,17.7,13,31,0.419,13,0.556,5,"December 5, 2018",65.0,13,16.1,5,106.6,60.6,20,0.49,48,0.417,20,0.458,22,0.682,15,5,200,101.6,24.0,6,12,62,,8.2,5,0.438,21,0.333,7,44.8,26,0.53,13.5,9,27,0.481,13,0.444,4,"Ervin J. Nutter Center, Dayton, Ohio",WRIGHT-STATE,Wright State,61.3,Away,MIAMI-OH,Miami (OH),Miami (OH),mac
2018-12-08-14-miami-oh,36.7,11,20.0,5,118.1,81.3,26,0.589,56,0.536,30,0.304,17,0.765,13,6,200,109.7,35.7,10,19,79,,9.7,7,0.321,18,0.333,6,60.0,36,0.616,21.1,17,38,0.632,24,0.5,6,"December 8, 2018",46.7,14,7.9,3,109.7,64.3,18,0.625,60,0.5,30,0.317,19,0.526,10,4,200,118.1,18.8,6,18,85,,8.3,6,0.583,35,0.429,15,40.0,24,0.616,12.8,10,25,0.6,15,0.6,6,"Millett Hall, Oxford, Ohio",IPFW,Purdue-Fort Wayne,72.1,Home,MIAMI-OH,Miami (OH),Miami (OH),mac
2018-12-16-19-northern-kentucky,45.0,9,16.2,6,112.5,70.4,19,0.451,51,0.392,20,0.431,22,0.909,20,5,200,103.1,25.0,8,14,66,,4.7,3,0.49,25,0.24,6,45.8,27,0.537,12.9,9,26,0.538,14,0.545,6,"December 16, 2018",39.3,11,0.0,0,103.1,75.0,24,0.516,61,0.459,28,0.197,12,0.75,9,3,200,112.5,29.6,8,17,72,,4.7,3,0.393,24,0.292,7,54.2,32,0.54,9.6,7,37,0.568,21,0.75,9,"Bank of Kentucky Center, Highland Heights, Kentucky",MIAMI-OH,Miami (OH),64.1,Home,NORTHERN-KENTUCKY,Northern Kentucky,Miami (OH),mac
2018-12-20-19-miami-oh,62.5,10,3.2,1,114.5,63.2,24,0.43,43,0.372,16,0.535,23,0.783,18,12,200,79.7,11.1,3,22,55,,1.4,1,0.372,16,0.313,5,41.5,27,0.51,23.1,16,27,0.407,11,0.143,2,"December 20, 2018",48.3,14,7.4,2,79.7,88.9,24,0.522,67,0.433,29,0.299,20,0.45,9,5,200,114.5,36.8,14,22,79,,13.0,9,0.537,36,0.333,12,58.5,38,0.516,9.5,8,31,0.548,17,0.583,7,"Millett Hall, Oxford, Ohio",SOUTH-CAROLINA-STATE,South Carolina State,68.7,Home,MIAMI-OH,Miami (OH),Miami (OH),mac
2018-12-30-13-miami-oh,34.8,8,12.5,5,97.2,63.9,23,0.51,49,0.469,23,0.51,25,0.68,17,7,200,93.1,10.3,3,18,67,,5.6,4,0.286,14,0.286,4,40.0,26,0.55,17.8,13,35,0.543,19,0.462,6,"December 30, 2018",41.7,10,14.3,5,93.1,89.7,26,0.429,63,0.381,24,0.349,22,0.727,16,5,200,97.2,36.1,13,19,70,,9.7,7,0.365,23,0.261,6,60.0,39,0.477,15.2,13,40,0.45,18,0.615,8,"Millett Hall, Oxford, Ohio",EVANSVILLE,Evansville,72.2,Home,MIAMI-OH,Miami (OH),Miami (OH),mac
