,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-09-21-montana,28.6,8,16.7,5,102.5,75.0,24,0.431,72,0.389,28,0.333,24,0.5,12,1,200,93.7,40.0,18,31,74,,13.9,11,0.264,19,0.316,6,54.5,42,0.444,12.7,12,53,0.415,22,0.5,1,"November 9, 2018",54.2,13,9.4,5,93.7,60.0,27,0.482,55,0.436,24,0.782,43,0.651,28,0,200,102.5,25.0,8,20,81,,7.6,6,0.455,25,0.2,5,45.5,35,0.537,15.9,14,30,0.633,19,1.0,1,"Adams Center/Dahlberg Arena, Missoula, Montana",GEORGIA-STATE,Georgia State,79.4,Home,MONTANA,Montana,Montana,big-sky
2018-11-12-21-montana,73.7,14,0.0,0,109.7,80.8,21,0.441,51,0.373,19,0.196,10,1.0,10,0,200,76.4,12.9,4,24,55,,6.9,5,0.431,22,0.318,7,43.9,25,0.493,26.5,20,29,0.414,12,0.0,0,"November 12, 2018",51.7,15,10.3,3,76.4,87.1,27,0.6,55,0.527,29,0.382,21,0.619,13,0,200,109.7,19.2,5,16,79,,15.3,11,0.418,23,0.348,8,56.1,32,0.608,15.7,12,32,0.656,21,1.0,2,"Adams Center/Dahlberg Arena, Missoula, Montana","Montana Tech
			","Montana Tech
			",71.9,Home,MONTANA,Montana,Montana,big-sky
2018-11-16-11-montana,42.9,9,0.0,0,136.8,68.4,13,0.521,48,0.438,21,0.479,23,0.696,16,2,200,97.1,17.9,5,14,66,,7.4,5,0.333,16,0.5,8,38.3,18,0.56,17.1,12,32,0.406,13,0.6,3,"November 16, 2018",52.6,20,9.4,3,97.1,82.1,23,0.721,61,0.623,38,0.148,9,0.556,5,0,200,136.8,31.6,6,17,93,,10.3,7,0.426,26,0.462,12,61.7,29,0.712,13.3,10,35,0.743,26,1.0,3,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",INCARNATE-WORD,Incarnate Word,67.6,Home,MONTANA,Montana,Montana,big-sky
2018-11-17-17-miami-oh,47.8,11,0.0,0,106.0,50.0,14,0.598,46,0.5,23,0.565,26,0.692,18,0,200,109.0,21.7,5,24,73,,6.0,4,0.413,19,0.474,9,37.3,19,0.626,20.7,15,27,0.519,14,1.0,4,"November 17, 2018",42.1,8,7.4,2,109.0,78.3,18,0.448,48,0.396,19,0.688,33,0.848,28,2,200,106.0,50.0,14,28,71,,3.0,2,0.375,18,0.278,5,62.7,32,0.558,20.4,16,30,0.467,14,0.5,2,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",MIAMI-OH,Miami (OH),67.0,Away,MONTANA,Montana,Montana,big-sky
2018-11-18-20-georgia-southern,44.8,13,10.5,4,106.7,72.0,18,0.578,58,0.5,29,0.259,15,0.667,10,1,200,102.7,24.1,7,23,77,,10.7,8,0.448,26,0.346,9,46.3,25,0.591,19.9,16,32,0.625,20,0.8,4,"November 18, 2018",39.3,11,6.3,2,102.7,75.9,22,0.565,54,0.519,28,0.426,23,0.826,19,0,200,106.7,28.0,7,15,80,,5.3,4,0.296,16,0.313,5,53.7,29,0.616,21.9,18,38,0.605,23,1.0,5,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",MONTANA,Montana,75.0,Home,GEORGIA-SOUTHERN,Georgia Southern,Montana,big-sky
2018-11-28-20-creighton,50.0,13,10.3,3,142.0,60.9,14,0.638,47,0.553,26,0.468,22,0.545,12,2,200,104.3,15.4,4,24,72,,11.6,8,0.362,17,0.471,8,36.7,18,0.627,19.8,14,30,0.6,18,0.667,4,"November 28, 2018",53.1,17,3.3,1,104.3,84.6,22,0.726,53,0.604,32,0.566,30,0.7,21,1,200,142.0,39.1,9,19,98,,8.7,6,0.453,24,0.542,13,63.3,31,0.729,15.3,12,29,0.655,19,0.857,6,"CenturyLink Center, Omaha, Nebraska",MONTANA,Montana,68.9,Home,CREIGHTON,Creighton,Montana,big-sky
2018-12-03-21-montana,31.6,6,3.0,1,114.3,76.9,20,0.352,64,0.297,19,0.141,9,0.778,7,0,200,74.3,30.8,12,15,52,,10.0,7,0.422,27,0.259,7,49.2,32,0.381,19.1,16,37,0.324,12,0.0,0,"December 3, 2018",56.3,18,27.0,10,74.3,69.2,27,0.652,56,0.571,32,0.232,13,0.538,7,2,200,114.3,23.1,6,8,80,,8.6,6,0.411,23,0.391,9,50.8,33,0.643,16.3,12,33,0.697,23,0.714,5,"Adams Center/Dahlberg Arena, Missoula, Montana","College of Idaho
			","College of Idaho
			",70.2,Home,MONTANA,Montana,Montana,big-sky
2018-12-08-22-california-irvine,44.4,8,8.1,3,95.2,59.4,19,0.42,50,0.36,18,0.26,13,0.692,9,3,200,81.0,30.8,8,24,51,,14.3,9,0.44,22,0.273,6,46.6,27,0.454,23.4,17,28,0.429,12,0.625,5,"December 8, 2018",45.0,9,17.9,5,81.0,69.2,18,0.469,49,0.408,20,0.449,22,0.636,14,2,200,95.2,40.6,13,15,60,,15.9,10,0.245,12,0.5,6,53.4,31,0.505,20.4,15,37,0.378,14,0.818,9,"Bren Events Center, Irvine, California",MONTANA,Montana,63.3,Home,CALIFORNIA-IRVINE,UC-Irvine,Montana,big-sky
2018-12-17-21-montana,47.1,8,0.0,0,100.0,85.2,23,0.452,42,0.405,17,0.405,17,0.882,15,8,200,88.3,13.0,3,18,53,,6.7,4,0.429,18,0.222,4,52.0,26,0.529,22.1,14,24,0.542,13,0.333,4,"December 17, 2018",40.9,9,8.3,2,88.3,87.0,20,0.51,50,0.44,22,0.28,14,0.643,9,3,200,100.0,14.8,4,20,60,,5.0,3,0.34,17,0.412,7,48.0,24,0.53,11.1,7,33,0.455,15,0.667,6,"Adams Center/Dahlberg Arena, Missoula, Montana",NORTH-DAKOTA-STATE,North Dakota State,60.4,Home,MONTANA,Montana,Montana,big-sky
2018-12-19-20-arizona,57.1,8,4.8,2,87.1,76.7,23,0.317,52,0.269,14,0.192,10,0.9,9,4,200,60.0,8.6,3,20,42,,8.6,6,0.442,23,0.217,5,40.0,26,0.37,21.0,15,29,0.31,9,0.6,6,"December 19, 2018",41.7,10,17.2,5,60.0,91.4,32,0.463,54,0.444,24,0.315,17,0.647,11,4,200,87.1,23.3,7,12,61,,5.7,4,0.222,12,0.167,2,60.0,39,0.491,20.7,16,42,0.524,22,0.667,8,"McKale Center, Tucson, Arizona",MONTANA,Montana,69.9,Home,ARIZONA,Arizona,Montana,big-sky
2018-12-22-20-south-dakota-state,46.4,13,11.1,4,105.7,71.9,23,0.568,59,0.475,28,0.424,25,0.72,18,4,200,121.4,31.3,10,24,85,,7.1,5,0.475,28,0.393,11,51.6,33,0.6,11.4,9,31,0.548,17,0.636,7,"December 22, 2018",44.0,11,9.7,3,121.4,68.8,22,0.509,55,0.455,25,0.491,27,0.667,18,5,200,105.7,28.1,9,18,74,,5.7,4,0.345,19,0.316,6,48.4,31,0.546,15.2,12,36,0.528,19,0.667,10,"Frost Arena, Brookings, South Dakota",SOUTH-DAKOTA-STATE,South Dakota State,70.4,Away,MONTANA,Montana,Montana,big-sky
2018-12-29-16-northern-arizona,40.6,13,2.8,1,102.8,73.0,27,0.619,59,0.542,32,0.322,19,0.684,13,4,200,121.1,31.0,9,20,86,,8.5,6,0.424,25,0.36,9,54.5,36,0.632,11.8,9,34,0.676,23,0.667,8,"December 29, 2018",52.2,12,8.8,3,121.1,69.0,20,0.46,62,0.371,23,0.306,19,0.842,16,9,200,102.8,27.0,10,15,73,,4.2,3,0.419,26,0.423,11,45.5,30,0.514,15.6,13,36,0.333,12,0.182,2,"Walkup Skydome, Flagstaff, Arizona",NORTHERN-ARIZONA,Northern Arizona,71.0,Away,MONTANA,Montana,Montana,big-sky
2018-12-31-20-southern-utah,47.1,16,3.7,1,98.7,89.3,25,0.594,64,0.531,34,0.281,18,0.722,13,4,200,115.6,18.8,6,26,89,,10.4,8,0.359,23,0.348,8,51.7,31,0.613,13.3,11,41,0.634,26,0.692,9,"December 31, 2018",33.3,7,7.3,3,115.6,81.3,26,0.5,48,0.438,21,0.688,33,0.848,28,6,200,98.7,10.7,3,20,76,,7.8,6,0.438,21,0.286,6,48.3,29,0.597,20.4,16,27,0.556,15,0.455,5,"Centrum, Cedar City, Utah",SOUTHERN-UTAH,Southern Utah,77.1,Away,MONTANA,Montana,Montana,big-sky
2019-01-03-21-montana,33.3,7,8.1,3,116.0,65.5,19,0.409,55,0.382,21,0.345,19,0.579,11,5,200,74.7,18.8,6,16,56,,13.3,10,0.255,14,0.214,3,41.0,25,0.437,21.2,17,41,0.439,18,0.545,6,"January 3, 2019",61.3,19,2.4,1,74.7,81.3,26,0.658,57,0.544,31,0.298,17,0.706,12,4,200,116.0,34.5,10,17,87,,12.0,9,0.351,20,0.65,13,59.0,36,0.668,22.8,19,37,0.486,18,0.714,10,"Adams Center/Dahlberg Arena, Missoula, Montana",SACRAMENTO-STATE,Sacramento State,74.6,Home,MONTANA,Montana,Montana,big-sky
2019-01-05-21-montana,32.0,8,5.7,2,98.7,70.6,24,0.459,61,0.41,25,0.443,27,0.778,21,8,225,102.7,27.3,9,24,77,,8.0,6,0.377,23,0.261,6,49.3,33,0.522,13.1,11,38,0.5,19,0.429,6,"January 5, 2019",56.5,13,7.9,3,102.7,72.7,24,0.432,59,0.39,23,0.559,33,0.697,23,5,225,98.7,29.4,10,20,74,,2.7,2,0.407,24,0.208,5,50.7,34,0.495,12.0,10,35,0.514,18,0.667,10,"Adams Center/Dahlberg Arena, Missoula, Montana",MONTANA,Montana,66.9,Away,PORTLAND-STATE,Portland State,Montana,big-sky
2019-01-10-21-eastern-washington,51.9,14,0.0,0,114.7,79.3,23,0.518,56,0.482,27,0.339,19,0.684,13,6,200,104.4,27.3,9,23,71,,7.4,5,0.339,19,0.211,4,51.6,32,0.546,16.8,13,37,0.622,23,0.625,10,"January 10, 2019",45.8,11,0.0,0,104.4,72.7,24,0.57,50,0.48,24,0.54,27,0.778,21,12,200,114.7,20.7,6,19,78,,8.8,6,0.34,17,0.529,9,48.4,30,0.621,15.1,11,33,0.455,15,0.25,4,"Reese Court, Cheney, Washington",MONTANA,Montana,68.4,Home,EASTERN-WASHINGTON,Eastern Washington,Montana,big-sky
