,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-10-20-murray-state,33.3,7,0.0,0,110.6,57.1,16,0.409,55,0.382,21,0.309,17,0.529,9,1,200,81.8,17.1,6,15,54,,10.6,7,0.327,18,0.167,3,34.9,22,0.428,15.0,11,37,0.486,18,0.5,1,"November 10, 2018",63.0,17,13.5,5,81.8,82.9,29,0.64,50,0.54,27,0.28,14,0.643,9,0,200,110.6,42.9,12,20,73,,3.0,2,0.44,22,0.455,10,65.1,41,0.644,26.3,20,28,0.607,17,1.0,1,"CFSB Center, Murray, Kentucky",WRIGHT-STATE,Wright State,66.4,Home,MURRAY-STATE,Murray State,Murray State,ovc
2018-11-16-20-murray-state,38.5,5,0.0,0,153.6,56.0,14,0.284,51,0.255,13,0.176,9,0.778,7,0,200,52.2,13.5,5,11,36,,1.4,1,0.314,16,0.188,3,30.6,19,0.326,24.7,18,35,0.286,10,0.0,0,"November 16, 2018",74.4,32,25.7,9,52.2,86.5,32,0.723,65,0.662,43,0.262,17,0.706,12,0,200,153.6,44.0,11,14,106,,18.8,13,0.292,19,0.421,8,69.4,43,0.725,9.9,8,46,0.761,35,1.0,2,"CFSB Center, Murray, Kentucky","Spalding
			","Spalding
			",69.2,Home,MURRAY-STATE,Murray State,Murray State,ovc
2018-11-24-20-murray-state,45.8,11,17.9,5,105.5,72.4,21,0.438,56,0.429,24,0.5,28,0.607,17,3,200,90.4,30.6,11,19,66,,6.8,5,0.286,16,0.063,1,49.2,32,0.476,19.0,16,40,0.575,23,0.5,3,"November 24, 2018",72.0,18,12.5,5,90.4,69.4,25,0.536,55,0.455,25,0.4,22,0.818,18,0,200,105.5,27.6,8,21,77,,11.0,8,0.491,27,0.333,9,50.8,33,0.588,17.8,14,28,0.571,16,1.0,3,"CFSB Center, Murray, Kentucky",MISSOURI-STATE,Missouri State,72.9,Home,MURRAY-STATE,Murray State,Murray State,ovc
2018-11-26-20-alabama,34.5,10,13.2,5,100.0,66.7,20,0.492,64,0.453,29,0.188,12,0.75,9,1,200,92.3,33.3,12,21,72,,9.0,7,0.281,18,0.278,5,48.5,32,0.516,20.6,18,46,0.522,24,0.75,3,"November 26, 2018",48.0,12,21.7,10,92.3,66.7,24,0.491,56,0.446,25,0.536,30,0.767,23,1,200,100.0,33.3,10,16,78,,9.0,7,0.321,18,0.278,5,51.5,34,0.555,23.3,21,38,0.526,20,0.833,5,"Coleman Coliseum , Tuscaloosa, Alabama",MURRAY-STATE,Murray State,78.5,Home,ALABAMA,Alabama,Murray State,ovc
2018-12-01-20-murray-state,33.3,7,10.7,3,118.6,63.9,23,0.407,59,0.356,21,0.373,22,0.864,19,7,200,95.7,26.3,10,25,67,,4.3,3,0.288,17,0.353,6,44.6,33,0.482,11.6,9,42,0.357,15,0.125,1,"December 1, 2018",68.0,17,16.7,7,95.7,73.7,28,0.491,57,0.439,25,0.649,37,0.73,27,1,200,118.6,36.1,13,22,83,,7.1,5,0.509,29,0.207,6,55.4,41,0.556,12.0,10,28,0.679,19,0.8,4,"CFSB Center, Murray, Kentucky",PRAIRIE-VIEW,Prairie View,70.0,Home,MURRAY-STATE,Murray State,Murray State,ovc
2018-12-08-20-middle-tennessee,58.3,14,14.3,5,63.6,67.6,25,0.528,53,0.453,24,0.208,11,0.727,8,1,200,97.0,20.7,6,15,64,,16.7,11,0.472,25,0.32,8,47.0,31,0.55,17.2,12,28,0.571,16,0.833,5,"December 8, 2018",21.4,3,3.6,1,97.0,79.3,23,0.313,48,0.292,14,0.313,15,0.8,12,7,200,63.6,32.4,12,15,42,,6.1,4,0.271,13,0.154,2,53.0,35,0.381,30.5,24,35,0.343,12,0.3,3,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,65.7,Away,MURRAY-STATE,Murray State,Murray State,ovc
2018-12-12-20-southern-illinois,64.5,20,8.1,3,76.5,72.2,26,0.57,64,0.484,31,0.109,7,1.0,7,1,200,117.6,35.7,10,20,80,,14.7,10,0.406,26,0.423,11,56.3,36,0.594,14.1,11,38,0.526,20,0.857,6,"December 12, 2018",37.5,6,18.4,7,117.6,64.3,18,0.343,51,0.314,16,0.51,26,0.654,17,4,200,76.5,27.8,10,5,52,,8.8,6,0.275,14,0.214,3,43.8,28,0.41,19.4,15,37,0.351,13,0.636,7,"The SIU Arena, Carbondale, Illinois",SOUTHERN-ILLINOIS,Southern Illinois,68.3,Away,MURRAY-STATE,Murray State,Murray State,ovc
2018-12-15-20-murray-state,30.0,6,11.4,4,100.0,75.0,24,0.349,63,0.317,20,0.333,21,0.619,13,9,200,77.0,31.0,13,22,57,,6.8,5,0.317,20,0.2,4,50.0,37,0.391,17.2,15,43,0.372,16,0.182,2,"December 15, 2018",73.9,17,18.6,8,77.0,69.0,29,0.482,55,0.418,23,0.491,27,0.778,21,1,200,100.0,25.0,8,17,74,,10.8,8,0.364,20,0.35,7,50.0,37,0.546,16.3,13,35,0.457,16,0.875,7,"CFSB Center, Murray, Kentucky",JACKSON-STATE,Jackson State,73.9,Home,MURRAY-STATE,Murray State,Murray State,ovc
2018-12-18-20-murray-state,60.9,14,10.5,4,98.5,73.7,28,0.491,53,0.434,23,0.302,16,0.75,12,6,200,95.5,21.4,6,18,64,,7.5,5,0.396,21,0.286,6,51.5,34,0.528,17.8,13,32,0.531,17,0.455,5,"December 18, 2018",52.2,12,25.0,8,95.5,78.6,22,0.441,59,0.39,23,0.356,21,0.667,14,1,200,98.5,26.3,10,16,66,,6.0,4,0.356,21,0.286,6,48.5,32,0.478,10.5,8,38,0.447,17,0.889,8,"CFSB Center, Murray, Kentucky",EVANSVILLE,Evansville,67.3,Home,MURRAY-STATE,Murray State,Murray State,ovc
2018-12-22-16-auburn,62.1,18,6.5,2,125.7,62.5,20,0.595,58,0.5,29,0.414,24,0.792,19,2,200,118.9,45.2,14,18,88,,12.2,9,0.431,25,0.44,11,54.0,34,0.634,19.9,17,33,0.545,18,0.8,8,"December 22, 2018",55.9,19,15.2,5,118.9,54.8,17,0.633,64,0.531,34,0.313,20,0.6,12,2,200,125.7,37.5,12,19,93,7,13.5,10,0.516,33,0.394,13,46.0,29,0.633,16.1,14,31,0.677,21,0.833,10,"Auburn Arena, Auburn, Alabama",MURRAY-STATE,Murray State,74.0,Home,AUBURN,Auburn,Murray State,ovc
2018-12-29-20-murray-state,43.3,13,9.3,4,126.4,79.4,27,0.485,67,0.448,30,0.358,24,0.708,17,0,200,94.3,26.3,10,22,82,,6.9,6,0.284,19,0.263,5,51.4,37,0.523,18.8,18,48,0.521,25,0.0,0,"December 29, 2018",71.8,28,10.4,5,94.3,73.7,28,0.627,71,0.549,39,0.423,30,0.7,21,2,200,126.4,20.6,7,20,110,,13.8,12,0.394,28,0.393,11,48.6,35,0.645,9.7,9,43,0.651,28,0.818,9,"CFSB Center, Murray, Kentucky","Bethel (TN)
			","Bethel (TN)
			",86.8,Home,MURRAY-STATE,Murray State,Murray State,ovc
2019-01-03-20-murray-state,45.8,11,0.0,0,126.8,58.1,18,0.517,58,0.414,24,0.345,20,0.45,9,10,200,97.2,29.3,12,12,69,,15.5,11,0.5,29,0.414,12,41.7,30,0.511,16.3,13,29,0.414,12,0.286,4,"January 3, 2019",65.8,25,17.2,5,97.2,70.7,29,0.612,67,0.567,38,0.164,11,0.727,8,2,200,126.8,41.9,13,17,90,,12.7,9,0.224,15,0.4,6,58.3,42,0.623,16.3,14,52,0.615,32,0.833,10,"CFSB Center, Murray, Kentucky",MOREHEAD-STATE,Morehead State,70.9,Home,MURRAY-STATE,Murray State,Murray State,ovc
2019-01-05-20-murray-state,33.3,10,4.2,2,112.8,61.8,21,0.493,67,0.448,30,0.343,23,0.826,19,8,200,98.8,25.7,9,22,85,,14.0,12,0.373,25,0.24,6,43.5,30,0.545,18.9,18,42,0.571,24,0.467,7,"January 5, 2019",54.1,20,16.7,7,98.8,74.3,26,0.587,69,0.536,37,0.348,24,0.667,16,2,200,112.8,38.2,13,18,97,,16.3,14,0.304,21,0.333,7,56.5,39,0.603,18.5,18,48,0.625,30,0.846,11,"CFSB Center, Murray, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,86.2,Home,MURRAY-STATE,Murray State,Murray State,ovc
2019-01-10-20-tennessee-martin,66.7,24,14.0,6,102.7,61.8,21,0.63,69,0.522,36,0.203,14,0.786,11,2,200,130.7,27.3,9,17,98,,12.0,9,0.449,31,0.484,15,44.8,30,0.648,9.6,8,38,0.553,21,0.857,12,"January 10, 2019",65.5,19,15.8,6,130.7,72.7,24,0.492,65,0.446,29,0.277,18,0.722,13,9,200,102.7,38.2,13,15,77,,8.0,6,0.338,22,0.273,6,55.2,37,0.523,17.1,15,43,0.535,23,0.357,5,"Skyhawk Arena, Martin, Tennessee",TENNESSEE-MARTIN,UT-Martin,75.1,Away,MURRAY-STATE,Murray State,Murray State,ovc
2019-01-12-17-southeast-missouri-state,63.6,21,3.0,1,100.0,82.8,24,0.595,63,0.524,33,0.238,15,0.667,10,2,200,126.9,40.0,10,14,85,,6.0,4,0.429,27,0.333,9,63.0,34,0.606,9.1,7,36,0.667,24,0.867,13,"January 12, 2019",37.5,9,5.6,2,126.9,60.0,15,0.5,55,0.436,24,0.273,15,0.8,12,11,200,100.0,17.2,5,17,67,,9.0,6,0.4,22,0.318,7,37.0,20,0.539,12.7,9,33,0.515,17,0.353,6,"Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,66.6,Away,MURRAY-STATE,Murray State,Murray State,ovc
2019-01-17-20-eastern-illinois,50.0,17,14.3,6,83.6,76.7,33,0.592,65,0.523,34,0.154,10,0.6,6,2,200,113.7,33.3,10,13,83,,11.0,8,0.323,21,0.429,9,58.9,43,0.595,15.8,13,44,0.568,25,0.875,14,"January 17, 2019",58.3,14,11.4,5,113.7,66.7,20,0.424,66,0.364,24,0.197,13,0.385,5,8,200,83.6,23.3,10,13,61,,9.6,7,0.364,24,0.333,8,41.1,30,0.423,13.3,11,42,0.381,16,0.556,10,"Lantz Arena, Charleston, Illinois",EASTERN-ILLINOIS,Eastern Illinois,73.0,Away,MURRAY-STATE,Murray State,Murray State,ovc
2019-01-19-20-southern-illinois-edwardsville,72.0,18,0.0,0,97.3,71.0,22,0.598,46,0.543,25,0.674,31,0.871,27,2,200,110.8,13.6,3,18,82,,13.5,10,0.37,17,0.294,5,47.2,25,0.675,20.1,15,29,0.69,20,0.882,15,"January 19, 2019",34.6,9,3.4,1,110.8,86.4,19,0.444,63,0.413,26,0.254,16,1.0,16,13,200,97.3,29.0,9,24,72,,5.4,4,0.302,19,0.211,4,52.8,28,0.51,16.7,14,44,0.5,22,0.278,5,"Sam Vadalabene Center , Edwardsville, Illinois",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,74.2,Away,MURRAY-STATE,Murray State,Murray State,ovc
2019-01-24-21-murray-state,60.6,20,14.7,5,93.0,69.6,32,0.589,62,0.532,33,0.161,10,0.6,6,4,200,111.3,12.1,4,19,79,,5.6,4,0.355,22,0.318,7,45.6,36,0.592,10.8,8,40,0.65,26,0.778,14,"January 24, 2019",65.0,13,10.0,4,111.3,87.9,29,0.387,62,0.323,20,0.452,28,0.643,18,3,200,93.0,30.4,14,14,66,,7.0,5,0.452,28,0.286,8,54.4,43,0.438,11.9,10,34,0.353,12,0.833,15,"CFSB Center, Murray, Kentucky",MURRAY-STATE,Murray State,71.0,Away,BELMONT,Belmont,Murray State,ovc
2019-01-26-20-murray-state,38.1,8,5.3,2,144.9,53.6,15,0.418,55,0.382,21,0.4,22,0.727,16,15,200,89.9,37.8,14,29,62,,2.9,2,0.327,18,0.222,4,44.6,29,0.474,20.8,17,37,0.459,17,0.25,5,"January 26, 2019",50.0,16,5.4,2,89.9,62.2,23,0.6,60,0.533,32,0.6,36,0.778,28,3,200,144.9,46.4,13,21,100,,13.0,9,0.367,22,0.364,8,55.4,36,0.649,6.2,5,38,0.632,24,0.842,16,"CFSB Center, Murray, Kentucky",TENNESSEE-STATE,Tennessee State,68.8,Home,MURRAY-STATE,Murray State,Murray State,ovc
2019-01-31-20-jacksonville-state,50.0,12,4.3,2,122.2,70.4,19,0.458,60,0.4,24,0.333,20,0.65,13,4,200,94.4,22.9,8,17,68,,9.7,7,0.45,27,0.259,7,43.5,27,0.489,13.8,11,33,0.515,17,0.8,16,"January 31, 2019",38.9,14,12.1,4,94.4,77.1,27,0.621,62,0.581,36,0.258,16,0.688,11,6,200,122.2,29.6,8,16,88,,8.3,6,0.242,15,0.333,5,56.5,35,0.632,12.7,10,47,0.66,31,0.727,16,"Pete Mathews Coliseum, Jacksonville, Alabama",MURRAY-STATE,Murray State,72.1,Home,JACKSONVILLE-STATE,Jacksonville State,Murray State,ovc
2019-02-02-20-tennessee-tech,62.5,15,10.0,4,86.3,70.6,24,0.5,53,0.453,24,0.396,21,0.667,14,4,200,91.8,25.0,8,17,67,,9.6,7,0.283,15,0.333,5,48.5,32,0.532,21.5,17,38,0.5,19,0.81,17,"February 2, 2019",52.4,11,10.5,4,91.8,75.0,24,0.412,57,0.368,21,0.368,21,0.762,16,16,200,86.3,29.4,10,19,63,,8.2,6,0.298,17,0.294,5,51.5,34,0.47,20.4,17,40,0.4,16,0.304,7,"Eblen Center, Cookeville, Tennessee",TENNESSEE-TECH,Tennessee Tech,73.0,Away,MURRAY-STATE,Murray State,Murray State,ovc
