,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-north-dakota,35.0,7,0.0,0,138.7,70.0,21,0.339,62,0.323,20,0.177,11,0.545,6,0,202,64.0,16.3,7,18,48,,8.0,6,0.258,16,0.125,2,38.4,28,0.357,15.2,12,46,0.391,18,0.0,0,"November 6, 2018",62.9,22,10.9,5,64.0,83.7,36,0.646,65,0.538,35,0.369,24,0.833,20,0,202,138.7,30.0,9,15,104,,9.3,7,0.446,29,0.483,14,61.6,45,0.681,11.7,10,36,0.583,21,1.0,1,"Betty Engelstad Sioux Center , Grand Forks, North Dakota","Northland
			","Northland
			",74.1,Home,NORTH-DAKOTA,North Dakota,North Dakota,summit
2018-11-10-19-milwaukee,37.5,9,9.8,4,83.3,82.5,33,0.457,58,0.414,24,0.241,14,0.714,10,0,200,87.5,20.0,7,16,63,,4.2,3,0.31,18,0.278,5,53.3,40,0.487,17.9,14,40,0.475,19,1.0,2,"November 10, 2018",45.5,10,5.0,2,87.5,80.0,28,0.388,67,0.328,22,0.149,10,0.8,8,2,200,83.3,17.5,7,19,60,,8.3,6,0.388,26,0.308,8,46.7,35,0.418,10.1,8,41,0.341,14,0.0,0,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MILWAUKEE,Milwaukee,72.2,Away,NORTH-DAKOTA,North Dakota,North Dakota,summit
2018-11-14-21-kentucky,42.1,8,10.2,5,131.5,40.0,10,0.469,48,0.396,19,0.375,18,0.722,13,1,200,79.5,10.7,3,19,58,,6.8,5,0.396,19,0.368,7,24.5,13,0.513,25.4,19,29,0.414,12,0.667,2,"November 14, 2018",45.5,15,17.2,5,79.5,89.3,25,0.581,62,0.532,33,0.484,30,0.8,24,1,200,131.5,60.0,15,15,96,10,16.4,12,0.21,13,0.462,6,75.5,40,0.63,14.7,13,49,0.551,27,0.667,2,"Rupp Arena, Lexington, Kentucky",NORTH-DAKOTA,North Dakota,73.4,Home,KENTUCKY,Kentucky,North Dakota,summit
2018-11-17-16-north-dakota,61.9,13,2.4,1,145.5,51.9,14,0.439,57,0.368,21,0.193,11,0.727,8,0,201,75.3,24.1,7,17,58,,11.7,9,0.544,31,0.258,8,37.5,21,0.466,25.4,21,26,0.5,13,0.0,0,"November 17, 2018",52.4,22,23.1,6,75.3,75.9,22,0.731,67,0.627,42,0.269,18,0.778,14,1,201,145.5,48.1,13,16,112,,11.7,9,0.388,26,0.538,14,62.5,35,0.741,16.7,15,41,0.683,28,0.75,3,"Betty Engelstad Sioux Center , Grand Forks, North Dakota","Minnesota-Morris
			","Minnesota-Morris
			",76.5,Home,NORTH-DAKOTA,North Dakota,North Dakota,summit
2018-11-20-20-north-dakota,47.8,11,6.3,3,121.9,57.1,16,0.418,67,0.343,23,0.0,0,,0,0,200,76.7,22.0,9,16,56,,6.8,5,0.448,30,0.333,10,36.2,25,0.418,17.3,14,37,0.351,13,0.0,0,"November 20, 2018",35.1,13,16.2,6,76.7,78.0,32,0.608,65,0.569,37,0.231,15,0.667,10,1,200,121.9,42.9,12,7,89,,8.2,6,0.262,17,0.294,5,63.8,44,0.617,15.4,13,48,0.667,32,0.8,4,"Betty Engelstad Sioux Center , Grand Forks, North Dakota","Concorida (NE)
			","Concorida (NE)
			",72.6,Home,NORTH-DAKOTA,North Dakota,North Dakota,summit
2018-11-24-18-utah-valley,60.7,17,12.1,4,107.2,88.9,24,0.492,63,0.444,28,0.127,8,0.75,6,2,200,98.6,14.7,5,16,68,,5.8,4,0.302,19,0.316,6,47.5,29,0.509,9.5,7,44,0.5,22,0.667,4,"November 24, 2018",60.7,17,6.8,3,98.6,85.3,29,0.6,55,0.509,28,0.218,12,0.667,8,3,200,107.2,11.1,3,15,74,,7.2,5,0.4,22,0.455,10,52.5,32,0.61,16.6,12,33,0.545,18,0.571,4,"UCCU Center, Orem, Utah",NORTH-DAKOTA,North Dakota,69.3,Home,UTAH-VALLEY,Utah Valley,North Dakota,summit
2018-11-27-21-montana-state,65.4,17,4.7,2,109.5,60.7,17,0.613,53,0.491,26,0.34,18,0.611,11,3,200,102.7,17.9,5,21,76,,8.1,6,0.528,28,0.464,13,39.3,22,0.617,20.8,16,25,0.52,13,0.571,4,"November 27, 2018",42.9,12,0.0,0,102.7,82.1,23,0.517,60,0.467,28,0.367,22,0.864,19,6,200,109.5,39.3,11,17,81,,9.5,7,0.283,17,0.353,6,60.7,34,0.575,18.7,16,43,0.512,22,0.25,2,"Max Worthington Arena, Bozeman, Montana",NORTH-DAKOTA,North Dakota,74.0,Home,MONTANA-STATE,Montana State,North Dakota,summit
2018-12-01-16-north-dakota,45.8,11,10.7,3,83.1,69.4,25,0.561,49,0.49,24,0.327,16,0.75,12,4,200,103.1,12.0,3,17,67,,13.8,9,0.245,12,0.583,7,45.9,28,0.592,16.4,11,37,0.459,17,0.429,3,"December 1, 2018",70.0,14,2.7,1,103.1,88.0,22,0.418,55,0.364,20,0.273,15,0.533,8,4,200,83.1,30.6,11,15,54,,7.7,5,0.491,27,0.222,6,54.1,33,0.435,18.5,14,28,0.5,14,0.5,4,"Betty Engelstad Sioux Center , Grand Forks, North Dakota",NORTH-DAKOTA,North Dakota,64.9,Away,IDAHO,Idaho,North Dakota,summit
2018-12-05-20-texas-pan-american,55.6,10,5.1,2,86.4,80.0,28,0.418,49,0.367,18,0.367,18,0.833,15,5,200,69.1,15.6,5,18,56,,9.9,8,0.327,16,0.313,5,49.3,33,0.487,32.2,27,33,0.394,13,0.444,4,"December 5, 2018",68.2,15,15.2,5,69.1,84.4,27,0.41,61,0.361,22,0.41,25,0.8,20,4,200,86.4,20.0,7,16,70,,25.9,21,0.361,22,0.273,6,50.7,34,0.48,19.1,17,39,0.41,16,0.636,7,"UTRGV Fieldhouse, Edinburg, Texas",NORTH-DAKOTA,North Dakota,81.2,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,North Dakota,summit
2018-12-09-16-north-dakota,33.3,8,5.7,2,115.3,77.8,21,0.418,67,0.358,24,0.269,18,0.889,16,8,200,100.0,24.4,11,22,72,,8.3,6,0.328,22,0.364,8,44.4,32,0.477,9.6,8,45,0.356,16,0.2,2,"December 9, 2018",44.4,12,2.2,1,100.0,75.6,34,0.6,50,0.54,27,0.62,31,0.742,23,5,200,115.3,22.2,6,17,83,,8.3,6,0.3,15,0.4,6,55.6,40,0.641,17.0,13,35,0.6,21,0.5,5,"Betty Engelstad Sioux Center , Grand Forks, North Dakota",MILWAUKEE,Milwaukee,72.1,Home,NORTH-DAKOTA,North Dakota,North Dakota,summit
