,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-northeastern,34.5,10,3.2,1,108.8,73.3,22,0.542,59,0.492,29,0.373,22,0.591,13,0,200,113.2,35.3,12,21,77,,10.3,7,0.271,16,0.375,6,53.1,34,0.554,12.7,10,43,0.535,23,1.0,1,"November 6, 2018",48.0,12,2.3,1,113.2,64.7,22,0.5,56,0.446,25,0.429,24,0.75,18,1,200,108.8,26.7,8,20,74,,7.4,5,0.446,25,0.24,6,46.9,30,0.549,13.1,10,31,0.613,19,0.0,0,"Matthews Arena, Boston, Massachusetts",NORTHEASTERN,Northeastern,68.4,Away,BOSTON-UNIVERSITY,Boston University,Northeastern,colonial
2018-11-09-19-harvard,54.2,13,3.6,1,104.4,84.0,21,0.663,46,0.522,24,0.478,22,0.909,20,1,200,119.1,14.3,3,14,81,,13.2,9,0.5,23,0.565,13,52.2,24,0.717,21.2,15,23,0.478,11,0.5,1,"November 9, 2018",50.0,13,8.7,2,119.1,85.7,18,0.618,51,0.51,26,0.275,14,0.571,8,1,200,104.4,16.0,4,20,71,,11.8,8,0.451,23,0.478,11,47.8,22,0.616,18.5,13,28,0.536,15,0.5,1,"Lavietes Pavilion, Boston, Massachusetts",HARVARD,Harvard,67.6,Away,NORTHEASTERN,Northeastern,Northeastern,colonial
2018-11-15-14-northeastern,52.6,10,8.0,2,113.3,94.4,17,0.402,51,0.373,19,0.294,15,0.733,11,1,200,86.7,24.1,7,16,52,,5.0,3,0.373,19,0.158,3,51.1,24,0.447,12.2,8,32,0.5,16,0.667,2,"November 15, 2018",63.6,14,3.1,1,86.7,75.9,22,0.631,42,0.524,22,0.405,17,0.882,15,1,200,113.3,5.6,1,17,68,,11.7,7,0.405,17,0.529,9,48.9,23,0.679,18.2,11,25,0.52,13,0.667,2,"TD Arena, Charleston, South Carolina",ALABAMA,Alabama,59.6,Home,NORTHEASTERN,Northeastern,Northeastern,colonial
2018-11-16-11-northeastern,58.3,21,20.0,4,98.4,72.0,18,0.694,62,0.581,36,0.065,4,0.5,2,0,200,144.3,34.6,9,13,88,16,8.2,5,0.435,27,0.519,14,52.9,27,0.689,12.4,9,35,0.629,22,1.0,3,"November 16, 2018",75.0,15,5.7,2,144.3,65.4,17,0.576,46,0.435,20,0.174,8,0.875,7,2,200,98.4,28.0,7,11,60,,1.6,1,0.565,26,0.5,13,47.1,24,0.602,24.4,16,20,0.35,7,0.5,2,"TD Arena, Charleston, South Carolina",NORTHEASTERN,Northeastern,61.4,Away,VIRGINIA-TECH,Virginia Tech,Northeastern,colonial
2018-11-18-18-davidson,63.6,14,0.0,0,104.4,78.6,22,0.442,60,0.367,22,0.117,7,0.857,6,3,200,86.8,25.0,9,15,59,,11.8,8,0.533,32,0.281,9,48.4,31,0.466,16.0,12,28,0.464,13,0.4,2,"November 18, 2018",75.0,18,7.1,2,86.8,75.0,27,0.538,53,0.453,24,0.358,19,0.737,14,1,200,104.4,21.4,6,12,71,,11.8,8,0.453,24,0.375,9,51.6,33,0.572,17.5,13,29,0.517,15,0.8,4,"TD Arena, Charleston, South Carolina",NORTHEASTERN,Northeastern,67.7,Home,DAVIDSON,Davidson,Northeastern,colonial
2018-11-24-13-davidson,50.0,11,6.1,2,109.9,74.2,23,0.52,50,0.44,22,0.52,26,0.654,17,4,200,97.2,19.4,6,20,69,,9.9,7,0.38,19,0.421,8,46.8,29,0.553,18.6,14,31,0.452,14,0.333,2,"November 24, 2018",40.7,11,9.7,3,97.2,80.6,25,0.517,59,0.458,27,0.339,20,0.85,17,1,200,109.9,25.8,8,22,78,,11.3,8,0.441,26,0.269,7,53.2,33,0.569,15.0,12,33,0.606,20,0.833,5,"Belk Arena, Davidson, North Carolina",NORTHEASTERN,Northeastern,71.4,Home,DAVIDSON,Davidson,Northeastern,colonial
2018-11-28-19-bucknell,66.7,24,10.7,3,111.4,87.9,29,0.677,62,0.581,36,0.226,14,0.857,12,4,200,137.1,22.7,5,17,96,,12.9,9,0.403,25,0.48,12,61.8,34,0.699,9.3,7,37,0.649,24,0.429,3,"November 28, 2018",61.5,16,5.4,2,137.1,77.3,17,0.594,53,0.491,26,0.415,22,0.682,15,3,200,111.4,12.1,4,15,78,,8.6,6,0.472,25,0.44,11,38.2,21,0.615,13.8,10,28,0.536,15,0.4,2,"Sojka Pavilion, Lewisburg, Pennsylvania",BUCKNELL,Bucknell,70.1,Away,NORTHEASTERN,Northeastern,Northeastern,colonial
2018-12-01-15-northeastern,50.0,14,4.0,1,137.3,66.7,16,0.608,51,0.549,28,0.196,10,0.5,5,5,200,113.6,25.9,7,20,67,,8.5,5,0.392,20,0.3,6,45.1,23,0.601,15.3,10,31,0.71,22,0.444,4,"December 1, 2018",66.7,18,3.2,1,113.6,74.1,20,0.646,48,0.563,27,0.521,25,0.76,19,4,200,137.3,33.3,8,10,81,,10.2,6,0.479,23,0.348,8,54.9,28,0.676,10.6,7,25,0.76,19,0.5,4,"Matthews Arena, Boston, Massachusetts",EASTERN-MICHIGAN,Eastern Michigan,58.8,Home,NORTHEASTERN,Northeastern,Northeastern,colonial
2018-12-04-19-syracuse,64.7,11,0.0,0,118.0,61.8,21,0.4,50,0.34,17,0.24,12,0.75,9,5,200,80.3,17.6,6,14,49,,6.6,4,0.56,28,0.214,6,39.7,27,0.44,16.6,11,22,0.5,11,0.444,4,"December 4, 2018",76.9,20,22.7,5,80.3,82.4,28,0.508,60,0.433,26,0.283,17,0.647,11,2,200,118.0,38.2,13,15,72,,13.1,8,0.517,31,0.29,9,60.3,41,0.529,9.4,7,29,0.586,17,0.75,6,"Carrier Dome, Syracuse, New York",NORTHEASTERN,Northeastern,61.4,Home,SYRACUSE,Syracuse,Northeastern,colonial
2018-12-08-16-northeastern,48.1,13,2.9,1,126.0,69.2,18,0.588,57,0.474,27,0.351,20,0.8,16,6,200,113.7,10.3,3,20,83,,13.7,10,0.474,27,0.481,13,38.2,21,0.624,13.2,10,30,0.467,14,0.4,4,"December 8, 2018",53.1,17,13.3,4,113.7,89.7,26,0.689,53,0.604,32,0.547,29,0.655,19,5,200,126.0,30.8,8,20,92,,4.1,3,0.34,18,0.5,9,61.8,34,0.689,17.6,14,35,0.657,23,0.5,5,"Matthews Arena, Boston, Massachusetts",OAKLAND,Oakland,73.1,Home,NORTHEASTERN,Northeastern,Northeastern,colonial
