,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-09-19-oakland,56.7,17,8.1,3,126.5,70.6,24,0.66,50,0.6,30,0.5,25,0.84,21,0,200,127.9,31.8,7,20,87,,2.9,2,0.24,12,0.5,6,55.4,31,0.703,17.6,13,38,0.632,24,1.0,1,"November 9, 2018",78.1,25,5.3,2,127.9,68.2,15,0.57,64,0.5,32,0.359,23,0.565,13,1,200,126.5,29.4,10,22,86,,8.8,6,0.422,27,0.333,9,44.6,25,0.574,3.9,3,37,0.622,23,0.0,0,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,67.9,Away,TOLEDO,Toledo,Oakland,horizon
2018-11-13-19-oakland,50.0,14,12.8,5,91.7,85.4,35,0.484,62,0.452,28,0.516,32,0.781,25,1,225,101.2,31.0,9,20,85,,9.5,8,0.306,19,0.211,4,62.9,44,0.551,15.5,14,43,0.558,24,0.667,2,"November 13, 2018",72.0,18,14.0,6,101.2,69.0,20,0.448,67,0.373,25,0.358,24,0.708,17,2,225,91.7,14.6,6,24,77,,7.1,6,0.418,28,0.357,10,37.1,26,0.491,14.4,13,39,0.385,15,0.0,0,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,74.5,Away,WESTERN-MICHIGAN,Western Michigan,Oakland,horizon
2018-11-16-22-nevada-las-vegas,40.0,8,6.8,3,112.1,55.6,15,0.415,53,0.377,20,0.434,23,0.739,17,3,200,92.4,20.6,7,11,61,,6.1,4,0.302,16,0.25,4,36.1,22,0.477,13.7,10,37,0.432,16,0.0,0,"November 16, 2018",45.2,14,10.8,4,92.4,79.4,27,0.559,59,0.525,31,0.186,11,0.727,8,1,200,112.1,44.4,12,21,74,,4.5,3,0.254,15,0.267,4,63.9,39,0.576,15.8,12,44,0.614,27,0.667,2,"Thomas & Mack Center, Las Vegas, Nevada",OAKLAND,Oakland,65.6,Home,NEVADA-LAS-VEGAS,UNLV,Oakland,horizon
2018-11-19-19-oakland,61.1,11,0.0,0,144.4,71.4,15,0.368,57,0.316,18,0.123,7,0.714,5,0,200,74.6,30.6,11,18,47,,9.5,6,0.404,23,0.261,6,45.6,26,0.39,20.0,15,34,0.353,12,0.0,0,"November 19, 2018",84.4,27,23.5,8,74.6,69.4,25,0.79,50,0.64,32,0.36,18,0.667,12,3,200,144.4,28.6,6,9,91,,14.3,9,0.54,27,0.556,15,54.4,31,0.777,14.7,10,23,0.739,17,0.25,1,"Athletics Center O'rena, Rochester, Michigan","Defiance
			","Defiance
			",63.4,Home,OAKLAND,Oakland,Oakland,horizon
2018-11-23-14-oakland,69.0,20,7.4,2,122.2,74.1,20,0.533,61,0.475,29,0.148,9,0.444,4,2,200,109.5,42.4,14,16,69,,9.5,6,0.246,15,0.467,7,56.7,34,0.529,15.6,12,46,0.478,22,0.667,4,"November 23, 2018",84.6,22,4.3,2,109.5,57.6,19,0.585,53,0.491,26,0.321,17,0.882,15,3,200,122.2,25.9,7,13,77,,11.1,7,0.491,26,0.385,10,43.3,26,0.63,11.7,8,27,0.593,16,0.4,2,"Athletics Center O'rena, Rochester, Michigan",JAMES-MADISON,James Madison,62.7,Home,OAKLAND,Oakland,Oakland,horizon
2018-11-24-14-oakland,58.6,17,6.5,2,129.9,63.6,14,0.551,59,0.492,29,0.254,15,0.733,11,6,200,113.4,46.4,13,23,76,,10.4,7,0.339,20,0.35,7,54.0,27,0.575,17.6,14,39,0.564,22,0.25,2,"November 24, 2018",88.5,23,12.8,5,113.4,53.6,15,0.575,53,0.491,26,0.528,28,0.929,26,3,200,129.9,36.4,8,16,87,,13.4,9,0.415,22,0.409,9,46.0,23,0.656,10.9,8,31,0.548,17,0.5,3,"Athletics Center O'rena, Rochester, Michigan",ORAL-ROBERTS,Oral Roberts,66.7,Home,OAKLAND,Oakland,Oakland,horizon
2018-11-25-15-oakland,62.2,23,3.1,1,116.1,76.7,23,0.759,56,0.661,37,0.161,9,0.778,7,2,200,148.4,36.8,7,15,92,,8.1,5,0.321,18,0.611,11,61.2,30,0.763,10.5,7,38,0.684,26,0.667,4,"November 25, 2018",80.0,20,5.3,2,148.4,63.2,12,0.534,58,0.431,25,0.241,14,0.714,10,4,200,116.1,23.3,7,12,72,,4.8,3,0.448,26,0.462,12,38.8,19,0.557,9.8,7,32,0.406,13,0.429,3,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,62.5,Away,NORTHERN-ILLINOIS,Northern Illinois,Oakland,horizon
2018-12-01-12-xavier,60.0,15,7.5,3,117.7,62.5,20,0.545,56,0.446,25,0.125,7,0.286,2,5,200,101.6,23.5,8,18,63,,6.5,4,0.5,28,0.393,11,42.4,28,0.531,15.7,11,28,0.5,14,0.375,3,"December 1, 2018",48.0,12,3.6,1,101.6,76.5,26,0.491,55,0.455,25,0.418,23,0.826,19,3,200,117.7,37.5,12,14,73,,14.5,9,0.273,15,0.267,4,57.6,38,0.554,10.9,8,40,0.525,21,0.625,5,"Cintas Center, Cincinnati, Ohio",OAKLAND,Oakland,62.1,Home,XAVIER,Xavier,Oakland,horizon
2018-12-06-19-fairfield,78.6,22,7.1,3,119.4,60.0,18,0.702,47,0.596,28,0.511,24,0.875,21,5,200,120.8,28.6,6,18,87,,5.6,4,0.447,21,0.476,10,47.1,24,0.745,24.8,19,26,0.692,18,0.444,4,"December 6, 2018",53.1,17,0.0,0,120.8,71.4,15,0.57,64,0.5,32,0.281,18,0.722,13,7,200,119.4,40.0,12,23,86,,16.7,12,0.344,22,0.409,9,52.9,27,0.593,14.3,12,42,0.548,23,0.222,2,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",FAIRFIELD,Fairfield,72.0,Away,OAKLAND,Oakland,Oakland,horizon
2018-12-08-16-northeastern,48.1,13,2.9,1,126.0,69.2,18,0.588,57,0.474,27,0.351,20,0.8,16,6,200,113.7,10.3,3,20,83,,13.7,10,0.474,27,0.481,13,38.2,21,0.624,13.2,10,30,0.467,14,0.4,4,"December 8, 2018",53.1,17,13.3,4,113.7,89.7,26,0.689,53,0.604,32,0.547,29,0.655,19,5,200,126.0,30.8,8,20,92,,4.1,3,0.34,18,0.5,9,61.8,34,0.689,17.6,14,35,0.657,23,0.5,5,"Matthews Arena, Boston, Massachusetts",OAKLAND,Oakland,73.1,Home,NORTHEASTERN,Northeastern,Oakland,horizon
