,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-07-18-cincinnati,35.0,7,13.9,5,83.6,63.6,21,0.511,47,0.426,20,0.468,22,0.727,16,0,200,95.5,24.0,6,22,64,,3.0,2,0.426,20,0.4,8,46.6,27,0.557,18.7,13,27,0.444,12,1.0,1,"November 7, 2018",70.6,12,25.9,7,95.5,76.0,19,0.323,62,0.274,17,0.339,21,0.762,16,1,200,83.6,36.4,12,19,56,,6.0,4,0.419,26,0.231,6,53.4,31,0.389,12.3,10,36,0.306,11,0.0,0,"Fifth Third Arena, Cincinnati, Ohio",CINCINNATI,Cincinnati,67.2,Away,OHIO-STATE,Ohio State,Ohio State,big-ten
2018-11-11-16-ohio-state,27.3,6,0.0,0,140.8,75.0,18,0.385,65,0.338,22,0.262,17,0.647,11,2,200,80.3,25.6,10,21,61,,3.9,3,0.415,27,0.222,6,44.4,28,0.417,17.1,15,38,0.421,16,0.333,1,"November 11, 2018",61.8,21,13.2,5,80.3,74.4,29,0.741,56,0.607,34,0.5,28,0.857,24,0,200,140.8,25.0,6,18,107,,7.9,6,0.5,28,0.536,15,55.6,35,0.772,13.9,11,28,0.679,19,1.0,2,"Value City Arena, Columbus, Ohio",IPFW,Purdue-Fort Wayne,76.2,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2018-11-15-19-creighton,57.7,15,7.4,2,98.4,69.0,20,0.564,55,0.473,26,0.218,12,0.583,7,0,200,113.1,37.9,11,18,69,,6.6,4,0.382,21,0.476,10,53.4,31,0.568,17.7,13,34,0.471,16,1.0,3,"November 15, 2018",43.5,10,11.8,4,113.1,62.1,18,0.529,52,0.442,23,0.173,9,0.556,5,1,200,98.4,31.0,9,19,60,,6.6,4,0.481,25,0.36,9,46.6,27,0.533,18.9,13,27,0.519,14,0.667,2,"CenturyLink Center, Omaha, Nebraska",CREIGHTON,Creighton,61.5,Away,OHIO-STATE,Ohio State,Ohio State,big-ten
2018-11-18-14-ohio-state,13.0,3,0.0,0,121.9,70.8,17,0.395,62,0.371,23,0.226,14,0.857,12,4,200,83.6,25.0,10,29,61,,5.5,4,0.306,19,0.158,3,42.2,27,0.444,15.0,12,43,0.465,20,0.2,1,"November 18, 2018",64.3,18,7.0,3,83.6,75.0,30,0.618,51,0.549,28,0.686,35,0.743,26,0,200,121.9,29.2,7,17,89,,5.5,4,0.373,19,0.368,7,57.8,37,0.658,18.4,15,32,0.656,21,1.0,4,"Value City Arena, Columbus, Ohio",SOUTH-CAROLINA-STATE,South Carolina State,73.1,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2018-11-20-19-ohio-state,33.3,7,3.1,1,98.6,78.1,25,0.404,57,0.368,21,0.088,5,0.8,4,1,200,72.5,17.1,6,24,50,,2.9,2,0.263,15,0.267,4,46.3,31,0.421,20.2,15,42,0.405,17,0.833,5,"November 20, 2018",60.9,14,4.8,2,72.5,82.9,29,0.471,52,0.442,23,0.538,28,0.679,19,0,200,98.6,21.9,7,13,68,23,5.8,4,0.385,20,0.15,3,53.7,36,0.521,15.7,12,32,0.625,20,1.0,5,"Value City Arena, Columbus, Ohio",SAMFORD,Samford,69.3,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2018-11-23-20-ohio-state,52.4,11,8.9,4,115.6,77.4,24,0.4,60,0.35,21,0.3,18,0.778,14,4,200,80.5,27.0,10,16,62,,6.5,5,0.35,21,0.286,6,50.0,34,0.452,20.0,17,39,0.385,15,0.333,2,"November 23, 2018",50.0,17,7.7,3,80.5,73.0,27,0.586,64,0.531,34,0.297,19,0.737,14,0,200,115.6,22.6,7,21,89,23,14.3,11,0.297,19,0.368,7,50.0,34,0.609,14.2,12,45,0.6,27,1.0,6,"St. John Arena, Columbus, Ohio",CLEVELAND-STATE,Cleveland State,76.8,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2018-11-28-19-ohio-state,59.1,13,12.5,3,98.4,72.4,21,0.611,45,0.489,22,0.422,19,0.895,17,2,200,114.3,16.7,4,28,72,,1.6,1,0.533,24,0.458,11,47.2,25,0.666,18.4,12,21,0.524,11,0.667,4,"November 28, 2018",80.0,12,4.8,1,114.3,83.3,20,0.391,46,0.326,15,0.761,35,0.743,26,1,200,98.4,27.6,8,17,62,16,7.9,5,0.478,22,0.273,6,52.8,28,0.495,14.0,10,24,0.375,9,0.857,6,"Value City Arena, Columbus, Ohio",OHIO-STATE,Ohio State,63.3,Away,SYRACUSE,Syracuse,Ohio State,big-ten
2018-12-02-19-ohio-state,35.0,7,9.3,4,114.5,66.7,22,0.392,51,0.392,20,0.627,32,0.594,19,2,200,85.5,22.2,8,20,59,,2.9,2,0.255,13,0.0,0,43.5,30,0.446,15.6,12,38,0.526,20,0.75,6,"December 2, 2018",57.1,16,2.6,1,85.5,77.8,28,0.525,60,0.467,28,0.333,20,0.8,16,1,200,114.5,33.3,11,26,79,16,7.2,5,0.283,17,0.412,7,56.5,39,0.568,12.7,10,43,0.488,21,0.875,7,"Value City Arena, Columbus, Ohio",MINNESOTA,Minnesota,69.4,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2018-12-05-19-illinois,58.3,14,10.3,4,88.2,77.1,27,0.529,51,0.471,24,0.627,32,0.719,23,1,200,101.3,29.0,9,22,77,19,10.5,8,0.333,17,0.353,6,54.5,36,0.582,22.6,19,34,0.529,18,0.889,8,"December 5, 2018",52.6,10,5.9,2,101.3,71.0,22,0.379,58,0.328,19,0.466,27,0.852,23,7,200,88.2,22.9,8,26,67,,15.8,12,0.328,19,0.316,6,45.5,30,0.473,15.7,13,39,0.333,13,0.222,2,"United Center, Chicago, Illinois",ILLINOIS,Illinois,76.0,Away,OHIO-STATE,Ohio State,Ohio State,big-ten
2018-12-15-12-ohio-state,56.5,13,2.4,1,107.4,71.9,23,0.527,55,0.418,23,0.327,18,0.722,13,4,200,104.4,14.3,5,20,71,,8.8,6,0.545,30,0.4,12,41.8,28,0.559,11.3,8,25,0.44,11,0.5,4,"December 15, 2018",55.6,15,12.0,3,104.4,85.7,30,0.536,56,0.482,27,0.321,18,0.722,13,1,200,107.4,28.1,9,14,73,15,2.9,2,0.268,15,0.4,6,58.2,39,0.565,16.9,13,41,0.512,21,0.9,9,"Value City Arena, Columbus, Ohio",BUCKNELL,Bucknell,67.6,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2018-12-18-19-ohio-state,40.0,8,2.7,1,111.9,73.3,22,0.436,55,0.364,20,0.2,11,0.727,8,9,200,83.6,12.9,4,24,56,,7.5,5,0.364,20,0.4,8,42.6,26,0.465,14.3,10,35,0.343,12,0.308,4,"December 18, 2018",65.4,17,8.6,3,83.6,87.1,27,0.509,56,0.464,26,0.411,23,0.783,18,1,200,111.9,26.7,8,13,75,15,7.5,5,0.339,19,0.263,5,57.4,35,0.56,10.8,8,37,0.568,21,0.909,10,"Value City Arena, Columbus, Ohio",YOUNGSTOWN-STATE,Youngstown State,66.6,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2018-12-22-15-ohio-state,56.0,14,13.6,6,109.6,63.4,26,0.474,57,0.439,25,0.298,17,0.706,12,5,200,90.4,25.0,8,20,66,,11.0,8,0.316,18,0.222,4,46.6,34,0.507,18.9,15,39,0.538,21,0.583,7,"December 22, 2018",92.9,26,17.9,7,90.4,75.0,24,0.478,67,0.418,28,0.343,23,0.696,16,1,200,109.6,36.6,15,18,80,15,6.8,5,0.343,23,0.348,8,53.4,39,0.513,11.5,10,44,0.455,20,0.917,11,"United Center, Chicago, Illinois",UCLA,UCLA,72.5,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2018-12-29-12-ohio-state,45.8,11,0.0,0,117.1,83.3,25,0.481,54,0.444,24,0.296,16,0.75,12,7,200,91.4,30.0,9,24,64,,10.0,7,0.241,13,0.308,4,56.7,34,0.519,20.8,16,41,0.488,20,0.462,6,"December 29, 2018",63.3,19,7.3,3,91.4,70.0,21,0.657,54,0.556,30,0.407,22,0.5,11,1,200,117.1,16.7,5,14,82,13,7.1,5,0.463,25,0.44,11,43.3,26,0.636,14.7,11,29,0.655,19,0.923,12,"Value City Arena, Columbus, Ohio",HIGH-POINT,High Point,69.5,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2019-01-05-12-ohio-state,56.0,14,10.5,4,111.6,78.9,30,0.609,46,0.543,25,0.804,37,0.811,30,2,200,124.6,25.0,6,20,86,8,5.8,4,0.391,18,0.333,6,58.1,36,0.676,16.2,12,28,0.679,19,0.867,13,"January 5, 2019",55.6,15,0.0,0,124.6,75.0,18,0.492,62,0.435,27,0.339,21,0.762,16,2,200,111.6,21.1,8,26,77,14,10.1,7,0.387,24,0.292,7,41.9,26,0.535,6.6,5,38,0.526,20,0.857,12,"Value City Arena, Columbus, Ohio",OHIO-STATE,Ohio State,69.3,Away,MICHIGAN-STATE,Michigan State,Ohio State,big-ten
2019-01-09-19-rutgers,52.2,12,0.0,0,100.0,67.9,19,0.466,58,0.397,23,0.19,11,0.636,7,3,200,95.3,31.3,10,18,61,16,10.9,7,0.448,26,0.308,8,48.3,29,0.482,16.0,12,32,0.469,15,0.8,12,"January 9, 2019",45.5,10,18.8,6,95.3,68.8,22,0.462,53,0.415,22,0.377,20,0.75,15,6,200,100.0,32.1,9,16,64,,10.9,7,0.302,16,0.313,5,51.7,31,0.512,12.7,9,37,0.459,17,0.571,8,"Louis Brown Athletic Center, New Brunswick, New Jersey",OHIO-STATE,Ohio State,63.9,Home,RUTGERS,Rutgers,Ohio State,big-ten
2019-01-12-14-iowa,63.6,14,2.6,1,98.6,73.5,25,0.458,59,0.373,22,0.186,11,0.727,8,4,200,84.9,30.6,11,23,62,16,12.3,9,0.424,25,0.4,10,51.4,36,0.483,23.9,20,34,0.353,12,0.75,12,"January 12, 2019",60.0,15,17.6,6,84.9,69.4,25,0.491,55,0.455,25,0.455,25,0.72,18,3,200,98.6,26.5,9,15,72,,15.1,11,0.291,16,0.25,4,48.6,34,0.538,17.5,14,39,0.538,21,0.824,14,"Carver-Hawkeye Arena, Iowa City, Iowa",OHIO-STATE,Ohio State,72.6,Home,IOWA,Iowa,Ohio State,big-ten
2019-01-18-18-ohio-state,56.0,14,6.1,2,93.8,73.7,28,0.709,43,0.581,25,0.372,16,0.875,14,3,200,115.4,20.0,4,15,75,19,12.3,8,0.395,17,0.647,11,55.2,32,0.741,26.5,18,26,0.538,14,0.842,16,"January 18, 2019",34.8,8,0.0,0,115.4,80.0,16,0.441,59,0.39,23,0.203,12,0.75,9,5,200,93.8,26.3,10,15,61,,9.2,6,0.441,26,0.231,6,44.8,26,0.471,13.5,10,33,0.515,17,0.706,12,"Value City Arena, Columbus, Ohio",OHIO-STATE,Ohio State,64.7,Away,MARYLAND,Maryland,Ohio State,big-ten
2019-01-23-19-ohio-state,56.5,13,13.6,3,98.5,83.3,20,0.604,48,0.479,23,0.521,25,0.84,21,6,200,116.2,29.6,8,17,79,,11.8,8,0.5,24,0.5,12,54.9,28,0.66,23.4,18,24,0.458,11,0.684,13,"January 23, 2019",47.8,11,4.2,1,116.2,70.4,19,0.636,44,0.523,23,0.364,16,0.688,11,6,200,98.5,16.7,4,19,67,,13.2,9,0.5,22,0.455,10,45.1,23,0.649,26.1,18,22,0.591,13,0.667,12,"Value City Arena, Columbus, Ohio",OHIO-STATE,Ohio State,67.7,Away,PURDUE,Purdue,Ohio State,big-ten
2019-01-26-12-nebraska,33.3,8,2.8,1,89.6,81.1,30,0.491,58,0.414,24,0.31,18,0.722,13,6,200,104.5,35.3,12,14,70,,11.9,8,0.466,27,0.333,9,59.2,42,0.526,15.4,12,31,0.484,15,0.684,13,"January 26, 2019",47.6,10,3.2,1,104.5,64.7,22,0.431,58,0.362,21,0.207,12,0.833,10,7,200,89.6,18.9,7,16,60,,7.5,5,0.379,22,0.364,8,40.8,29,0.471,14.8,11,36,0.361,13,0.65,13,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,67.1,Away,OHIO-STATE,Ohio State,Ohio State,big-ten
2019-01-29-21-michigan,52.6,10,14.8,4,104.8,80.0,24,0.413,52,0.365,19,0.115,6,1.0,6,7,200,79.0,32.3,10,17,49,,6.5,4,0.404,21,0.238,5,55.7,34,0.447,24.8,18,31,0.452,14,0.65,13,"January 29, 2019",68.2,15,9.7,3,79.0,67.7,21,0.5,54,0.407,22,0.222,12,0.917,11,1,200,104.8,20.0,6,14,65,5,17.7,11,0.5,27,0.37,10,44.3,27,0.544,11.9,8,27,0.444,12,0.952,20,"Crisler Arena, Ann Arbor, Michigan",OHIO-STATE,Ohio State,62.3,Home,MICHIGAN,Michigan,Ohio State,big-ten
2019-02-02-12-ohio-state,58.3,14,8.7,2,126.7,81.0,17,0.491,55,0.436,24,0.309,17,0.471,8,10,200,103.3,40.0,14,14,62,,6.7,4,0.345,19,0.316,6,55.4,31,0.491,16.1,12,36,0.5,18,0.524,11,"February 2, 2019",59.3,16,5.6,2,103.3,60.0,21,0.657,51,0.529,27,0.255,13,0.692,9,7,200,126.7,19.0,4,16,76,,8.3,5,0.549,28,0.464,13,44.6,25,0.665,9.6,6,23,0.609,14,0.667,14,"Value City Arena, Columbus, Ohio",RUTGERS,Rutgers,60.1,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2019-02-07-19-ohio-state,30.8,8,3.3,1,101.4,86.4,19,0.467,60,0.433,26,0.3,18,0.778,14,15,200,95.9,18.2,6,23,70,,16.4,12,0.233,14,0.286,4,45.5,25,0.511,12.8,10,46,0.478,22,0.348,8,"February 7, 2019",50.0,11,8.7,4,95.9,81.8,27,0.58,44,0.5,22,0.659,29,0.793,23,7,200,101.4,13.6,3,21,74,,6.8,5,0.318,14,0.5,7,54.5,30,0.64,24.1,18,30,0.5,15,0.682,15,"Value City Arena, Columbus, Ohio",PENN-STATE,Penn State,72.7,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2019-02-10-13-indiana,56.5,13,12.1,4,85.2,78.6,22,0.51,52,0.442,23,0.115,6,0.333,2,7,200,90.2,25.9,7,15,55,,8.2,5,0.308,16,0.438,7,52.7,29,0.501,21.5,15,36,0.444,16,0.696,16,"February 10, 2019",52.4,11,2.8,1,90.2,74.1,20,0.453,53,0.396,21,0.132,7,0.571,4,11,200,85.2,21.4,6,12,52,,13.1,8,0.377,20,0.3,6,47.3,26,0.462,13.8,9,33,0.455,15,0.542,13,"Assembly Hall, Bloomington, Indiana",INDIANA,Indiana,61.1,Away,OHIO-STATE,Ohio State,Ohio State,big-ten
